App,IP,Service,Connections,Traffic Size,,,App,IP,,,,,,,# of apps connected,# of unique IPS,,
../pcaps/Android9.0/com.ohbibi.fps.apk.pcap,104.16.204.165,benign,108,43450,,,../pcaps/Android9.0/com.ohbibi.fps.apk.pcap,104.16.204.165,1,,,,104.16.204.165,1,1,461,,
../pcaps/Android9.0/com.playrix.gardenscapes.apk.pcap,104.16.205.165,tracking,2,108,,,../pcaps/Android9.0/com.ohbibi.fps.apk.pcap,104.16.205.165,2,,,,104.16.207.165,1,2,83,,
../pcaps/Android9.0/com.ohbibi.fps.apk.pcap,104.16.205.165,tracking,44,11941,,,../pcaps/Android9.0/com.playrix.gardenscapes.apk.pcap,104.16.205.165,2,,,,104.16.208.165,1,3,29,,
../pcaps/Android9.0/com.ohbibi.fps.apk.pcap,104.16.207.165,ads,79,16640,,,../pcaps/Android9.0/com.ohbibi.fps.apk.pcap,104.16.207.165,1,,,,104.16.52.111,1,4,21,,
../pcaps/Android9.0/com.ohbibi.fps.apk.pcap,104.16.208.165,ads,45,7862,,,../pcaps/Android9.0/com.ohbibi.fps.apk.pcap,104.16.208.165,1,,,,104.16.55.111,1,5,17,,
../pcaps/Android9.0/com.roblox.client.apk.pcap,104.16.52.111,benign,27,9598,,,../pcaps/Android9.0/com.roblox.client.apk.pcap,104.16.52.111,1,,,,104.18.100.194,1,6,11,,
../pcaps/Android9.0/com.roblox.client.apk.pcap,104.16.55.111,ads,127,61354,,,../pcaps/Android9.0/com.roblox.client.apk.pcap,104.16.55.111,1,,,,104.18.73.113,1,7,14,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,104.18.100.194,benign,25,7201,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,104.18.100.194,1,,,,104.18.74.113,1,8,7,,
../pcaps/Android9.0/com.roblox.client.apk.pcap,104.18.73.113,benign,4608,5233515,,,../pcaps/Android9.0/com.roblox.client.apk.pcap,104.18.73.113,1,,,,104.20.0.59,1,9,3,,
../pcaps/Android9.0/com.roblox.client.apk.pcap,104.18.74.113,benign,17,6399,,,../pcaps/Android9.0/com.roblox.client.apk.pcap,104.18.74.113,1,,,,104.244.42.131,1,10,8,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,104.19.197.151,tracking,103,66440,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,104.19.197.151,2,,,,104.244.42.133,1,11,1,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,104.19.197.151,tracking,111,74325,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,104.19.197.151,2,,,,104.244.42.195,1,12,1,,
../pcaps/Android9.0/com.playgendary.tanks.apk.pcap,104.20.0.59,benign,20,6324,,,../pcaps/Android9.0/com.playgendary.tanks.apk.pcap,104.20.0.59,1,,,,104.244.42.65,1,13,1,,
../pcaps/Android9.0/com.playgendary.kickthebuddy.apk.pcap,104.20.1.59,ads,21,6450,,,../pcaps/Android9.0/com.playgendary.kickthebuddy.apk.pcap,104.20.1.59,2,,,,104.244.42.67,1,14,4,,
../pcaps/Android9.0/com.playgendary.tom.apk.pcap,104.20.1.59,ads,44,10038,,,../pcaps/Android9.0/com.playgendary.tom.apk.pcap,104.20.1.59,2,,,,104.244.42.69,1,15,2,,
../pcaps/Android9.0/com.colorup.game.apk.pcap,104.244.42.131,tracking,922,639678,,,../pcaps/Android9.0/com.colorup.game.apk.pcap,104.244.42.131,1,,,,104.244.42.72,1,16,3,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,104.244.42.133,benign,22,6797,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,104.244.42.133,1,,,,104.245.147.109,1,17,1,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,104.244.42.195,ads,49,15016,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,104.244.42.195,1,,,,107.178.251.134,1,18,2,,
../pcaps/Android9.0/com.colorup.game.apk.pcap,104.244.42.65,benign,85,28416,,,../pcaps/Android9.0/com.colorup.game.apk.pcap,104.244.42.65,1,,,,107.20.168.105,1,19,3,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,104.244.42.67,benign,29,8696,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,104.244.42.67,1,,,,107.21.27.97,1,20,0,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,104.244.42.69,benign,29,8091,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,104.244.42.69,1,,,,107.22.196.8,1,21,1,,
../pcaps/Android9.0/com.colorup.game.apk.pcap,104.244.42.72,benign,22,7314,,,../pcaps/Android9.0/com.colorup.game.apk.pcap,104.244.42.72,1,,,,107.22.197.210,1,22,2,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,104.245.147.109,benign,31,11678,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,104.245.147.109,1,,,,107.22.197.221,1,23,1,,
../pcaps/Android9.0/com.parking.game.apk.pcap,107.178.251.134,benign,254,71655,,,../pcaps/Android9.0/com.parking.game.apk.pcap,107.178.251.134,1,,,,107.22.197.233,1,24,0,,
../pcaps/Android9.0/com.colorup.game.apk.pcap,107.20.168.105,benign,28,9456,,,../pcaps/Android9.0/com.colorup.game.apk.pcap,107.20.168.105,1,,,,107.22.197.91,1,25,1,,
../pcaps/Android9.0/com.word.game.fun.puzzle.prison.escape.captain.apk.pcap,107.21.27.97,benign,182,39032,,,../pcaps/Android9.0/com.word.game.fun.puzzle.prison.escape.captain.apk.pcap,107.21.27.97,1,,,,107.22.198.114,1,26,0,,
../pcaps/Android9.0/com.luckyday.app.apk.pcap,107.22.196.8,benign,32,10175,,,../pcaps/Android9.0/com.luckyday.app.apk.pcap,107.22.196.8,1,,,,107.22.215.55,1,27,0,,
