timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553141472.531011,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,74
1553141472.532358,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,74
1553141472.532359,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,74
1553141472.552781,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,74
1553141472.564638,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,74
1553141472.566359,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,74
1553141472.567198,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.567199,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,583
1553141472.568873,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.568875,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,583
1553141472.57038,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,74
1553141472.573035,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.573036,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,583
1553141472.59229,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,74
1553141472.594501,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.594502,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,583
1553141472.601431,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.605362,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.609387,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.61229,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.612394,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.612489,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,193
1553141472.613594,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.613694,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.614041,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,193
1553141472.614836,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.614836,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.614837,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.617641,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.617724,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.617863,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.617864,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,159
1553141472.617864,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.617864,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.618927,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,193
1553141472.620862,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,159
1553141472.620863,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.620864,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.620864,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.623372,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,159
1553141472.627099,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.6271,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.6271,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,159
1553141472.62892,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,1337
1553141472.631652,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.640296,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.640419,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.641164,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,193
1553141472.642955,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.642955,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.642956,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.644577,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,159
1553141472.648439,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,350
1553141472.648558,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,135
1553141472.65076,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.650761,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,104
1553141472.651166,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,350
1553141472.651406,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,135
1553141472.654037,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,54
1553141472.654038,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,54
1553141472.655879,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,350
1553141472.65616,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,135
1553141472.658239,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.658457,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,104
1553141472.658483,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,54
1553141472.658484,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,54
1553141472.659488,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,477
1553141472.659788,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1153
1553141472.660864,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.660945,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,309
1553141472.66193,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.661951,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.661951,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.662203,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.663305,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.663629,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.663737,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.66395,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.663953,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,112
1553141472.663954,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.665359,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,54
1553141472.66536,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,54
1553141472.66536,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.665439,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.665767,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.667175,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.667517,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.668489,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.66849,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.669738,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.669852,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.670884,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.671303,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1484
1553141472.672139,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.672584,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,1139
1553141472.674204,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.677111,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,350
1553141472.677895,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,135
1553141472.692481,172.217.14.193,192.168.137.186,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.713424,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141472.720744,192.168.137.186,172.217.14.193,"ad,tracking",googlehosted.l.googleusercontent.com,66
1553141473.090457,192.168.137.186,23.59.158.55,"ad,tracking",rt.applovin.com,97
1553141473.090458,192.168.137.186,23.59.158.55,"ad,tracking",rt.applovin.com,66
1553141473.115616,23.59.158.55,192.168.137.186,"ad,tracking",rt.applovin.com,97
1553141473.115872,23.59.158.55,192.168.137.186,"ad,tracking",rt.applovin.com,66
1553141473.118122,192.168.137.186,23.59.158.55,"ad,tracking",rt.applovin.com,54
1553141473.118123,192.168.137.186,23.59.158.55,"ad,tracking",rt.applovin.com,54
1553141473.120714,23.59.158.55,192.168.137.186,"ad,tracking",rt.applovin.com,66
1553141473.123044,192.168.137.186,23.59.158.55,"ad,tracking",rt.applovin.com,54
1553141479.013361,192.168.137.186,35.241.52.229,ad,thind-prd-knob.data.ie.unity3d.com,1434
1553141479.01517,192.168.137.186,35.241.52.229,ad,thind-prd-knob.data.ie.unity3d.com,999
1553141479.05346,35.241.52.229,192.168.137.186,ad,thind-prd-knob.data.ie.unity3d.com,66
1553141479.0925,35.241.52.229,192.168.137.186,ad,thind-prd-knob.data.ie.unity3d.com,120
1553141479.094793,192.168.137.186,35.241.52.229,ad,thind-prd-knob.data.ie.unity3d.com,66
1553141479.1474,35.241.52.229,192.168.137.186,ad,thind-prd-knob.data.ie.unity3d.com,217
