timestamp,src ip,dst ip,service,domain,frame size
1553144542.931406,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,472
1553144542.931415,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,473
1553144542.934252,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,467
1553144542.934253,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,466
1553144542.968155,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,604
1553144542.977827,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,450
1553144542.996279,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,457
1553144542.996281,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,458
1553144542.998989,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,451
1553144542.99899,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,456
1553144542.998991,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,457
1553144543.176315,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,483
1553144543.176316,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,483
1553144543.28441,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,743
1553144543.33287,192.168.137.186,23.59.158.55,benign,stage-a.applovin.com,1514
1553145109.635391,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,490
1553145130.119097,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,604
1553145130.310502,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,743
1553145130.363432,192.168.137.186,23.59.158.55,ad,prod-a.applovin.com,1514
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553144254.266753,34.237.25.192,192.168.137.186,ad,track.tenjin.io,97
1553144254.267132,34.237.25.192,192.168.137.186,ad,track.tenjin.io,66
1553144254.728559,34.237.25.192,192.168.137.186,ad,track.tenjin.io,66
1553144255.30657,192.168.137.186,34.237.25.192,ad,track.tenjin.io,66
1553144255.306571,192.168.137.186,34.237.25.192,ad,track.tenjin.io,78
1553144262.011027,192.168.137.186,35.241.26.53,ad,config.uca.cloud.unity3d.com,74
1553144262.040811,35.241.26.53,192.168.137.186,ad,config.uca.cloud.unity3d.com,74
1553144262.043122,192.168.137.186,35.241.26.53,ad,config.uca.cloud.unity3d.com,66
1553144262.047211,192.168.137.186,35.241.26.53,ad,config.uca.cloud.unity3d.com,260
1553144262.07795,35.241.26.53,192.168.137.186,ad,config.uca.cloud.unity3d.com,66
1553144262.079849,35.241.26.53,192.168.137.186,ad,config.uca.cloud.unity3d.com,1484
1553144262.080122,35.241.26.53,192.168.137.186,ad,config.uca.cloud.unity3d.com,1484
1553144262.08026,35.241.26.53,192.168.137.186,ad,config.uca.cloud.unity3d.com,566
1553144262.082908,192.168.137.186,35.241.26.53,ad,config.uca.cloud.unity3d.com,66
1553144262.082909,192.168.137.186,35.241.26.53,ad,config.uca.cloud.unity3d.com,66
1553144262.08291,192.168.137.186,35.241.26.53,ad,config.uca.cloud.unity3d.com,66
1553144262.102404,192.168.137.186,35.241.26.53,ad,config.uca.cloud.unity3d.com,159
1553144262.129281,35.241.26.53,192.168.137.186,ad,config.uca.cloud.unity3d.com,350
1553144262.13275,192.168.137.186,35.241.26.53,ad,config.uca.cloud.unity3d.com,742
1553144262.199827,35.241.26.53,192.168.137.186,ad,config.uca.cloud.unity3d.com,66
1553144262.233048,35.241.26.53,192.168.137.186,ad,config.uca.cloud.unity3d.com,466
1553144262.237558,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,97
1553144262.23756,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553144262.267411,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,66
1553144262.268094,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,97
1553144262.268296,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,66
1553144262.270415,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,54
1553144262.270416,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,54
