timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553149823.756881,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149823.758509,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,229
1553149823.843334,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149823.845129,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149823.847119,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149823.888979,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149823.890497,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,225
1553149823.973349,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149823.993251,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149823.995514,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149825.665684,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149825.668674,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,218
1553149825.753107,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149825.754559,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149825.761925,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149825.820578,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149825.8223,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,217
1553149825.904831,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149825.907252,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149825.909627,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149825.942115,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149825.943687,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,215
1553149826.026478,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149826.028522,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149826.05633,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149826.059623,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,213
1553149826.140534,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149826.141992,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149826.191483,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149828.665652,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149828.66722,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,215
1553149828.753297,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149828.754965,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149828.757189,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149828.804589,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149828.806193,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,216
1553149828.888218,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149828.889658,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149828.892135,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149828.935577,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149828.937171,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,220
1553149829.019412,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149829.021989,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149829.024452,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149829.069465,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149829.079014,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,212
1553149829.158165,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149829.159383,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149829.173217,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149829.205654,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149829.207293,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,209
1553149829.289738,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149829.291787,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149829.299485,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149829.329546,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149829.329547,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,219
1553149829.409905,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149829.411084,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149829.467867,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149830.70781,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149830.709479,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,217
1553149830.795752,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149830.797347,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149830.799982,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149830.845834,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149830.847832,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,216
1553149830.92976,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149830.93119,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149830.933413,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149830.977083,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149830.979076,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,218
1553149831.061413,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149831.064207,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149831.066866,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149831.108238,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149831.109791,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,211
1553149831.192612,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149831.19342,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149831.23471,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149832.492292,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149832.493784,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,206
1553149832.580247,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149832.58167,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149832.583689,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149832.625639,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149832.627243,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,219
1553149832.709465,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149832.711219,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149832.713494,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149832.745449,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149832.747022,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,223
1553149832.829413,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149832.830987,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149832.871224,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149833.916444,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149833.918055,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,218
1553149834.002404,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149834.003929,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149834.006114,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149834.046802,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149834.048323,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,218
1553149834.131129,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149834.133093,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149834.135572,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149834.152339,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149834.155353,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,221
1553149834.236984,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149834.238094,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149834.278112,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149836.783729,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149836.785295,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,216
1553149836.871689,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149836.871926,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149836.876542,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149836.913147,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149836.917009,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,220
1553149836.998457,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149836.999961,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149837.005167,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149837.062982,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149837.064689,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,219
1553149837.145104,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149837.146541,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149837.150503,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,66
1553149837.171316,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149837.175393,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,220
1553149837.259772,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
1553149837.259967,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,194
1553149837.293108,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,1514
1553149837.299828,192.168.137.186,184.73.240.198,"ad,tracking",e.crashlytics.com,216
1553149837.378812,184.73.240.198,192.168.137.186,"ad,tracking",e.crashlytics.com,66
