timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553152785.04182,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,350
1553152785.044462,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,475
1553152785.071924,52.216.20.173,192.168.137.186,benign,52.216.20.173,54
1553152785.075689,192.168.137.186,52.216.20.173,benign,52.216.20.173,54
1553152785.111088,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,66
1553152785.133858,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,649
1553152785.138671,192.168.137.186,35.241.52.229,ad,thind-prd-knob.data.ie.unity3d.com,97
1553152785.138672,192.168.137.186,35.241.52.229,ad,thind-prd-knob.data.ie.unity3d.com,66
1553152785.165282,35.241.52.229,192.168.137.186,ad,thind-prd-knob.data.ie.unity3d.com,66
1553152785.167072,35.241.52.229,192.168.137.186,ad,thind-prd-knob.data.ie.unity3d.com,66
1553152785.169299,192.168.137.186,35.241.52.229,ad,thind-prd-knob.data.ie.unity3d.com,66
1553152785.1718,35.241.52.229,192.168.137.186,ad,thind-prd-knob.data.ie.unity3d.com,66
1553152785.17646,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,66
1553152785.52018,192.168.137.186,104.16.204.165,ad,onesignal.com,74
1553152785.538574,192.168.137.186,104.16.204.165,ad,onesignal.com,74
1553152785.553622,104.16.204.165,192.168.137.186,ad,onesignal.com,66
1553152785.556325,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.556326,192.168.137.186,104.16.204.165,ad,onesignal.com,233
1553152785.572078,104.16.204.165,192.168.137.186,ad,onesignal.com,66
1553152785.574655,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.576452,192.168.137.186,104.16.204.165,ad,onesignal.com,233
1553152785.59175,104.16.204.165,192.168.137.186,ad,onesignal.com,54
1553152785.593116,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.594292,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.594505,104.16.204.165,192.168.137.186,ad,onesignal.com,865
1553152785.597586,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.597587,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.597588,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.612231,104.16.204.165,192.168.137.186,ad,onesignal.com,54
1553152785.613902,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.6143,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.614439,104.16.204.165,192.168.137.186,ad,onesignal.com,865
1553152785.616715,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.616716,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.619402,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.647271,192.168.137.186,104.16.204.165,ad,onesignal.com,147
1553152785.676193,192.168.137.186,104.16.204.165,ad,onesignal.com,147
1553152785.677668,104.16.204.165,192.168.137.186,ad,onesignal.com,312
1553152785.680253,192.168.137.186,104.16.204.165,ad,onesignal.com,312
1553152785.706294,104.16.204.165,192.168.137.186,ad,onesignal.com,312
1553152785.708859,192.168.137.186,104.16.204.165,ad,onesignal.com,346
1553152785.718448,104.16.204.165,192.168.137.186,ad,onesignal.com,1452
1553152785.718705,104.16.204.165,192.168.137.186,ad,onesignal.com,1452
1553152785.718807,104.16.204.165,192.168.137.186,ad,onesignal.com,1452
1553152785.71903,104.16.204.165,192.168.137.186,ad,onesignal.com,1452
1553152785.719126,104.16.204.165,192.168.137.186,ad,onesignal.com,1452
1553152785.719325,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.71941,104.16.204.165,192.168.137.186,ad,onesignal.com,1390
1553152785.719486,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.719597,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.721187,104.16.204.165,192.168.137.186,ad,onesignal.com,881
1553152785.721563,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.721564,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.721565,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.723065,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.723066,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.724137,104.16.204.165,192.168.137.186,ad,onesignal.com,1452
1553152785.724366,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.724746,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.726679,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.726975,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.726979,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.729278,104.16.204.165,192.168.137.186,ad,onesignal.com,1514
1553152785.729642,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.729664,104.16.204.165,192.168.137.186,ad,onesignal.com,568
1553152785.73185,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.771939,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152785.779481,104.16.204.165,192.168.137.186,ad,onesignal.com,54
1553152785.808306,104.16.204.165,192.168.137.186,ad,onesignal.com,926
1553152785.808499,104.16.204.165,192.168.137.186,ad,onesignal.com,88
1553152785.812523,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152786.645754,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,315
1553152786.675308,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,66
1553152786.717476,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,550
1553152786.719555,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,66
1553152786.721702,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,74
1553152786.757355,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,74
1553152786.759487,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,66
1553152786.762303,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,583
1553152786.797441,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,66
1553152786.798091,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,228
1553152786.800089,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,66
1553152786.803421,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,117
1553152786.876109,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,66
1553152786.878542,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,421
1553152786.908857,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,66
1553152787.305535,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,1484
1553152787.306552,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,830
1553152787.376972,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,830
1553152787.389704,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,66
1553152787.389705,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,78
1553152787.458417,192.168.137.186,40.112.162.49,benign,vss-ns-usw.westus.cloudapp.azure.com,74
1553152787.507687,40.112.162.49,192.168.137.186,benign,vss-ns-usw.westus.cloudapp.azure.com,74
1553152787.509949,192.168.137.186,40.112.162.49,benign,vss-ns-usw.westus.cloudapp.azure.com,66
1553152787.50995,192.168.137.186,40.112.162.49,benign,vss-ns-usw.westus.cloudapp.azure.com,114
1553152787.535597,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,74
1553152787.557191,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,795
1553152787.562678,40.112.162.49,192.168.137.186,benign,vss-ns-usw.westus.cloudapp.azure.com,76
1553152787.564889,192.168.137.186,40.112.162.49,benign,vss-ns-usw.westus.cloudapp.azure.com,66
1553152787.568519,35.241.22.100,192.168.137.186,ad,ecommerce.iap.unity3d.com,74
1553152787.570919,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,66
1553152787.572172,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,257
1553152787.586539,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,66
1553152787.593399,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,74
1553152787.601048,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,798
1553152787.605482,35.241.22.100,192.168.137.186,ad,ecommerce.iap.unity3d.com,66
1553152787.608621,35.241.22.100,192.168.137.186,ad,ecommerce.iap.unity3d.com,1484
1553152787.608812,35.241.22.100,192.168.137.186,ad,ecommerce.iap.unity3d.com,1484
1553152787.608893,35.241.22.100,192.168.137.186,ad,ecommerce.iap.unity3d.com,195
1553152787.611104,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,66
1553152787.611105,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,66
1553152787.611106,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,66
1553152787.617956,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,74
1553152787.618194,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,159
1553152787.620212,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553152787.620213,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,259
1553152787.631599,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,66
1553152787.645429,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,66
1553152787.647433,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553152787.647512,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553152787.647558,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,948
1553152787.647692,35.241.22.100,192.168.137.186,ad,ecommerce.iap.unity3d.com,350
1553152787.649663,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553152787.649664,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553152787.649664,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553152787.649665,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,460
1553152787.662674,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,192
1553152787.671942,35.186.229.7,192.168.137.186,benign,ingress-prod.obb.cloud,777
1553152787.674114,192.168.137.186,35.186.229.7,benign,ingress-prod.obb.cloud,66
1553152787.684384,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,324
1553152787.687875,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,359
1553152787.709735,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,875
1553152787.715913,35.241.22.100,192.168.137.186,ad,ecommerce.iap.unity3d.com,66
1553152787.716569,35.241.22.100,192.168.137.186,ad,ecommerce.iap.unity3d.com,265
1553152787.719255,192.168.137.186,104.16.204.165,ad,onesignal.com,85
1553152787.719257,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152787.743649,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,74
1553152787.751898,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553152787.754433,104.16.204.165,192.168.137.186,ad,onesignal.com,54
1553152787.756699,192.168.137.186,104.16.204.165,ad,onesignal.com,54
1553152787.758518,192.168.137.186,35.241.22.100,ad,ecommerce.iap.unity3d.com,66
1553152787.768517,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,74
