timestamp,src ip,dst ip,service,domain,frame size
1553154043.828629,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553154043.933142,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553154347.18542,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,265
1553154347.282102,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,265
1553154347.559977,192.168.137.186,23.36.178.55,ad,assets.applovin.com,247
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553153707.617419,23.36.178.183,192.168.137.186,"ad,tracking",z.moatads.com,324
1553153707.619327,192.168.137.186,23.36.178.183,"ad,tracking",z.moatads.com,314
1553153707.641297,23.36.178.183,192.168.137.186,"ad,tracking",z.moatads.com,501
1553153707.644935,192.168.137.186,52.44.82.129,benign,init.supersonicads.com,97
1553153707.644936,192.168.137.186,52.44.82.129,benign,init.supersonicads.com,66
1553153707.646277,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,162
1553153707.655783,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1119
1553153707.655993,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1119
1553153707.656093,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,644
1553153707.681662,54.225.188.185,192.168.137.186,benign,54.225.188.185,66
1553153707.682456,54.225.188.185,192.168.137.186,benign,54.225.188.185,1514
1553153707.683528,54.225.188.185,192.168.137.186,benign,54.225.188.185,1514
1553153707.6838,54.225.188.185,192.168.137.186,benign,54.225.188.185,1266
1553153707.68409,54.225.188.185,192.168.137.186,benign,54.225.188.185,1514
1553153707.684146,54.225.188.185,192.168.137.186,benign,54.225.188.185,391
1553153707.691037,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,644
1553153707.737756,52.44.82.129,192.168.137.186,benign,init.supersonicads.com,97
1553153707.738085,52.44.82.129,192.168.137.186,benign,init.supersonicads.com,66
1553153707.765413,192.168.137.186,35.244.172.51,benign,track.saygames.io,74
1553153707.765862,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,66
1553153707.766317,192.168.137.186,54.225.188.185,benign,54.225.188.185,66
1553153707.766319,192.168.137.186,54.225.188.185,benign,54.225.188.185,66
1553153707.76632,192.168.137.186,54.225.188.185,benign,54.225.188.185,66
1553153707.766321,192.168.137.186,54.225.188.185,benign,54.225.188.185,66
1553153707.766321,192.168.137.186,54.225.188.185,benign,54.225.188.185,66
1553153707.766323,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,78
1553153707.767424,192.168.137.186,52.44.82.129,benign,init.supersonicads.com,54
1553153707.767425,192.168.137.186,52.44.82.129,benign,init.supersonicads.com,54
1553153707.79654,192.168.137.186,13.32.252.89,ad,d2ubx2mpeq0x2u.cloudfront.net,74
1553153707.798024,192.168.137.186,13.32.252.89,ad,d2ubx2mpeq0x2u.cloudfront.net,74
1553153707.798025,192.168.137.186,54.225.188.185,benign,54.225.188.185,192
1553153707.798026,192.168.137.186,13.32.252.89,ad,d2ubx2mpeq0x2u.cloudfront.net,74
1553153707.798878,35.244.172.51,192.168.137.186,benign,track.saygames.io,74
