timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553159277.233284,192.168.137.186,3.89.232.216,benign,msgserver.homescapes.playrix.com,74
1553159277.257869,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,74
1553159277.282453,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,74
1553159277.285295,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553159277.287208,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,246
1553159277.314499,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553159277.315379,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,1514
1553159277.316405,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,1500
1553159277.316904,3.89.232.216,192.168.137.186,benign,msgserver.homescapes.playrix.com,74
1553159277.31736,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553159277.318776,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553159277.318776,192.168.137.186,3.89.232.216,benign,msgserver.homescapes.playrix.com,66
1553159277.322069,192.168.137.186,3.89.232.216,benign,msgserver.homescapes.playrix.com,70
1553159277.346596,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,192
1553159277.369364,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,324
1553159277.371404,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,271
1553159277.39403,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,654
1553159277.408577,3.89.232.216,192.168.137.186,benign,msgserver.homescapes.playrix.com,66
1553159277.435173,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553159278.164761,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,74
1553159278.17868,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,74
1553159278.201911,192.168.137.186,34.194.244.234,ad,live.chartboost.com,74
1553159278.206882,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,74
1553159278.208991,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.210575,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,259
1553159278.235822,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,66
1553159278.236905,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.23699,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.237064,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,948
1553159278.23848,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.238481,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.239892,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.252721,54.172.154.3,192.168.137.186,benign,init.supersonicads.com,74
1553159278.256331,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,66
1553159278.256332,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,254
1553159278.266268,192.168.137.186,52.44.48.55,ad,live.hyprmx.com,74
1553159278.270437,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,192
1553159278.291733,34.194.244.234,192.168.137.186,ad,live.chartboost.com,74
1553159278.294542,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,324
1553159278.29537,192.168.137.186,34.194.244.234,ad,live.chartboost.com,66
1553159278.29537,192.168.137.186,34.194.244.234,ad,live.chartboost.com,251
1553159278.296716,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,359
1553159278.31925,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,875
1553159278.324204,192.168.137.186,52.52.224.18,benign,playrix.helpshift.com,97
1553159278.325602,192.168.137.186,52.52.224.18,benign,playrix.helpshift.com,66
1553159278.34483,54.172.154.3,192.168.137.186,benign,init.supersonicads.com,66
1553159278.345539,54.172.154.3,192.168.137.186,benign,init.supersonicads.com,1514
1553159278.345813,54.172.154.3,192.168.137.186,benign,init.supersonicads.com,1514
1553159278.346707,54.172.154.3,192.168.137.186,benign,init.supersonicads.com,1266
1553159278.347145,54.172.154.3,192.168.137.186,benign,init.supersonicads.com,1249
1553159278.347686,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,66
1553159278.347687,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,66
1553159278.34912,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,66
1553159278.34912,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,66
1553159278.351896,52.44.48.55,192.168.137.186,ad,live.hyprmx.com,74
1553159278.355651,192.168.137.186,52.44.48.55,ad,live.hyprmx.com,66
1553159278.358208,192.168.137.186,52.44.48.55,ad,live.hyprmx.com,270
1553159278.358209,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.363016,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,192
1553159278.36725,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,74
1553159278.376955,52.52.224.18,192.168.137.186,benign,playrix.helpshift.com,66
1553159278.379592,192.168.137.186,52.52.224.18,benign,playrix.helpshift.com,66
1553159278.382055,34.194.244.234,192.168.137.186,ad,live.chartboost.com,66
1553159278.382637,34.194.244.234,192.168.137.186,ad,live.chartboost.com,1514
1553159278.382869,34.194.244.234,192.168.137.186,ad,live.chartboost.com,1514
1553159278.383093,34.194.244.234,192.168.137.186,ad,live.chartboost.com,1266
1553159278.383342,52.52.224.18,192.168.137.186,benign,playrix.helpshift.com,66
1553159278.383559,34.194.244.234,192.168.137.186,ad,live.chartboost.com,750
1553159278.385095,192.168.137.186,34.194.244.234,ad,live.chartboost.com,66
1553159278.385096,192.168.137.186,34.194.244.234,ad,live.chartboost.com,66
1553159278.385096,192.168.137.186,34.194.244.234,ad,live.chartboost.com,66
1553159278.385097,192.168.137.186,34.194.244.234,ad,live.chartboost.com,66
1553159278.393671,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,74
1553159278.395998,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.395999,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,260
1553159278.399536,192.168.137.186,34.194.244.234,ad,live.chartboost.com,192
1553159278.424785,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,66
1553159278.426689,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.426751,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.426794,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,948
1553159278.428799,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.431633,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.431634,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.445519,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,192
1553159278.446144,52.44.48.55,192.168.137.186,ad,live.hyprmx.com,66
1553159278.446842,52.44.48.55,192.168.137.186,ad,live.hyprmx.com,1514
1553159278.447079,52.44.48.55,192.168.137.186,ad,live.hyprmx.com,1514
1553159278.447312,52.44.48.55,192.168.137.186,ad,live.hyprmx.com,1266
1553159278.447754,52.44.48.55,192.168.137.186,ad,live.hyprmx.com,1252
1553159278.448921,192.168.137.186,52.44.48.55,ad,live.hyprmx.com,66
1553159278.448921,192.168.137.186,52.44.48.55,ad,live.hyprmx.com,66
1553159278.448922,192.168.137.186,52.44.48.55,ad,live.hyprmx.com,66
1553159278.448922,192.168.137.186,52.44.48.55,ad,live.hyprmx.com,66
1553159278.450158,54.172.154.3,192.168.137.186,benign,init.supersonicads.com,117
1553159278.453251,192.168.137.186,54.172.154.3,benign,init.supersonicads.com,624
1553159278.464025,192.168.137.186,52.44.48.55,ad,live.hyprmx.com,192
1553159278.466824,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,324
1553159278.468713,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,346
1553159278.485668,34.194.244.234,192.168.137.186,ad,live.chartboost.com,117
1553159278.489753,192.168.137.186,34.194.244.234,ad,live.chartboost.com,1415
1553159278.500373,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.500501,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.500579,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.500654,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.50083,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.500879,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.500962,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.501222,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.501271,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.501356,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.501519,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.50165,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.501718,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.501885,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.501953,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.502071,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.503303,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.503304,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.503304,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.503305,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.503305,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.503306,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.504654,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.504655,192.168.137.186,23.59.156.199,ad,webview.unityads.unity3d.com,66
1553159278.52462,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.524748,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.524889,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.525103,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.525237,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.525398,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.52557,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.525774,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.525912,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.52607,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
1553159278.526401,23.59.156.199,192.168.137.186,ad,webview.unityads.unity3d.com,1514
