timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553160211.355624,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,74
1553160211.391633,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,74
1553160211.394952,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160211.396609,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,250
1553160211.432731,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,66
1553160211.433578,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,1464
1553160211.434499,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,1464
1553160211.434667,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,332
1553160211.48287,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160211.482871,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160211.482872,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160211.539492,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,192
1553160211.539494,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,1464
1553160211.570189,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,66
1553160211.570408,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,324
1553160211.573888,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,665
1553160211.611478,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160211.641335,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,66
1553160211.653374,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,746
1553160211.656491,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160211.667161,192.168.137.186,50.18.32.157,benign,playrix.helpshift.com,97
1553160211.667161,192.168.137.186,50.18.32.157,benign,playrix.helpshift.com,66
1553160211.71971,50.18.32.157,192.168.137.186,benign,playrix.helpshift.com,66
1553160211.723054,192.168.137.186,50.18.32.157,benign,playrix.helpshift.com,66
1553160211.725775,50.18.32.157,192.168.137.186,benign,playrix.helpshift.com,66
1553160228.312762,192.168.137.186,18.234.166.237,benign,18.234.166.237,68
1553160228.393743,18.234.166.237,192.168.137.186,benign,18.234.166.237,66
1553160228.527592,18.234.166.237,192.168.137.186,benign,18.234.166.237,68
1553160228.530164,192.168.137.186,18.234.166.237,benign,18.234.166.237,66
1553160229.346043,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,74
1553160229.380553,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,74
1553160229.429733,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,74
1553160229.432276,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,66
1553160229.434252,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,287
1553160229.462768,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,74
1553160229.465624,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,66
1553160229.467912,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,287
1553160229.521174,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,66
1553160229.521929,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,211
1553160229.524082,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,66
1553160229.524083,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,117
1553160229.552948,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,66
1553160229.553173,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,211
1553160229.555954,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,66
1553160229.555955,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,117
1553160229.651794,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,66
1553160229.65423,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,525
1553160229.679798,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,66
1553160229.682383,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,223
1553160229.735561,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,66
1553160229.745676,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,428
1553160229.750879,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,97
1553160229.75088,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160229.762291,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,66
1553160229.762971,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,271
1553160229.768186,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,97
1553160229.768187,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160229.776285,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,97
1553160229.776863,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160229.778684,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160229.778686,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160229.781263,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160229.784021,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160229.784023,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,66
1553160229.792948,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,97
1553160229.793174,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160229.795314,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160229.795315,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160229.798041,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160229.800301,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160229.809334,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,66
1553160232.65143,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,467
1553160232.726155,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,223
1553160232.735725,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,74
1553160232.746332,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,1186
1553160232.748484,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,66
1553160232.809501,52.7.38.86,192.168.137.186,benign,township-ios.playrix.com,271
1553160232.81166,192.168.137.186,52.7.38.86,benign,township-ios.playrix.com,66
1553160232.819404,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,74
1553160232.821564,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,66
1553160232.822909,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,250
1553160232.879059,192.168.137.186,18.234.166.237,benign,18.234.166.237,152
1553160232.887749,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,74
1553160232.910396,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,66
1553160232.911407,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,1514
1553160232.911753,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,1514
1553160232.912416,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,1266
1553160232.912598,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,1258
1553160232.91399,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,66
1553160232.91399,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,66
1553160232.916217,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,66
1553160232.916218,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,66
1553160232.920207,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,74
1553160232.922488,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160232.926347,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,249
1553160232.935317,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,192
1553160232.959613,18.234.166.237,192.168.137.186,benign,18.234.166.237,66
1553160232.960272,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,66
1553160232.96222,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,1464
1553160232.96237,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,1464
1553160232.962437,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,326
1553160232.964583,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160232.964584,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160232.964585,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160232.979744,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,192
1553160233.009939,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,324
1553160233.010134,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,147
1553160233.017432,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,304
1553160233.017449,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,117
1553160233.022783,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,1404
1553160233.047632,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,104
1553160233.047799,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,108
1553160233.050051,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,104
1553160233.08839,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160233.104587,157.240.3.20,192.168.137.186,"ad,tracking",graph.accountkit.com,605
1553160233.105265,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,209
1553160233.105397,52.206.73.180,192.168.137.186,benign,1170.api.swrve.com,97
1553160233.10685,192.168.137.186,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553160233.109514,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,97
1553160233.109515,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,66
1553160233.117736,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,97
1553160233.117737,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160233.117738,192.168.137.186,52.206.73.180,benign,1170.api.swrve.com,74
1553160233.140036,192.168.137.186,157.240.3.29,benign,lookaside.facebook.com,74
1553160233.142937,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,97
1553160233.143512,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160233.145344,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160233.145345,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160233.149237,23.49.133.58,192.168.137.186,benign,gardenscapes-cdn.playrix.com.edgekey.net,66
1553160233.151885,192.168.137.186,23.49.133.58,benign,gardenscapes-cdn.playrix.com.edgekey.net,54
1553160233.172449,157.240.3.29,192.168.137.186,benign,lookaside.facebook.com,74
1553160233.174776,192.168.137.186,157.240.3.29,benign,lookaside.facebook.com,66
1553160233.181086,192.168.137.186,157.240.3.29,benign,lookaside.facebook.com,252
