timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553162976.516495,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,159
1553162976.518066,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,930
1553162976.522941,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,74
1553162976.525082,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.525082,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,583
1553162976.531941,13.32.252.108,192.168.137.186,ad,api-gdpr.voodoo-tech.io,324
1553162976.531992,13.32.252.108,192.168.137.186,ad,api-gdpr.voodoo-tech.io,135
1553162976.534168,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,66
1553162976.534168,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,104
1553162976.541257,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,66
1553162976.546552,13.32.252.108,192.168.137.186,ad,api-gdpr.voodoo-tech.io,104
1553162976.564405,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,66
1553162976.567024,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,1514
1553162976.567109,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,1514
1553162976.567154,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,1514
1553162976.567191,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,1514
1553162976.567224,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,1514
1553162976.567291,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,244
1553162976.568015,13.32.252.108,192.168.137.186,ad,api-gdpr.voodoo-tech.io,66
1553162976.569087,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.569087,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.569088,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.569088,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.569089,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.569089,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.572835,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,192
1553162976.583427,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,159
1553162976.585052,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,931
1553162976.588173,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,66
1553162976.605469,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,284
1553162976.605589,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,324
1553162976.605639,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,135
1553162976.606544,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,280
1553162976.607049,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,284
1553162976.608219,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,280
1553162976.608494,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,280
1553162976.608768,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,281
1553162976.609422,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,281
1553162976.609576,192.168.137.186,13.32.252.249,ad,account.fcacanada.ca,66
1553162976.609695,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,280
1553162976.61012,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,282
1553162976.610844,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,281
1553162976.612248,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,284
1553162976.612378,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,280
1553162976.612399,192.168.137.186,13.32.252.249,ad,account.fcacanada.ca,66
1553162976.613014,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,281
1553162976.613295,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,104
1553162976.62028,192.168.137.186,13.32.252.249,ad,account.fcacanada.ca,66
1553162976.626253,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.62877,13.32.252.249,192.168.137.186,ad,account.fcacanada.ca,280
1553162976.629788,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,104
1553162976.643443,23.36.177.4,192.168.137.186,benign,www.ssacdn.com.edgekey.net,745
1553162976.645438,192.168.137.186,23.36.177.4,benign,www.ssacdn.com.edgekey.net,66
1553162976.656122,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,66
1553162976.668203,192.168.137.186,13.32.252.249,ad,account.fcacanada.ca,66
1553162976.708217,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,66
1553162976.8634,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,1514
1553162976.86365,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,1114
1553162976.863746,13.32.252.5,192.168.137.186,ad,cmp.vidcoin.com,104
1553162976.865951,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162976.869518,13.32.252.108,192.168.137.186,ad,api-gdpr.voodoo-tech.io,1514
1553162976.869837,13.32.252.108,192.168.137.186,ad,api-gdpr.voodoo-tech.io,1514
1553162976.86996,13.32.252.108,192.168.137.186,ad,api-gdpr.voodoo-tech.io,193
1553162976.870047,13.32.252.108,192.168.137.186,ad,api-gdpr.voodoo-tech.io,104
1553162976.874554,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,66
1553162976.874556,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,66
1553162976.874556,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,66
1553162976.874557,192.168.137.186,13.32.252.108,ad,api-gdpr.voodoo-tech.io,66
1553162976.907753,192.168.137.186,13.32.252.5,ad,cmp.vidcoin.com,66
1553162977.012124,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,320
1553162977.02914,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.029427,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.029576,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.029672,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.029928,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.030077,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.030216,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.030312,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.030377,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.03056,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.030633,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.0307,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,551
1553162977.030765,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.030842,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.030903,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.030972,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.031044,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.031105,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.031182,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.031305,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.03138,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.031441,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.03158,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1511
1553162977.031716,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.031844,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.031905,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.03196,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032015,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032072,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032419,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1483
1553162977.032446,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,66
1553162977.032447,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,66
1553162977.032448,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,66
1553162977.032449,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,66
1553162977.032449,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,66
1553162977.03245,192.168.137.186,24.244.3.27,"ad,tracking",supersonicads-a.akamaihd.net,66
1553162977.0325,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.03256,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032642,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032703,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032759,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032814,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032868,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1043
1553162977.032923,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.032978,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.033082,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.033148,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.033205,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.033264,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.033322,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.03338,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.03354,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.033609,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.033668,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,1514
1553162977.033731,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,551
1553162977.033794,24.244.3.27,192.168.137.186,"ad,tracking",supersonicads-a.akamaihd.net,107
