timestamp,src ip,dst ip,service,domain,frame size
1553165747.682455,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,772
1553165751.260607,192.168.137.186,23.36.178.55,ad,pdn.applovin.com,247
1553165751.466291,192.168.137.186,23.36.178.55,ad,assets.applovin.com,254
1553165751.823579,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,478
1553165751.823582,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,478
1553165751.825056,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,472
1553165751.826684,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,462
1553165751.829851,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,462
1553165751.830864,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,456
1553165751.893302,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,609
1553165752.177351,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,488
1553165752.177352,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,488
1553165752.177352,192.168.137.186,13.32.252.234,benign,cdn.liftoff.io,488
1553165752.386018,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,753
1553165752.441956,192.168.137.186,23.59.158.55,ad,prod-a.applovin.com,1514
1553165755.747994,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,771
1553165756.324547,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,772
1553165756.492464,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,771
1553165757.288271,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,771
1553165758.357876,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,772
1553165758.902518,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,771
1553165771.624755,192.168.137.186,52.34.30.188,ad,cdn.adrta.com,493
1553165771.833752,192.168.137.186,54.214.1.104,benign,ipv6.adrta.com,473
1553165771.836485,192.168.137.186,34.216.121.227,"ad,tracking",adrta.com,1514
1553165772.033675,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165772.14126,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165782.005944,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165788.265123,192.168.137.186,34.216.121.227,"ad,tracking",adrta.com,1514
1553165789.912261,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165790.11486,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165790.316575,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165790.655989,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165791.09331,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165792.13876,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165792.239367,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165792.482861,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165792.594609,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165793.497615,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165794.486381,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165796.676368,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165796.909605,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165797.366983,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165797.573355,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165798.004694,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165798.426515,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165798.73514,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165798.964558,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
1553165799.679956,192.168.137.186,192.48.236.12,"ad,tracking",ads.mopub.com,495
