timestamp,src ip,dst ip,service,domain,frame size
1553167607.438616,192.168.137.186,13.32.252.101,benign,adserver.vidcoin.com,481
1553167608.693242,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,769
1553167608.693246,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,769
1553167608.938954,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,769
1553167609.788556,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,769
1553167612.050993,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167612.514659,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167613.767781,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167614.871654,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167616.418616,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167618.071229,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167619.163,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167619.541379,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167620.201415,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167621.005412,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553167632.174847,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167632.277457,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167639.969479,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167648.583566,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167648.760348,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167648.959063,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167649.300369,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167649.750803,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167650.746874,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167650.854304,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167651.176974,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167651.278392,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167652.263592,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167653.177424,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167655.464574,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167655.626853,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167656.086579,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167656.297749,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167656.734305,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167657.1585,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167657.474253,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167657.713417,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167658.348933,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167660.470449,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167662.341266,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167662.480705,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167663.375597,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167665.953876,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167666.057418,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167684.190827,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167684.304591,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167701.875186,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167701.982494,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167774.444949,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167774.551041,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167831.575418,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167831.683648,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167836.22979,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167836.394751,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167836.966684,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167837.452363,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167838.418599,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167839.44761,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167840.286439,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167840.92718,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167841.209889,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167841.340166,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167841.530981,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167841.706958,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167842.178204,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167871.849268,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167872.81581,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167873.325795,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167874.853113,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167875.374533,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167875.653838,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167876.295521,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167876.807768,192.168.137.186,13.32.252.14,benign,cmp.vidcoin.com,768
1553167892.466304,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167892.569365,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167910.204184,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553167910.319427,192.168.137.186,192.48.236.10,"ad,tracking",ads.mopub.com,492
1553168030.009138,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168030.162515,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168030.642293,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168031.157943,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168031.741234,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168032.702293,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168033.198597,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168033.855305,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168034.648588,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168035.140345,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168035.249922,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168035.423539,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168036.071745,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168037.377832,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168039.577477,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168065.668629,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168066.606142,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168067.221591,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168068.193937,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168068.903254,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168069.266798,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168069.997491,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168071.823801,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168072.428231,192.168.137.186,13.32.252.46,benign,cmp.vidcoin.com,768
1553168073.727218,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,768
1553168075.826213,192.168.137.186,13.32.252.5,benign,cmp.vidcoin.com,768
1553168122.773078,192.168.137.186,23.36.178.55,ad,assets.applovin.com,254
1553168123.058192,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,475
1553168123.059758,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,475
1553168123.081405,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,469
1553168123.109421,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,459
1553168123.109422,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,459
1553168123.127701,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,453
1553168123.175792,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,606
1553168123.321718,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,485
1553168123.324634,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,485
1553168123.327174,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,485
1553168123.46228,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,748
1553168123.510474,192.168.137.186,23.59.158.55,ad,prod-a.applovin.com,1514
1553168142.584487,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,606
1553168142.661079,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,460
1553168142.753788,192.168.137.186,13.32.252.232,benign,cdn.liftoff.io,486
1553168142.87829,192.168.137.186,23.59.158.55,ad,prod-a.applovin.com,1514
1553168142.878295,192.168.137.186,18.233.123.55,benign,impression-east.liftoff.io,747
1553168166.118527,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168166.461595,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168166.95707,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168167.591311,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168168.348326,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168169.165338,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168170.128047,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168170.426271,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168171.164189,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168171.926384,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168173.109165,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168174.087247,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168175.326724,192.168.137.186,13.32.252.11,benign,cmp.vidcoin.com,768
1553168356.841862,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553168356.96356,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553168374.806639,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553168374.922004,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553168393.79912,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553168393.904851,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553168411.988202,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
1553168412.091103,192.168.137.186,192.48.236.11,"ad,tracking",ads.mopub.com,492
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553167606.368195,192.168.137.186,13.32.252.191,benign,www.bitmoji.com,66
1553167606.368195,192.168.137.186,13.32.252.191,benign,www.bitmoji.com,66
1553167606.368199,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368233,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.3683,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.36835,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368649,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368676,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368709,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368726,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368762,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368783,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368799,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368859,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368902,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.368971,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369014,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369069,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369124,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369144,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369178,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369213,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369248,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369301,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369349,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369402,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369468,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369488,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369536,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369569,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.36962,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369663,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369715,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369767,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369782,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.3698,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369835,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
1553167606.369869,13.32.252.191,192.168.137.186,benign,www.bitmoji.com,1514
