timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553834186.323592,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,1392
1553834186.338912,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,1392
1553834186.339795,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,1392
1553834186.350524,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,70
1553834186.363377,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,72
1553834186.412228,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,74
1553834186.423342,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,74
1553834186.424977,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,66
1553834186.430612,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,583
1553834186.44363,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,66
1553834186.445573,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,1514
1553834186.44567,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,1514
1553834186.445707,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,155
1553834186.447181,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,66
1553834186.447365,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,66
1553834186.447689,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,66
1553834186.462514,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,1392
1553834186.468791,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,159
1553834186.474323,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,1392
1553834186.474384,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,73
1553834186.477513,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,66
1553834186.47767,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,296
1553834186.477742,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,135
1553834186.478736,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,81
1553834186.480988,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,70
1553834186.488937,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,66
1553834186.489406,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,197
1553834186.491385,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,62
1553834186.501155,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,101
1553834186.526781,24.244.4.52,192.168.137.46,telemetry,ytimg-edge-static.l.google.com,62
1553834186.569426,192.168.137.46,24.244.4.52,telemetry,ytimg-edge-static.l.google.com,70
1553834197.757412,54.225.193.189,192.168.137.46,benign,54.225.193.189,97
1553834197.908334,192.168.137.46,54.225.193.189,benign,54.225.193.189,66
1553834198.751622,23.21.45.2,192.168.137.46,"ad,tracking",e.crashlytics.com,97
1553834198.757089,192.168.137.46,23.21.45.2,"ad,tracking",e.crashlytics.com,66
1553834202.764277,54.225.193.189,192.168.137.46,benign,54.225.193.189,66
1553834203.173252,192.168.137.46,54.225.193.189,benign,54.225.193.189,66
1553834203.220462,54.225.193.189,192.168.137.46,benign,54.225.193.189,66
1553834203.221963,192.168.137.46,54.225.193.189,benign,54.225.193.189,78
1553834203.757393,23.21.45.2,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834204.21452,23.21.45.2,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834204.259301,192.168.137.46,23.21.45.2,"ad,tracking",e.crashlytics.com,78
1553834228.092147,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,74
1553834228.160444,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,66
1553834228.161486,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,54
1553834228.164384,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,240
1553834228.227768,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,54
1553834228.234571,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,1434
1553834228.234633,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,1434
1553834228.234693,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,1390
1553834228.234715,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,115
1553834228.235884,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,54
1553834228.236608,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,54
1553834228.23689,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,54
1553834228.237171,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,54
1553834228.251298,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,180
1553834228.311412,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,328
1553834228.374483,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,289
1553834228.446052,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,508
1553834228.486676,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,54
1553834232.230999,192.168.137.46,23.21.45.2,"ad,tracking",e.crashlytics.com,97
1553834232.240407,192.168.137.46,23.21.45.2,"ad,tracking",e.crashlytics.com,66
1553834232.248696,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,74
1553834232.3163,23.21.45.2,192.168.137.46,"ad,tracking",e.crashlytics.com,54
1553834232.325208,23.21.45.2,192.168.137.46,"ad,tracking",e.crashlytics.com,54
1553834232.33549,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,74
1553834232.33735,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834232.338423,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,281
1553834232.427532,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834232.42946,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,1514
1553834232.429587,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,1514
1553834232.429642,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,1266
1553834232.429684,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,1514
1553834232.429731,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,391
1553834232.430712,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834232.432008,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834232.432199,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834232.432435,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834232.432757,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834232.443635,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,192
1553834232.527171,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,117
1553834232.530684,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834232.532575,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,262
1553834232.619469,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834232.620569,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834232.66014,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834233.450585,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,54
1553834233.729454,205.189.10.86,192.168.137.46,benign,app.weather.gc.ca,54
1553834233.754244,192.168.137.46,205.189.10.86,benign,app.weather.gc.ca,66
1553834234.428388,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834234.436359,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,197
1553834234.521939,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834234.52366,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834234.525462,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834234.567824,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834234.569858,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,202
1553834234.656296,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834234.658335,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834234.659377,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834234.701134,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834234.701865,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,202
1553834234.78967,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834234.790785,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834234.792189,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834234.837535,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834234.83803,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,200
1553834234.925839,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834234.927405,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834234.928586,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834234.972589,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834234.973145,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,216
1553834235.057128,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834235.058843,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834235.060018,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834236.023276,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834236.023965,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,196
1553834236.114363,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834236.115148,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834236.11624,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834236.158067,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834236.15857,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,199
1553834236.248353,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834236.248438,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834236.249701,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834237.131185,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834237.149446,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,200
1553834237.23264,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
1553834237.234465,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,194
1553834237.235508,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,66
1553834237.278088,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,1514
1553834237.279522,192.168.137.46,50.17.248.225,"ad,tracking",e.crashlytics.com,201
1553834237.366205,50.17.248.225,192.168.137.46,"ad,tracking",e.crashlytics.com,66
