timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553835076.455568,52.119.164.214,192.168.137.46,benign,52.119.164.214,54
1553835076.496584,192.168.137.46,52.119.164.214,benign,52.119.164.214,54
1553835085.010618,192.168.137.46,52.84.19.28,benign,52.84.19.28,326
1553835085.011338,192.168.137.46,52.3.44.12,benign,52.3.44.12,433
1553835085.012175,192.168.137.46,52.84.19.28,benign,52.84.19.28,112
1553835085.01249,192.168.137.46,52.3.44.12,benign,52.3.44.12,112
1553835085.041311,52.84.19.28,192.168.137.46,benign,52.84.19.28,66
1553835085.046208,52.84.19.28,192.168.137.46,benign,52.84.19.28,66
1553835085.046285,52.84.19.28,192.168.137.46,benign,52.84.19.28,112
1553835085.048353,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835085.099411,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835085.099684,52.3.44.12,192.168.137.46,benign,52.3.44.12,112
1553835085.104161,52.3.44.12,192.168.137.46,benign,52.3.44.12,235
1553835085.104238,52.3.44.12,192.168.137.46,benign,52.3.44.12,104
1553835085.116459,52.84.19.28,192.168.137.46,benign,52.84.19.28,610
1553835085.145038,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835085.145171,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835085.145649,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835085.149092,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835087.618718,192.168.137.46,52.3.44.12,benign,52.3.44.12,148
1553835087.619309,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835087.619795,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835087.62013,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835087.62059,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835087.620857,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835087.621274,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835087.621657,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835087.621962,192.168.137.46,52.3.44.12,benign,52.3.44.12,609
1553835087.709682,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835087.710655,52.3.44.12,192.168.137.46,benign,52.3.44.12,108
1553835087.711498,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835087.711511,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835087.711576,52.3.44.12,192.168.137.46,benign,52.3.44.12,108
1553835087.711594,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835087.712832,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835087.713276,52.3.44.12,192.168.137.46,benign,52.3.44.12,260
1553835087.714173,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835088.534762,192.168.137.46,52.3.44.12,benign,52.3.44.12,146
1553835088.539947,192.168.137.46,52.3.44.12,benign,52.3.44.12,505
1553835088.620795,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835088.622767,52.3.44.12,192.168.137.46,benign,52.3.44.12,260
1553835088.623883,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835089.435494,192.168.137.46,52.84.19.28,benign,52.84.19.28,819
1553835089.499123,52.84.19.28,192.168.137.46,benign,52.84.19.28,66
1553835089.57903,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.579107,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.579136,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.579159,52.84.19.28,192.168.137.46,benign,52.84.19.28,268
1553835089.580283,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.580454,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.581727,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.582451,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.639029,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.63913,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.639309,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.63945,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.639689,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.639762,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.640045,52.84.19.28,192.168.137.46,benign,52.84.19.28,1059
1553835089.640232,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.640323,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.640716,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.64101,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.641452,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.641652,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.641743,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.64198,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.642766,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.643029,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.643055,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.643352,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.643368,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.643664,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.644199,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.644488,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.644597,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.644922,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.645177,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.645986,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.645998,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.646321,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.647309,52.84.19.28,192.168.137.46,benign,52.84.19.28,1514
1553835089.647325,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.64759,52.84.19.28,192.168.137.46,benign,52.84.19.28,1269
1553835089.648844,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.649788,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.650128,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.650417,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.651102,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.65186,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835089.972009,192.168.137.46,52.84.19.28,benign,52.84.19.28,1381
1553835089.972355,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835089.972848,192.168.137.46,52.3.44.12,benign,52.3.44.12,102
1553835089.999678,52.84.19.28,192.168.137.46,benign,52.84.19.28,66
1553835090.022384,192.168.137.46,52.84.19.28,benign,52.84.19.28,355
1553835090.027853,192.168.137.46,52.3.44.12,benign,52.3.44.12,467
1553835090.044593,192.168.137.46,52.84.19.28,benign,52.84.19.28,184
1553835090.049679,52.84.19.28,192.168.137.46,benign,52.84.19.28,66
1553835090.060212,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835090.065086,52.3.44.12,192.168.137.46,benign,52.3.44.12,235
1553835090.065191,52.3.44.12,192.168.137.46,benign,52.3.44.12,104
1553835090.066221,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835090.068127,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835090.070985,52.84.19.28,192.168.137.46,benign,52.84.19.28,66
1553835090.078917,52.84.19.28,192.168.137.46,benign,52.84.19.28,610
1553835090.080016,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835090.114209,52.3.44.12,192.168.137.46,benign,52.3.44.12,234
1553835090.114305,52.3.44.12,192.168.137.46,benign,52.3.44.12,104
1553835090.115223,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835090.116611,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835090.119182,192.168.137.46,52.84.19.28,benign,52.84.19.28,428
1553835090.119411,192.168.137.46,52.3.44.12,benign,52.3.44.12,399
1553835090.12574,52.84.19.28,192.168.137.46,benign,52.84.19.28,608
1553835090.12704,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835090.153412,52.84.19.28,192.168.137.46,benign,52.84.19.28,609
1553835090.154503,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835090.206368,52.3.44.12,192.168.137.46,benign,52.3.44.12,235
1553835090.206444,52.3.44.12,192.168.137.46,benign,52.3.44.12,104
1553835090.207867,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835090.222642,52.84.19.28,192.168.137.46,benign,52.84.19.28,609
1553835090.223586,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835091.099974,192.168.137.46,52.84.19.28,benign,52.84.19.28,159
1553835091.113201,192.168.137.46,52.3.44.12,benign,52.3.44.12,148
1553835091.115177,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835091.11618,192.168.137.46,52.3.44.12,benign,52.3.44.12,316
1553835091.157582,52.84.19.28,192.168.137.46,benign,52.84.19.28,66
1553835091.200551,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835091.20148,52.3.44.12,192.168.137.46,benign,52.3.44.12,260
1553835091.202316,52.84.19.28,192.168.137.46,benign,52.84.19.28,607
1553835091.203989,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835091.243422,192.168.137.46,52.3.44.12,benign,52.3.44.12,66
1553835091.70597,192.168.137.46,52.84.19.28,benign,52.84.19.28,159
1553835091.733171,52.84.19.28,192.168.137.46,benign,52.84.19.28,66
1553835091.815409,52.84.19.28,192.168.137.46,benign,52.84.19.28,609
1553835091.816584,192.168.137.46,52.84.19.28,benign,52.84.19.28,66
1553835093.489365,192.168.137.46,52.3.44.12,benign,52.3.44.12,149
1553835093.49003,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.490974,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.491998,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.493768,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.49411,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.494646,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.494985,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.495396,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.495849,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.579506,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835093.580559,52.3.44.12,192.168.137.46,benign,52.3.44.12,108
1553835093.581338,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835093.581394,52.3.44.12,192.168.137.46,benign,52.3.44.12,108
1553835093.581446,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835093.581496,52.3.44.12,192.168.137.46,benign,52.3.44.12,108
1553835093.582431,52.3.44.12,192.168.137.46,benign,52.3.44.12,66
1553835093.582478,52.3.44.12,192.168.137.46,benign,52.3.44.12,108
1553835093.582731,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.58329,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
1553835093.583951,192.168.137.46,52.3.44.12,benign,52.3.44.12,1514
