timestamp,src ip,dst ip,service,domain,frame size
1553841588.223262,192.168.137.46,157.240.3.20,benign,portal.fb.com,225
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553841588.185873,192.168.137.46,157.240.3.20,"ad,tracking",graph.accountkit.com,74
1553841588.219915,157.240.3.20,192.168.137.46,"ad,tracking",graph.accountkit.com,74
1553841588.222046,192.168.137.46,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553841588.258818,157.240.3.20,192.168.137.46,"ad,tracking",graph.accountkit.com,66
1553841588.259542,157.240.3.20,192.168.137.46,"ad,tracking",graph.accountkit.com,222
1553841588.260979,192.168.137.46,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1553841595.378977,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,74
1553841595.413938,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,74
1553841595.415128,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553841595.415603,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,287
1553841595.453094,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,66
1553841595.453854,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,1464
1553841595.453922,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,1464
1553841595.453955,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,410
1553841595.454974,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553841595.456531,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553841595.457417,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553841595.464078,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,130
1553841595.464728,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,536
1553841595.495179,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,66
1553841595.495272,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,237
1553841595.495304,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,140
1553841595.495358,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,110
1553841595.49715,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553841595.497427,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,97
1553841595.511488,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,936
1553841595.551957,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553841595.572806,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,66
1553841597.320063,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,74
1553841597.35239,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,74
1553841597.363563,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553841597.364061,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,283
1553841597.401624,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553841597.402247,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553841597.403494,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553841597.403506,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553841597.403571,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,409
1553841597.404699,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553841597.404845,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553841597.410497,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,130
1553841597.416178,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,937
1553841597.440718,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,237
1553841597.440794,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,140
1553841597.441827,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553841597.442224,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,97
