timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553842511.414345,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,74
1553842511.446591,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,74
1553842511.447938,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.448619,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,583
1553842511.486802,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553842511.487374,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.48873,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.48894,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,411
1553842511.489596,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.492355,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.492797,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.507289,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,130
1553842511.508031,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,152
1553842511.508952,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,662
1553842511.542463,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553842511.54258,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,229
1553842511.542626,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,140
1553842511.542664,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,110
1553842511.544548,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.546647,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,97
1553842511.599565,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.599639,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,642
1553842511.601042,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.609784,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,938
1553842511.639847,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,101
1553842511.677926,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.846359,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,497
1553842511.846491,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.846589,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.846813,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.846905,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.847111,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.847174,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.847373,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.847655,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.847933,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1296
1553842511.848044,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.850407,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.851661,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.851936,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.852216,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.852509,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.85374,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.854009,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.854295,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.854586,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.878094,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.878243,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.87832,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.87837,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.878423,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.878604,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.878687,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.878762,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.878977,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.879045,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.880982,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.881162,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.881886,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.882162,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.882815,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.882825,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.882927,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.883092,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.88328,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.883335,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.884041,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.884748,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.885036,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553842511.88506,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,181
1553842511.886073,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.887208,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.888379,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.88951,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.890671,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.89135,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.891628,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.891871,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.894814,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,74
1553842511.895475,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,74
1553842511.908448,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,74
1553842511.915048,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,220
1553842511.919467,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,74
1553842511.921133,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,66
1553842511.922823,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,583
1553842511.927308,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,74
1553842511.92827,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.928773,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,583
1553842511.931791,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,74
1553842511.932712,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.933894,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,583
1553842511.937377,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,66
1553842511.938283,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,1464
1553842511.93925,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,1464
1553842511.939285,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,405
1553842511.939365,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,66
1553842511.940383,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,66
1553842511.940664,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,66
1553842511.944951,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,101
1553842511.949145,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,130
1553842511.949693,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,152
1553842511.950183,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,477
1553842511.958232,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,238
1553842511.958294,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,140
1553842511.959598,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,66
1553842511.959889,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,97
1553842511.960638,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,66
1553842511.961446,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,1464
1553842511.961534,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,1464
1553842511.961555,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,410
1553842511.962635,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.962793,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.962998,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,66
1553842511.963071,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,110
1553842511.96316,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.96845,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,66
1553842511.969259,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,1464
1553842511.969292,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,1464
1553842511.96933,157.240.3.29,192.168.137.46,benign,lookaside.facebook.com,410
1553842511.970338,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.970612,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.970908,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.975059,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,130
1553842511.975799,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,130
1553842511.976521,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,66
1553842511.976833,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,152
1553842511.977363,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,473
1553842511.979941,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,1464
1553842511.980038,24.244.45.17,192.168.137.46,benign,scontent.fyyc3-1.fna.fbcdn.net,654
1553842511.981071,192.168.137.46,24.244.45.17,benign,scontent.fyyc3-1.fna.fbcdn.net,66
1553842511.98453,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553842511.993313,192.168.137.46,157.240.3.29,benign,lookaside.facebook.com,152
1553842511.999559,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,291
