timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553845282.416791,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,74
1553845282.450903,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,74
1553845282.452193,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.452811,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,233
1553845282.467034,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,74
1553845282.472411,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,74
1553845282.489763,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845282.492874,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.492974,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.493013,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,568
1553845282.494164,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.49435,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.494644,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.500854,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,74
1553845282.502519,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.504732,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,74
1553845282.505786,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.508003,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,192
1553845282.50892,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,233
1553845282.509682,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,233
1553845282.538998,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,324
1553845282.541499,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1159
1553845282.545885,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845282.546256,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845282.546911,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.547715,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.547801,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,568
1553845282.547859,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.547864,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.547889,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.547909,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,568
1553845282.549064,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.549329,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.549599,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.549879,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.550159,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.556949,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,192
1553845282.564649,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,192
1553845282.587238,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,324
1553845282.590187,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1379
1553845282.595015,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,324
1553845282.597032,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845282.597713,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845282.598015,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845282.598316,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,533
1553845282.611882,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845282.634694,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845282.653325,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.653419,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,746
1553845282.655347,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.66162,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845282.674153,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845282.690484,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.690561,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1021
1553845282.692246,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.712513,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.712836,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845282.71293,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,622
1553845282.714679,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845282.754243,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845283.497714,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,74
1553845283.526948,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,74
1553845283.528907,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553845283.529436,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,583
1553845283.565134,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553845283.565936,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553845283.566173,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553845283.566283,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,411
1553845283.567246,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553845283.56741,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553845283.567719,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553845283.593613,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,130
1553845283.594131,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,152
1553845283.595072,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,538
1553845283.621842,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,229
1553845283.621903,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,140
1553845283.623947,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553845283.6246,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,97
1553845283.625354,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553845283.625503,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,110
1553845283.647341,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,101
1553845283.673932,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553845283.690184,192.168.137.46,216.58.193.66,"ad,tracking",pagead.l.doubleclick.net,66
1553845283.714095,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1379
1553845283.732322,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845283.732503,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845283.732934,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845283.733105,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,533
1553845283.744273,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845283.764157,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845283.770019,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845283.81428,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845283.814471,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1021
1553845283.815468,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845283.815739,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845283.849272,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845283.849663,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845283.849709,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,617
1553845283.850854,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845283.891058,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845291.029433,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1379
1553845291.030175,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845291.036342,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845291.036686,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845291.037175,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1159
1553845291.03856,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,74
1553845291.039031,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,74
1553845291.039344,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,533
1553845291.042747,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553845291.064275,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845291.069423,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845291.0733,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,74
1553845291.074187,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845291.074647,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845291.075061,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553845291.075414,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,66
1553845291.076039,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,74
1553845291.127202,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845291.127506,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553845291.127776,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845291.128075,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,457
1553845291.128365,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,457
1553845291.13323,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845291.133297,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1021
1553845291.13446,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845291.135124,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
1553845291.13593,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845291.136209,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845291.136563,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,1464
1553845291.136853,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,533
1553845291.151339,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845291.151491,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,1464
1553845291.151736,157.240.3.63,192.168.137.46,"ad,tracking",graph.instagram.com,621
1553845291.152675,192.168.137.46,157.240.3.63,"ad,tracking",graph.instagram.com,66
