timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553846200.463973,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,66
1553846200.464768,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,1514
1553846200.464844,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,1514
1553846200.464878,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,1514
1553846200.464903,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,266
1553846200.465989,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,66
1553846200.466249,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,66
1553846200.466525,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,66
1553846200.46682,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,66
1553846200.477018,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,192
1553846200.482755,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,1514
1553846200.560435,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,340
1553846200.562541,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,700
1553846200.606897,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,66
1553846200.64602,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,66
1553846200.648616,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,502
1553846200.648693,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,100
1553846200.652123,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,66
1553846200.652856,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,97
1553846200.653494,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,66
1553846200.679101,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,97
1553846200.679535,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,66
1553846200.680534,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,54
1553846218.280936,192.168.137.46,35.173.170.219,ad,api.apptentive.com,74
1553846218.365124,35.173.170.219,192.168.137.46,ad,api.apptentive.com,74
1553846218.366253,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846218.367409,192.168.137.46,35.173.170.219,ad,api.apptentive.com,583
1553846218.45614,35.173.170.219,192.168.137.46,ad,api.apptentive.com,66
1553846218.459164,35.173.170.219,192.168.137.46,ad,api.apptentive.com,1514
1553846218.459251,35.173.170.219,192.168.137.46,ad,api.apptentive.com,1514
1553846218.459283,35.173.170.219,192.168.137.46,ad,api.apptentive.com,1509
1553846218.460225,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846218.460796,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846218.460957,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846218.469804,192.168.137.46,35.173.170.219,ad,api.apptentive.com,192
1553846218.55304,35.173.170.219,192.168.137.46,ad,api.apptentive.com,324
1553846218.554147,192.168.137.46,35.173.170.219,ad,api.apptentive.com,981
1553846218.661245,35.173.170.219,192.168.137.46,ad,api.apptentive.com,715
1553846218.664314,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,97
1553846218.666259,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,66
1553846218.688368,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,97
1553846218.68857,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,66
1553846218.689605,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,54
1553846218.689769,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,54
1553846218.693043,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,66
1553846218.694039,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,54
1553846218.700644,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846220.363226,192.168.137.46,35.173.170.219,ad,api.apptentive.com,981
1553846220.480502,35.173.170.219,192.168.137.46,ad,api.apptentive.com,715
1553846220.48191,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846227.523752,192.168.137.46,172.217.14.197,benign,inbox.google.com,294
1553846227.557852,172.217.14.197,192.168.137.46,benign,inbox.google.com,78
1553846227.568565,192.168.137.46,172.217.14.197,benign,inbox.google.com,294
1553846227.580946,192.168.137.46,172.217.14.197,benign,inbox.google.com,1434
1553846227.600904,172.217.14.197,192.168.137.46,benign,inbox.google.com,86
1553846227.611259,172.217.14.197,192.168.137.46,benign,inbox.google.com,66
1553846227.700075,172.217.14.197,192.168.137.46,benign,inbox.google.com,359
1553846227.703106,172.217.14.197,192.168.137.46,benign,inbox.google.com,236
1553846227.703193,172.217.14.197,192.168.137.46,benign,inbox.google.com,241
1553846227.703246,172.217.14.197,192.168.137.46,benign,inbox.google.com,112
1553846227.704692,192.168.137.46,172.217.14.197,benign,inbox.google.com,66
1553846227.705487,192.168.137.46,172.217.14.197,benign,inbox.google.com,66
1553846227.706373,192.168.137.46,172.217.14.197,benign,inbox.google.com,112
1553846227.74118,172.217.14.197,192.168.137.46,benign,inbox.google.com,66
1553846230.650408,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,97
1553846230.650617,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,66
1553846230.832047,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,66
1553846230.884329,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,97
1553846230.88481,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,66
1553846231.148069,54.87.68.200,192.168.137.46,ad,nativesdks.mparticle.com,97
1553846231.160907,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,78
1553846231.161018,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,97
1553846231.162101,192.168.137.46,23.59.154.129,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,66
1553846231.1629,192.168.137.46,54.87.68.200,ad,nativesdks.mparticle.com,78
1553846231.16305,192.168.137.46,23.59.154.129,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,112
1553846231.163725,192.168.137.46,23.59.154.129,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,97
1553846231.163884,192.168.137.46,23.59.154.129,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,78
1553846231.189126,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,54
1553846231.190042,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,54
1553846231.190144,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,54
1553846231.322388,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,97
1553846231.322742,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,66
1553846231.324488,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,66
1553846231.32578,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,112
1553846231.327098,192.168.137.46,23.36.178.83,benign,direct-san.mcdonalds.com.edgekey.net,97
1553846231.353258,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,54
1553846231.353968,23.36.178.83,192.168.137.46,benign,direct-san.mcdonalds.com.edgekey.net,54
1553846231.71945,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,97
1553846231.720191,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,66
1553846231.977157,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,97
1553846232.006345,192.168.137.46,23.59.154.129,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,66
1553846232.00661,192.168.137.46,23.59.154.129,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,78
1553846232.007478,192.168.137.46,23.59.154.129,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,112
1553846232.008834,192.168.137.46,23.59.154.129,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,97
1553846232.034279,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,54
1553846232.034714,23.59.154.129,192.168.137.46,benign,na-passiveloc-prod.api.mcd.com.edgekey.net,54
1553846233.018664,69.192.82.206,192.168.137.46,benign,e10723.dscx.akamaiedge.net,97
1553846233.018903,69.192.82.206,192.168.137.46,benign,e10723.dscx.akamaiedge.net,66
1553846233.292671,69.192.82.206,192.168.137.46,benign,e10723.dscx.akamaiedge.net,97
1553846233.315647,192.168.137.46,69.192.82.206,benign,e10723.dscx.akamaiedge.net,66
1553846233.315887,192.168.137.46,69.192.82.206,benign,e10723.dscx.akamaiedge.net,78
1553846233.316615,192.168.137.46,69.192.82.206,benign,e10723.dscx.akamaiedge.net,112
1553846233.317318,192.168.137.46,69.192.82.206,benign,e10723.dscx.akamaiedge.net,97
1553846233.345673,69.192.82.206,192.168.137.46,benign,e10723.dscx.akamaiedge.net,54
1553846233.345843,69.192.82.206,192.168.137.46,benign,e10723.dscx.akamaiedge.net,54
1553846233.705263,192.168.137.46,35.173.170.219,ad,api.apptentive.com,980
1553846233.832826,35.173.170.219,192.168.137.46,ad,api.apptentive.com,66
1553846233.891708,35.173.170.219,192.168.137.46,ad,api.apptentive.com,715
1553846233.892826,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846234.641145,192.168.137.46,35.173.170.219,ad,api.apptentive.com,980
1553846234.763931,35.173.170.219,192.168.137.46,ad,api.apptentive.com,715
1553846234.765135,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846235.280661,192.168.137.46,35.173.170.219,ad,api.apptentive.com,981
1553846235.36271,35.173.170.219,192.168.137.46,ad,api.apptentive.com,66
1553846235.387776,35.173.170.219,192.168.137.46,ad,api.apptentive.com,715
1553846235.388944,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846239.171049,192.168.137.46,35.173.170.219,ad,api.apptentive.com,980
1553846239.279851,35.173.170.219,192.168.137.46,ad,api.apptentive.com,715
1553846239.28098,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846239.5506,192.168.137.46,35.173.170.219,ad,api.apptentive.com,981
1553846239.653769,35.173.170.219,192.168.137.46,ad,api.apptentive.com,715
1553846239.655807,192.168.137.46,35.173.170.219,ad,api.apptentive.com,66
1553846250.204266,192.168.137.46,151.101.130.110,benign,151.101.130.110,448
1553846250.206449,192.168.137.46,151.101.130.110,benign,151.101.130.110,1514
1553846250.206637,192.168.137.46,151.101.130.110,benign,151.101.130.110,1514
1553846250.20713,192.168.137.46,151.101.130.110,benign,151.101.130.110,1514
1553846250.207384,192.168.137.46,151.101.130.110,benign,151.101.130.110,1514
1553846250.212615,192.168.137.46,151.101.130.110,benign,151.101.130.110,1514
1553846250.212797,192.168.137.46,151.101.130.110,benign,151.101.130.110,1514
1553846250.213274,192.168.137.46,151.101.130.110,benign,151.101.130.110,1514
1553846250.213457,192.168.137.46,151.101.130.110,benign,151.101.130.110,339
1553846250.237254,151.101.130.110,192.168.137.46,benign,151.101.130.110,66
1553846250.243559,151.101.130.110,192.168.137.46,benign,151.101.130.110,66
1553846250.243639,151.101.130.110,192.168.137.46,benign,151.101.130.110,66
