timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553847133.256961,192.168.137.46,74.125.195.113,benign,74.125.195.113,847
1553847133.301107,74.125.195.113,192.168.137.46,benign,74.125.195.113,380
1553847133.302335,192.168.137.46,74.125.195.113,benign,74.125.195.113,66
1553847138.385051,192.168.137.46,216.58.217.37,benign,inbox.google.com,1434
1553847138.385905,192.168.137.46,216.58.217.37,benign,inbox.google.com,294
1553847138.415326,216.58.217.37,192.168.137.46,benign,inbox.google.com,66
1553847138.419193,216.58.217.37,192.168.137.46,benign,inbox.google.com,66
1553847138.443063,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,74
1553847138.512564,216.58.217.37,192.168.137.46,benign,inbox.google.com,359
1553847138.513491,216.58.217.37,192.168.137.46,benign,inbox.google.com,207
1553847138.51366,216.58.217.37,192.168.137.46,benign,inbox.google.com,227
1553847138.513748,216.58.217.37,192.168.137.46,benign,inbox.google.com,112
1553847138.52038,40.85.218.175,192.168.137.46,"ad,tracking",gate.hockeyapp.net,74
1553847138.525594,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,66
1553847138.529839,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,250
1553847138.536383,192.168.137.46,216.58.217.37,benign,inbox.google.com,66
1553847138.540412,192.168.137.46,216.58.217.37,benign,inbox.google.com,112
1553847138.569737,216.58.217.37,192.168.137.46,benign,inbox.google.com,66
1553847138.60846,40.85.218.175,192.168.137.46,"ad,tracking",gate.hockeyapp.net,1514
1553847138.60953,40.85.218.175,192.168.137.46,"ad,tracking",gate.hockeyapp.net,1514
1553847138.609954,40.85.218.175,192.168.137.46,"ad,tracking",gate.hockeyapp.net,1514
1553847138.610107,40.85.218.175,192.168.137.46,"ad,tracking",gate.hockeyapp.net,1514
1553847138.610335,40.85.218.175,192.168.137.46,"ad,tracking",gate.hockeyapp.net,1205
1553847138.610834,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,66
1553847138.611785,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,66
1553847138.612476,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,66
1553847138.612615,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,66
1553847138.613063,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,66
1553847138.664797,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,216
1553847138.740549,40.85.218.175,192.168.137.46,"ad,tracking",gate.hockeyapp.net,141
1553847138.742605,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,66
1553847138.749798,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,807
1553847138.859394,40.85.218.175,192.168.137.46,"ad,tracking",gate.hockeyapp.net,631
1553847138.867711,192.168.137.46,13.107.5.88,benign,13.107.5.88,85
1553847138.869193,192.168.137.46,13.107.5.88,benign,13.107.5.88,54
1553847138.90139,13.107.5.88,192.168.137.46,benign,13.107.5.88,54
1553847138.902753,192.168.137.46,40.85.218.175,"ad,tracking",gate.hockeyapp.net,66
1553847138.90631,13.107.5.88,192.168.137.46,benign,13.107.5.88,54
1553847138.906563,13.107.5.88,192.168.137.46,benign,13.107.5.88,54
1553847138.909182,192.168.137.46,13.107.5.88,benign,13.107.5.88,54
1553847142.84157,192.168.137.46,20.36.243.0,benign,20.36.243.0,96
1553847142.971093,20.36.243.0,192.168.137.46,benign,20.36.243.0,66
1553847142.973113,192.168.137.46,20.36.243.0,benign,20.36.243.0,212
1553847143.064022,20.36.243.0,192.168.137.46,benign,20.36.243.0,66
1553847143.064121,20.36.243.0,192.168.137.46,benign,20.36.243.0,123
1553847143.065278,192.168.137.46,20.36.243.0,benign,20.36.243.0,66
1553847143.763394,192.168.137.46,34.238.173.60,ad,api.apptentive.com,66
1553847147.176317,192.168.137.46,20.36.243.0,benign,20.36.243.0,97
1553847147.2201,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,74
1553847147.220801,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,74
1553847147.22096,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,74
1553847147.22357,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,74
1553847147.276696,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,74
1553847147.278526,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,74
1553847147.278947,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,74
1553847147.279085,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.279654,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.2801,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,253
1553847147.28024,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,74
1553847147.280394,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,253
1553847147.280824,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.281637,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,253
1553847147.282765,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.283535,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,253
1553847147.313819,20.36.243.0,192.168.137.46,benign,20.36.243.0,66
1553847147.314915,192.168.137.46,20.36.243.0,benign,20.36.243.0,290
1553847147.334992,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.335758,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.336946,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.336951,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.337238,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,967
1553847147.337712,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.337851,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.338174,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.338405,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,967
1553847147.338843,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.33947,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.339605,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.339648,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.339935,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,967
1553847147.340401,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.340415,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.340881,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.340893,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.341123,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,1514
1553847147.341272,23.100.32.100,192.168.137.46,benign,hs-lb52.westus.cloudapp.azure.com,967
1553847147.341904,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.34222,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.342955,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.343264,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.343845,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.344123,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.344774,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.34505,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.345756,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.346005,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.346269,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.346958,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,66
1553847147.359181,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,74
1553847147.397184,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,192
1553847147.399062,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,192
1553847147.404672,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,192
1553847147.40652,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,192
1553847147.415064,20.36.243.0,192.168.137.46,benign,20.36.243.0,126
1553847147.415149,20.36.243.0,192.168.137.46,benign,20.36.243.0,798
1553847147.416705,192.168.137.46,20.36.243.0,benign,20.36.243.0,66
1553847147.417387,192.168.137.46,20.36.243.0,benign,20.36.243.0,66
1553847147.485387,52.125.128.1,192.168.137.46,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,74
1553847147.487416,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,66
1553847147.489136,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,256
1553847147.559977,52.125.128.1,192.168.137.46,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,1514
1553847147.560983,52.125.128.1,192.168.137.46,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,1514
1553847147.561212,52.125.128.1,192.168.137.46,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,1514
1553847147.561403,52.125.128.1,192.168.137.46,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,1041
1553847147.562112,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,66
1553847147.562975,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,66
1553847147.563123,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,66
1553847147.563782,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,66
1553847147.575252,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,192
1553847147.639023,52.125.128.1,192.168.137.46,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,117
1553847147.648048,192.168.137.46,52.125.128.1,benign,prod-autodetect.outlookmobile.com.trafficmanager.net,292
1553847147.655786,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,192
1553847147.662441,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,192
1553847147.662594,192.168.137.46,23.100.32.100,benign,hs-lb52.westus.cloudapp.azure.com,192
