timestamp,src ip,dst ip,service,domain,frame size
1553849008.199398,192.168.137.46,52.40.55.147,ad,px.demdex.net,971
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553849008.248243,52.40.55.147,192.168.137.46,benign,52.40.55.147,870
1553849008.24941,192.168.137.46,52.40.55.147,benign,52.40.55.147,66
1553849009.299468,23.49.141.226,192.168.137.46,benign,23.49.141.226,97
1553849009.299691,23.49.141.226,192.168.137.46,benign,23.49.141.226,66
1553849009.527741,192.168.137.46,23.49.141.226,benign,23.49.141.226,66
1553849009.529015,192.168.137.46,23.49.141.226,benign,23.49.141.226,112
1553849009.530505,192.168.137.46,23.49.141.226,benign,23.49.141.226,97
1553849009.55725,23.49.141.226,192.168.137.46,benign,23.49.141.226,54
1553849009.557498,23.49.141.226,192.168.137.46,benign,23.49.141.226,54
1553849009.779452,172.217.3.168,192.168.137.46,ad,www-googletagmanager.l.google.com,66
1553849010.034212,172.217.3.168,192.168.137.46,ad,www-googletagmanager.l.google.com,66
1553849010.067999,192.168.137.46,172.217.3.168,ad,www-googletagmanager.l.google.com,78
1553849010.369584,23.49.141.226,192.168.137.46,benign,23.49.141.226,97
1553849010.369964,23.49.141.226,192.168.137.46,benign,23.49.141.226,66
1553849010.629427,23.49.141.226,192.168.137.46,benign,23.49.141.226,97
1553849010.683076,192.168.137.46,23.49.141.226,benign,23.49.141.226,78
1553849010.683843,192.168.137.46,23.49.141.226,benign,23.49.141.226,112
1553849010.68486,192.168.137.46,23.49.141.226,benign,23.49.141.226,97
1553849010.712754,23.49.141.226,192.168.137.46,benign,23.49.141.226,54
1553849010.712856,23.49.141.226,192.168.137.46,benign,23.49.141.226,54
1553849011.82186,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,74
1553849011.873765,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,74
1553849011.875571,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,66
1553849011.877254,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,254
1553849011.932956,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,1514
1553849011.933604,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,1514
1553849011.933799,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,1514
1553849011.933941,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,308
1553849011.934064,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,66
1553849011.935282,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,66
1553849011.935451,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,66
1553849011.935799,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,66
1553849011.950483,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,216
1553849012.000703,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,141
1553849012.003983,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,375
1553849012.070215,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,66
1553849012.797296,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,74
1553849012.851688,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,74
1553849012.853635,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,66
1553849012.855151,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,286
1553849012.909023,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,231
1553849012.910936,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,66
1553849012.911759,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,141
1553849012.98472,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,66
1553849012.986831,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,375
1553849013.05441,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,66
1553849013.408786,192.168.137.46,172.217.3.168,ad,www-googletagmanager.l.google.com,97
1553849013.409536,192.168.137.46,172.217.3.168,ad,www-googletagmanager.l.google.com,66
1553849013.434943,192.168.137.46,216.58.193.72,"ad,tracking",ssl.google-analytics.com,74
1553849013.440818,172.217.3.168,192.168.137.46,ad,www-googletagmanager.l.google.com,54
1553849013.445695,172.217.3.168,192.168.137.46,ad,www-googletagmanager.l.google.com,54
1553849013.468995,216.58.193.72,192.168.137.46,"ad,tracking",ssl.google-analytics.com,74
1553849013.470375,192.168.137.46,216.58.193.72,"ad,tracking",ssl.google-analytics.com,66
1553849013.472462,192.168.137.46,216.58.193.72,"ad,tracking",ssl.google-analytics.com,583
1553849013.508035,216.58.193.72,192.168.137.46,"ad,tracking",ssl.google-analytics.com,66
1553849013.508428,216.58.193.72,192.168.137.46,"ad,tracking",ssl.google-analytics.com,228
1553849013.509975,192.168.137.46,216.58.193.72,"ad,tracking",ssl.google-analytics.com,66
1553849013.510749,192.168.137.46,216.58.193.72,"ad,tracking",ssl.google-analytics.com,117
1553849013.585881,216.58.193.72,192.168.137.46,"ad,tracking",ssl.google-analytics.com,66
1553849013.587553,192.168.137.46,216.58.193.72,"ad,tracking",ssl.google-analytics.com,747
1553849013.61752,216.58.193.72,192.168.137.46,"ad,tracking",ssl.google-analytics.com,66
1553849013.625321,216.58.193.72,192.168.137.46,"ad,tracking",ssl.google-analytics.com,487
1553849013.663256,192.168.137.46,216.58.193.72,"ad,tracking",ssl.google-analytics.com,66
1553849014.184883,192.168.137.46,142.46.208.46,benign,pelmsearch-oak.pelmorex.com,74
1553849014.238015,142.46.208.46,192.168.137.46,benign,pelmsearch-oak.pelmorex.com,74
