timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553851943.93302,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,74
1553851943.986665,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,74
1553851944.02872,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.03616,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,255
1553851944.088785,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,66
1553851944.089667,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.090642,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.090822,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.090851,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.09088,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1117
1553851944.091577,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.092083,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.092272,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.119866,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,192
1553851944.169161,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,340
1553851944.170172,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,370
1553851944.228879,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,447
1553851944.229395,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.229615,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.229797,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.229925,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.230122,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.230242,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.23036,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.230476,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.230571,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.230885,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.231427,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.231695,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.231985,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.23227,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.279921,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.280099,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.280544,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.280591,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.280659,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.280696,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.280717,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.280764,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.280854,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.28088,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.281034,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.281106,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.281155,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.281192,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.281238,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.281391,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.281541,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.282187,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.282484,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.282797,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.283075,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.283313,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.283688,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.283882,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.284908,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.284969,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.285228,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.285274,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.286013,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.286536,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.330938,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.331165,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.3313,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.331524,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.331696,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.331824,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1514
1553851944.331997,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,1011
1553851944.332664,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.332979,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.333245,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553851944.372122,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553852004.28224,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,97
1553852004.282406,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,66
1553852004.420072,54.67.33.208,192.168.137.46,benign,api.sec-smartswitch.com,66
1553852004.500615,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
1553852004.501549,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,78
1553852244.472253,192.168.137.46,54.67.33.208,benign,api.sec-smartswitch.com,66
