timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553852696.748236,192.168.137.46,216.239.36.126,benign,216.239.36.126,65
1553852696.80032,216.239.36.126,192.168.137.46,benign,216.239.36.126,64
1553852710.627283,192.168.137.46,216.239.36.126,benign,216.239.36.126,66
1553852710.628084,192.168.137.46,216.239.36.126,benign,216.239.36.126,66
1553852710.657737,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,74
1553852710.683233,192.168.137.46,216.239.36.126,benign,216.239.36.126,688
1553852710.683823,192.168.137.46,216.239.36.126,benign,216.239.36.126,311
1553852710.688937,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,74
1553852710.68992,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852710.690465,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,283
1553852710.71817,216.239.36.126,192.168.137.46,benign,216.239.36.126,64
1553852710.721714,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,66
1553852710.722644,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,1484
1553852710.722706,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,1484
1553852710.723667,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,522
1553852710.72418,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852710.724652,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852710.726017,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852710.772695,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,159
1553852710.773498,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,1361
1553852710.799857,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,350
1553852710.799942,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,135
1553852710.801334,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852710.801637,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,104
1553852710.80851,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,104
1553852710.847262,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852710.848197,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,242
1553852710.850118,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852710.85332,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,112
1553852710.926262,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,66
1553852710.933503,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,74
1553852710.962784,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,74
1553852710.964,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852710.966167,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,281
1553852711.000687,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,66
1553852711.01058,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,1484
1553852711.010643,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,1484
1553852711.010665,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,319
1553852711.011771,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852711.012435,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852711.013129,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852711.013294,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,159
1553852711.022241,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,159
1553852711.022754,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,361
1553852711.024472,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,965
1553852711.033178,216.239.36.126,192.168.137.46,benign,216.239.36.126,268
1553852711.033241,216.239.36.126,192.168.137.46,benign,216.239.36.126,79
1553852711.034571,192.168.137.46,216.239.36.126,benign,216.239.36.126,72
1553852711.044886,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,350
1553852711.045028,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,135
1553852711.046578,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852711.04676,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,104
1553852711.049751,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,66
1553852711.053395,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,104
1553852711.076496,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,66
1553852711.093846,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852711.114782,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,279
1553852711.115619,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,104
1553852711.115728,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,112
1553852711.116144,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852711.116684,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852711.117425,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852711.117661,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,112
1553852711.190755,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,66
1553852725.800663,192.168.137.46,216.239.36.126,benign,216.239.36.126,65
1553852725.855516,216.239.36.126,192.168.137.46,benign,216.239.36.126,64
1553852733.719628,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,188
1553852733.720334,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,1230
1553852733.752542,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,66
1553852733.758454,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,66
1553852733.758565,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,112
1553852733.796504,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,184
1553852733.797813,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852733.798673,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852733.799789,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,112
1553852733.841859,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,185
1553852733.842459,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,1226
1553852733.868804,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,66
1553852733.874759,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,66
1553852733.880488,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,66
1553852733.88067,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,112
1553852733.921043,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852733.931278,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,192
1553852733.931458,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,104
1553852733.931529,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,112
1553852733.932824,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852733.933653,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852733.93388,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,66
1553852733.935603,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,112
1553852734.007074,172.217.14.244,192.168.137.46,"ad,tracking",sc-analytics.appspot.com,66
1553852745.382956,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,74
1553852745.415443,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,74
1553852745.519496,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,66
1553852745.520512,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,289
1553852745.556632,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,66
1553852745.557508,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,1484
1553852745.557601,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,1484
1553852745.55866,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,66
1553852745.559479,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,66
1553852745.565851,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,525
1553852745.566974,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,66
1553852745.567957,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,159
1553852745.57886,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,159
1553852745.584212,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,1434
1553852745.58465,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,1434
1553852745.585045,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,966
1553852745.598175,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,350
1553852745.59899,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,135
1553852745.60022,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,66
1553852745.601693,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,104
1553852745.60824,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,104
1553852745.619969,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,66
1553852745.634277,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,66
1553852745.671797,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,228
1553852745.673249,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,66
1553852745.674143,192.168.137.46,35.190.43.134,benign,us-central1-gcp.api.snapchat.com,112
1553852745.747095,35.190.43.134,192.168.137.46,benign,us-central1-gcp.api.snapchat.com,66
1553852746.226317,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,188
1553852746.228367,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,956
1553852746.258785,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,66
1553852746.264657,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,66
1553852746.264757,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,112
1553852746.302845,35.186.197.135,192.168.137.46,"ad,tracking",app-analytics.snapchat.com,183
1553852746.304117,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,66
1553852746.30521,192.168.137.46,35.186.197.135,"ad,tracking",app-analytics.snapchat.com,112
1553852746.330206,192.168.137.46,172.217.14.244,"ad,tracking",sc-analytics.appspot.com,183
