timestamp,src ip,dst ip,service,domain,frame size
1553853706.197208,192.168.137.46,104.154.127.47,benign,apresolve.spotify.com,289
1553853712.580769,192.168.137.46,104.154.127.47,benign,apresolve.spotify.com,289
1553853716.334604,192.168.137.46,104.154.127.47,benign,apresolve.spotify.com,289
1553853743.934138,192.168.137.46,104.154.127.47,benign,apresolve.spotify.com,289
1553853745.922563,192.168.137.46,104.154.127.47,benign,apresolve.spotify.com,289
1553853922.440047,192.168.137.46,104.154.127.47,benign,apresolve.spotify.com,289
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1553853628.921453,192.168.137.46,185.151.204.14,"ad,tracking",app.adjust.com,74
1553853628.944433,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,74
1553853628.974162,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,74
1553853628.977527,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553853628.979508,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,583
1553853629.012167,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553853629.012976,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553853629.014008,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,1464
1553853629.014095,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,410
1553853629.017166,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553853629.017318,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553853629.017751,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553853629.029372,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,130
1553853629.029867,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,152
1553853629.031858,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,677
1553853629.055618,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,229
1553853629.055705,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,140
1553853629.0569,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
1553853629.058969,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,97
1553853629.060995,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,66
1553853629.061105,157.240.3.35,192.168.137.46,telemetry,b-graph.facebook.com,110
1553853629.070053,185.151.204.14,192.168.137.46,"ad,tracking",app.adjust.com,74
1553853629.071285,192.168.137.46,185.151.204.14,"ad,tracking",app.adjust.com,66
1553853629.072324,192.168.137.46,185.151.204.14,"ad,tracking",app.adjust.com,583
1553853629.100676,192.168.137.46,157.240.3.35,telemetry,b-graph.facebook.com,66
