timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1554261205.945161,35.165.184.187,192.168.137.21,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,66
1554261206.037605,192.168.137.21,35.165.184.187,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,78
1554261206.699401,35.165.184.187,192.168.137.21,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,66
1554261206.700269,35.165.184.187,192.168.137.21,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,66
1554261206.949295,35.165.184.187,192.168.137.21,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,66
1554261206.950141,35.165.184.187,192.168.137.21,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,66
1554261207.146927,192.168.137.21,35.165.184.187,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,78
1554261207.146928,192.168.137.21,35.165.184.187,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,78
1554261207.700648,35.165.184.187,192.168.137.21,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,66
1554261207.961946,35.165.184.187,192.168.137.21,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,66
1554261208.249764,35.165.184.187,192.168.137.21,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,66
1554261208.268746,192.168.137.21,35.165.184.187,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,78
1554261208.275429,192.168.137.21,35.165.184.187,ad,nexus-us-west-2b-1588254679.us-west-2.elb.amazonaws.com,78
1554261210.295307,98.136.101.121,192.168.137.21,"ad,tracking",ads.yahoo.com,97
1554261210.295514,98.136.101.121,192.168.137.21,"ad,tracking",ads.yahoo.com,66
1554261210.340479,192.168.137.21,98.136.101.121,"ad,tracking",ads.yahoo.com,66
1554261210.390289,192.168.137.21,98.136.101.121,"ad,tracking",ads.yahoo.com,66
1554261216.656019,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,74
1554261216.667144,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,74
1554261216.675832,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.675832,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,258
1554261216.692303,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.693138,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.693218,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.695653,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.695654,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.708864,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,159
1554261216.717505,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.717659,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,296
1554261216.723092,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,732
1554261216.73176,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.733012,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.733208,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.733324,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.733424,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.733498,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.733645,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.733725,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.733796,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.734334,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.734618,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.735934,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.736222,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.737199,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.737615,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.737616,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.74211,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.742111,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.742111,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.742111,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.746515,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.746701,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.746966,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.74731,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.748546,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.748893,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.749286,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.749287,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.749287,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.749742,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.750353,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.750794,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.751339,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.751368,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.751844,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.75237,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.752462,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.7533,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.753668,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.754148,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.754524,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.754971,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.755259,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.756155,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.7564,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.75681,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.757181,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.757181,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.757186,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.758159,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.758522,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.758816,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.759184,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.759507,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.759824,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.760182,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.760477,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.761731,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.761731,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.761732,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.761732,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.761732,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.761732,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.761732,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.761732,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.763029,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.763029,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.763029,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.763043,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.763382,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.763765,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.764078,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.76441,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1514
1554261216.764767,24.244.4.45,192.168.137.21,benign,r2.sn-ni5f-ttjz.googlevideo.com,1480
1554261216.766001,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.766002,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
1554261216.76747,192.168.137.21,24.244.4.45,benign,r2.sn-ni5f-ttjz.googlevideo.com,66
