timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1554266790.642809,192.168.137.21,24.244.3.19,benign,p16.muscdn.com,66
1554266790.642809,192.168.137.21,24.244.3.19,benign,p16.muscdn.com,66
1554266790.642809,192.168.137.21,24.244.3.19,benign,p16.muscdn.com,66
1554266792.401355,192.168.137.21,24.244.3.19,benign,p16.muscdn.com,66
1554266794.402153,192.168.137.21,24.244.53.32,benign,p16-tiktokcdn-com.akamaized.net,66
1554266794.402154,192.168.137.21,24.244.3.19,benign,p16.muscdn.com,66
1554266794.402154,192.168.137.21,24.244.3.19,benign,p16.muscdn.com,66
1554266794.402154,192.168.137.21,24.244.3.19,benign,p16.muscdn.com,66
1554266794.453181,192.168.137.21,151.101.54.133,benign,mparticle.map.fastly.net,74
1554266794.453181,192.168.137.21,151.101.53.208,benign,timbol.iad-03.braze.com,74
1554266794.486714,151.101.54.133,192.168.137.21,benign,mparticle.map.fastly.net,74
1554266794.49105,151.101.53.208,192.168.137.21,benign,timbol.iad-03.braze.com,74
1554266794.494077,192.168.137.21,151.101.54.133,benign,mparticle.map.fastly.net,66
1554266794.494078,192.168.137.21,151.101.53.208,benign,timbol.iad-03.braze.com,66
1554266794.495549,192.168.137.21,151.101.54.133,benign,mparticle.map.fastly.net,583
1554266794.49555,192.168.137.21,151.101.53.208,benign,timbol.iad-03.braze.com,583
1554266794.531965,151.101.54.133,192.168.137.21,benign,mparticle.map.fastly.net,66
1554266794.533026,151.101.53.208,192.168.137.21,benign,timbol.iad-03.braze.com,66
1554266794.533176,151.101.54.133,192.168.137.21,benign,mparticle.map.fastly.net,226
1554266794.533546,151.101.53.208,192.168.137.21,benign,timbol.iad-03.braze.com,226
1554266794.53636,192.168.137.21,151.101.54.133,benign,mparticle.map.fastly.net,66
1554266794.53636,192.168.137.21,151.101.53.208,benign,timbol.iad-03.braze.com,66
1554266794.53636,192.168.137.21,151.101.54.133,benign,mparticle.map.fastly.net,117
1554266794.536361,192.168.137.21,151.101.53.208,benign,timbol.iad-03.braze.com,117
1554266794.620037,151.101.53.208,192.168.137.21,benign,timbol.iad-03.braze.com,66
1554266794.621923,151.101.54.133,192.168.137.21,benign,mparticle.map.fastly.net,66
1554266794.624065,192.168.137.21,151.101.53.208,benign,timbol.iad-03.braze.com,770
1554266794.627408,192.168.137.21,151.101.54.133,benign,mparticle.map.fastly.net,904
1554266794.654089,151.101.53.208,192.168.137.21,benign,timbol.iad-03.braze.com,66
1554266794.659757,151.101.54.133,192.168.137.21,benign,mparticle.map.fastly.net,66
1554266794.73544,151.101.53.208,192.168.137.21,benign,timbol.iad-03.braze.com,754
1554266794.738684,151.101.54.133,192.168.137.21,benign,mparticle.map.fastly.net,500
1554266794.738787,151.101.54.133,192.168.137.21,benign,mparticle.map.fastly.net,143
1554266794.738915,192.168.137.21,50.16.248.187,"ad,tracking",e.crashlytics.com,97
1554266794.738915,192.168.137.21,50.16.248.187,"ad,tracking",e.crashlytics.com,66
1554266794.742412,192.168.137.21,151.101.54.133,benign,mparticle.map.fastly.net,66
1554266794.742412,192.168.137.21,52.84.50.192,benign,52.84.50.192,97
1554266794.742413,192.168.137.21,52.84.50.192,benign,52.84.50.192,66
1554266794.773006,52.84.50.192,192.168.137.21,benign,52.84.50.192,66
1554266794.775206,192.168.137.21,151.101.53.208,benign,timbol.iad-03.braze.com,66
1554266794.787928,52.84.50.192,192.168.137.21,benign,52.84.50.192,66
1554266794.790547,192.168.137.21,52.84.50.192,benign,52.84.50.192,66
1554266794.825062,50.16.248.187,192.168.137.21,"ad,tracking",e.crashlytics.com,97
1554266794.82584,50.16.248.187,192.168.137.21,"ad,tracking",e.crashlytics.com,66
1554266794.827234,192.168.137.21,50.16.248.187,"ad,tracking",e.crashlytics.com,54
1554266794.827234,192.168.137.21,50.16.248.187,"ad,tracking",e.crashlytics.com,54
1554266794.828938,50.16.248.187,192.168.137.21,"ad,tracking",e.crashlytics.com,66
1554266794.831917,192.168.137.21,50.16.248.187,"ad,tracking",e.crashlytics.com,54
1554266794.950442,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,74
1554266795.096986,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,74
1554266795.099221,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266795.099221,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,583
1554266795.25338,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,1514
1554266795.253861,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,1514
1554266795.254072,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,803
1554266795.256035,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266795.256035,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266795.256035,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266795.269386,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,192
1554266795.414088,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,308
1554266795.419384,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,569
1554266795.563977,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,335
1554266795.565127,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,97
1554266795.58225,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,97
1554266795.58225,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266795.58225,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,74
1554266795.727101,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,54
1554266795.734216,192.168.137.21,23.62.158.65,benign,mzstatic.com.edgekey.net,66
1554266795.745028,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,74
1554266795.747341,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266795.747341,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,583
1554266795.91559,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,1514
1554266795.915863,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,803
1554266795.918042,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266795.918042,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,78
1554266796.013223,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,1514
1554266796.017787,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266796.029427,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,192
1554266796.158265,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,1514
1554266796.16069,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,78
1554266796.188455,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,308
1554266796.190611,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266796.194701,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,569
1554266796.35426,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,335
1554266796.354341,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,97
1554266796.355319,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,66
1554266796.360051,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,97
1554266796.360052,192.168.137.21,185.151.204.6,"ad,tracking",app.adjust.com,66
1554266796.519273,185.151.204.6,192.168.137.21,"ad,tracking",app.adjust.com,54
1554266796.531986,192.168.137.21,47.252.92.254,benign,verification-va.musical.ly,54
1554266796.811271,192.168.137.21,216.58.217.37,benign,inbox.google.com,1434
1554266796.813106,192.168.137.21,216.58.217.37,benign,inbox.google.com,294
1554266796.840296,216.58.217.37,192.168.137.21,benign,inbox.google.com,66
1554266796.845015,216.58.217.37,192.168.137.21,benign,inbox.google.com,66
1554266796.952674,216.58.217.37,192.168.137.21,benign,inbox.google.com,358
1554266796.954615,216.58.217.37,192.168.137.21,benign,inbox.google.com,353
1554266796.954753,192.168.137.21,216.58.217.37,benign,inbox.google.com,66
1554266796.955985,216.58.217.37,192.168.137.21,benign,inbox.google.com,280
1554266796.95606,216.58.217.37,192.168.137.21,benign,inbox.google.com,112
1554266796.957188,192.168.137.21,216.58.217.37,benign,inbox.google.com,66
1554266796.957188,192.168.137.21,216.58.217.37,benign,inbox.google.com,66
1554266796.958847,192.168.137.21,216.58.217.37,benign,inbox.google.com,66
1554266796.960126,192.168.137.21,216.58.217.37,benign,inbox.google.com,112
1554266796.990673,216.58.217.37,192.168.137.21,benign,inbox.google.com,66
1554266799.168273,192.168.137.21,64.71.142.55,benign,all.snssdk.com.w.kunluncan.com,54
1554266802.525904,192.168.137.21,47.252.50.30,benign,47.252.50.30,54
1554266803.754719,192.168.137.21,52.38.164.32,ad,api.segment.io,74
1554266803.794451,52.38.164.32,192.168.137.21,ad,api.segment.io,74
1554266803.797944,192.168.137.21,52.38.164.32,ad,api.segment.io,66
1554266803.800483,192.168.137.21,52.38.164.32,ad,api.segment.io,246
1554266803.841653,52.38.164.32,192.168.137.21,ad,api.segment.io,66
1554266803.843611,52.38.164.32,192.168.137.21,ad,api.segment.io,1514
1554266803.843689,52.38.164.32,192.168.137.21,ad,api.segment.io,1514
1554266803.843743,52.38.164.32,192.168.137.21,ad,api.segment.io,377
1554266803.851293,192.168.137.21,52.38.164.32,ad,api.segment.io,66
1554266803.851293,192.168.137.21,52.38.164.32,ad,api.segment.io,66
1554266803.851294,192.168.137.21,52.38.164.32,ad,api.segment.io,66
1554266803.858822,192.168.137.21,52.38.164.32,ad,api.segment.io,192
1554266803.894933,52.38.164.32,192.168.137.21,ad,api.segment.io,324
1554266803.897199,192.168.137.21,52.38.164.32,ad,api.segment.io,1216
1554266803.934391,52.38.164.32,192.168.137.21,ad,api.segment.io,262
1554266803.937665,192.168.137.21,52.38.164.32,ad,api.segment.io,66
1554266803.977674,52.38.164.32,192.168.137.21,ad,api.segment.io,66
1554266803.989643,192.168.137.21,52.38.164.32,ad,api.segment.io,66
1554266805.531919,52.84.50.189,192.168.137.21,benign,tubitv.app.link,97
1554266805.532321,52.84.50.189,192.168.137.21,benign,tubitv.app.link,66
1554266805.53802,52.84.50.189,192.168.137.21,benign,tubitv.app.link,97
1554266805.538383,52.84.50.189,192.168.137.21,benign,tubitv.app.link,66
1554266805.62867,52.84.50.189,192.168.137.21,benign,tubitv.app.link,66
1554266805.629609,52.84.50.189,192.168.137.21,benign,tubitv.app.link,66
1554266805.662279,192.168.137.21,52.84.50.189,benign,tubitv.app.link,66
1554266805.662279,192.168.137.21,52.84.50.189,benign,tubitv.app.link,66
1554266805.66228,192.168.137.21,52.84.50.189,benign,tubitv.app.link,78
1554266805.66228,192.168.137.21,52.84.50.189,benign,tubitv.app.link,78
1554266810.014694,192.168.137.21,157.240.3.20,"ad,tracking",graph.accountkit.com,74
1554266810.056495,157.240.3.20,192.168.137.21,"ad,tracking",graph.accountkit.com,74
1554266810.058815,192.168.137.21,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1554266810.062059,192.168.137.21,157.240.3.20,"ad,tracking",graph.accountkit.com,583
1554266810.096783,157.240.3.20,192.168.137.21,"ad,tracking",graph.accountkit.com,66
1554266810.097013,157.240.3.20,192.168.137.21,"ad,tracking",graph.accountkit.com,222
1554266810.11694,192.168.137.21,157.240.3.20,"ad,tracking",graph.accountkit.com,66
1554266810.116941,192.168.137.21,157.240.3.20,"ad,tracking",graph.accountkit.com,117
1554266810.122766,192.168.137.21,157.240.3.20,"ad,tracking",graph.accountkit.com,1464
