timestamp,src ip,dst ip,service,domain,frame size
HTTPS
timestamp,src ip,dst ip,Services,Domains,frame size
1554267717.370574,192.168.137.21,185.53.51.18,benign,185.53.51.18,507
1554267717.525257,185.53.51.18,192.168.137.21,benign,185.53.51.18,66
1554267717.633179,185.53.51.18,192.168.137.21,benign,185.53.51.18,505
1554267717.633301,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.63337,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.63341,185.53.51.18,192.168.137.21,benign,185.53.51.18,985
1554267717.633476,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.633556,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.633583,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267717.633642,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.633694,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.633757,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267717.633814,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.633856,185.53.51.18,192.168.137.21,benign,185.53.51.18,531
1554267717.633933,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.633989,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.634012,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267717.634059,185.53.51.18,192.168.137.21,benign,185.53.51.18,301
1554267717.634094,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.637922,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.637922,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.637922,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.637922,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.637922,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.637923,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.637923,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.637923,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.637923,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.644094,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.644094,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.644095,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.644095,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.644095,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.644095,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.644095,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.644095,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.790259,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.790341,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.790409,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.790483,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.790553,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.790686,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.790769,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.790937,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.79103,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.791265,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.791358,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.795047,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.795353,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.795724,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267717.795836,185.53.51.18,192.168.137.21,benign,185.53.51.18,731
1554267717.798457,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.800098,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.800099,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.800099,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.800099,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.800099,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.800099,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.800099,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.8001,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.8001,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.8001,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.8001,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.8001,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.8001,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267717.800101,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.149764,192.168.137.21,185.53.51.18,benign,185.53.51.18,441
1554267718.301342,185.53.51.18,192.168.137.21,benign,185.53.51.18,66
1554267718.3187,185.53.51.18,192.168.137.21,benign,185.53.51.18,651
1554267718.318828,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.318943,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.318999,185.53.51.18,192.168.137.21,benign,185.53.51.18,839
1554267718.319138,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.319239,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.319298,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267718.319465,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.319565,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.319686,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267718.31982,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.319862,185.53.51.18,192.168.137.21,benign,185.53.51.18,531
1554267718.319917,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.319944,185.53.51.18,192.168.137.21,benign,185.53.51.18,119
1554267718.320112,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.320178,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.320242,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267718.320396,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.320511,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267718.320567,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267718.32076,185.53.51.18,192.168.137.21,benign,185.53.51.18,1214
1554267718.324196,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329504,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329504,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329504,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329504,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329505,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329505,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329505,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329505,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329505,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329505,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329506,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329506,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329506,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329506,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329506,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329506,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329657,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329658,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329658,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267718.329658,192.168.137.21,185.53.51.18,benign,185.53.51.18,66
1554267722.191503,192.168.137.21,185.53.51.18,benign,185.53.51.18,508
1554267722.346339,185.53.51.18,192.168.137.21,benign,185.53.51.18,66
1554267722.429807,192.168.137.21,185.53.51.18,benign,185.53.51.18,74
1554267722.4378,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.437882,185.53.51.18,192.168.137.21,benign,185.53.51.18,1167
1554267722.437956,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.437973,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438026,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267722.438063,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438112,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438143,185.53.51.18,192.168.137.21,benign,185.53.51.18,143
1554267722.438196,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438231,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438311,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267722.438345,185.53.51.18,192.168.137.21,benign,185.53.51.18,301
1554267722.438394,185.53.51.18,192.168.137.21,benign,185.53.51.18,417
1554267722.438447,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438477,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438602,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267722.438673,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438689,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.43874,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267722.438794,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438832,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438859,185.53.51.18,192.168.137.21,benign,185.53.51.18,349
1554267722.438909,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438938,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.438972,185.53.51.18,192.168.137.21,benign,185.53.51.18,489
1554267722.438987,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.439001,185.53.51.18,192.168.137.21,benign,185.53.51.18,119
1554267722.439104,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.439174,185.53.51.18,192.168.137.21,benign,185.53.51.18,1476
1554267722.43921,185.53.51.18,192.168.137.21,benign,185.53.51.18,1371
1554267722.439243,185.53.51.18,192.168.137.21,benign,185.53.51.18,1044
1554267722.448735,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.448735,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.448735,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.448736,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.448736,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.448736,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.448736,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.448736,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.450477,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.450478,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
1554267722.450478,192.168.137.21,185.53.51.18,benign,185.53.51.18,78
