Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
35.241.52.229,"ads,tracking",192.168.137.108,35.241.52.229,66,1552716383.568637
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552716386.103988
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552716392.160195
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552716392.175134
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552716392.180004
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552716392.212698
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552716392.214615
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552716392.231427
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552716392.264518
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552716392.265318
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552716392.266352
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552716392.266557
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552716392.266642
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552716392.268568
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552716392.268775
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552716392.268776
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552716392.268777
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552716392.458692
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552716392.462124
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552716392.473318
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552716392.477205
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552716392.48623
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552716392.487292
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552716392.488489
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552716392.51543
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.517076
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552716392.523853
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552716392.524171
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.525395
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552716392.525981
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552716392.527202
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.527583
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552716392.532573
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552716392.548023
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716392.560538
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552716392.562484
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552716392.562743
157.240.3.20,benign,157.240.3.20,192.168.137.108,308,1552716392.562912
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716392.56398
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.564294
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552716392.564401
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.565308
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.56531
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552716392.565342
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552716392.565549
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.566916
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.567104
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716392.568579
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.569022
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552716392.569359
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552716392.570517
157.240.3.20,benign,157.240.3.20,192.168.137.108,309,1552716392.570735
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.572757
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.572992
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.572993
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552716392.577263
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552716392.578501
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.578713
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552716392.608663
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552716392.610069
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552716392.610239
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716392.642539
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552716392.643398
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552716392.643504
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552716392.643556
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.646222
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.646543
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.646544
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552716392.723101
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552716392.79356
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552716392.90427
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552716392.920341
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552716392.929025
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552716392.935457
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552716392.936842
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.937487
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552716392.947293
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.948897
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552716392.960518
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.961912
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552716392.96413
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716392.965564
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552716393.015937
157.240.3.20,benign,192.168.137.108,157.240.3.20,471,1552716393.028817
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552716393.035902
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552716393.036806
108.161.188.128,ads,108.161.188.128,192.168.137.108,795,1552716393.06614
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552716393.067796
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.08378
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.099538
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552716393.100702
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716393.103312
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.104529
157.240.3.20,benign,157.240.3.20,192.168.137.108,1351,1552716393.112205
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.112838
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716393.113762
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552716393.123075
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716393.124572
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552716393.131341
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716393.132951
157.240.3.20,benign,192.168.137.108,157.240.3.20,487,1552716393.23952
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552716393.25713
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552716393.263734
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.266406
192.168.137.108,benign,192.168.137.1,192.168.137.108,170,1552716393.271455
157.240.3.20,benign,192.168.137.108,157.240.3.20,983,1552716393.274171
52.3.174.175,benign,192.168.137.108,52.3.174.175,74,1552716393.274891
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.295149
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552716393.296768
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.304828
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552716393.306215
157.240.3.20,benign,157.240.3.20,192.168.137.108,919,1552716393.320241
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716393.321771
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.326799
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552716393.336152
52.3.174.175,benign,52.3.174.175,192.168.137.108,74,1552716393.3619
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552716393.363447
52.3.174.175,benign,192.168.137.108,52.3.174.175,277,1552716393.365288
52.3.174.175,benign,52.3.174.175,192.168.137.108,66,1552716393.451889
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552716393.453786
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552716393.454034
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552716393.454125
52.3.174.175,benign,52.3.174.175,192.168.137.108,847,1552716393.454196
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552716393.458059
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552716393.458294
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552716393.458295
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552716393.458296
52.3.174.175,benign,192.168.137.108,52.3.174.175,200,1552716393.506253
52.3.174.175,benign,52.3.174.175,192.168.137.108,332,1552716393.588085
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552716393.593986
52.3.174.175,benign,192.168.137.108,52.3.174.175,391,1552716393.614259
52.3.174.175,benign,52.3.174.175,192.168.137.108,66,1552716393.737952
52.3.174.175,benign,192.168.137.108,52.3.174.175,1479,1552716393.743955
52.3.174.175,benign,52.3.174.175,192.168.137.108,66,1552716393.825636
52.3.174.175,benign,52.3.174.175,192.168.137.108,295,1552716393.837552
52.3.174.175,benign,52.3.174.175,192.168.137.108,103,1552716393.837666
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552716393.875153
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552716394.006836
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716394.012874
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552716394.060834
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552716394.062783
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552716395.685729
108.161.188.128,ads,108.161.188.128,192.168.137.108,91,1552716397.066545
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552716397.066977
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552716397.13907
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552716397.164115
108.161.188.128,ads,192.168.137.108,108.161.188.128,66,1552716397.16649
192.168.137.1,benign,192.168.137.108,192.168.137.1,75,1552716397.192908
192.168.137.108,benign,192.168.137.1,192.168.137.108,167,1552716397.226265
34.237.62.128,benign,192.168.137.108,34.237.62.128,74,1552716397.229067
34.237.62.128,benign,34.237.62.128,192.168.137.108,74,1552716397.312581
34.237.62.128,benign,192.168.137.108,34.237.62.128,66,1552716397.318504
34.237.62.128,benign,192.168.137.108,34.237.62.128,278,1552716397.326414
34.237.62.128,benign,34.237.62.128,192.168.137.108,1514,1552716397.415519
34.237.62.128,benign,34.237.62.128,192.168.137.108,1514,1552716397.416318
34.237.62.128,benign,34.237.62.128,192.168.137.108,508,1552716397.416567
34.237.62.128,benign,192.168.137.108,34.237.62.128,66,1552716397.421535
34.237.62.128,benign,192.168.137.108,34.237.62.128,66,1552716397.4229
34.237.62.128,benign,192.168.137.108,34.237.62.128,66,1552716397.422902
34.237.62.128,benign,192.168.137.108,34.237.62.128,200,1552716397.60519
192.168.137.1,benign,192.168.137.108,192.168.137.1,88,1552716397.679999
34.237.62.128,benign,34.237.62.128,192.168.137.108,316,1552716397.689288
34.237.62.128,benign,192.168.137.108,34.237.62.128,66,1552716397.690803
192.168.137.108,benign,192.168.137.1,192.168.137.108,142,1552716397.694106
35.241.26.53,ads,192.168.137.108,35.241.26.53,74,1552716397.745765
34.237.62.128,benign,192.168.137.108,34.237.62.128,1143,1552716397.758736
35.241.26.53,ads,35.241.26.53,192.168.137.108,74,1552716397.775537
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552716397.77723
35.241.26.53,ads,192.168.137.108,35.241.26.53,329,1552716397.779412
35.241.26.53,ads,35.241.26.53,192.168.137.108,66,1552716397.811902
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552716397.813536
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552716397.813727
35.241.26.53,ads,35.241.26.53,192.168.137.108,580,1552716397.813897
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552716397.815864
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552716397.816066
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552716397.816067
34.237.62.128,benign,34.237.62.128,192.168.137.108,66,1552716397.839859
34.237.62.128,benign,192.168.137.108,34.237.62.128,103,1552716397.84151
34.237.62.128,benign,34.237.62.128,192.168.137.108,66,1552716397.921336
