Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.1,benign,192.168.137.108,192.168.137.1,351,1552727431.128503
192.168.137.108,benign,192.168.137.1,192.168.137.108,344,1552727431.143461
192.168.137.255,benign,192.168.137.1,192.168.137.255,243,1552727433.65187
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552727434.475648
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552727458.476798
192.168.137.108,benign,192.168.137.1,192.168.137.108,138,1552727458.491428
185.151.204.13,tracking,192.168.137.108,185.151.204.13,74,1552727458.502698
185.151.204.13,tracking,192.168.137.108,185.151.204.13,74,1552727458.508978
185.151.204.13,tracking,185.151.204.13,192.168.137.108,74,1552727458.655098
185.151.204.13,tracking,185.151.204.13,192.168.137.108,74,1552727458.65824
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727458.660829
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727458.661086
185.151.204.13,tracking,192.168.137.108,185.151.204.13,277,1552727458.665681
185.151.204.13,tracking,192.168.137.108,185.151.204.13,277,1552727458.665994
185.151.204.13,tracking,185.151.204.13,192.168.137.108,1514,1552727458.814267
185.151.204.13,tracking,185.151.204.13,192.168.137.108,1514,1552727458.815078
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552727458.815411
185.151.204.13,tracking,185.151.204.13,192.168.137.108,801,1552727458.815832
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727458.816032
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727458.818291
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727458.818536
185.151.204.13,tracking,185.151.204.13,192.168.137.108,1514,1552727458.826198
185.151.204.13,tracking,185.151.204.13,192.168.137.108,1514,1552727458.82697
185.151.204.13,tracking,185.151.204.13,192.168.137.108,801,1552727458.827222
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727458.827931
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727458.830165
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727458.830383
192.168.137.108,benign,192.168.137.1,192.168.137.108,214,1552727458.831868
203.119.244.125,ads,192.168.137.108,203.119.244.125,74,1552727458.862708
185.151.204.13,tracking,192.168.137.108,185.151.204.13,200,1552727458.980505
185.151.204.13,tracking,192.168.137.108,185.151.204.13,200,1552727458.982564
203.119.244.125,ads,203.119.244.125,192.168.137.108,66,1552727459.058321
192.168.137.1,benign,192.168.137.108,192.168.137.1,75,1552727459.073796
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.075293
203.119.244.125,ads,192.168.137.108,203.119.244.125,268,1552727459.077205
192.168.137.108,benign,192.168.137.1,192.168.137.108,212,1552727459.098921
203.119.244.125,ads,192.168.137.108,203.119.244.125,74,1552727459.102561
185.151.204.13,tracking,185.151.204.13,192.168.137.108,316,1552727459.132084
185.151.204.13,tracking,185.151.204.13,192.168.137.108,316,1552727459.133197
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727459.133618
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727459.135623
185.151.204.13,tracking,192.168.137.108,185.151.204.13,1415,1552727459.180781
185.151.204.13,tracking,192.168.137.108,185.151.204.13,1223,1552727459.181037
203.119.244.125,ads,203.119.244.125,192.168.137.108,54,1552727459.27626
203.119.244.125,ads,203.119.244.125,192.168.137.108,1514,1552727459.278166
203.119.244.125,ads,203.119.244.125,192.168.137.108,1514,1552727459.278356
203.119.244.125,ads,203.119.244.125,192.168.137.108,1230,1552727459.278447
203.119.244.125,ads,203.119.244.125,192.168.137.108,204,1552727459.278533
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.282477
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.282786
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.282787
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.282788
192.168.137.1,benign,192.168.137.108,192.168.137.1,84,1552727459.318527
203.119.244.125,ads,203.119.244.125,192.168.137.108,66,1552727459.322394
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.323895
203.119.244.125,ads,192.168.137.108,203.119.244.125,266,1552727459.32534
185.151.204.13,tracking,185.151.204.13,192.168.137.108,327,1552727459.331102
185.151.204.13,tracking,185.151.204.13,192.168.137.108,103,1552727459.332101
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727459.332601
192.168.137.108,benign,192.168.137.1,192.168.137.108,212,1552727459.334284
185.151.204.13,tracking,185.151.204.13,192.168.137.108,343,1552727459.335222
185.151.204.13,tracking,185.151.204.13,192.168.137.108,103,1552727459.335394
185.151.204.13,tracking,185.151.204.13,192.168.137.108,66,1552727459.336135
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727459.338298
185.151.204.13,tracking,192.168.137.108,185.151.204.13,103,1552727459.341841
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727459.342072
185.151.204.13,tracking,192.168.137.108,185.151.204.13,103,1552727459.346892
185.151.204.13,tracking,192.168.137.108,185.151.204.13,66,1552727459.347109
23.21.74.237,benign,192.168.137.108,23.21.74.237,74,1552727459.356398
23.21.74.237,benign,23.21.74.237,192.168.137.108,74,1552727459.439266
203.119.244.125,ads,192.168.137.108,203.119.244.125,188,1552727459.444812
23.21.74.237,benign,192.168.137.108,23.21.74.237,66,1552727459.44513
23.21.74.237,benign,192.168.137.108,23.21.74.237,287,1552727459.46063
185.151.204.13,tracking,185.151.204.13,192.168.137.108,54,1552727459.488448
185.151.204.13,tracking,185.151.204.13,192.168.137.108,54,1552727459.498172
23.21.74.237,benign,23.21.74.237,192.168.137.108,66,1552727459.542176
23.21.74.237,benign,23.21.74.237,192.168.137.108,1514,1552727459.543114
23.21.74.237,benign,23.21.74.237,192.168.137.108,1514,1552727459.544065
23.21.74.237,benign,23.21.74.237,192.168.137.108,1266,1552727459.544267
23.21.74.237,benign,23.21.74.237,192.168.137.108,1514,1552727459.544358
23.21.74.237,benign,23.21.74.237,192.168.137.108,389,1552727459.544441
203.119.244.125,ads,203.119.244.125,192.168.137.108,54,1552727459.545169
23.21.74.237,benign,192.168.137.108,23.21.74.237,66,1552727459.546257
23.21.74.237,benign,192.168.137.108,23.21.74.237,66,1552727459.546494
23.21.74.237,benign,192.168.137.108,23.21.74.237,66,1552727459.546495
23.21.74.237,benign,192.168.137.108,23.21.74.237,66,1552727459.546495
23.21.74.237,benign,192.168.137.108,23.21.74.237,66,1552727459.54677
203.119.244.125,ads,203.119.244.125,192.168.137.108,1514,1552727459.549284
203.119.244.125,ads,203.119.244.125,192.168.137.108,1230,1552727459.549494
203.119.244.125,ads,203.119.244.125,192.168.137.108,1514,1552727459.549585
203.119.244.125,ads,203.119.244.125,192.168.137.108,205,1552727459.549656
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.55247
203.119.244.125,ads,192.168.137.108,203.119.244.125,66,1552727459.553722
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.553723
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.553724
203.119.244.125,ads,203.119.244.125,192.168.137.108,320,1552727459.638217
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.643994
203.119.244.125,ads,192.168.137.108,203.119.244.125,188,1552727459.659736
203.119.244.125,ads,192.168.137.108,203.119.244.125,395,1552727459.707294
203.119.244.125,ads,192.168.137.108,203.119.244.125,1494,1552727459.714844
203.119.244.125,ads,203.119.244.125,192.168.137.108,320,1552727459.877655
203.119.244.125,ads,203.119.244.125,192.168.137.108,54,1552727459.907882
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727459.966639
203.119.244.125,ads,192.168.137.108,203.119.244.125,1019,1552727459.968557
203.119.244.125,ads,192.168.137.108,203.119.244.125,459,1552727460.03499
203.119.244.125,ads,192.168.137.108,203.119.244.125,1494,1552727460.035162
203.119.244.125,ads,192.168.137.108,203.119.244.125,1494,1552727460.035589
203.119.244.125,ads,192.168.137.108,203.119.244.125,1494,1552727460.035593
203.119.244.125,ads,203.119.244.125,192.168.137.108,459,1552727460.166762
203.119.244.125,ads,203.119.244.125,192.168.137.108,54,1552727460.252986
203.119.244.125,ads,203.119.244.125,192.168.137.108,66,1552727460.258699
203.119.244.125,ads,203.119.244.125,192.168.137.108,54,1552727460.25882
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727460.274144
203.119.244.125,ads,192.168.137.108,203.119.244.125,283,1552727460.276659
23.21.74.237,benign,192.168.137.108,23.21.74.237,200,1552727460.281297
23.21.74.237,benign,23.21.74.237,192.168.137.108,125,1552727460.363433
23.21.74.237,benign,192.168.137.108,23.21.74.237,66,1552727460.369285
172.217.3.174,benign,192.168.137.108,172.217.3.174,817,1552727460.394178
172.217.3.174,benign,172.217.3.174,192.168.137.108,66,1552727460.423622
23.21.74.237,benign,192.168.137.108,23.21.74.237,903,1552727460.423968
203.119.244.125,ads,203.119.244.125,192.168.137.108,54,1552727460.495357
203.119.244.125,ads,203.119.244.125,192.168.137.108,811,1552727460.498312
203.119.244.125,ads,192.168.137.108,203.119.244.125,54,1552727460.500865
23.21.74.237,benign,23.21.74.237,192.168.137.108,1351,1552727460.524526
23.21.74.237,benign,192.168.137.108,23.21.74.237,66,1552727460.526348
203.119.244.125,ads,192.168.137.108,203.119.244.125,74,1552727460.60471
172.217.3.174,benign,172.217.3.174,192.168.137.108,470,1552727460.664293
172.217.3.174,benign,172.217.3.174,192.168.137.108,501,1552727460.664485
172.217.3.174,benign,172.217.3.174,192.168.137.108,92,1552727460.664569
172.217.3.174,benign,192.168.137.108,172.217.3.174,66,1552727460.66694
172.217.3.174,benign,192.168.137.108,172.217.3.174,66,1552727460.668324
172.217.3.174,benign,192.168.137.108,172.217.3.174,66,1552727460.668463
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552727460.819076
203.119.244.125,ads,203.119.244.125,192.168.137.108,66,1552727460.825589
