Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552756072.931457
192.168.137.1,benign,192.168.137.108,192.168.137.1,92,1552756097.60127
192.168.137.108,benign,192.168.137.1,192.168.137.108,108,1552756097.620401
209.206.41.151,benign,192.168.137.108,209.206.41.151,74,1552756097.626977
209.206.41.151,benign,192.168.137.108,209.206.41.151,74,1552756097.627249
209.206.41.151,benign,192.168.137.108,209.206.41.151,74,1552756097.62748
209.206.41.151,benign,209.206.41.151,192.168.137.108,74,1552756097.669417
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.670982
209.206.41.151,benign,209.206.41.151,192.168.137.108,74,1552756097.673392
209.206.41.151,benign,209.206.41.151,192.168.137.108,74,1552756097.673635
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.674756
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.676954
209.206.41.151,benign,192.168.137.108,209.206.41.151,245,1552756097.705998
209.206.41.151,benign,192.168.137.108,209.206.41.151,245,1552756097.706924
209.206.41.151,benign,192.168.137.108,209.206.41.151,245,1552756097.71915
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756097.74848
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.74938
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.750356
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.750444
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.752248
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.752431
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.752431
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756097.753537
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.754308
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.755354
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.755496
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.757234
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.757376
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.757376
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756097.761334
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.762195
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.763337
209.206.41.151,benign,209.206.41.151,192.168.137.108,1514,1552756097.763392
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.765938
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.765938
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.765938
209.206.41.151,benign,209.206.41.151,192.168.137.108,170,1552756097.791781
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.793166
209.206.41.151,benign,209.206.41.151,192.168.137.108,170,1552756097.796571
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.79788
209.206.41.151,benign,209.206.41.151,192.168.137.108,170,1552756097.805929
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756097.807343
209.206.41.151,benign,192.168.137.108,209.206.41.151,200,1552756098.048457
209.206.41.151,benign,192.168.137.108,209.206.41.151,200,1552756098.04878
209.206.41.151,benign,192.168.137.108,209.206.41.151,200,1552756098.08771
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756098.087799
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756098.087973
209.206.41.151,benign,209.206.41.151,192.168.137.108,72,1552756098.088489
209.206.41.151,benign,209.206.41.151,192.168.137.108,72,1552756098.088627
209.206.41.151,benign,209.206.41.151,192.168.137.108,119,1552756098.088701
209.206.41.151,benign,209.206.41.151,192.168.137.108,119,1552756098.088859
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.091627
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.091877
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.091878
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.091879
209.206.41.151,benign,192.168.137.108,209.206.41.151,631,1552756098.103564
209.206.41.151,benign,192.168.137.108,209.206.41.151,615,1552756098.104323
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756098.127339
209.206.41.151,benign,209.206.41.151,192.168.137.108,72,1552756098.127986
209.206.41.151,benign,209.206.41.151,192.168.137.108,119,1552756098.128165
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.130915
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.131131
209.206.41.151,benign,192.168.137.108,209.206.41.151,615,1552756098.13555
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756098.143269
209.206.41.151,benign,209.206.41.151,192.168.137.108,343,1552756098.144197
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756098.148178
209.206.41.151,benign,209.206.41.151,192.168.137.108,343,1552756098.14885
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552756098.161974
192.168.137.108,benign,192.168.137.1,192.168.137.108,90,1552756098.175303
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756098.17534
209.206.41.151,benign,209.206.41.151,192.168.137.108,343,1552756098.176034
209.206.41.26,benign,192.168.137.108,209.206.41.26,74,1552756098.17775
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.182417
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.182643
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.212214
209.206.41.26,benign,209.206.41.26,192.168.137.108,78,1552756098.220516
209.206.41.26,benign,192.168.137.108,209.206.41.26,66,1552756098.221875
209.206.41.26,benign,192.168.137.108,209.206.41.26,227,1552756098.224436
209.206.41.26,benign,209.206.41.26,192.168.137.108,66,1552756098.26854
209.206.41.26,benign,209.206.41.26,192.168.137.108,1514,1552756098.2694
209.206.41.26,benign,209.206.41.26,192.168.137.108,1514,1552756098.269543
209.206.41.26,benign,209.206.41.26,192.168.137.108,1514,1552756098.269703
209.206.41.26,benign,209.206.41.26,192.168.137.108,160,1552756098.269791
209.206.41.26,benign,192.168.137.108,209.206.41.26,66,1552756098.272319
209.206.41.26,benign,192.168.137.108,209.206.41.26,66,1552756098.27264
209.206.41.26,benign,192.168.137.108,209.206.41.26,66,1552756098.272641
209.206.41.26,benign,192.168.137.108,209.206.41.26,66,1552756098.272641
209.206.41.26,benign,192.168.137.108,209.206.41.26,200,1552756098.314067
209.206.41.26,benign,209.206.41.26,192.168.137.108,66,1552756098.354425
209.206.41.26,benign,209.206.41.26,192.168.137.108,72,1552756098.355095
209.206.41.26,benign,209.206.41.26,192.168.137.108,119,1552756098.355172
209.206.41.26,benign,192.168.137.108,209.206.41.26,66,1552756098.35852
209.206.41.26,benign,192.168.137.108,209.206.41.26,66,1552756098.358865
209.206.41.26,benign,192.168.137.108,209.206.41.26,519,1552756098.366555
209.206.41.26,benign,209.206.41.26,192.168.137.108,66,1552756098.407616
209.206.41.26,benign,209.206.41.26,192.168.137.108,839,1552756098.411522
209.206.41.26,benign,192.168.137.108,209.206.41.26,66,1552756098.452711
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552756098.500542
209.206.41.151,benign,192.168.137.108,209.206.41.151,775,1552756098.508008
192.168.137.108,benign,192.168.137.1,192.168.137.108,90,1552756098.52763
209.206.41.230,benign,192.168.137.108,209.206.41.230,74,1552756098.530109
209.206.41.151,benign,209.206.41.151,192.168.137.108,66,1552756098.55011
209.206.41.151,benign,209.206.41.151,192.168.137.108,343,1552756098.550873
209.206.41.151,benign,192.168.137.108,209.206.41.151,66,1552756098.554605
209.206.41.230,benign,209.206.41.230,192.168.137.108,74,1552756098.572803
192.168.137.1,benign,192.168.137.108,192.168.137.1,89,1552756098.573175
209.206.41.230,benign,192.168.137.108,209.206.41.230,66,1552756098.574519
192.168.137.108,benign,192.168.137.1,192.168.137.108,105,1552756098.615943
209.206.41.148,benign,192.168.137.108,209.206.41.148,74,1552756098.66077
209.206.41.230,benign,192.168.137.108,209.206.41.230,227,1552756098.690038
209.206.41.148,benign,209.206.41.148,192.168.137.108,74,1552756098.702696
209.206.41.148,benign,192.168.137.108,209.206.41.148,66,1552756098.704547
209.206.41.230,benign,209.206.41.230,192.168.137.108,66,1552756098.731764
209.206.41.230,benign,209.206.41.230,192.168.137.108,1514,1552756098.732533
209.206.41.230,benign,209.206.41.230,192.168.137.108,1514,1552756098.732729
209.206.41.230,benign,209.206.41.230,192.168.137.108,1514,1552756098.732816
209.206.41.230,benign,192.168.137.108,209.206.41.230,66,1552756098.736224
209.206.41.230,benign,192.168.137.108,209.206.41.230,66,1552756098.736443
209.206.41.230,benign,192.168.137.108,209.206.41.230,66,1552756098.736664
209.206.41.148,benign,192.168.137.108,209.206.41.148,242,1552756098.768717
209.206.41.230,benign,209.206.41.230,192.168.137.108,160,1552756098.775438
209.206.41.230,benign,192.168.137.108,209.206.41.230,66,1552756098.777164
209.206.41.230,benign,192.168.137.108,209.206.41.230,200,1552756098.807055
209.206.41.148,benign,209.206.41.148,192.168.137.108,66,1552756098.811895
209.206.41.148,benign,209.206.41.148,192.168.137.108,1514,1552756098.812489
209.206.41.148,benign,209.206.41.148,192.168.137.108,1514,1552756098.81386
209.206.41.148,benign,209.206.41.148,192.168.137.108,1514,1552756098.814129
209.206.41.148,benign,192.168.137.108,209.206.41.148,66,1552756098.816542
209.206.41.148,benign,192.168.137.108,209.206.41.148,66,1552756098.816719
209.206.41.148,benign,192.168.137.108,209.206.41.148,66,1552756098.81672
209.206.41.230,benign,209.206.41.230,192.168.137.108,66,1552756098.846967
