Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552767122.612077
192.168.137.255,benign,192.168.137.1,192.168.137.255,246,1552767129.894432
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552767140.766078
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552767140.780437
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552767140.967051
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552767140.999943
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552767141.047892
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767141.048745
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552767141.051466
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552767141.053462
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552767141.068913
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552767141.072476
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552767141.074584
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552767141.075945
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552767141.083633
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552767141.087952
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552767141.088637
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552767141.089596
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552767141.089793
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552767141.089898
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767141.09209
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767141.092337
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767141.092338
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767141.092339
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552767141.104961
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.106591
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552767141.11283
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.114303
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552767141.114492
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.116343
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552767141.118111
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552767141.118546
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552767141.119248
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.148803
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552767141.149365
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552767141.150527
157.240.3.20,benign,157.240.3.20,192.168.137.108,311,1552767141.150713
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.152682
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.15294
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.152941
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.153692
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552767141.154521
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552767141.155563
157.240.3.20,benign,157.240.3.20,192.168.137.108,309,1552767141.155793
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.156522
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552767141.157602
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.157608
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.157866
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.157866
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552767141.158703
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552767141.158858
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.160325
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.160714
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.160715
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552767141.392698
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552767141.412919
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552767141.413109
157.240.3.20,benign,192.168.137.108,157.240.3.20,200,1552767141.422366
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552767141.425158
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.427178
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552767141.444573
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.445874
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552767141.446852
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767141.448283
157.240.3.20,benign,157.240.3.20,192.168.137.108,332,1552767141.452304
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.454513
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552767141.579123
157.240.3.20,benign,192.168.137.108,157.240.3.20,775,1552767141.579124
157.240.3.20,benign,192.168.137.108,157.240.3.20,471,1552767141.579129
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552767141.57913
108.161.188.128,ads,108.161.188.128,192.168.137.108,795,1552767141.615024
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767141.62097
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552767141.629024
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.630713
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.646893
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.648373
157.240.3.20,benign,157.240.3.20,192.168.137.108,823,1552767141.682043
157.240.3.20,benign,157.240.3.20,192.168.137.108,1223,1552767141.682351
157.240.3.20,benign,192.168.137.108,157.240.3.20,487,1552767141.748812
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552767141.748813
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.748983
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.748984
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552767141.781792
192.168.137.1,benign,192.168.137.108,192.168.137.1,74,1552767141.801073
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.801074
157.240.3.20,benign,192.168.137.108,157.240.3.20,505,1552767141.801518
157.240.3.20,benign,192.168.137.108,157.240.3.20,695,1552767141.810749
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.818733
192.168.137.108,benign,192.168.137.1,192.168.137.108,170,1552767141.818788
52.3.174.175,benign,192.168.137.108,52.3.174.175,74,1552767141.823845
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.835357
157.240.3.20,benign,157.240.3.20,192.168.137.108,211,1552767141.83559
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.83907
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.839076
157.240.3.20,benign,157.240.3.20,192.168.137.108,919,1552767141.839709
157.240.3.20,benign,192.168.137.108,157.240.3.20,125,1552767141.840153
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552767141.840809
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767141.842948
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.867663
52.3.174.175,benign,52.3.174.175,192.168.137.108,74,1552767141.907947
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767141.915848
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767141.986607
157.240.3.20,benign,192.168.137.108,157.240.3.20,1020,1552767141.986798
52.3.174.175,benign,192.168.137.108,52.3.174.175,277,1552767141.990431
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767142.014607
52.3.174.175,benign,52.3.174.175,192.168.137.108,66,1552767142.071851
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552767142.073782
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552767142.073969
52.3.174.175,benign,52.3.174.175,192.168.137.108,1514,1552767142.074066
52.3.174.175,benign,52.3.174.175,192.168.137.108,847,1552767142.074154
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767142.075541
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767142.07621
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767142.076518
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767142.07858
52.3.174.175,benign,192.168.137.108,52.3.174.175,200,1552767142.157227
52.3.174.175,benign,52.3.174.175,192.168.137.108,332,1552767142.236061
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767142.24196
52.3.174.175,benign,192.168.137.108,52.3.174.175,391,1552767142.278976
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552767142.377979
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767142.384189
52.3.174.175,benign,52.3.174.175,192.168.137.108,66,1552767142.39935
52.3.174.175,benign,192.168.137.108,52.3.174.175,1431,1552767142.499817
157.240.3.20,benign,157.240.3.20,192.168.137.108,743,1552767142.53805
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767142.576171
52.3.174.175,benign,52.3.174.175,192.168.137.108,66,1552767142.57925
52.3.174.175,benign,52.3.174.175,192.168.137.108,295,1552767142.580497
52.3.174.175,benign,52.3.174.175,192.168.137.108,103,1552767142.580717
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767142.583549
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767142.661256
52.3.174.175,benign,192.168.137.108,52.3.174.175,66,1552767143.118261
108.161.188.128,ads,108.161.188.128,192.168.137.108,91,1552767145.616781
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552767145.617157
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767145.66385
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767145.696245
192.168.137.1,benign,192.168.137.108,192.168.137.1,75,1552767149.58365
192.168.137.1,benign,192.168.137.108,192.168.137.1,88,1552767149.584051
192.168.137.108,benign,192.168.137.1,192.168.137.108,167,1552767149.598354
192.168.137.108,benign,192.168.137.1,192.168.137.108,142,1552767149.602852
34.237.25.192,benign,192.168.137.108,34.237.25.192,74,1552767149.605983
35.241.26.53,ads,192.168.137.108,35.241.26.53,74,1552767149.607112
35.241.26.53,ads,35.241.26.53,192.168.137.108,74,1552767149.641315
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552767149.643262
35.241.26.53,ads,192.168.137.108,35.241.26.53,329,1552767149.649294
35.241.26.53,ads,35.241.26.53,192.168.137.108,66,1552767149.678676
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552767149.680106
35.241.26.53,ads,35.241.26.53,192.168.137.108,1484,1552767149.680288
35.241.26.53,ads,35.241.26.53,192.168.137.108,580,1552767149.681017
34.237.25.192,benign,34.237.25.192,192.168.137.108,74,1552767149.692251
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552767149.695697
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552767149.695896
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552767149.695897
34.237.25.192,benign,192.168.137.108,34.237.25.192,66,1552767149.696119
34.237.25.192,benign,192.168.137.108,34.237.25.192,278,1552767149.706918
34.237.25.192,benign,34.237.25.192,192.168.137.108,1514,1552767149.794311
34.237.25.192,benign,34.237.25.192,192.168.137.108,1514,1552767149.795143
34.237.25.192,benign,34.237.25.192,192.168.137.108,508,1552767149.795332
35.241.26.53,ads,192.168.137.108,35.241.26.53,216,1552767149.876224
34.237.25.192,benign,192.168.137.108,34.237.25.192,66,1552767149.876528
34.237.25.192,benign,192.168.137.108,34.237.25.192,66,1552767149.878938
34.237.25.192,benign,192.168.137.108,34.237.25.192,66,1552767149.879137
35.241.26.53,ads,35.241.26.53,192.168.137.108,369,1552767149.903314
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552767149.905205
35.241.26.53,ads,192.168.137.108,35.241.26.53,759,1552767149.965128
34.237.25.192,benign,192.168.137.108,34.237.25.192,200,1552767149.976331
35.241.26.53,ads,35.241.26.53,192.168.137.108,66,1552767150.032798
34.237.25.192,benign,34.237.25.192,192.168.137.108,316,1552767150.061195
34.237.25.192,benign,192.168.137.108,34.237.25.192,66,1552767150.063009
35.241.26.53,ads,35.241.26.53,192.168.137.108,487,1552767150.12667
34.237.25.192,benign,192.168.137.108,34.237.25.192,1143,1552767150.18482
35.241.26.53,ads,192.168.137.108,35.241.26.53,66,1552767150.187828
108.161.188.128,ads,192.168.137.108,108.161.188.128,91,1552767150.207398
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552767150.207399
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552767150.24011
34.237.25.192,benign,34.237.25.192,192.168.137.108,66,1552767150.267483
34.237.25.192,benign,192.168.137.108,34.237.25.192,103,1552767150.269333
34.237.25.192,benign,34.237.25.192,192.168.137.108,66,1552767150.352099
34.237.25.192,benign,34.237.25.192,192.168.137.108,279,1552767150.360386
34.237.25.192,benign,192.168.137.108,34.237.25.192,66,1552767150.362133
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552767150.369547
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767150.369547
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767150.399592
157.240.3.20,benign,157.240.3.20,192.168.137.108,103,1552767150.399772
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767150.399945
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767150.403303
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767150.484485
157.240.3.20,benign,192.168.137.108,157.240.3.20,54,1552767150.496688
157.240.3.20,benign,192.168.137.108,157.240.3.20,54,1552767150.496689
157.240.3.20,benign,192.168.137.108,157.240.3.20,54,1552767150.496924
157.240.3.20,benign,192.168.137.108,157.240.3.20,54,1552767150.496926
192.168.137.1,benign,192.168.137.108,192.168.137.1,85,1552767150.798938
192.168.137.1,benign,192.168.137.108,192.168.137.1,83,1552767150.799302
192.168.137.108,benign,192.168.137.1,192.168.137.108,101,1552767150.813318
35.241.22.100,ads,192.168.137.108,35.241.22.100,74,1552767150.821202
192.168.137.108,benign,192.168.137.1,192.168.137.108,147,1552767150.834868
99.84.74.59,benign,192.168.137.108,99.84.74.59,74,1552767150.839237
35.241.22.100,ads,35.241.22.100,192.168.137.108,74,1552767150.8553
35.241.22.100,ads,192.168.137.108,35.241.22.100,66,1552767150.856832
35.241.22.100,ads,192.168.137.108,35.241.22.100,326,1552767150.863275
99.84.74.59,benign,99.84.74.59,192.168.137.108,74,1552767150.87683
99.84.74.59,benign,192.168.137.108,99.84.74.59,66,1552767150.878638
99.84.74.59,benign,192.168.137.108,99.84.74.59,324,1552767150.883165
35.241.22.100,ads,35.241.22.100,192.168.137.108,66,1552767150.8963
35.241.22.100,ads,35.241.22.100,192.168.137.108,1484,1552767150.898199
35.241.22.100,ads,35.241.22.100,192.168.137.108,1484,1552767150.898255
35.241.22.100,ads,35.241.22.100,192.168.137.108,209,1552767150.898612
35.241.22.100,ads,192.168.137.108,35.241.22.100,66,1552767150.89996
35.241.22.100,ads,192.168.137.108,35.241.22.100,66,1552767150.900096
35.241.22.100,ads,192.168.137.108,35.241.22.100,66,1552767150.902641
99.84.74.59,benign,99.84.74.59,192.168.137.108,66,1552767150.923276
99.84.74.59,benign,99.84.74.59,192.168.137.108,1514,1552767150.927369
99.84.74.59,benign,99.84.74.59,192.168.137.108,1514,1552767150.927423
99.84.74.59,benign,99.84.74.59,192.168.137.108,1514,1552767150.927453
99.84.74.59,benign,99.84.74.59,192.168.137.108,970,1552767150.927476
99.84.74.59,benign,192.168.137.108,99.84.74.59,66,1552767150.929258
99.84.74.59,benign,192.168.137.108,99.84.74.59,66,1552767150.93132
99.84.74.59,benign,192.168.137.108,99.84.74.59,66,1552767150.931496
99.84.74.59,benign,192.168.137.108,99.84.74.59,66,1552767150.931497
35.241.22.100,ads,192.168.137.108,35.241.22.100,216,1552767151.110954
99.84.74.59,benign,192.168.137.108,99.84.74.59,216,1552767151.110955
35.241.22.100,ads,35.241.22.100,192.168.137.108,369,1552767151.141991
99.84.74.59,benign,99.84.74.59,192.168.137.108,332,1552767151.145411
35.241.22.100,ads,192.168.137.108,35.241.22.100,66,1552767151.189537
99.84.74.59,benign,192.168.137.108,99.84.74.59,66,1552767151.192017
35.241.22.100,ads,192.168.137.108,35.241.22.100,487,1552767151.257163
99.84.74.59,benign,192.168.137.108,99.84.74.59,519,1552767151.25897
35.241.22.100,ads,35.241.22.100,192.168.137.108,279,1552767151.326581
99.84.74.59,benign,99.84.74.59,192.168.137.108,66,1552767151.340806
35.241.22.100,ads,192.168.137.108,35.241.22.100,66,1552767151.416859
157.240.3.20,benign,192.168.137.108,157.240.3.20,103,1552767151.425271
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552767151.426165
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767151.457785
157.240.3.20,benign,157.240.3.20,192.168.137.108,103,1552767151.458422
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767151.45859
157.240.3.20,benign,192.168.137.108,157.240.3.20,54,1552767151.46156
157.240.3.20,benign,192.168.137.108,157.240.3.20,54,1552767151.461838
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552767151.462337
157.240.3.20,benign,192.168.137.108,157.240.3.20,54,1552767151.464142
99.84.74.59,benign,99.84.74.59,192.168.137.108,1127,1552767151.538308
99.84.74.59,benign,99.84.74.59,192.168.137.108,1514,1552767151.538585
99.84.74.59,benign,99.84.74.59,192.168.137.108,223,1552767151.538679
99.84.74.59,benign,99.84.74.59,192.168.137.108,119,1552767151.538768
99.84.74.59,benign,192.168.137.108,99.84.74.59,66,1552767151.544337
