Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552768959.444961
192.168.137.1,benign,192.168.137.108,192.168.137.1,77,1552768977.967669
192.168.137.108,benign,192.168.137.1,192.168.137.108,143,1552768978.002507
108.161.188.128,ads,192.168.137.108,108.161.188.128,74,1552768978.125657
108.161.188.128,ads,108.161.188.128,192.168.137.108,66,1552768978.158165
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552768978.159783
108.161.188.128,ads,192.168.137.108,108.161.188.128,268,1552768978.185672
108.161.188.128,ads,108.161.188.128,192.168.137.108,54,1552768978.218334
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552768978.22028
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552768978.220485
108.161.188.128,ads,108.161.188.128,192.168.137.108,1514,1552768978.220596
108.161.188.128,ads,108.161.188.128,192.168.137.108,803,1552768978.220688
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552768978.222822
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552768978.223059
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552768978.22306
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552768978.224836
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552768978.509296
192.168.137.1,benign,192.168.137.108,192.168.137.1,78,1552768978.509682
108.161.188.128,ads,192.168.137.108,108.161.188.128,188,1552768978.534143
108.161.188.128,ads,108.161.188.128,192.168.137.108,320,1552768978.564412
108.161.188.128,ads,192.168.137.108,108.161.188.128,54,1552768978.566061
192.168.137.108,benign,192.168.137.1,192.168.137.108,136,1552768978.572943
192.168.137.108,benign,192.168.137.1,192.168.137.108,160,1552768978.573725
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552768978.575885
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552768978.575886
157.240.3.20,benign,192.168.137.108,157.240.3.20,74,1552768978.577361
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552768978.608453
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552768978.610031
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552768978.610128
157.240.3.20,benign,157.240.3.20,192.168.137.108,74,1552768978.610576
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552768978.612137
157.240.3.20,benign,192.168.137.108,157.240.3.20,66,1552768978.612524
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552768978.613925
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552768978.614142
157.240.3.20,benign,192.168.137.108,157.240.3.20,281,1552768978.614307
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552768978.646528
108.161.188.128,ads,192.168.137.108,108.161.188.128,363,1552768978.646533
157.240.3.20,benign,157.240.3.20,192.168.137.108,66,1552768978.646821
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552768978.647521
157.240.3.20,benign,157.240.3.20,192.168.137.108,1464,1552768978.648168
157.240.3.20,benign,157.240.3.20,192.168.137.108,310,1552768978.648431
