Filename,Init. Timestamp,Fin. Timestamp,time (s),time (min),Total # of Frames,Begnign Frames,Ad Frames,Tracking Frames,Ad/Tracking Frames,Benign Traffic Size,Ad Traffic Size,Tracking Traffic Size,Ad/Tracking Traffic Size,Benign IPs,Ad IPs,Tracking IPs,Ad/Tracking IPs
com.peoplefun.wordcross.apk.pcap,1553154635,1553155530,894.8716509,14.91452752,949,949,0,0,0,349866,0,0,0,23,0,0,0
com.youmusic.magictiles.apk.pcap,1553164820,1553165720,899.8527749,14.99754625,55562,53929,225,110,1298,52758741,100858,82314,415075,78,3,2,3
com.luckyday.app.apk.pcap,1553148892,1553149779,886.8324001,14.78054,8456,8434,0,0,22,6666755,0,0,1542,38,0,0,2
com.love.poly.puzzle.game.apk.pcap,1553147959,1553148846,886.3693621,14.7728227,330,321,9,0,0,106914,486,0,0,14,2,0,0
com.word.game.fun.puzzle.prison.escape.captain.apk.pcap,1553163898,1553164795,897.2240741,14.95373457,6099,5278,6,0,815,4217170,427,0,233265,34,2,0,2
com.fullfat.bw.apk.pcap,1553144249,1553145148,898.7684178,14.97947363,115395,110488,4427,146,334,92768219,2046133,97301,74076,77,8,2,3
com.roblox.client.apk.pcap,1553161138,1553162032,893.670989,14.89451648,25174,24891,232,0,51,22412867,135899,0,13646,42,3,0,2
com.mindy.grap1.apk.pcap,1553151865,1553152739,873.8896649,14.56482775,71760,63997,3688,284,3791,63145099,1293987,148476,1147246,70,10,3,4
com.amanotes.beathopper.apk.pcap,1553140550,1553141440,890.4771578,14.84128596,34991,30836,139,11,4005,29795389,60352,795,4330013,70,3,2,3
com.playrix.gardenscapes.apk.pcap,1553158348,1553159242,893.7926981,14.89654497,104596,104461,0,135,0,128830995,0,96561,0,38,0,3,0
io.voodoo.holeio.apk.pcap,1553166679,1553167577,898.636879,14.97728132,41085,32900,6303,153,1729,27372254,2701890,101184,573721,89,11,3,3
com.matchington.mansion.apk.pcap,1553150737,1553151634,896.7394359,14.94565727,1323,1309,0,0,14,573670,0,0,3392,30,0,0,2
com.playrix.township.apk.pcap,1553160207,1553161100,893.3823152,14.88970525,2381,2352,29,0,0,544819,3837,0,0,29,2,0,0
com.colorup.game.apk.pcap,1553143320,1553144212,892.136801,14.86894668,13363,9628,1600,1053,1082,6167968,1009367,730851,467448,57,7,3,3
com.ohbibi.fps.apk.pcap,1553152785,1553153685,899.944171,14.99906952,17149,13049,147,68,3885,10449642,30193,22240,4353621,40,4,3,3
io.voodoo.paper2.apk.pcap,1553167606,1553168506,899.984762,14.99974603,51319,44210,4490,586,2033,34637211,2197153,410949,619355,117,14,6,4
com.h8games.helixjump.apk.pcap,1553145173,1553146074,900.286407,15.00477345,19149,14509,3623,176,841,6677510,1694650,103711,207233,60,6,3,3
com.halfbrick.fruitninjafree.apk.pcap,1553146112,1553147010,897.7316742,14.96219457,11555,9162,20,4,2369,8044626,1552,295,2865657,49,3,2,2
com.candywriter.bitlife.apk.pcap,1553141471,1553142368,897.8806999,14.96467833,10194,9550,0,0,644,8595749,0,0,179493,38,0,0,2
com.playrix.gardenscapes.apk.pcap,1553158348,1553159242,893.7926981,14.89654497,104596,104461,0,135,0,128830995,0,96561,0,38,0,3,0
io.voodoo.holeio.apk.pcap,1553166679,1553167577,898.636879,14.97728132,41085,32900,6303,153,1729,27372254,2701890,101184,573721,89,11,3,3
com.matchington.mansion.apk.pcap,1553150737,1553151634,896.7394359,14.94565727,1323,1309,0,0,14,573670,0,0,3392,30,0,0,2
com.playgendary.tanks.apk.pcap,1553156494,1553157393,898.8703039,14.98117173,7687,6722,160,126,679,5247537,33238,90836,196696,47,2,2,2
io.voodoo.crowdcity.apk.pcap,1553165747,1553166643,895.416491,14.92360818,51872,42479,7013,343,2037,36975231,3285854,194701,586105,105,13,5,4
com.magjg.roundhit.apk.pcap,1553149813,1553150713,899.2450211,14.98741702,9395,9395,0,0,0,3930491,0,0,0,15,0,0,0
com.sausageflip.game.apk.pcap,1553162054,1553162952,897.817589,14.96362648,55833,53934,236,85,1578,54377760,55915,29687,479312,67,3,3,2
com.parking.game.apk.pcap,1553153708,1553154604,896.4871449,14.94145242,51295,41154,2954,185,7002,39904491,1258101,94891,6321606,75,9,4,5
com.playgendary.kickthebuddy.apk.pcap,1553155569,1553156433,864.041043,14.40068405,150668,12361,21,138286,0,12133588,6450,170599353,0,43,2,3,0
com.playgendary.tom.apk.pcap,1553157419,1553158304,884.075959,14.73459932,10227,9108,378,0,741,8917443,78880,0,265777,38,3,0,2
com.snow.drift.apk.pcap,1553162977,1553163876,899.8945611,14.99824268,34237,20440,1797,13,11987,16843691,639760,915,11399206,57,12,2,6
com.circleball.hoppingball.apk.pcap,1553142392,1553143289,896.6227009,14.94371168,1413,662,44,5,702,158948,11052,361,179988,32,4,2,2
com.kiloo.subwaysurf.apk.pcap,1553147040,1553147932,891.7964089,14.86327348,360,357,3,0,0,87651,193,0,0,22,2,0,0
com.playrix.homescapes.apk.pcap,1553159277,1553160168,890.9522071,14.84920345,25205,23793,362,130,920,24549692,339247,91113,1044567,42,3,2,2
