Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
ff02::1:2,benign,fe80::b582:f506:111:a9cb,ff02::1:2,145,1552931344.930791
192.168.137.255,benign,192.168.137.1,192.168.137.255,110,1552931345.170639
ff02::1:3,benign,fe80::b582:f506:111:a9cb,ff02::1:3,84,1552931345.170819
224.0.0.252,benign,192.168.137.1,224.0.0.252,64,1552931345.170942
ff02::1:3,benign,fe80::b582:f506:111:a9cb,ff02::1:3,84,1552931345.190764
ff02::1:3,benign,fe80::b582:f506:111:a9cb,ff02::1:3,84,1552931345.190872
224.0.0.252,benign,192.168.137.1,224.0.0.252,64,1552931345.190906
ff02::c,benign,fe80::b582:f506:111:a9cb,ff02::c,718,1552931345.266234
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931345.510602
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931345.530736
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931345.530871
224.0.0.251,benign,192.168.137.1,224.0.0.251,70,1552931345.770723
ff02::fb,benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931345.770959
224.0.0.251,benign,192.168.137.1,224.0.0.251,70,1552931345.771106
ff02::fb,benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931345.771271
224.0.0.251,benign,192.168.137.1,224.0.0.251,70,1552931345.79078
224.0.0.251,benign,192.168.137.1,224.0.0.251,70,1552931345.790937
ff02::fb,benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931345.791066
ff02::fb,benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931345.791242
192.168.137.255,benign,192.168.137.1,192.168.137.255,216,1552931345.930993
192.168.137.255,benign,192.168.137.1,192.168.137.255,243,1552931345.93691
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931345.950655
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931346.270698
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931346.290961
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931346.291062
192.168.137.255,benign,192.168.137.1,192.168.137.255,216,1552931347.450967
192.168.137.255,benign,192.168.137.1,192.168.137.255,216,1552931348.960611
192.168.137.255,benign,192.168.137.1,192.168.137.255,216,1552931350.460948
192.168.137.255,benign,192.168.137.1,192.168.137.255,228,1552931351.980739
192.168.137.255,benign,192.168.137.1,192.168.137.255,228,1552931352.990659
192.168.137.255,benign,192.168.137.1,192.168.137.255,228,1552931354.01074
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552931354.753495
192.168.137.255,benign,192.168.137.1,192.168.137.255,228,1552931355.03089
ff02::1:2,benign,fe80::b582:f506:111:a9cb,ff02::1:2,145,1552931360.940825
ff02::2,benign,fe80::ae37:43ff:fe47:2b75,ff02::2,70,1552931363.539522
192.168.137.1,benign,192.168.137.4,192.168.137.1,79,1552931367.943481
192.168.137.4,benign,192.168.137.1,192.168.137.4,441,1552931367.944323
216.58.193.74,benign,192.168.137.4,216.58.193.74,74,1552931367.959838
216.58.193.74,benign,216.58.193.74,192.168.137.4,74,1552931367.97482
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931367.977592
216.58.193.74,benign,192.168.137.4,216.58.193.74,251,1552931367.982045
216.58.193.74,benign,216.58.193.74,192.168.137.4,66,1552931367.997092
216.58.193.74,benign,216.58.193.74,192.168.137.4,1484,1552931368.004251
216.58.193.74,benign,216.58.193.74,192.168.137.4,1484,1552931368.004311
216.58.193.74,benign,216.58.193.74,192.168.137.4,831,1552931368.005601
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931368.008608
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931368.008608
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931368.008608
216.58.193.74,benign,192.168.137.4,216.58.193.74,159,1552931368.110981
216.58.193.74,benign,216.58.193.74,192.168.137.4,350,1552931368.126337
216.58.193.74,benign,192.168.137.4,216.58.193.74,282,1552931368.128785
216.58.193.74,benign,216.58.193.74,192.168.137.4,868,1552931368.160291
216.58.193.74,benign,216.58.193.74,192.168.137.4,180,1552931368.160539
216.58.193.74,benign,216.58.193.74,192.168.137.4,100,1552931368.161064
216.58.193.74,benign,216.58.193.74,192.168.137.4,100,1552931368.200704
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931368.203944
216.58.193.74,benign,192.168.137.4,216.58.193.74,78,1552931368.203944
216.58.193.74,benign,192.168.137.4,216.58.193.74,1190,1552931368.284339
216.58.193.74,benign,216.58.193.74,192.168.137.4,524,1552931368.320894
216.58.193.74,benign,216.58.193.74,192.168.137.4,210,1552931368.321056
216.58.193.74,benign,216.58.193.74,192.168.137.4,100,1552931368.321587
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931368.324091
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931368.324091
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931368.324091
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931381.67255
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931381.851084
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931382.190962
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931382.870918
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931384.221316
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552931384.965019
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931386.230558
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931388.231049
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931391.690997
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931391.910608
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931392.350901
ff02::1:2,benign,fe80::b582:f506:111:a9cb,ff02::1:2,145,1552931392.950831
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931393.2108
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931394.94068
ff02::2,benign,fe80::ae37:43ff:fe47:2b75,ff02::2,70,1552931395.831584
192.168.137.1,benign,192.168.137.4,192.168.137.1,74,1552931396.199367
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931396.950589
192.168.137.1,benign,192.168.137.4,192.168.137.1,74,1552931398.295025
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931398.951112
192.168.137.1,benign,192.168.137.4,192.168.137.1,74,1552931402.298775
216.58.193.74,benign,192.168.137.4,216.58.193.74,74,1552931402.897371
216.58.193.74,benign,216.58.193.74,192.168.137.4,74,1552931402.912489
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931402.915197
216.58.193.74,benign,192.168.137.4,216.58.193.74,251,1552931403.016018
216.58.193.74,benign,216.58.193.74,192.168.137.4,66,1552931403.03117
216.58.193.74,benign,216.58.193.74,192.168.137.4,1484,1552931403.03834
216.58.193.74,benign,216.58.193.74,192.168.137.4,1484,1552931403.038457
216.58.193.74,benign,216.58.193.74,192.168.137.4,830,1552931403.039528
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931403.043783
216.58.193.74,benign,216.58.193.74,192.168.137.4,830,1552931403.096404
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931403.135593
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931403.135593
216.58.193.74,benign,192.168.137.4,216.58.193.74,78,1552931403.137941
216.58.193.74,benign,192.168.137.4,216.58.193.74,159,1552931403.264585
216.58.193.74,benign,216.58.193.74,192.168.137.4,350,1552931403.279797
216.58.193.74,benign,192.168.137.4,216.58.193.74,282,1552931403.283647
216.58.193.74,benign,216.58.193.74,192.168.137.4,868,1552931403.31124
216.58.193.74,benign,216.58.193.74,192.168.137.4,173,1552931403.311465
216.58.193.74,benign,216.58.193.74,192.168.137.4,100,1552931403.31153
216.58.193.74,benign,216.58.193.74,192.168.137.4,100,1552931403.388165
216.58.193.74,benign,192.168.137.4,216.58.193.74,78,1552931403.391664
216.58.193.74,benign,192.168.137.4,216.58.193.74,1236,1552931403.501706
216.58.193.74,benign,216.58.193.74,192.168.137.4,665,1552931403.540749
216.58.193.74,benign,216.58.193.74,192.168.137.4,159,1552931403.540961
216.58.193.74,benign,216.58.193.74,192.168.137.4,100,1552931403.541102
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931403.629878
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931403.629878
216.58.193.74,benign,192.168.137.4,216.58.193.74,66,1552931403.629878
216.58.193.74,benign,216.58.193.74,192.168.137.4,100,1552931403.633064
216.58.193.74,benign,192.168.137.4,216.58.193.74,78,1552931403.636326
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931407.461472
224.0.0.251,benign,192.168.137.1,224.0.0.251,70,1552931407.461771
ff02::fb,benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931407.462006
224.0.0.251,benign,192.168.137.1,224.0.0.251,70,1552931407.462196
ff02::fb,benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931407.462341
ff02::1:3,benign,fe80::b582:f506:111:a9cb,ff02::1:3,84,1552931407.462388
224.0.0.252,benign,192.168.137.1,224.0.0.252,64,1552931407.462511
ff02::1:3,benign,fe80::b582:f506:111:a9cb,ff02::1:3,84,1552931407.890679
224.0.0.252,benign,192.168.137.1,224.0.0.252,64,1552931407.890842
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931408.230513
224.0.0.251,benign,192.168.137.1,224.0.0.251,70,1552931408.471077
ff02::fb,benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931408.471259
224.0.0.251,benign,192.168.137.1,224.0.0.251,70,1552931408.471525
ff02::fb,benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931408.471741
192.168.137.255,benign,192.168.137.1,192.168.137.255,92,1552931408.99067
192.168.137.1,benign,192.168.137.4,192.168.137.1,74,1552931410.235497
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552931415.17462
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931415.912371
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931416.086202
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931416.430508
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931417.110605
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931418.460902
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931420.470657
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931422.481027
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931425.95089
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931426.080698
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931426.34102
192.168.137.1,benign,192.168.137.4,192.168.137.1,74,1552931426.372221
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931426.840681
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931427.841079
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931429.841055
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931431.850822
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552931445.374046
192.168.137.1,benign,192.168.137.4,192.168.137.1,74,1552931458.438615
ff02::2,benign,fe80::ae37:43ff:fe47:2b75,ff02::2,70,1552931460.648507
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931461.802717
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931461.980782
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931462.320873
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931463.010969
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931464.361068
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931466.3708
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931468.381575
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931471.861254
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931472.040943
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931472.370874
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931473.02108
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931474.320669
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552931475.56424
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931476.32112
239.255.255.250,benign,192.168.137.1,239.255.255.250,698,1552931478.34108
192.168.137.1,benign,192.168.137.4,192.168.137.1,78,1552931499.749969
192.168.137.4,benign,192.168.137.1,192.168.137.4,440,1552931499.75117
172.217.14.234,benign,192.168.137.4,172.217.14.234,74,1552931499.757655
172.217.14.234,benign,172.217.14.234,192.168.137.4,74,1552931499.773133
172.217.14.234,benign,192.168.137.4,172.217.14.234,66,1552931499.776387
172.217.14.234,benign,192.168.137.4,172.217.14.234,583,1552931499.777788
172.217.14.234,benign,172.217.14.234,192.168.137.4,66,1552931499.793091
172.217.14.234,benign,172.217.14.234,192.168.137.4,228,1552931499.793272
172.217.14.234,benign,192.168.137.4,172.217.14.234,66,1552931499.795382
172.217.14.234,benign,192.168.137.4,172.217.14.234,117,1552931499.795383
172.217.14.234,benign,172.217.14.234,192.168.137.4,66,1552931499.85145
172.217.14.234,benign,192.168.137.4,172.217.14.234,1424,1552931499.882421
172.217.14.234,benign,172.217.14.234,192.168.137.4,66,1552931499.897722
172.217.14.234,benign,172.217.14.234,192.168.137.4,649,1552931499.974872
172.217.14.234,benign,172.217.14.234,192.168.137.4,304,1552931499.975123
172.217.14.234,benign,172.217.14.234,192.168.137.4,100,1552931499.975701
172.217.14.234,benign,192.168.137.4,172.217.14.234,66,1552931499.981546
172.217.14.234,benign,192.168.137.4,172.217.14.234,66,1552931500.021475
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1552931505.794374
192.168.137.1,benign,192.168.137.4,192.168.137.1,98,1552931508.510335
192.168.137.4,benign,192.168.137.1,192.168.137.4,428,1552931508.511752
172.217.14.234,benign,192.168.137.4,172.217.14.234,74,1552931508.518101
