Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.1,192.168.137.255,92,1553538210.380642
benign,192.168.137.68,172.217.14.202,74,1553538218.154633
benign,192.168.137.68,172.217.14.202,74,1553538219.190876
benign,192.168.137.68,172.217.14.202,74,1553538221.27014
benign,192.168.137.68,216.58.193.74,97,1553538222.688559
benign,192.168.137.68,172.217.14.195,358,1553538222.929186
benign,192.168.137.68,172.217.14.202,1434,1553538222.929187
benign,192.168.137.68,172.217.14.202,74,1553538225.258056
benign,192.168.137.68,172.217.3.170,1434,1553538226.157802
benign,192.168.137.68,216.58.193.74,971,1553538226.820183
benign,192.168.137.1,192.168.137.255,188,1553538231.364246
benign,fe80::ae37:43ff:fe47:2b75,ff02::2,70,1553538232.490952
benign,192.168.137.68,172.217.14.202,74,1553538233.194252
benign,192.168.137.68,172.217.14.206,179,1553538237.678717
benign,192.168.137.68,172.217.14.206,1392,1553538237.678717
benign,192.168.137.68,172.217.14.202,97,1553538238.100449
benign,192.168.137.1,224.0.0.251,81,1553538238.897192
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.897414
benign,192.168.137.1,224.0.0.251,81,1553538238.897619
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.897751
benign,192.168.137.1,224.0.0.251,81,1553538238.897932
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.89814
benign,192.168.137.1,224.0.0.251,81,1553538238.898331
benign,fe80::b582:f506:111:a9cb,ff02::1:3,95,1553538238.898457
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.898466
benign,192.168.137.1,224.0.0.252,75,1553538238.898565
benign,fe80::b582:f506:111:a9cb,ff02::1:3,95,1553538238.898954
benign,192.168.137.1,224.0.0.251,81,1553538238.90554
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.905683
benign,192.168.137.1,224.0.0.251,81,1553538238.905907
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.905989
benign,192.168.137.1,224.0.0.251,81,1553538238.907908
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.908007
benign,192.168.137.1,224.0.0.251,81,1553538238.908174
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.90826
benign,192.168.137.1,224.0.0.251,81,1553538238.915155
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.915288
benign,192.168.137.1,224.0.0.251,81,1553538238.915438
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538238.915523
benign,192.168.137.68,172.217.3.170,97,1553538244.296084
benign,192.168.137.68,172.217.3.170,74,1553538244.574299
benign,192.168.137.68,172.217.3.170,74,1553538245.652421
benign,192.168.137.68,172.217.3.170,74,1553538247.586338
benign,192.168.137.1,239.255.255.250,698,1553538248.724084
benign,192.168.137.1,239.255.255.250,698,1553538248.922206
benign,192.168.137.68,172.217.14.202,74,1553538249.296634
benign,192.168.137.1,239.255.255.250,698,1553538249.323353
benign,192.168.137.1,239.255.255.250,698,1553538250.125985
benign,192.168.137.68,172.217.14.202,74,1553538250.798303
benign,192.168.137.68,172.217.3.170,74,1553538251.590716
benign,192.168.137.1,239.255.255.250,698,1553538251.724076
benign,192.168.137.68,172.217.14.202,74,1553538251.734365
benign,192.168.137.1,239.255.255.250,698,1553538253.724479
benign,192.168.137.68,172.217.14.202,74,1553538253.773234
benign,192.168.137.1,239.255.255.250,698,1553538255.738736
benign,192.168.137.68,172.217.14.202,74,1553538257.831713
benign,192.168.137.1,239.255.255.250,698,1553538258.763706
benign,192.168.137.1,239.255.255.250,698,1553538258.916802
benign,192.168.137.1,239.255.255.250,698,1553538259.20119
benign,192.168.137.68,172.217.3.170,74,1553538259.620012
benign,192.168.137.1,239.255.255.250,698,1553538259.763888
benign,192.168.137.1,239.255.255.250,698,1553538260.880222
benign,192.168.137.68,216.58.193.74,971,1553538261.102049
benign,192.168.137.1,192.168.137.255,188,1553538261.437163
benign,192.168.137.1,239.255.255.250,698,1553538262.901951
benign,192.168.137.1,239.255.255.250,698,1553538264.903034
benign,192.168.137.68,172.217.14.202,74,1553538265.779372
benign,192.168.137.68,172.217.14.202,1434,1553538267.92103
benign,192.168.137.68,172.217.3.170,1434,1553538268.04368
benign,192.168.137.68,172.217.14.195,358,1553538268.474471
benign,192.168.137.68,172.217.3.170,74,1553538275.753641
benign,192.168.137.68,172.217.14.234,74,1553538278.230879
benign,192.168.137.68,172.217.14.234,74,1553538279.229684
benign,192.168.137.68,172.217.14.234,74,1553538281.233368
benign,192.168.137.68,172.217.14.202,74,1553538281.810891
benign,192.168.137.68,172.217.14.234,74,1553538285.246778
benign,192.168.137.1,192.168.137.255,188,1553538291.497103
benign,192.168.137.68,172.217.14.234,74,1553538293.359767
benign,192.168.137.68,172.217.14.206,1392,1553538297.276737
benign,192.168.137.68,172.217.14.206,179,1553538297.276737
benign,192.168.137.68,172.217.14.234,74,1553538298.287888
benign,192.168.137.1,224.0.0.251,81,1553538298.924677
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.924953
benign,192.168.137.1,224.0.0.251,81,1553538298.925191
benign,192.168.137.1,224.0.0.251,81,1553538298.925337
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.925467
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.925625
benign,192.168.137.1,224.0.0.251,81,1553538298.92576
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.925906
benign,fe80::b582:f506:111:a9cb,ff02::1:3,95,1553538298.925974
benign,192.168.137.1,224.0.0.252,75,1553538298.926086
benign,fe80::b582:f506:111:a9cb,ff02::1:3,95,1553538298.926432
benign,192.168.137.1,224.0.0.251,81,1553538298.931537
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.931702
benign,192.168.137.1,224.0.0.251,81,1553538298.931921
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.932008
benign,192.168.137.1,224.0.0.251,81,1553538298.934506
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.934749
benign,192.168.137.1,224.0.0.251,81,1553538298.935035
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.935146
benign,192.168.137.1,224.0.0.251,81,1553538298.942496
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.942735
benign,192.168.137.1,224.0.0.251,81,1553538298.942999
benign,fe80::b582:f506:111:a9cb,ff02::fb,101,1553538298.943166
benign,192.168.137.68,172.217.14.234,74,1553538299.274605
benign,192.168.137.68,172.217.14.234,74,1553538301.3115
benign,192.168.137.68,172.217.3.164,74,1553538302.484599
benign,192.168.137.68,172.217.3.164,74,1553538303.557861
benign,192.168.137.68,172.217.14.202,74,1553538304.738219
benign,192.168.137.68,172.217.14.234,74,1553538305.260466
benign,192.168.137.68,172.217.3.164,74,1553538305.490655
benign,192.168.137.68,172.217.14.202,74,1553538305.663294
benign,192.168.137.68,172.217.14.202,74,1553538307.746999
benign,192.168.137.68,172.217.14.234,74,1553538309.326881
benign,192.168.137.68,172.217.3.164,74,1553538309.499339
benign,192.168.137.68,172.217.14.234,74,1553538310.925497
benign,192.168.137.68,172.217.14.202,74,1553538311.68571
benign,192.168.137.68,172.217.14.234,74,1553538311.871976
benign,192.168.137.68,172.217.14.234,74,1553538313.374749
benign,192.168.137.68,172.217.14.234,74,1553538313.846845
benign,192.168.137.68,172.217.3.164,74,1553538317.594023
benign,192.168.137.68,172.217.14.234,74,1553538317.858257
benign,192.168.137.68,172.217.14.202,74,1553538319.760784
benign,192.168.137.1,192.168.137.255,188,1553538321.579319
benign,fe80::b582:f506:111:a9cb,ff02::c,718,1553538323.709325
benign,192.168.137.1,239.255.255.250,698,1553538323.709756
benign,fe80::b582:f506:111:a9cb,ff02::c,718,1553538323.85585
benign,192.168.137.1,239.255.255.250,698,1553538323.955794
benign,fe80::b582:f506:111:a9cb,ff02::c,718,1553538324.139845
benign,192.168.137.1,239.255.255.250,698,1553538324.424534
