Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.186,benign,192.168.137.1,192.168.137.186,152,1553140549.972963
52.84.50.150,benign,192.168.137.186,52.84.50.150,74,1553140549.977104
52.84.50.150,benign,52.84.50.150,192.168.137.186,74,1553140550.010056
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.012194
52.84.50.150,benign,192.168.137.186,52.84.50.150,583,1553140550.012195
157.240.3.20,benign,157.240.3.20,192.168.137.186,1464,1553140550.015052
157.240.3.20,benign,157.240.3.20,192.168.137.186,796,1553140550.01523
157.240.3.20,benign,192.168.137.186,157.240.3.20,66,1553140550.017342
52.84.50.17,benign,192.168.137.186,52.84.50.17,812,1553140550.031066
52.84.50.17,benign,192.168.137.186,52.84.50.17,814,1553140550.045173
52.84.50.150,benign,52.84.50.150,192.168.137.186,66,1553140550.051136
52.84.50.150,benign,52.84.50.150,192.168.137.186,175,1553140550.051679
52.84.50.150,benign,52.84.50.150,192.168.137.186,1514,1553140550.052943
52.84.50.150,benign,52.84.50.150,192.168.137.186,1514,1553140550.053227
52.84.50.150,benign,52.84.50.150,192.168.137.186,1514,1553140550.053424
52.84.50.150,benign,52.84.50.150,192.168.137.186,1514,1553140550.053888
52.84.50.150,benign,52.84.50.150,192.168.137.186,1514,1553140550.054277
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.054505
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.055872
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.055873
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.055873
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.055873
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.055873
52.84.50.17,benign,52.84.50.17,192.168.137.186,281,1553140550.056881
52.84.50.17,benign,52.84.50.17,192.168.137.186,66,1553140550.058562
52.84.50.17,benign,192.168.137.186,52.84.50.17,66,1553140550.060977
52.84.50.17,benign,52.84.50.17,192.168.137.186,66,1553140550.072499
157.240.3.20,benign,192.168.137.186,157.240.3.20,1464,1553140550.074005
157.240.3.20,benign,192.168.137.186,157.240.3.20,1464,1553140550.074006
52.84.50.17,benign,52.84.50.17,192.168.137.186,280,1553140550.074774
157.240.3.20,benign,192.168.137.186,157.240.3.20,767,1553140550.075711
52.84.50.17,benign,192.168.137.186,52.84.50.17,66,1553140550.076886
52.84.50.150,benign,52.84.50.150,192.168.137.186,161,1553140550.086231
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.092792
52.84.50.150,benign,192.168.137.186,52.84.50.150,192,1553140550.096776
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.104279
52.84.50.150,benign,192.168.137.186,52.84.50.150,159,1553140550.109611
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.109624
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.109767
52.84.50.150,benign,192.168.137.186,52.84.50.150,958,1553140550.111217
52.84.50.150,benign,52.84.50.150,192.168.137.186,185,1553140550.128777
52.84.50.150,benign,52.84.50.150,192.168.137.186,186,1553140550.128974
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.133337
52.84.50.150,benign,192.168.137.186,52.84.50.150,104,1553140550.133338
52.84.50.150,benign,52.84.50.150,192.168.137.186,104,1553140550.139651
52.84.50.150,benign,52.84.50.150,192.168.137.186,66,1553140550.163814
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.182378
52.84.50.17,benign,52.84.50.17,192.168.137.186,279,1553140550.197085
52.84.50.17,benign,192.168.137.186,52.84.50.17,66,1553140550.201049
52.84.50.17,benign,52.84.50.17,192.168.137.186,281,1553140550.213811
52.84.50.17,benign,192.168.137.186,52.84.50.17,66,1553140550.217147
157.240.3.20,benign,157.240.3.20,192.168.137.186,1464,1553140550.228704
157.240.3.20,benign,157.240.3.20,192.168.137.186,794,1553140550.228939
157.240.3.20,benign,192.168.137.186,157.240.3.20,66,1553140550.234933
52.84.50.17,benign,192.168.137.186,52.84.50.17,862,1553140550.253708
52.84.50.17,benign,52.84.50.17,192.168.137.186,66,1553140550.319697
157.240.3.20,benign,192.168.137.186,157.240.3.20,1464,1553140550.353641
157.240.3.20,benign,192.168.137.186,157.240.3.20,1464,1553140550.353643
157.240.3.20,benign,192.168.137.186,157.240.3.20,767,1553140550.355418
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.389246
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.389427
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.389521
52.84.50.150,benign,52.84.50.150,192.168.137.186,1020,1553140550.401394
52.84.50.150,benign,52.84.50.150,192.168.137.186,104,1553140550.401563
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.405783
52.84.50.150,benign,192.168.137.186,52.84.50.150,66,1553140550.405785
52.84.50.17,benign,52.84.50.17,192.168.137.186,280,1553140550.409507
52.84.50.17,benign,192.168.137.186,52.84.50.17,988,1553140550.435442
52.84.50.17,benign,52.84.50.17,192.168.137.186,66,1553140550.462687
52.84.50.17,benign,192.168.137.186,52.84.50.17,812,1553140550.465243
157.240.3.20,benign,157.240.3.20,192.168.137.186,1464,1553140550.480228
157.240.3.20,benign,157.240.3.20,192.168.137.186,792,1553140550.480466
52.84.50.150,benign,192.168.137.186,52.84.50.150,773,1553140550.481963
157.240.3.20,benign,192.168.137.186,157.240.3.20,66,1553140550.483653
52.84.50.17,benign,52.84.50.17,192.168.137.186,66,1553140550.492915
52.84.50.17,benign,192.168.137.186,52.84.50.17,814,1553140550.49292
52.84.50.17,benign,192.168.137.186,52.84.50.17,862,1553140550.510522
52.84.50.17,benign,52.84.50.17,192.168.137.186,66,1553140550.520232
52.84.50.17,benign,52.84.50.17,192.168.137.186,66,1553140550.537535
52.84.50.150,benign,52.84.50.150,192.168.137.186,66,1553140550.543229
52.84.50.17,benign,52.84.50.17,192.168.137.186,279,1553140550.600305
157.240.3.20,benign,192.168.137.186,157.240.3.20,1464,1553140550.60959
157.240.3.20,benign,192.168.137.186,157.240.3.20,1464,1553140550.610893
157.240.3.20,benign,192.168.137.186,157.240.3.20,773,1553140550.610895
52.84.50.17,benign,52.84.50.17,192.168.137.186,280,1553140550.626281
52.84.50.17,benign,192.168.137.186,52.84.50.17,66,1553140550.628897
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.639933
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.645635
157.240.3.20,benign,157.240.3.20,192.168.137.186,66,1553140550.645819
52.84.50.17,benign,52.84.50.17,192.168.137.186,279,1553140550.662087
52.84.50.17,benign,52.84.50.17,192.168.137.186,281,1553140550.668104
52.84.50.17,benign,192.168.137.186,52.84.50.17,66,1553140550.679194
