Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1553141470.560388
172.217.14.226,benign,192.168.137.186,172.217.14.226,1434,1553141470.682768
172.217.14.226,benign,192.168.137.186,172.217.14.226,1434,1553141470.68277
172.217.14.226,benign,192.168.137.186,172.217.14.226,1010,1553141470.682776
172.217.14.226,benign,192.168.137.186,172.217.14.226,74,1553141470.682777
172.217.14.226,benign,172.217.14.226,192.168.137.186,54,1553141470.715882
172.217.14.226,benign,172.217.14.226,192.168.137.186,74,1553141470.71809
172.217.14.226,benign,172.217.14.226,192.168.137.186,54,1553141470.72079
172.217.14.226,benign,172.217.14.226,192.168.137.186,54,1553141470.720963
172.217.14.226,benign,192.168.137.186,172.217.14.226,1010,1553141470.768857
172.217.14.226,benign,192.168.137.186,172.217.14.226,66,1553141470.770158
172.217.14.226,benign,192.168.137.186,172.217.14.226,583,1553141470.776021
172.217.14.226,benign,172.217.14.226,192.168.137.186,54,1553141470.801782
172.217.14.226,benign,172.217.14.226,192.168.137.186,66,1553141470.80824
172.217.14.226,benign,172.217.14.226,192.168.137.186,228,1553141470.808766
172.217.14.226,benign,192.168.137.186,172.217.14.226,66,1553141470.811555
172.217.14.226,benign,192.168.137.186,172.217.14.226,117,1553141470.814848
172.217.14.226,benign,172.217.14.226,192.168.137.186,66,1553141470.899985
172.217.14.226,benign,192.168.137.186,172.217.14.226,979,1553141471.19215
172.217.14.226,benign,192.168.137.186,172.217.14.226,979,1553141471.19215
172.217.14.226,benign,172.217.14.226,192.168.137.186,78,1553141471.219845
172.217.14.226,benign,172.217.14.226,192.168.137.186,86,1553141471.219908
172.217.14.226,benign,192.168.137.186,172.217.14.226,1434,1553141471.224342
172.217.14.226,benign,172.217.14.226,192.168.137.186,78,1553141471.251743
172.217.14.226,benign,192.168.137.186,172.217.14.226,1434,1553141471.25448
172.217.14.226,benign,172.217.14.226,192.168.137.186,66,1553141471.282434
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.515383
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.51568
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.520381
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.520764
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.526346
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.526633
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.53231
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.532505
172.217.14.226,benign,172.217.14.226,192.168.137.186,1484,1553141471.53877
