Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
205.185.208.52,tracking,205.185.208.52,192.168.137.186,97,1553142392.215446
205.185.208.52,tracking,205.185.208.52,192.168.137.186,66,1553142392.215665
205.185.208.52,tracking,192.168.137.186,205.185.208.52,66,1553142392.715862
205.185.208.52,tracking,192.168.137.186,205.185.208.52,66,1553142392.750956
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,1434,1553142400.525385
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,726,1553142400.527347
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553142400.564538
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,120,1553142400.604498
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142400.60982
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,217,1553142400.705994
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142400.709748
172.217.3.174,benign,192.168.137.186,172.217.3.174,65,1553142401.489315
172.217.3.174,benign,192.168.137.186,172.217.3.174,65,1553142401.489316
172.217.3.174,benign,172.217.3.174,192.168.137.186,62,1553142401.518809
192.168.137.1,benign,192.168.137.186,192.168.137.1,75,1553142402.107126
192.168.137.186,benign,192.168.137.1,192.168.137.186,268,1553142402.124594
52.49.153.180,benign,192.168.137.186,52.49.153.180,74,1553142402.131023
52.49.153.180,benign,52.49.153.180,192.168.137.186,74,1553142402.287726
52.49.153.180,benign,192.168.137.186,52.49.153.180,66,1553142402.290045
52.49.153.180,benign,192.168.137.186,52.49.153.180,247,1553142402.293304
52.49.153.180,benign,52.49.153.180,192.168.137.186,66,1553142402.449997
52.49.153.180,benign,52.49.153.180,192.168.137.186,1514,1553142402.451943
52.49.153.180,benign,52.49.153.180,192.168.137.186,1514,1553142402.452147
52.49.153.180,benign,52.49.153.180,192.168.137.186,467,1553142402.452237
52.49.153.180,benign,192.168.137.186,52.49.153.180,66,1553142402.454975
52.49.153.180,benign,192.168.137.186,52.49.153.180,66,1553142402.454976
52.49.153.180,benign,192.168.137.186,52.49.153.180,66,1553142402.454977
52.49.153.180,benign,192.168.137.186,52.49.153.180,192,1553142402.471344
52.49.153.180,benign,52.49.153.180,192.168.137.186,117,1553142402.624368
52.49.153.180,benign,192.168.137.186,52.49.153.180,1514,1553142402.628216
52.49.153.180,benign,192.168.137.186,52.49.153.180,731,1553142402.632317
52.49.153.180,benign,52.49.153.180,192.168.137.186,66,1553142402.786681
52.49.153.180,benign,52.49.153.180,192.168.137.186,294,1553142402.790231
35.241.26.53,ads,192.168.137.186,35.241.26.53,97,1553142402.795746
35.241.26.53,ads,192.168.137.186,35.241.26.53,66,1553142402.795747
192.168.137.1,benign,192.168.137.186,192.168.137.1,77,1553142402.810961
35.241.26.53,ads,35.241.26.53,192.168.137.186,66,1553142402.825078
35.241.26.53,ads,35.241.26.53,192.168.137.186,66,1553142402.825755
35.241.26.53,ads,192.168.137.186,35.241.26.53,66,1553142402.827916
35.241.26.53,ads,35.241.26.53,192.168.137.186,66,1553142402.830781
52.49.153.180,benign,192.168.137.186,52.49.153.180,66,1553142402.831097
192.168.137.186,benign,192.168.137.1,192.168.137.186,125,1553142402.831955
52.30.118.244,benign,192.168.137.186,52.30.118.244,74,1553142402.837261
52.30.118.244,benign,52.30.118.244,192.168.137.186,74,1553142402.993236
52.30.118.244,benign,192.168.137.186,52.30.118.244,66,1553142402.995788
52.30.118.244,benign,192.168.137.186,52.30.118.244,249,1553142402.995789
52.30.118.244,benign,52.30.118.244,192.168.137.186,66,1553142403.15504
52.30.118.244,benign,52.30.118.244,192.168.137.186,1514,1553142403.156913
52.30.118.244,benign,52.30.118.244,192.168.137.186,1514,1553142403.157062
52.30.118.244,benign,52.30.118.244,192.168.137.186,467,1553142403.15714
52.30.118.244,benign,192.168.137.186,52.30.118.244,66,1553142403.159096
52.30.118.244,benign,192.168.137.186,52.30.118.244,66,1553142403.159097
52.30.118.244,benign,192.168.137.186,52.30.118.244,66,1553142403.159098
52.30.118.244,benign,192.168.137.186,52.30.118.244,192,1553142403.172432
52.30.118.244,benign,52.30.118.244,192.168.137.186,117,1553142403.325241
52.30.118.244,benign,192.168.137.186,52.30.118.244,373,1553142403.329799
52.30.118.244,benign,52.30.118.244,192.168.137.186,66,1553142403.523901
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1553142404.091501
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,988,1553142406.340215
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,120,1553142406.412837
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142406.417525
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,217,1553142406.515514
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142406.517789
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,988,1553142407.739406
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553142407.81225
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,120,1553142407.813653
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142407.815714
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,217,1553142407.916939
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142407.920087
52.30.118.244,benign,52.30.118.244,192.168.137.186,358,1553142408.501071
52.30.118.244,benign,52.30.118.244,192.168.137.186,97,1553142408.50127
52.30.118.244,benign,192.168.137.186,52.30.118.244,97,1553142408.603168
52.30.118.244,benign,192.168.137.186,52.30.118.244,66,1553142408.603172
52.30.118.244,benign,52.30.118.244,192.168.137.186,66,1553142408.75882
52.30.118.244,benign,52.30.118.244,192.168.137.186,66,1553142408.759686
52.30.118.244,benign,192.168.137.186,52.30.118.244,54,1553142408.760902
52.30.118.244,benign,192.168.137.186,52.30.118.244,54,1553142408.760903
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,988,1553142409.49207
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553142409.527144
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,120,1553142409.566015
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142409.568167
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,217,1553142409.635756
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142409.640125
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,988,1553142410.70033
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553142410.732419
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,120,1553142410.77232
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142410.774631
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,217,1553142410.872848
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142410.875232
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,988,1553142413.421479
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553142413.456813
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,120,1553142413.496661
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142413.499043
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,217,1553142413.653385
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142413.655551
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,988,1553142414.793399
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553142414.830075
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,120,1553142414.870183
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142414.872796
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,217,1553142414.963849
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142414.966142
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,988,1553142419.489013
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553142419.523898
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,120,1553142419.563759
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142419.57243
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,217,1553142419.664611
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,66,1553142419.679637
24.244.3.27,benign,24.244.3.27,192.168.137.186,97,1553142422.135881
