Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,185.151.204.8,74,1553143330.363989
benign,192.168.137.186,185.151.204.8,74,1553143330.3663
benign,185.151.204.8,192.168.137.186,74,1553143330.521976
benign,192.168.137.186,185.151.204.8,66,1553143330.524925
benign,192.168.137.186,185.151.204.8,246,1553143330.524926
benign,185.151.204.8,192.168.137.186,74,1553143330.531846
benign,192.168.137.186,185.151.204.8,66,1553143330.534251
benign,192.168.137.186,185.151.204.8,246,1553143330.535608
benign,185.151.204.8,192.168.137.186,1514,1553143330.688069
benign,185.151.204.8,192.168.137.186,1514,1553143330.689017
benign,185.151.204.8,192.168.137.186,803,1553143330.689259
benign,192.168.137.186,185.151.204.8,66,1553143330.690659
benign,192.168.137.186,185.151.204.8,66,1553143330.69066
benign,192.168.137.186,185.151.204.8,66,1553143330.691918
benign,185.151.204.8,192.168.137.186,1514,1553143330.704143
benign,185.151.204.8,192.168.137.186,1514,1553143330.705387
benign,185.151.204.8,192.168.137.186,803,1553143330.705617
benign,192.168.137.186,185.151.204.8,192,1553143330.708126
benign,192.168.137.186,185.151.204.8,66,1553143330.708127
benign,192.168.137.186,185.151.204.8,66,1553143330.713612
benign,192.168.137.186,185.151.204.8,66,1553143330.713613
benign,192.168.137.186,185.151.204.8,192,1553143330.721938
benign,185.151.204.8,192.168.137.186,308,1553143330.863994
benign,192.168.137.186,185.151.204.8,1386,1553143330.876798
benign,185.151.204.8,192.168.137.186,308,1553143330.883044
benign,192.168.137.186,185.151.204.8,1200,1553143330.910124
ads,192.168.137.186,35.241.26.53,74,1553143331.009457
benign,185.151.204.8,192.168.137.186,330,1553143331.03506
benign,185.151.204.8,192.168.137.186,97,1553143331.035246
benign,185.151.204.8,192.168.137.186,66,1553143331.036057
ads,35.241.26.53,192.168.137.186,74,1553143331.039824
benign,192.168.137.186,185.151.204.8,97,1553143331.042346
benign,192.168.137.186,185.151.204.8,66,1553143331.042347
ads,192.168.137.186,35.241.26.53,66,1553143331.042348
ads,192.168.137.186,35.241.26.53,260,1553143331.04657
benign,185.151.204.8,192.168.137.186,344,1553143331.073832
benign,185.151.204.8,192.168.137.186,97,1553143331.074016
benign,185.151.204.8,192.168.137.186,66,1553143331.074994
ads,35.241.26.53,192.168.137.186,66,1553143331.080136
benign,192.168.137.186,185.151.204.8,97,1553143331.081168
benign,192.168.137.186,185.151.204.8,66,1553143331.081169
ads,35.241.26.53,192.168.137.186,1484,1553143331.082029
ads,35.241.26.53,192.168.137.186,1484,1553143331.082223
ads,35.241.26.53,192.168.137.186,566,1553143331.082817
ads,192.168.137.186,35.241.26.53,66,1553143331.085905
ads,192.168.137.186,35.241.26.53,66,1553143331.085906
ads,192.168.137.186,35.241.26.53,66,1553143331.085907
ads,192.168.137.186,35.241.26.53,159,1553143331.100356
ads,35.241.26.53,192.168.137.186,350,1553143331.127392
ads,192.168.137.186,35.241.26.53,737,1553143331.129674
ads,35.241.26.53,192.168.137.186,66,1553143331.197123
benign,185.151.204.8,192.168.137.186,54,1553143331.19792
benign,192.168.137.186,157.240.3.20,97,1553143331.209949
benign,192.168.137.186,157.240.3.20,66,1553143331.209951
ads,35.241.26.53,192.168.137.186,466,1553143331.213553
benign,192.168.137.186,157.240.3.20,97,1553143331.217958
benign,192.168.137.186,157.240.3.20,66,1553143331.21796
benign,185.151.204.8,192.168.137.186,54,1553143331.240997
benign,157.240.3.20,192.168.137.186,66,1553143331.242534
benign,157.240.3.20,192.168.137.186,97,1553143331.242865
benign,157.240.3.20,192.168.137.186,66,1553143331.243695
benign,192.168.137.186,157.240.3.20,54,1553143331.245747
benign,192.168.137.186,157.240.3.20,54,1553143331.245748
benign,157.240.3.20,192.168.137.186,66,1553143331.245887
benign,192.168.137.186,157.240.3.20,54,1553143331.249756
benign,157.240.3.20,192.168.137.186,66,1553143331.252057
benign,157.240.3.20,192.168.137.186,97,1553143331.252363
benign,157.240.3.20,192.168.137.186,66,1553143331.253019
ads,192.168.137.186,35.241.26.53,66,1553143331.254124
benign,192.168.137.186,157.240.3.20,54,1553143331.254125
benign,192.168.137.186,157.240.3.20,54,1553143331.255435
benign,192.168.137.186,52.84.51.173,74,1553143331.386742
benign,52.84.51.173,192.168.137.186,74,1553143331.42018
benign,192.168.137.186,52.84.51.173,66,1553143331.422537
benign,192.168.137.186,52.84.51.173,249,1553143331.42544
benign,52.84.51.173,192.168.137.186,66,1553143331.460123
benign,52.84.51.173,192.168.137.186,166,1553143331.460916
benign,52.84.51.173,192.168.137.186,1514,1553143331.461909
benign,52.84.51.173,192.168.137.186,1514,1553143331.462063
benign,52.84.51.173,192.168.137.186,1514,1553143331.462149
benign,192.168.137.186,52.84.51.173,66,1553143331.463268
ads,192.168.137.186,52.1.186.159,74,1553143331.466015
benign,192.168.137.186,52.84.51.173,66,1553143331.466016
benign,192.168.137.186,52.84.51.173,66,1553143331.466017
benign,192.168.137.186,52.84.51.173,66,1553143331.468793
benign,52.84.51.173,192.168.137.186,1377,1553143331.49362
benign,192.168.137.186,52.84.51.173,66,1553143331.496845
benign,192.168.137.186,52.84.51.173,192,1553143331.523294
ads,52.1.186.159,192.168.137.186,74,1553143331.548358
ads,192.168.137.186,52.1.186.159,66,1553143331.550939
benign,52.84.51.173,192.168.137.186,185,1553143331.553963
ads,192.168.137.186,52.1.186.159,250,1553143331.558999
benign,192.168.137.186,52.84.51.173,66,1553143331.595546
benign,52.84.51.173,192.168.137.186,117,1553143331.625572
benign,192.168.137.186,52.84.51.173,66,1553143331.629851
ads,52.1.186.159,192.168.137.186,66,1553143331.640099
ads,52.1.186.159,192.168.137.186,1514,1553143331.641109
ads,52.1.186.159,192.168.137.186,1514,1553143331.642141
ads,52.1.186.159,192.168.137.186,1266,1553143331.642443
ads,52.1.186.159,192.168.137.186,1235,1553143331.643236
ads,192.168.137.186,52.1.186.159,66,1553143331.643505
ads,192.168.137.186,52.1.186.159,66,1553143331.646501
ads,192.168.137.186,52.1.186.159,66,1553143331.646502
ads,192.168.137.186,52.1.186.159,66,1553143331.646503
benign,192.168.137.186,52.84.51.173,797,1553143331.691505
ads,192.168.137.186,52.1.186.159,192,1553143331.738078
benign,52.84.51.173,192.168.137.186,66,1553143331.761193
"ads,tracking",192.168.137.186,192.48.236.9,74,1553143331.771989
"ads,tracking",192.168.137.186,192.48.236.9,74,1553143331.77199
ads,52.1.186.159,192.168.137.186,117,1553143331.819186
ads,192.168.137.186,52.1.186.159,66,1553143331.820983
ads,192.168.137.186,52.1.186.159,758,1553143331.826554
benign,52.84.51.173,192.168.137.186,815,1553143331.82674
benign,192.168.137.186,52.84.51.173,66,1553143331.829155
benign,192.168.137.186,52.84.51.173,97,1553143331.829156
benign,52.84.51.173,192.168.137.186,97,1553143331.830143
benign,192.168.137.186,52.84.51.173,66,1553143331.830962
benign,192.168.137.186,52.84.51.173,54,1553143331.832544
benign,52.84.51.173,192.168.137.186,66,1553143331.832863
benign,192.168.137.186,52.84.51.173,54,1553143331.835155
"ads,tracking",192.168.137.186,35.241.52.229,74,1553143331.843851
"ads,tracking",192.48.236.9,192.168.137.186,74,1553143331.86224
benign,52.84.51.173,192.168.137.186,54,1553143331.863152
"ads,tracking",192.48.236.9,192.168.137.186,74,1553143331.864105
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143331.864487
"ads,tracking",192.168.137.186,192.48.236.9,226,1553143331.865978
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143331.865979
benign,52.84.51.173,192.168.137.186,54,1553143331.867832
"ads,tracking",192.168.137.186,192.48.236.9,226,1553143331.868897
"ads,tracking",35.241.52.229,192.168.137.186,74,1553143331.877156
"ads,tracking",192.168.137.186,35.241.52.229,66,1553143331.879455
"ads,tracking",192.168.137.186,35.241.52.229,253,1553143331.881562
ads,52.1.186.159,192.168.137.186,680,1553143331.914368
"ads,tracking",35.241.52.229,192.168.137.186,66,1553143331.917297
"ads,tracking",35.241.52.229,192.168.137.186,1484,1553143331.918211
"ads,tracking",35.241.52.229,192.168.137.186,1484,1553143331.91841
"ads,tracking",35.241.52.229,192.168.137.186,735,1553143331.919837
"ads,tracking",192.168.137.186,35.241.52.229,66,1553143331.920606
"ads,tracking",192.168.137.186,35.241.52.229,66,1553143331.920607
"ads,tracking",192.168.137.186,35.241.52.229,66,1553143331.92225
"ads,tracking",192.168.137.186,35.241.52.229,159,1553143331.933589
"ads,tracking",192.48.236.9,192.168.137.186,66,1553143331.955268
ads,192.168.137.186,52.1.186.159,66,1553143331.955575
"ads,tracking",192.48.236.9,192.168.137.186,1514,1553143331.960199
"ads,tracking",192.48.236.9,192.168.137.186,1514,1553143331.960406
"ads,tracking",192.48.236.9,192.168.137.186,927,1553143331.960496
"ads,tracking",192.48.236.9,192.168.137.186,66,1553143331.962147
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143331.964142
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143331.964143
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143331.964144
"ads,tracking",35.241.52.229,192.168.137.186,350,1553143331.964726
"ads,tracking",192.48.236.9,192.168.137.186,1514,1553143331.966195
"ads,tracking",192.48.236.9,192.168.137.186,1514,1553143331.9664
"ads,tracking",192.48.236.9,192.168.137.186,927,1553143331.966487
"ads,tracking",192.168.137.186,35.241.52.229,962,1553143331.96764
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143331.969249
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143331.970631
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143331.970633
"ads,tracking",192.168.137.186,192.48.236.9,192,1553143332.00005
"ads,tracking",192.168.137.186,192.48.236.9,192,1553143332.000052
"ads,tracking",35.241.52.229,192.168.137.186,66,1553143332.039379
"ads,tracking",192.48.236.9,192.168.137.186,117,1553143332.084007
"ads,tracking",192.168.137.186,192.48.236.9,613,1553143332.089903
"ads,tracking",192.48.236.9,192.168.137.186,117,1553143332.090964
"ads,tracking",192.168.137.186,192.48.236.9,646,1553143332.095149
"ads,tracking",35.241.52.229,192.168.137.186,217,1553143332.115369
benign,192.168.137.186,157.240.3.20,97,1553143332.120087
benign,192.168.137.186,157.240.3.20,66,1553143332.120088
benign,157.240.3.20,192.168.137.186,66,1553143332.153171
benign,157.240.3.20,192.168.137.186,97,1553143332.153958
benign,157.240.3.20,192.168.137.186,66,1553143332.15411
benign,157.240.3.20,192.168.137.186,66,1553143332.15731
benign,192.168.137.186,157.240.3.20,54,1553143332.160503
benign,192.168.137.186,157.240.3.20,54,1553143332.160504
"ads,tracking",192.168.137.186,35.241.52.229,66,1553143332.160505
benign,192.168.137.186,157.240.3.20,54,1553143332.160506
"ads,tracking",192.48.236.9,192.168.137.186,615,1553143332.179093
benign,192.168.137.186,23.21.184.118,97,1553143332.186262
benign,192.168.137.186,23.21.184.118,66,1553143332.186263
"ads,tracking",192.48.236.9,192.168.137.186,482,1553143332.194087
benign,192.168.137.186,54.225.207.165,97,1553143332.198883
benign,192.168.137.186,54.225.207.165,66,1553143332.198885
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143332.224867
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143332.234383
benign,23.21.184.118,192.168.137.186,97,1553143332.268549
benign,23.21.184.118,192.168.137.186,66,1553143332.268775
benign,192.168.137.186,23.21.184.118,54,1553143332.271015
benign,192.168.137.186,23.21.184.118,54,1553143332.271016
benign,23.21.184.118,192.168.137.186,66,1553143332.273548
benign,192.168.137.186,23.21.184.118,54,1553143332.276338
benign,54.225.207.165,192.168.137.186,97,1553143332.280418
benign,54.225.207.165,192.168.137.186,66,1553143332.280718
benign,192.168.137.186,54.225.207.165,54,1553143332.282777
benign,192.168.137.186,54.225.207.165,54,1553143332.282778
benign,54.225.207.165,192.168.137.186,66,1553143332.285669
benign,192.168.137.186,54.225.207.165,54,1553143332.288356
"ads,tracking",192.168.137.186,192.48.236.9,1514,1553143333.211885
"ads,tracking",192.168.137.186,192.48.236.9,1514,1553143333.211887
"ads,tracking",192.168.137.186,192.48.236.9,74,1553143333.211893
"ads,tracking",192.168.137.186,192.48.236.9,736,1553143333.213472
"ads,tracking",192.168.137.186,192.48.236.9,668,1553143333.213473
"ads,tracking",192.48.236.9,192.168.137.186,74,1553143333.302479
"ads,tracking",192.48.236.9,192.168.137.186,66,1553143333.303104
"ads,tracking",192.168.137.186,192.48.236.9,66,1553143333.305586
"ads,tracking",192.168.137.186,192.48.236.9,226,1553143333.305588
"ads,tracking",192.48.236.9,192.168.137.186,66,1553143333.309715
"ads,tracking",192.48.236.9,192.168.137.186,66,1553143333.396657
"ads,tracking",192.48.236.9,192.168.137.186,1514,1553143333.400664
"ads,tracking",192.48.236.9,192.168.137.186,1514,1553143333.400917
"ads,tracking",192.48.236.9,192.168.137.186,927,1553143333.401126
