Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
23.59.158.55,benign,23.59.158.55,192.168.137.186,530,1553145173.224657
23.59.158.55,benign,192.168.137.186,23.59.158.55,66,1553145173.2272
52.84.50.103,benign,192.168.137.186,52.84.50.103,66,1553145173.231176
52.84.50.103,benign,52.84.50.103,192.168.137.186,66,1553145173.265114
52.84.50.103,benign,192.168.137.186,52.84.50.103,66,1553145173.26735
52.20.201.67,benign,52.20.201.67,192.168.137.186,66,1553145173.274154
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.275186
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.27533
52.20.201.67,benign,52.20.201.67,192.168.137.186,1266,1553145173.275406
52.20.201.67,benign,52.20.201.67,192.168.137.186,1249,1553145173.275525
192.48.236.11,ads,192.168.137.186,192.48.236.11,1514,1553145173.275714
192.48.236.11,ads,192.168.137.186,192.48.236.11,1035,1553145173.277669
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.277674
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.277675
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.277675
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.277676
52.20.201.67,benign,192.168.137.186,52.20.201.67,192,1553145173.296041
192.168.137.1,benign,192.168.137.186,192.168.137.1,85,1553145173.309517
192.168.137.186,benign,192.168.137.1,192.168.137.186,130,1553145173.325235
216.58.217.33,benign,192.168.137.186,216.58.217.33,74,1553145173.332092
216.58.217.33,benign,216.58.217.33,192.168.137.186,74,1553145173.364073
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.367041
216.58.217.33,benign,192.168.137.186,216.58.217.33,583,1553145173.367042
192.48.236.11,ads,192.48.236.11,192.168.137.186,66,1553145173.372254
52.20.201.67,benign,52.20.201.67,192.168.137.186,117,1553145173.37797
52.20.201.67,benign,192.168.137.186,52.20.201.67,622,1553145173.38281
216.58.217.33,benign,216.58.217.33,192.168.137.186,66,1553145173.404261
216.58.217.33,benign,216.58.217.33,192.168.137.186,1484,1553145173.41215
216.58.217.33,benign,216.58.217.33,192.168.137.186,1484,1553145173.412342
216.58.217.33,benign,216.58.217.33,192.168.137.186,1484,1553145173.412725
216.58.217.33,benign,216.58.217.33,192.168.137.186,68,1553145173.412881
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.414712
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.414713
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.414714
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.414715
216.58.217.33,benign,192.168.137.186,216.58.217.33,159,1553145173.418404
192.168.137.255,benign,192.168.137.1,192.168.137.255,188,1553145173.427684
216.58.217.33,benign,192.168.137.186,216.58.217.33,159,1553145173.433008
216.58.217.33,benign,192.168.137.186,216.58.217.33,462,1553145173.435821
216.58.217.33,benign,216.58.217.33,192.168.137.186,350,1553145173.450816
216.58.217.33,benign,216.58.217.33,192.168.137.186,135,1553145173.451039
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.453387
216.58.217.33,benign,192.168.137.186,216.58.217.33,104,1553145173.453388
192.48.236.11,ads,192.48.236.11,192.168.137.186,1514,1553145173.46299
192.48.236.11,ads,192.48.236.11,192.168.137.186,1424,1553145173.463235
216.58.217.33,benign,216.58.217.33,192.168.137.186,104,1553145173.463328
192.48.236.11,ads,192.168.137.186,192.48.236.11,66,1553145173.466576
192.48.236.11,ads,192.168.137.186,192.48.236.11,66,1553145173.466585
216.58.217.33,benign,216.58.217.33,192.168.137.186,394,1553145173.46852
216.58.217.33,benign,216.58.217.33,192.168.137.186,1484,1553145173.469237
216.58.217.33,benign,216.58.217.33,192.168.137.186,1484,1553145173.469931
216.58.217.33,benign,216.58.217.33,192.168.137.186,877,1553145173.47021
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.471061
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.471333
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.471357
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.471441
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.47152
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.471731
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.471818
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.471889
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.471954
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.472131
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.472209
216.58.217.33,benign,216.58.217.33,192.168.137.186,112,1553145173.472343
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.473549
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.47355
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.475217
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.475219
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.475219
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.47522
216.58.217.33,benign,192.168.137.186,216.58.217.33,66,1553145173.475221
216.58.217.33,benign,192.168.137.186,216.58.217.33,112,1553145173.47678
216.58.217.33,benign,216.58.217.33,192.168.137.186,66,1553145173.506758
192.48.236.11,ads,192.168.137.186,192.48.236.11,746,1553145173.531324
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.558611
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.558802
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.558944
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.55902
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.559174
52.20.201.67,benign,52.20.201.67,192.168.137.186,1514,1553145173.559632
52.20.201.67,benign,52.20.201.67,192.168.137.186,1058,1553145173.559789
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.561544
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.561545
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.561546
52.20.201.67,benign,192.168.137.186,52.20.201.67,66,1553145173.600231
172.217.14.194,benign,192.168.137.186,172.217.14.194,849,1553145173.611724
192.48.236.11,ads,192.48.236.11,192.168.137.186,461,1553145173.630654
192.48.236.11,ads,192.168.137.186,192.48.236.11,66,1553145173.632813
172.217.14.194,benign,192.168.137.186,172.217.14.194,161,1553145173.636742
23.59.158.55,benign,192.168.137.186,23.59.158.55,97,1553145173.63831
172.217.14.194,benign,192.168.137.186,172.217.14.194,348,1553145173.63831
23.59.158.55,benign,192.168.137.186,23.59.158.55,66,1553145173.638311
172.217.14.194,benign,172.217.14.194,192.168.137.186,66,1553145173.641915
172.217.14.194,benign,172.217.14.194,192.168.137.186,281,1553145173.653483
172.217.14.194,benign,172.217.14.194,192.168.137.186,184,1553145173.65361
172.217.14.194,benign,172.217.14.194,192.168.137.186,112,1553145173.653711
172.217.14.194,benign,192.168.137.186,172.217.14.194,66,1553145173.657305
172.217.14.194,benign,192.168.137.186,172.217.14.194,112,1553145173.659088
23.59.158.55,benign,23.59.158.55,192.168.137.186,97,1553145173.665356
23.59.158.55,benign,23.59.158.55,192.168.137.186,66,1553145173.665538
23.59.158.55,benign,192.168.137.186,23.59.158.55,54,1553145173.667594
23.59.158.55,benign,192.168.137.186,23.59.158.55,54,1553145173.667595
172.217.14.194,benign,172.217.14.194,192.168.137.186,200,1553145173.667621
