Service,Src IP,Dst IP,Frame Size,Timestamp
benign,13.32.252.178,192.168.137.186,565,1553146112.299718
benign,192.168.137.186,13.32.252.178,66,1553146112.388441
benign,13.32.252.178,192.168.137.186,223,1553146112.51752
benign,192.168.137.186,13.32.252.178,66,1553146112.521282
benign,192.168.137.186,24.244.3.26,262,1553146112.590826
benign,24.244.3.26,192.168.137.186,1119,1553146112.608921
benign,24.244.3.26,192.168.137.186,1119,1553146112.609293
benign,24.244.3.26,192.168.137.186,264,1553146112.609754
benign,192.168.137.186,24.244.3.26,66,1553146112.611314
benign,192.168.137.186,24.244.3.26,66,1553146112.611315
benign,192.168.137.186,24.244.3.26,66,1553146112.611315
benign,192.168.137.186,13.32.252.238,1169,1553146112.628003
benign,13.32.252.238,192.168.137.186,66,1553146112.658622
benign,192.168.137.186,107.23.186.52,74,1553146112.71063
benign,192.168.137.186,13.32.252.9,74,1553146112.714267
benign,13.32.252.9,192.168.137.186,74,1553146112.743976
benign,192.168.137.186,13.32.252.9,66,1553146112.747667
benign,192.168.137.186,13.32.252.9,583,1553146112.747669
benign,13.32.252.9,192.168.137.186,66,1553146112.782876
benign,13.32.252.9,192.168.137.186,1514,1553146112.787966
benign,13.32.252.9,192.168.137.186,1514,1553146112.788187
benign,13.32.252.9,192.168.137.186,1514,1553146112.788273
benign,13.32.252.9,192.168.137.186,1463,1553146112.788343
benign,192.168.137.186,13.32.252.9,66,1553146112.791439
benign,192.168.137.186,13.32.252.9,66,1553146112.79282
benign,192.168.137.186,13.32.252.9,66,1553146112.792821
benign,192.168.137.186,13.32.252.9,66,1553146112.792822
benign,13.32.252.238,192.168.137.186,280,1553146112.798149
benign,192.168.137.186,13.32.252.238,66,1553146112.800672
benign,192.168.137.186,13.32.252.9,192,1553146112.800673
benign,192.168.137.186,13.32.252.9,159,1553146112.821244
benign,192.168.137.186,13.32.252.9,551,1553146112.822883
benign,13.32.252.9,192.168.137.186,308,1553146112.828307
benign,13.32.252.9,192.168.137.186,135,1553146112.828495
benign,192.168.137.186,13.32.252.9,66,1553146112.831003
benign,192.168.137.186,13.32.252.9,104,1553146112.831004
benign,13.32.252.9,192.168.137.186,104,1553146112.848202
benign,13.32.252.9,192.168.137.186,1514,1553146112.855983
benign,13.32.252.9,192.168.137.186,1514,1553146112.856225
