Service,Src IP,Dst IP,Frame Size,Timestamp
benign,13.95.170.235,192.168.137.186,1514,1553147060.907069
benign,13.95.170.235,192.168.137.186,264,1553147060.907416
benign,13.95.170.235,192.168.137.186,1514,1553147061.237326
benign,192.168.137.186,13.95.170.235,66,1553147061.243195
benign,192.168.137.186,13.95.170.235,78,1553147061.243196
benign,192.168.137.186,173.194.203.188,101,1553147103.839556
benign,173.194.203.188,192.168.137.186,99,1553147103.875652
benign,192.168.137.186,173.194.203.188,66,1553147103.90543
benign,216.115.100.124,192.168.137.186,97,1553147120.044474
benign,216.115.100.124,192.168.137.186,66,1553147120.044745
benign,216.115.100.124,192.168.137.186,66,1553147120.130298
benign,192.168.137.186,216.115.100.124,66,1553147120.304536
benign,192.168.137.186,216.115.100.124,78,1553147120.304537
benign,192.168.137.186,13.94.251.209,74,1553147154.215392
benign,13.94.251.209,192.168.137.186,74,1553147154.379376
benign,192.168.137.186,13.94.251.209,66,1553147154.63247
benign,192.168.137.186,13.94.251.209,389,1553147154.633998
benign,13.94.251.209,192.168.137.186,66,1553147154.802676
benign,13.94.251.209,192.168.137.186,91,1553147154.802901
benign,13.94.251.209,192.168.137.186,316,1553147154.803699
benign,13.94.251.209,192.168.137.186,66,1553147154.803852
benign,192.168.137.186,13.94.251.209,66,1553147154.80605
benign,192.168.137.186,13.94.251.209,66,1553147154.806052
benign,192.168.137.186,13.94.251.209,66,1553147154.813328
benign,13.94.251.209,192.168.137.186,66,1553147154.976301
benign,52.174.46.206,192.168.137.186,54,1553147155.498516
benign,13.95.170.235,192.168.137.186,54,1553147188.845356
benign,216.58.217.35,192.168.137.186,66,1553147272.009436
benign,216.58.217.35,192.168.137.186,66,1553147272.248897
benign,192.168.137.186,216.58.217.35,78,1553147272.40786
benign,192.168.137.186,13.94.251.209,74,1553147288.937072
benign,13.94.251.209,192.168.137.186,74,1553147289.101681
benign,192.168.137.186,13.94.251.209,66,1553147289.103984
benign,192.168.137.186,13.94.251.209,389,1553147289.105344
benign,13.94.251.209,192.168.137.186,66,1553147289.275861
benign,13.94.251.209,192.168.137.186,316,1553147289.372541
benign,13.94.251.209,192.168.137.186,91,1553147289.372727
benign,13.94.251.209,192.168.137.186,66,1553147289.373531
benign,192.168.137.186,13.94.251.209,78,1553147289.376323
benign,192.168.137.186,13.94.251.209,66,1553147289.378134
benign,13.94.251.209,192.168.137.186,66,1553147289.547073
ads,192.168.137.186,108.161.188.128,85,1553147327.211157
ads,192.168.137.186,108.161.188.128,54,1553147327.211158
ads,108.161.188.128,192.168.137.186,54,1553147327.2442
benign,192.168.137.186,216.115.100.124,97,1553147329.722954
benign,192.168.137.186,216.115.100.124,66,1553147329.722956
benign,216.115.100.124,192.168.137.186,54,1553147329.756586
benign,192.168.137.186,216.58.217.35,97,1553147332.012533
benign,192.168.137.186,216.58.217.35,66,1553147332.015981
benign,216.58.217.35,192.168.137.186,54,1553147332.045061
benign,216.58.217.35,192.168.137.186,54,1553147332.049985
benign,192.168.137.186,173.194.203.188,101,1553147334.017866
benign,173.194.203.188,192.168.137.186,99,1553147334.054463
benign,192.168.137.186,173.194.203.188,66,1553147334.057766
benign,173.194.203.188,192.168.137.186,105,1553147340.634593
benign,173.194.203.188,192.168.137.186,242,1553147340.635064
benign,173.194.203.188,192.168.137.186,512,1553147340.635524
benign,173.194.203.188,192.168.137.186,463,1553147340.635665
benign,173.194.203.188,192.168.137.186,463,1553147340.854592
benign,173.194.203.188,192.168.137.186,609,1553147340.954038
benign,173.194.203.188,192.168.137.186,1121,1553147340.95491
benign,173.194.203.188,192.168.137.186,413,1553147340.956188
benign,192.168.137.186,173.194.203.188,66,1553147341.107308
benign,192.168.137.186,173.194.203.188,66,1553147341.107309
benign,192.168.137.186,173.194.203.188,66,1553147341.10731
benign,192.168.137.186,173.194.203.188,66,1553147341.10731
benign,192.168.137.186,173.194.203.188,78,1553147341.107311
benign,192.168.137.186,173.194.203.188,66,1553147341.107311
benign,192.168.137.186,173.194.203.188,66,1553147341.107312
benign,192.168.137.186,173.194.203.188,66,1553147341.107312
benign,192.168.137.186,173.194.203.188,111,1553147341.229267
benign,173.194.203.188,192.168.137.186,66,1553147341.306199
benign,192.168.137.186,173.194.203.188,111,1553147341.308475
benign,173.194.203.188,192.168.137.186,66,1553147341.341703
benign,192.168.137.186,13.94.251.209,74,1553147412.168056
benign,13.94.251.209,192.168.137.186,74,1553147412.332927
