Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,54.191.162.81,1229,1553148898.807016
benign,54.191.162.81,192.168.137.186,279,1553148898.871425
benign,54.191.162.81,192.168.137.186,104,1553148898.872116
benign,192.168.137.186,54.191.162.81,66,1553148898.875376
benign,192.168.137.186,54.191.162.81,66,1553148898.875377
benign,192.168.137.186,54.191.162.81,1262,1553148899.497419
benign,54.191.162.81,192.168.137.186,279,1553148899.566311
benign,54.191.162.81,192.168.137.186,104,1553148899.566508
benign,192.168.137.186,157.240.3.35,74,1553148899.568342
benign,192.168.137.186,54.191.162.81,66,1553148899.568343
benign,192.168.137.186,54.191.162.81,66,1553148899.57237
benign,157.240.3.35,192.168.137.186,74,1553148899.604468
benign,192.168.137.186,157.240.3.35,66,1553148899.606811
benign,192.168.137.186,157.240.3.35,583,1553148899.606813
benign,157.240.3.35,192.168.137.186,66,1553148899.644496
benign,157.240.3.35,192.168.137.186,1464,1553148899.645279
benign,157.240.3.35,192.168.137.186,1464,1553148899.646423
benign,157.240.3.35,192.168.137.186,410,1553148899.646678
benign,192.168.137.186,157.240.3.35,66,1553148899.647442
benign,192.168.137.186,157.240.3.35,66,1553148899.648831
benign,192.168.137.186,157.240.3.35,66,1553148899.648833
benign,192.168.137.186,157.240.3.35,130,1553148899.650146
benign,192.168.137.186,157.240.3.35,152,1553148899.670201
benign,192.168.137.186,157.240.3.35,658,1553148899.671795
benign,157.240.3.35,192.168.137.186,229,1553148899.684331
benign,157.240.3.35,192.168.137.186,140,1553148899.684516
benign,192.168.137.186,157.240.3.35,66,1553148899.687027
benign,192.168.137.186,157.240.3.35,97,1553148899.687028
benign,157.240.3.35,192.168.137.186,97,1553148899.700168
benign,157.240.3.35,192.168.137.186,101,1553148899.705473
benign,192.168.137.186,157.240.3.35,66,1553148899.708556
benign,157.240.3.35,192.168.137.186,66,1553148899.758142
benign,157.240.3.35,192.168.137.186,1464,1553148899.765724
benign,157.240.3.35,192.168.137.186,642,1553148899.765916
benign,192.168.137.186,157.240.3.35,66,1553148899.768192
benign,192.168.137.186,157.240.3.35,939,1553148899.779503
benign,157.240.3.35,192.168.137.186,66,1553148899.809864
benign,157.240.3.35,192.168.137.186,101,1553148899.810087
benign,192.168.137.186,157.240.3.35,66,1553148899.851465
benign,157.240.3.35,192.168.137.186,884,1553148900.028775
benign,157.240.3.35,192.168.137.186,1464,1553148900.02905
benign,157.240.3.35,192.168.137.186,1464,1553148900.029178
benign,157.240.3.35,192.168.137.186,1464,1553148900.029356
benign,157.240.3.35,192.168.137.186,1464,1553148900.029492
benign,157.240.3.35,192.168.137.186,1464,1553148900.029662
benign,157.240.3.35,192.168.137.186,1464,1553148900.029787
benign,157.240.3.35,192.168.137.186,1464,1553148900.029887
benign,192.168.137.186,157.240.3.35,66,1553148900.030978
benign,192.168.137.186,157.240.3.35,66,1553148900.030979
benign,157.240.3.35,192.168.137.186,1464,1553148900.03143
benign,157.240.3.35,192.168.137.186,1464,1553148900.031759
benign,192.168.137.186,157.240.3.35,66,1553148900.036225
benign,192.168.137.186,157.240.3.35,66,1553148900.036226
benign,192.168.137.186,157.240.3.35,66,1553148900.036226
benign,192.168.137.186,157.240.3.35,66,1553148900.037647
benign,192.168.137.186,157.240.3.35,66,1553148900.037648
benign,192.168.137.186,157.240.3.35,66,1553148900.037649
benign,192.168.137.186,157.240.3.35,66,1553148900.037649
benign,192.168.137.186,157.240.3.35,66,1553148900.037649
benign,157.240.3.35,192.168.137.186,1464,1553148900.06066
benign,157.240.3.35,192.168.137.186,1464,1553148900.060782
benign,157.240.3.35,192.168.137.186,1464,1553148900.060977
benign,157.240.3.35,192.168.137.186,1464,1553148900.061302
benign,192.168.137.186,157.240.3.35,66,1553148900.063998
benign,192.168.137.186,157.240.3.35,66,1553148900.063998
benign,192.168.137.186,157.240.3.35,66,1553148900.063998
benign,192.168.137.186,157.240.3.35,66,1553148900.063999
benign,157.240.3.35,192.168.137.186,1464,1553148900.066192
benign,157.240.3.35,192.168.137.186,1464,1553148900.06638
benign,157.240.3.35,192.168.137.186,1464,1553148900.066538
benign,157.240.3.35,192.168.137.186,1464,1553148900.06676
benign,157.240.3.35,192.168.137.186,1464,1553148900.066843
benign,157.240.3.35,192.168.137.186,1464,1553148900.067039
benign,157.240.3.35,192.168.137.186,1464,1553148900.067135
benign,157.240.3.35,192.168.137.186,1464,1553148900.067373
benign,157.240.3.35,192.168.137.186,1464,1553148900.068356
benign,157.240.3.35,192.168.137.186,543,1553148900.068502
benign,192.168.137.186,157.240.3.35,66,1553148900.068986
benign,192.168.137.186,157.240.3.35,66,1553148900.068986
benign,192.168.137.186,157.240.3.35,66,1553148900.068987
benign,192.168.137.186,157.240.3.35,66,1553148900.068987
benign,192.168.137.186,157.240.3.35,66,1553148900.068987
benign,192.168.137.186,157.240.3.35,66,1553148900.068987
benign,192.168.137.186,157.240.3.35,66,1553148900.068987
benign,192.168.137.186,157.240.3.35,66,1553148900.068987
benign,192.168.137.186,157.240.3.35,66,1553148900.070542
benign,192.168.137.186,157.240.3.35,66,1553148900.070542
benign,192.168.137.186,157.240.3.29,74,1553148900.079045
benign,192.168.137.186,157.240.3.29,74,1553148900.079046
benign,192.168.137.186,157.240.3.29,74,1553148900.080445
benign,192.168.137.186,24.244.44.209,74,1553148900.10609
benign,192.168.137.186,157.240.3.35,264,1553148900.110596
benign,157.240.3.29,192.168.137.186,74,1553148900.111518
benign,157.240.3.29,192.168.137.186,74,1553148900.113258
benign,192.168.137.186,157.240.3.29,66,1553148900.113416
benign,192.168.137.186,157.240.3.29,583,1553148900.113416
benign,192.168.137.186,157.240.3.29,66,1553148900.11533
benign,192.168.137.186,157.240.3.29,583,1553148900.11533
benign,157.240.3.29,192.168.137.186,74,1553148900.118037
benign,24.244.44.209,192.168.137.186,74,1553148900.118411
benign,192.168.137.186,157.240.3.29,66,1553148900.120766
benign,192.168.137.186,24.244.44.209,66,1553148900.120767
benign,192.168.137.186,157.240.3.29,583,1553148900.120768
benign,192.168.137.186,24.244.44.209,583,1553148900.122589
benign,24.244.44.209,192.168.137.186,66,1553148900.138434
benign,24.244.44.209,192.168.137.186,1464,1553148900.139367
benign,24.244.44.209,192.168.137.186,1464,1553148900.140633
benign,24.244.44.209,192.168.137.186,405,1553148900.140844
benign,192.168.137.186,24.244.44.209,66,1553148900.142079
benign,157.240.3.35,192.168.137.186,101,1553148900.14261
benign,192.168.137.186,24.244.44.209,66,1553148900.143813
benign,192.168.137.186,24.244.44.209,66,1553148900.143814
benign,192.168.137.186,24.244.44.209,130,1553148900.145147
benign,192.168.137.186,157.240.3.35,66,1553148900.145148
benign,157.240.3.29,192.168.137.186,66,1553148900.145811
benign,157.240.3.29,192.168.137.186,1464,1553148900.147332
benign,157.240.3.29,192.168.137.186,1464,1553148900.147514
benign,157.240.3.29,192.168.137.186,409,1553148900.147612
benign,157.240.3.29,192.168.137.186,66,1553148900.14827
benign,157.240.3.29,192.168.137.186,1464,1553148900.150461
benign,157.240.3.29,192.168.137.186,1464,1553148900.150621
benign,157.240.3.29,192.168.137.186,409,1553148900.150697
benign,192.168.137.186,157.240.3.29,66,1553148900.15541
benign,192.168.137.186,157.240.3.29,66,1553148900.155412
benign,192.168.137.186,157.240.3.29,66,1553148900.155412
benign,192.168.137.186,157.240.3.29,66,1553148900.155413
benign,192.168.137.186,157.240.3.29,66,1553148900.155413
benign,192.168.137.186,157.240.3.29,66,1553148900.155414
benign,192.168.137.186,157.240.3.29,130,1553148900.156739
benign,192.168.137.186,157.240.3.29,130,1553148900.15674
benign,192.168.137.186,24.244.44.209,152,1553148900.15674
benign,192.168.137.186,24.244.44.209,472,1553148900.15818
benign,24.244.44.209,192.168.137.186,238,1553148900.158603
benign,24.244.44.209,192.168.137.186,140,1553148900.158753
benign,157.240.3.29,192.168.137.186,66,1553148900.158987
benign,157.240.3.29,192.168.137.186,1464,1553148900.160463
benign,157.240.3.29,192.168.137.186,1464,1553148900.160645
benign,157.240.3.29,192.168.137.186,409,1553148900.160788
benign,192.168.137.186,24.244.44.209,66,1553148900.161459
benign,192.168.137.186,24.244.44.209,97,1553148900.16146
benign,192.168.137.186,157.240.3.29,66,1553148900.162914
benign,192.168.137.186,157.240.3.29,66,1553148900.162915
benign,192.168.137.186,157.240.3.29,66,1553148900.162916
benign,192.168.137.186,157.240.3.29,130,1553148900.162917
benign,24.244.44.209,192.168.137.186,97,1553148900.165868
benign,192.168.137.186,157.240.3.29,66,1553148900.170421
benign,192.168.137.186,157.240.3.29,66,1553148900.170422
benign,192.168.137.186,157.240.3.29,152,1553148900.170423
benign,24.244.44.209,192.168.137.186,101,1553148900.171366
benign,192.168.137.186,157.240.3.29,552,1553148900.172558
benign,24.244.44.209,192.168.137.186,1464,1553148900.172715
benign,24.244.44.209,192.168.137.186,1464,1553148900.172857
