Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,184.73.240.198,1514,1553149823.756881
benign,192.168.137.186,184.73.240.198,229,1553149823.758509
benign,184.73.240.198,192.168.137.186,66,1553149823.843334
benign,184.73.240.198,192.168.137.186,194,1553149823.845129
benign,192.168.137.186,184.73.240.198,66,1553149823.847119
benign,192.168.137.186,184.73.240.198,1514,1553149823.888979
benign,192.168.137.186,184.73.240.198,225,1553149823.890497
benign,184.73.240.198,192.168.137.186,66,1553149823.973349
benign,184.73.240.198,192.168.137.186,194,1553149823.993251
benign,192.168.137.186,184.73.240.198,66,1553149823.995514
benign,192.168.137.186,184.73.240.198,1514,1553149825.665684
benign,192.168.137.186,184.73.240.198,218,1553149825.668674
benign,184.73.240.198,192.168.137.186,66,1553149825.753107
benign,184.73.240.198,192.168.137.186,194,1553149825.754559
benign,192.168.137.186,184.73.240.198,66,1553149825.761925
benign,192.168.137.186,184.73.240.198,1514,1553149825.820578
benign,192.168.137.186,184.73.240.198,217,1553149825.8223
benign,184.73.240.198,192.168.137.186,66,1553149825.904831
benign,184.73.240.198,192.168.137.186,194,1553149825.907252
benign,192.168.137.186,184.73.240.198,66,1553149825.909627
benign,192.168.137.186,184.73.240.198,1514,1553149825.942115
benign,192.168.137.186,184.73.240.198,215,1553149825.943687
benign,184.73.240.198,192.168.137.186,66,1553149826.026478
benign,184.73.240.198,192.168.137.186,194,1553149826.028522
benign,192.168.137.186,184.73.240.198,1514,1553149826.05633
benign,192.168.137.186,184.73.240.198,213,1553149826.059623
benign,184.73.240.198,192.168.137.186,66,1553149826.140534
benign,184.73.240.198,192.168.137.186,194,1553149826.141992
benign,192.168.137.186,184.73.240.198,66,1553149826.191483
benign,192.168.137.186,184.73.240.198,1514,1553149828.665652
benign,192.168.137.186,184.73.240.198,215,1553149828.66722
benign,184.73.240.198,192.168.137.186,66,1553149828.753297
benign,184.73.240.198,192.168.137.186,194,1553149828.754965
benign,192.168.137.186,184.73.240.198,66,1553149828.757189
benign,192.168.137.186,184.73.240.198,1514,1553149828.804589
benign,192.168.137.186,184.73.240.198,216,1553149828.806193
benign,184.73.240.198,192.168.137.186,66,1553149828.888218
benign,184.73.240.198,192.168.137.186,194,1553149828.889658
benign,192.168.137.186,184.73.240.198,66,1553149828.892135
benign,192.168.137.186,184.73.240.198,1514,1553149828.935577
benign,192.168.137.186,184.73.240.198,220,1553149828.937171
benign,184.73.240.198,192.168.137.186,66,1553149829.019412
benign,184.73.240.198,192.168.137.186,194,1553149829.021989
benign,192.168.137.186,184.73.240.198,66,1553149829.024452
benign,192.168.137.186,184.73.240.198,1514,1553149829.069465
benign,192.168.137.186,184.73.240.198,212,1553149829.079014
benign,184.73.240.198,192.168.137.186,66,1553149829.158165
benign,184.73.240.198,192.168.137.186,194,1553149829.159383
benign,192.168.137.186,184.73.240.198,66,1553149829.173217
benign,192.168.137.186,184.73.240.198,1514,1553149829.205654
benign,192.168.137.186,184.73.240.198,209,1553149829.207293
benign,184.73.240.198,192.168.137.186,66,1553149829.289738
benign,184.73.240.198,192.168.137.186,194,1553149829.291787
benign,192.168.137.186,184.73.240.198,66,1553149829.299485
benign,192.168.137.186,184.73.240.198,1514,1553149829.329546
benign,192.168.137.186,184.73.240.198,219,1553149829.329547
benign,184.73.240.198,192.168.137.186,66,1553149829.409905
benign,184.73.240.198,192.168.137.186,194,1553149829.411084
benign,192.168.137.186,184.73.240.198,66,1553149829.467867
benign,192.168.137.186,184.73.240.198,1514,1553149830.70781
benign,192.168.137.186,184.73.240.198,217,1553149830.709479
benign,184.73.240.198,192.168.137.186,66,1553149830.795752
benign,184.73.240.198,192.168.137.186,194,1553149830.797347
benign,192.168.137.186,184.73.240.198,66,1553149830.799982
benign,192.168.137.186,184.73.240.198,1514,1553149830.845834
benign,192.168.137.186,184.73.240.198,216,1553149830.847832
benign,184.73.240.198,192.168.137.186,66,1553149830.92976
benign,184.73.240.198,192.168.137.186,194,1553149830.93119
benign,192.168.137.186,184.73.240.198,66,1553149830.933413
benign,192.168.137.186,184.73.240.198,1514,1553149830.977083
benign,192.168.137.186,184.73.240.198,218,1553149830.979076
benign,184.73.240.198,192.168.137.186,66,1553149831.061413
benign,184.73.240.198,192.168.137.186,194,1553149831.064207
benign,192.168.137.186,184.73.240.198,66,1553149831.066866
benign,192.168.137.186,184.73.240.198,1514,1553149831.108238
benign,192.168.137.186,184.73.240.198,211,1553149831.109791
benign,184.73.240.198,192.168.137.186,66,1553149831.192612
benign,184.73.240.198,192.168.137.186,194,1553149831.19342
benign,192.168.137.186,184.73.240.198,66,1553149831.23471
benign,192.168.137.186,184.73.240.198,1514,1553149832.492292
benign,192.168.137.186,184.73.240.198,206,1553149832.493784
benign,184.73.240.198,192.168.137.186,66,1553149832.580247
benign,184.73.240.198,192.168.137.186,194,1553149832.58167
benign,192.168.137.186,184.73.240.198,66,1553149832.583689
benign,192.168.137.186,184.73.240.198,1514,1553149832.625639
benign,192.168.137.186,184.73.240.198,219,1553149832.627243
benign,184.73.240.198,192.168.137.186,66,1553149832.709465
benign,184.73.240.198,192.168.137.186,194,1553149832.711219
benign,192.168.137.186,184.73.240.198,66,1553149832.713494
benign,192.168.137.186,184.73.240.198,1514,1553149832.745449
benign,192.168.137.186,184.73.240.198,223,1553149832.747022
benign,184.73.240.198,192.168.137.186,66,1553149832.829413
benign,184.73.240.198,192.168.137.186,194,1553149832.830987
benign,192.168.137.186,184.73.240.198,66,1553149832.871224
benign,192.168.137.186,184.73.240.198,1514,1553149833.916444
benign,192.168.137.186,184.73.240.198,218,1553149833.918055
benign,184.73.240.198,192.168.137.186,66,1553149834.002404
benign,184.73.240.198,192.168.137.186,194,1553149834.003929
benign,192.168.137.186,184.73.240.198,66,1553149834.006114
benign,192.168.137.186,184.73.240.198,1514,1553149834.046802
benign,192.168.137.186,184.73.240.198,218,1553149834.048323
benign,184.73.240.198,192.168.137.186,66,1553149834.131129
benign,184.73.240.198,192.168.137.186,194,1553149834.133093
benign,192.168.137.186,184.73.240.198,66,1553149834.135572
benign,192.168.137.186,184.73.240.198,1514,1553149834.152339
benign,192.168.137.186,184.73.240.198,221,1553149834.155353
benign,184.73.240.198,192.168.137.186,66,1553149834.236984
benign,184.73.240.198,192.168.137.186,194,1553149834.238094
benign,192.168.137.186,184.73.240.198,66,1553149834.278112
benign,192.168.137.186,184.73.240.198,1514,1553149836.783729
benign,192.168.137.186,184.73.240.198,216,1553149836.785295
benign,184.73.240.198,192.168.137.186,66,1553149836.871689
benign,184.73.240.198,192.168.137.186,194,1553149836.871926
benign,192.168.137.186,184.73.240.198,66,1553149836.876542
benign,192.168.137.186,184.73.240.198,1514,1553149836.913147
benign,192.168.137.186,184.73.240.198,220,1553149836.917009
benign,184.73.240.198,192.168.137.186,66,1553149836.998457
benign,184.73.240.198,192.168.137.186,194,1553149836.999961
benign,192.168.137.186,184.73.240.198,66,1553149837.005167
benign,192.168.137.186,184.73.240.198,1514,1553149837.062982
benign,192.168.137.186,184.73.240.198,219,1553149837.064689
benign,184.73.240.198,192.168.137.186,66,1553149837.145104
benign,184.73.240.198,192.168.137.186,194,1553149837.146541
benign,192.168.137.186,184.73.240.198,66,1553149837.150503
benign,192.168.137.186,184.73.240.198,1514,1553149837.171316
benign,192.168.137.186,184.73.240.198,220,1553149837.175393
benign,184.73.240.198,192.168.137.186,66,1553149837.259772
benign,184.73.240.198,192.168.137.186,194,1553149837.259967
benign,192.168.137.186,184.73.240.198,1514,1553149837.293108
benign,192.168.137.186,184.73.240.198,216,1553149837.299828
benign,184.73.240.198,192.168.137.186,66,1553149837.378812
benign,184.73.240.198,192.168.137.186,194,1553149837.380354
benign,192.168.137.186,184.73.240.198,66,1553149837.421378
benign,192.168.137.186,184.73.240.198,1514,1553149837.429454
benign,192.168.137.186,184.73.240.198,213,1553149837.429455
benign,184.73.240.198,192.168.137.186,66,1553149837.509156
benign,184.73.240.198,192.168.137.186,194,1553149837.510211
benign,192.168.137.186,184.73.240.198,66,1553149837.512917
benign,192.168.137.186,184.73.240.198,1514,1553149837.552405
benign,192.168.137.186,184.73.240.198,219,1553149837.553986
benign,184.73.240.198,192.168.137.186,66,1553149837.63677
benign,184.73.240.198,192.168.137.186,194,1553149837.639192
benign,192.168.137.186,184.73.240.198,66,1553149837.681414
benign,192.168.137.186,184.73.240.198,1514,1553149837.685927
benign,192.168.137.186,184.73.240.198,216,1553149837.687486
benign,184.73.240.198,192.168.137.186,66,1553149837.770257
benign,184.73.240.198,192.168.137.186,194,1553149837.771089
benign,192.168.137.186,184.73.240.198,66,1553149837.773909
benign,192.168.137.186,184.73.240.198,1514,1553149838.950269
benign,192.168.137.186,184.73.240.198,217,1553149838.95194
benign,184.73.240.198,192.168.137.186,66,1553149839.037064
benign,184.73.240.198,192.168.137.186,194,1553149839.037697
benign,192.168.137.186,184.73.240.198,66,1553149839.039787
benign,192.168.137.186,184.73.240.198,1514,1553149839.08451
benign,192.168.137.186,184.73.240.198,213,1553149839.086081
benign,184.73.240.198,192.168.137.186,66,1553149839.169905
benign,184.73.240.198,192.168.137.186,194,1553149839.170089
benign,192.168.137.186,184.73.240.198,66,1553149839.172539
benign,192.168.137.186,184.73.240.198,1514,1553149839.217681
benign,192.168.137.186,184.73.240.198,213,1553149839.219127
benign,184.73.240.198,192.168.137.186,66,1553149839.301745
benign,184.73.240.198,192.168.137.186,194,1553149839.302552
benign,192.168.137.186,184.73.240.198,66,1553149839.304802
benign,192.168.137.186,184.73.240.198,1514,1553149840.325431
benign,192.168.137.186,184.73.240.198,212,1553149840.327272
benign,184.73.240.198,192.168.137.186,66,1553149840.41133
benign,184.73.240.198,192.168.137.186,194,1553149840.412236
benign,192.168.137.186,184.73.240.198,66,1553149840.417538
benign,192.168.137.186,184.73.240.198,1514,1553149840.460444
benign,192.168.137.186,184.73.240.198,221,1553149840.462067
benign,184.73.240.198,192.168.137.186,66,1553149840.543029
benign,184.73.240.198,192.168.137.186,194,1553149840.543255
benign,192.168.137.186,184.73.240.198,66,1553149840.545883
benign,192.168.137.186,184.73.240.198,1514,1553149840.602691
benign,192.168.137.186,184.73.240.198,219,1553149840.604354
benign,184.73.240.198,192.168.137.186,66,1553149840.687668
benign,184.73.240.198,192.168.137.186,194,1553149840.688926
benign,192.168.137.186,184.73.240.198,66,1553149840.758147
benign,192.168.137.186,184.73.240.198,1514,1553149841.810776
benign,192.168.137.186,184.73.240.198,209,1553149841.812402
benign,184.73.240.198,192.168.137.186,66,1553149841.896464
benign,184.73.240.198,192.168.137.186,194,1553149841.89715
benign,192.168.137.186,184.73.240.198,66,1553149841.899328
benign,192.168.137.186,184.73.240.198,1514,1553149841.935941
benign,192.168.137.186,184.73.240.198,214,1553149841.937575
benign,184.73.240.198,192.168.137.186,66,1553149842.017187
benign,184.73.240.198,192.168.137.186,194,1553149842.018327
benign,192.168.137.186,184.73.240.198,66,1553149842.05812
benign,192.168.137.186,184.73.240.198,1514,1553149842.06313
benign,192.168.137.186,184.73.240.198,213,1553149842.065141
benign,184.73.240.198,192.168.137.186,66,1553149842.147622
benign,184.73.240.198,192.168.137.186,194,1553149842.148287
benign,192.168.137.186,184.73.240.198,66,1553149842.155325
benign,192.168.137.186,184.73.240.198,1514,1553149843.192431
benign,192.168.137.186,184.73.240.198,207,1553149843.196033
benign,184.73.240.198,192.168.137.186,66,1553149843.278744
benign,184.73.240.198,192.168.137.186,194,1553149843.279863
benign,192.168.137.186,184.73.240.198,66,1553149843.282272
benign,192.168.137.186,184.73.240.198,1514,1553149843.327624
benign,192.168.137.186,184.73.240.198,210,1553149843.329222
benign,184.73.240.198,192.168.137.186,66,1553149843.410578
benign,184.73.240.198,192.168.137.186,194,1553149843.41076
benign,192.168.137.186,184.73.240.198,66,1553149843.413079
benign,192.168.137.186,184.73.240.198,1514,1553149843.45806
benign,192.168.137.186,184.73.240.198,206,1553149843.459869
benign,184.73.240.198,192.168.137.186,66,1553149843.545051
benign,184.73.240.198,192.168.137.186,194,1553149843.546125
benign,192.168.137.186,184.73.240.198,66,1553149843.548583
benign,192.168.137.186,184.73.240.198,1514,1553149844.610039
benign,192.168.137.186,184.73.240.198,207,1553149844.611746
benign,184.73.240.198,192.168.137.186,66,1553149844.696173
benign,184.73.240.198,192.168.137.186,194,1553149844.697816
benign,192.168.137.186,184.73.240.198,66,1553149844.701791
benign,192.168.137.186,184.73.240.198,1514,1553149844.745362
benign,192.168.137.186,184.73.240.198,213,1553149844.746934
benign,184.73.240.198,192.168.137.186,66,1553149844.826686
benign,184.73.240.198,192.168.137.186,194,1553149844.828203
benign,192.168.137.186,184.73.240.198,66,1553149844.830331
benign,192.168.137.186,184.73.240.198,1514,1553149844.875555
benign,192.168.137.186,184.73.240.198,203,1553149844.877067
benign,184.73.240.198,192.168.137.186,66,1553149844.959729
benign,184.73.240.198,192.168.137.186,194,1553149844.961084
benign,192.168.137.186,184.73.240.198,66,1553149844.963337
benign,192.168.137.186,184.73.240.198,1514,1553149848.005161
benign,192.168.137.186,184.73.240.198,199,1553149848.010967
benign,184.73.240.198,192.168.137.186,66,1553149848.093724
benign,184.73.240.198,192.168.137.186,194,1553149848.094274
benign,192.168.137.186,184.73.240.198,66,1553149848.096402
benign,192.168.137.186,184.73.240.198,1514,1553149848.13373
benign,192.168.137.186,184.73.240.198,206,1553149848.135279
benign,184.73.240.198,192.168.137.186,66,1553149848.218308
benign,184.73.240.198,192.168.137.186,194,1553149848.226859
benign,192.168.137.186,184.73.240.198,66,1553149848.268097
benign,192.168.137.186,184.73.240.198,1514,1553149848.282493
benign,192.168.137.186,184.73.240.198,214,1553149848.288405
benign,184.73.240.198,192.168.137.186,66,1553149848.367956
benign,184.73.240.198,192.168.137.186,194,1553149848.369032
benign,192.168.137.186,184.73.240.198,66,1553149848.371464
benign,192.168.137.186,184.73.240.198,1514,1553149848.412681
benign,192.168.137.186,184.73.240.198,208,1553149848.414314
benign,184.73.240.198,192.168.137.186,66,1553149848.496662
benign,184.73.240.198,192.168.137.186,194,1553149848.498209
benign,192.168.137.186,184.73.240.198,66,1553149848.500256
benign,192.168.137.186,184.73.240.198,1514,1553149848.541323
benign,192.168.137.186,184.73.240.198,216,1553149848.542882
benign,184.73.240.198,192.168.137.186,66,1553149848.625775
benign,184.73.240.198,192.168.137.186,194,1553149848.627167
benign,192.168.137.186,184.73.240.198,66,1553149848.62913
benign,192.168.137.186,184.73.240.198,1514,1553149848.671855
benign,192.168.137.186,184.73.240.198,220,1553149848.673354
benign,184.73.240.198,192.168.137.186,66,1553149848.75609
benign,184.73.240.198,192.168.137.186,194,1553149848.757539
benign,192.168.137.186,184.73.240.198,66,1553149848.759618
benign,192.168.137.186,184.73.240.198,1514,1553149848.801318
benign,192.168.137.186,184.73.240.198,217,1553149848.804154
benign,184.73.240.198,192.168.137.186,66,1553149848.886209
benign,184.73.240.198,192.168.137.186,194,1553149848.887447
benign,192.168.137.186,184.73.240.198,66,1553149848.890169
benign,192.168.137.186,184.73.240.198,1514,1553149848.935469
benign,192.168.137.186,184.73.240.198,212,1553149848.937382
benign,184.73.240.198,192.168.137.186,66,1553149849.020588
benign,184.73.240.198,192.168.137.186,194,1553149849.021542
benign,192.168.137.186,184.73.240.198,66,1553149849.026322
benign,192.168.137.186,184.73.240.198,1514,1553149849.043043
benign,192.168.137.186,184.73.240.198,218,1553149849.044661
benign,184.73.240.198,192.168.137.186,66,1553149849.127294
benign,184.73.240.198,192.168.137.186,194,1553149849.127973
benign,192.168.137.186,184.73.240.198,66,1553149849.168179
benign,192.168.137.186,184.73.240.198,1514,1553149850.036538
benign,192.168.137.186,184.73.240.198,216,1553149850.039326
benign,184.73.240.198,192.168.137.186,66,1553149850.121716
benign,184.73.240.198,192.168.137.186,194,1553149850.123474
benign,192.168.137.186,184.73.240.198,66,1553149850.125615
benign,192.168.137.186,184.73.240.198,1514,1553149850.169563
benign,192.168.137.186,184.73.240.198,217,1553149850.172455
benign,184.73.240.198,192.168.137.186,66,1553149850.254477
benign,184.73.240.198,192.168.137.186,194,1553149850.255792
benign,192.168.137.186,184.73.240.198,66,1553149850.258437
