Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,157.240.3.20,74,1553150739.282266
benign,157.240.3.20,192.168.137.186,74,1553150739.311583
benign,192.168.137.186,157.240.3.20,66,1553150739.314431
benign,192.168.137.186,157.240.3.20,250,1553150739.31664
benign,157.240.3.20,192.168.137.186,66,1553150739.34871
benign,157.240.3.20,192.168.137.186,1464,1553150739.350521
benign,157.240.3.20,192.168.137.186,1464,1553150739.350852
benign,157.240.3.20,192.168.137.186,332,1553150739.350996
benign,192.168.137.186,157.240.3.20,66,1553150739.352781
benign,192.168.137.186,157.240.3.20,66,1553150739.352782
benign,192.168.137.186,157.240.3.20,66,1553150739.352783
benign,192.168.137.186,157.240.3.20,192,1553150739.372703
benign,157.240.3.20,192.168.137.186,324,1553150739.39984
benign,192.168.137.186,157.240.3.20,650,1553150739.402237
benign,157.240.3.20,192.168.137.186,66,1553150739.469719
benign,157.240.3.20,192.168.137.186,1113,1553150739.481047
benign,192.168.137.186,52.52.240.97,97,1553150739.545339
benign,192.168.137.186,52.52.240.97,66,1553150739.54534
benign,192.168.137.186,157.240.3.20,1464,1553150739.559914
benign,192.168.137.186,157.240.3.20,609,1553150739.561425
benign,157.240.3.20,192.168.137.186,1113,1553150739.575192
benign,192.168.137.186,157.240.3.20,78,1553150739.577856
benign,157.240.3.20,192.168.137.186,66,1553150739.587493
benign,157.240.3.20,192.168.137.186,66,1553150739.592133
benign,52.52.240.97,192.168.137.186,66,1553150739.599856
benign,192.168.137.186,52.52.240.97,66,1553150739.602428
benign,52.52.240.97,192.168.137.186,66,1553150739.602644
benign,157.240.3.20,192.168.137.186,1116,1553150739.642152
benign,192.168.137.186,157.240.3.20,66,1553150739.645111
benign,192.168.137.186,157.240.3.20,650,1553150745.185782
"ads,tracking",192.168.137.186,35.241.52.229,1335,1553150745.185784
benign,157.240.3.20,192.168.137.186,66,1553150745.216769
"ads,tracking",35.241.52.229,192.168.137.186,66,1553150745.221569
benign,157.240.3.20,192.168.137.186,1113,1553150745.266818
"ads,tracking",35.241.52.229,192.168.137.186,217,1553150745.361437
benign,192.168.137.186,157.240.3.20,66,1553150745.379461
"ads,tracking",192.168.137.186,35.241.52.229,66,1553150745.379462
benign,157.240.3.20,192.168.137.186,1113,1553150745.399084
benign,192.168.137.186,157.240.3.20,78,1553150745.401444
benign,192.168.137.186,157.240.3.20,650,1553150751.1171
"ads,tracking",192.168.137.186,35.241.52.229,956,1553150751.117101
benign,157.240.3.20,192.168.137.186,66,1553150751.150661
"ads,tracking",35.241.52.229,192.168.137.186,66,1553150751.15109
benign,157.240.3.20,192.168.137.186,1113,1553150751.201337
benign,192.168.137.186,157.240.3.20,66,1553150751.203646
"ads,tracking",35.241.52.229,192.168.137.186,217,1553150751.293655
"ads,tracking",192.168.137.186,35.241.52.229,66,1553150751.297806
benign,192.168.137.186,157.240.3.20,650,1553150756.357857
benign,157.240.3.20,192.168.137.186,66,1553150756.388572
benign,157.240.3.20,192.168.137.186,1113,1553150756.437532
benign,192.168.137.186,157.240.3.20,66,1553150756.440061
