Service,Src IP,Dst IP,Frame Size,Timestamp
"ads,tracking",69.16.175.42,192.168.137.186,97,1553151865.259479
"ads,tracking",69.16.175.42,192.168.137.186,66,1553151865.259777
"ads,tracking",192.168.137.186,69.16.175.42,66,1553151865.45171
ads,192.168.137.186,35.241.26.53,74,1553151867.171712
ads,35.241.26.53,192.168.137.186,74,1553151867.205124
ads,192.168.137.186,35.241.26.53,66,1553151867.207187
ads,192.168.137.186,35.241.26.53,260,1553151867.210146
benign,192.168.137.186,52.73.89.97,74,1553151867.240163
ads,35.241.26.53,192.168.137.186,66,1553151867.245574
ads,192.168.137.186,192.48.236.11,74,1553151867.247579
ads,35.241.26.53,192.168.137.186,1484,1553151867.248709
ads,35.241.26.53,192.168.137.186,1484,1553151867.249584
ads,35.241.26.53,192.168.137.186,566,1553151867.249945
ads,192.168.137.186,35.241.26.53,66,1553151867.250904
ads,192.168.137.186,35.241.26.53,66,1553151867.253142
ads,192.168.137.186,35.241.26.53,66,1553151867.253143
ads,192.168.137.186,35.241.26.53,159,1553151867.261006
ads,192.168.137.186,192.48.236.11,74,1553151867.278706
ads,35.241.26.53,192.168.137.186,350,1553151867.291751
ads,192.168.137.186,35.241.26.53,783,1553151867.295276
benign,52.73.89.97,192.168.137.186,74,1553151867.324271
benign,192.168.137.186,52.73.89.97,66,1553151867.327855
benign,192.168.137.186,52.73.89.97,256,1553151867.329122
ads,192.48.236.11,192.168.137.186,74,1553151867.3419
ads,192.168.137.186,192.48.236.11,66,1553151867.345281
ads,192.168.137.186,192.48.236.11,226,1553151867.346632
ads,35.241.26.53,192.168.137.186,66,1553151867.361189
ads,192.48.236.11,192.168.137.186,74,1553151867.371753
ads,192.168.137.186,192.48.236.11,66,1553151867.373716
ads,192.168.137.186,192.48.236.11,226,1553151867.373716
ads,35.241.26.53,192.168.137.186,466,1553151867.375913
benign,192.168.137.186,35.201.103.6,97,1553151867.37954
benign,192.168.137.186,35.201.103.6,66,1553151867.37954
benign,35.201.103.6,192.168.137.186,66,1553151867.413153
benign,35.201.103.6,192.168.137.186,66,1553151867.413499
benign,192.168.137.186,35.201.103.6,66,1553151867.415367
benign,52.73.89.97,192.168.137.186,66,1553151867.415923
ads,192.168.137.186,35.241.26.53,66,1553151867.41708
benign,52.73.89.97,192.168.137.186,1514,1553151867.417819
benign,52.73.89.97,192.168.137.186,1514,1553151867.417911
benign,52.73.89.97,192.168.137.186,1514,1553151867.417932
benign,52.73.89.97,192.168.137.186,1082,1553151867.417983
benign,192.168.137.186,52.73.89.97,66,1553151867.420684
benign,192.168.137.186,52.73.89.97,66,1553151867.420685
benign,192.168.137.186,52.73.89.97,66,1553151867.420685
benign,192.168.137.186,52.73.89.97,66,1553151867.420685
ads,192.168.137.186,35.241.22.100,74,1553151867.433835
benign,192.168.137.186,52.73.89.97,192,1553151867.439858
ads,192.48.236.11,192.168.137.186,66,1553151867.443064
ads,192.48.236.11,192.168.137.186,1514,1553151867.44488
ads,192.48.236.11,192.168.137.186,1514,1553151867.444946
ads,192.48.236.11,192.168.137.186,927,1553151867.445027
ads,192.168.137.186,192.48.236.11,66,1553151867.447051
ads,192.168.137.186,192.48.236.11,66,1553151867.448365
ads,192.168.137.186,192.48.236.11,66,1553151867.448366
ads,192.168.137.186,192.48.236.11,192,1553151867.466666
ads,35.241.22.100,192.168.137.186,74,1553151867.467269
ads,192.168.137.186,35.241.22.100,66,1553151867.469268
ads,192.48.236.11,192.168.137.186,66,1553151867.471883
ads,192.168.137.186,35.241.22.100,257,1553151867.471942
ads,192.48.236.11,192.168.137.186,1514,1553151867.473903
ads,192.48.236.11,192.168.137.186,1514,1553151867.473949
ads,192.48.236.11,192.168.137.186,927,1553151867.474644
ads,192.168.137.186,192.48.236.11,66,1553151867.476111
ads,192.168.137.186,192.48.236.11,66,1553151867.476111
ads,192.168.137.186,192.48.236.11,66,1553151867.476111
ads,192.168.137.186,192.48.236.11,192,1553151867.488411
ads,35.241.22.100,192.168.137.186,66,1553151867.50906
ads,35.241.22.100,192.168.137.186,1484,1553151867.509866
ads,35.241.22.100,192.168.137.186,1484,1553151867.510807
ads,35.241.22.100,192.168.137.186,195,1553151867.511753
ads,192.168.137.186,35.241.22.100,66,1553151867.511756
ads,192.168.137.186,35.241.22.100,66,1553151867.511756
ads,192.168.137.186,35.241.22.100,66,1553151867.513738
benign,52.73.89.97,192.168.137.186,340,1553151867.521035
benign,192.168.137.186,52.73.89.97,592,1553151867.523371
ads,192.168.137.186,35.241.22.100,159,1553151867.523372
ads,35.241.22.100,192.168.137.186,350,1553151867.55354
ads,192.168.137.186,35.241.22.100,461,1553151867.555648
ads,192.48.236.11,192.168.137.186,117,1553151867.557457
ads,192.168.137.186,192.48.236.11,612,1553151867.563468
ads,192.48.236.11,192.168.137.186,117,1553151867.57853
ads,192.168.137.186,192.48.236.11,645,1553151867.583504
benign,52.73.89.97,192.168.137.186,470,1553151867.604433
benign,192.168.137.186,35.226.172.250,97,1553151867.608145
benign,192.168.137.186,35.226.172.250,66,1553151867.608145
ads,35.241.22.100,192.168.137.186,265,1553151867.621952
ads,192.168.137.186,35.153.37.39,97,1553151867.624459
ads,192.168.137.186,35.153.37.39,66,1553151867.62446
benign,192.168.137.186,52.73.89.97,66,1553151867.643971
tracking,192.168.137.186,52.55.162.139,74,1553151867.645307
ads,192.168.137.186,35.241.22.100,66,1553151867.663844
"ads,tracking",192.168.137.186,35.241.52.229,74,1553151867.665705
benign,35.226.172.250,192.168.137.186,66,1553151867.6689
benign,192.168.137.186,35.226.172.250,66,1553151867.670886
benign,35.226.172.250,192.168.137.186,66,1553151867.673961
ads,192.48.236.11,192.168.137.186,483,1553151867.684537
benign,192.168.137.186,13.32.252.234,97,1553151867.688291
benign,192.168.137.186,13.32.252.234,66,1553151867.688291
ads,192.48.236.11,192.168.137.186,66,1553151867.694705
"ads,tracking",35.241.52.229,192.168.137.186,74,1553151867.697065
"ads,tracking",192.168.137.186,35.241.52.229,66,1553151867.699029
"ads,tracking",192.168.137.186,35.241.52.229,253,1553151867.700768
ads,35.153.37.39,192.168.137.186,97,1553151867.711087
ads,35.153.37.39,192.168.137.186,66,1553151867.711484
ads,192.168.137.186,35.153.37.39,54,1553151867.713196
ads,192.168.137.186,35.153.37.39,54,1553151867.713196
ads,192.48.236.11,192.168.137.186,616,1553151867.720099
benign,13.32.252.234,192.168.137.186,66,1553151867.722275
"ads,tracking",192.168.137.186,69.16.175.42,97,1553151867.724738
"ads,tracking",192.168.137.186,69.16.175.42,66,1553151867.724738
ads,192.168.137.186,192.48.236.11,66,1553151867.724738
