Service,Src IP,Dst IP,Frame Size,Timestamp
benign,35.186.229.7,192.168.137.186,350,1553152785.04182
benign,192.168.137.186,35.186.229.7,475,1553152785.044462
benign,52.216.20.173,192.168.137.186,54,1553152785.071924
benign,192.168.137.186,52.216.20.173,54,1553152785.075689
benign,35.186.229.7,192.168.137.186,66,1553152785.111088
benign,35.186.229.7,192.168.137.186,649,1553152785.133858
"ads,tracking",192.168.137.186,35.241.52.229,97,1553152785.138671
"ads,tracking",192.168.137.186,35.241.52.229,66,1553152785.138672
"ads,tracking",35.241.52.229,192.168.137.186,66,1553152785.165282
"ads,tracking",35.241.52.229,192.168.137.186,66,1553152785.167072
"ads,tracking",192.168.137.186,35.241.52.229,66,1553152785.169299
"ads,tracking",35.241.52.229,192.168.137.186,66,1553152785.1718
benign,192.168.137.186,35.186.229.7,66,1553152785.17646
benign,192.168.137.186,104.16.204.165,74,1553152785.52018
benign,192.168.137.186,104.16.204.165,74,1553152785.538574
benign,104.16.204.165,192.168.137.186,66,1553152785.553622
benign,192.168.137.186,104.16.204.165,54,1553152785.556325
benign,192.168.137.186,104.16.204.165,233,1553152785.556326
benign,104.16.204.165,192.168.137.186,66,1553152785.572078
benign,192.168.137.186,104.16.204.165,54,1553152785.574655
benign,192.168.137.186,104.16.204.165,233,1553152785.576452
benign,104.16.204.165,192.168.137.186,54,1553152785.59175
benign,104.16.204.165,192.168.137.186,1514,1553152785.593116
benign,104.16.204.165,192.168.137.186,1514,1553152785.594292
benign,104.16.204.165,192.168.137.186,865,1553152785.594505
benign,192.168.137.186,104.16.204.165,54,1553152785.597586
benign,192.168.137.186,104.16.204.165,54,1553152785.597587
benign,192.168.137.186,104.16.204.165,54,1553152785.597588
benign,104.16.204.165,192.168.137.186,54,1553152785.612231
benign,104.16.204.165,192.168.137.186,1514,1553152785.613902
benign,104.16.204.165,192.168.137.186,1514,1553152785.6143
benign,104.16.204.165,192.168.137.186,865,1553152785.614439
benign,192.168.137.186,104.16.204.165,54,1553152785.616715
benign,192.168.137.186,104.16.204.165,54,1553152785.616716
benign,192.168.137.186,104.16.204.165,54,1553152785.619402
benign,192.168.137.186,104.16.204.165,147,1553152785.647271
benign,192.168.137.186,104.16.204.165,147,1553152785.676193
benign,104.16.204.165,192.168.137.186,312,1553152785.677668
benign,192.168.137.186,104.16.204.165,312,1553152785.680253
benign,104.16.204.165,192.168.137.186,312,1553152785.706294
benign,192.168.137.186,104.16.204.165,346,1553152785.708859
benign,104.16.204.165,192.168.137.186,1452,1553152785.718448
benign,104.16.204.165,192.168.137.186,1452,1553152785.718705
benign,104.16.204.165,192.168.137.186,1452,1553152785.718807
benign,104.16.204.165,192.168.137.186,1452,1553152785.71903
benign,104.16.204.165,192.168.137.186,1452,1553152785.719126
benign,104.16.204.165,192.168.137.186,1514,1553152785.719325
benign,104.16.204.165,192.168.137.186,1390,1553152785.71941
benign,104.16.204.165,192.168.137.186,1514,1553152785.719486
benign,104.16.204.165,192.168.137.186,1514,1553152785.719597
benign,104.16.204.165,192.168.137.186,881,1553152785.721187
benign,192.168.137.186,104.16.204.165,54,1553152785.721563
benign,192.168.137.186,104.16.204.165,54,1553152785.721564
benign,192.168.137.186,104.16.204.165,54,1553152785.721565
benign,192.168.137.186,104.16.204.165,54,1553152785.723065
benign,192.168.137.186,104.16.204.165,54,1553152785.723066
benign,104.16.204.165,192.168.137.186,1452,1553152785.724137
benign,104.16.204.165,192.168.137.186,1514,1553152785.724366
benign,104.16.204.165,192.168.137.186,1514,1553152785.724746
benign,104.16.204.165,192.168.137.186,1514,1553152785.726679
benign,104.16.204.165,192.168.137.186,1514,1553152785.726975
benign,192.168.137.186,104.16.204.165,54,1553152785.726979
benign,104.16.204.165,192.168.137.186,1514,1553152785.729278
benign,192.168.137.186,104.16.204.165,54,1553152785.729642
benign,104.16.204.165,192.168.137.186,568,1553152785.729664
benign,192.168.137.186,104.16.204.165,54,1553152785.73185
benign,192.168.137.186,104.16.204.165,54,1553152785.771939
benign,104.16.204.165,192.168.137.186,54,1553152785.779481
benign,104.16.204.165,192.168.137.186,926,1553152785.808306
benign,104.16.204.165,192.168.137.186,88,1553152785.808499
benign,192.168.137.186,104.16.204.165,54,1553152785.812523
benign,192.168.137.186,35.186.229.7,315,1553152786.645754
benign,35.186.229.7,192.168.137.186,66,1553152786.675308
benign,35.186.229.7,192.168.137.186,550,1553152786.717476
benign,192.168.137.186,35.186.229.7,66,1553152786.719555
benign,192.168.137.186,35.186.229.7,74,1553152786.721702
benign,35.186.229.7,192.168.137.186,74,1553152786.757355
benign,192.168.137.186,35.186.229.7,66,1553152786.759487
benign,192.168.137.186,35.186.229.7,583,1553152786.762303
benign,35.186.229.7,192.168.137.186,66,1553152786.797441
benign,35.186.229.7,192.168.137.186,228,1553152786.798091
benign,192.168.137.186,35.186.229.7,66,1553152786.800089
benign,192.168.137.186,35.186.229.7,117,1553152786.803421
benign,35.186.229.7,192.168.137.186,66,1553152786.876109
benign,192.168.137.186,35.186.229.7,421,1553152786.878542
benign,35.186.229.7,192.168.137.186,66,1553152786.908857
benign,35.186.229.7,192.168.137.186,1484,1553152787.305535
benign,35.186.229.7,192.168.137.186,830,1553152787.306552
benign,35.186.229.7,192.168.137.186,830,1553152787.376972
benign,192.168.137.186,35.186.229.7,66,1553152787.389704
benign,192.168.137.186,35.186.229.7,78,1553152787.389705
benign,192.168.137.186,40.112.162.49,74,1553152787.458417
benign,40.112.162.49,192.168.137.186,74,1553152787.507687
benign,192.168.137.186,40.112.162.49,66,1553152787.509949
benign,192.168.137.186,40.112.162.49,114,1553152787.50995
ads,192.168.137.186,35.241.22.100,74,1553152787.535597
benign,192.168.137.186,35.186.229.7,795,1553152787.557191
benign,40.112.162.49,192.168.137.186,76,1553152787.562678
benign,192.168.137.186,40.112.162.49,66,1553152787.564889
ads,35.241.22.100,192.168.137.186,74,1553152787.568519
ads,192.168.137.186,35.241.22.100,66,1553152787.570919
ads,192.168.137.186,35.241.22.100,257,1553152787.572172
benign,35.186.229.7,192.168.137.186,66,1553152787.586539
benign,192.168.137.186,23.59.156.199,74,1553152787.593399
benign,192.168.137.186,35.186.229.7,798,1553152787.601048
ads,35.241.22.100,192.168.137.186,66,1553152787.605482
ads,35.241.22.100,192.168.137.186,1484,1553152787.608621
ads,35.241.22.100,192.168.137.186,1484,1553152787.608812
ads,35.241.22.100,192.168.137.186,195,1553152787.608893
