Service,Src IP,Dst IP,Frame Size,Timestamp
benign,23.36.178.183,192.168.137.186,324,1553153707.617419
benign,192.168.137.186,23.36.178.183,314,1553153707.619327
benign,23.36.178.183,192.168.137.186,501,1553153707.641297
benign,192.168.137.186,52.44.82.129,97,1553153707.644935
benign,192.168.137.186,52.44.82.129,66,1553153707.644936
benign,192.168.137.186,24.244.3.27,162,1553153707.646277
benign,24.244.3.27,192.168.137.186,1119,1553153707.655783
benign,24.244.3.27,192.168.137.186,1119,1553153707.655993
benign,24.244.3.27,192.168.137.186,644,1553153707.656093
benign,54.225.188.185,192.168.137.186,66,1553153707.681662
benign,54.225.188.185,192.168.137.186,1514,1553153707.682456
benign,54.225.188.185,192.168.137.186,1514,1553153707.683528
benign,54.225.188.185,192.168.137.186,1266,1553153707.6838
benign,54.225.188.185,192.168.137.186,1514,1553153707.68409
benign,54.225.188.185,192.168.137.186,391,1553153707.684146
benign,24.244.3.27,192.168.137.186,644,1553153707.691037
benign,52.44.82.129,192.168.137.186,97,1553153707.737756
benign,52.44.82.129,192.168.137.186,66,1553153707.738085
benign,192.168.137.186,35.244.172.51,74,1553153707.765413
benign,192.168.137.186,24.244.3.27,66,1553153707.765862
benign,192.168.137.186,54.225.188.185,66,1553153707.766317
benign,192.168.137.186,54.225.188.185,66,1553153707.766319
benign,192.168.137.186,54.225.188.185,66,1553153707.76632
benign,192.168.137.186,54.225.188.185,66,1553153707.766321
benign,192.168.137.186,54.225.188.185,66,1553153707.766321
benign,192.168.137.186,24.244.3.27,78,1553153707.766323
benign,192.168.137.186,52.44.82.129,54,1553153707.767424
benign,192.168.137.186,52.44.82.129,54,1553153707.767425
benign,192.168.137.186,13.32.252.89,74,1553153707.79654
benign,192.168.137.186,13.32.252.89,74,1553153707.798024
benign,192.168.137.186,54.225.188.185,192,1553153707.798025
benign,192.168.137.186,13.32.252.89,74,1553153707.798026
benign,35.244.172.51,192.168.137.186,74,1553153707.798878
benign,192.168.137.186,13.32.252.89,74,1553153707.800341
benign,192.168.137.186,35.244.172.51,66,1553153707.800342
benign,192.168.137.186,13.32.252.89,74,1553153707.800343
benign,192.168.137.186,35.244.172.51,583,1553153707.802407
benign,192.168.137.186,13.32.252.89,74,1553153707.802413
benign,13.32.252.89,192.168.137.186,74,1553153707.82978
benign,192.168.137.186,13.32.252.89,66,1553153707.832181
benign,192.168.137.186,13.32.252.89,583,1553153707.834145
benign,13.32.252.89,192.168.137.186,74,1553153707.834812
benign,13.32.252.89,192.168.137.186,74,1553153707.835265
benign,13.32.252.89,192.168.137.186,74,1553153707.835487
benign,35.244.172.51,192.168.137.186,66,1553153707.836072
benign,13.32.252.89,192.168.137.186,74,1553153707.836385
benign,13.32.252.89,192.168.137.186,74,1553153707.837099
benign,35.244.172.51,192.168.137.186,228,1553153707.837371
benign,192.168.137.186,13.32.252.89,66,1553153707.837381
benign,192.168.137.186,13.32.252.89,583,1553153707.837383
benign,192.168.137.186,13.32.252.89,66,1553153707.838709
benign,192.168.137.186,13.32.252.89,66,1553153707.838711
benign,192.168.137.186,13.32.252.89,66,1553153707.842199
benign,192.168.137.186,13.32.252.89,66,1553153707.8422
benign,192.168.137.186,35.244.172.51,66,1553153707.842201
benign,192.168.137.186,13.32.252.89,583,1553153707.842201
benign,192.168.137.186,13.32.252.89,583,1553153707.842202
benign,192.168.137.186,13.32.252.89,583,1553153707.842203
benign,192.168.137.186,35.244.172.51,117,1553153707.844394
benign,192.168.137.186,13.32.252.89,583,1553153707.844395
benign,192.168.137.186,35.244.172.51,1434,1553153707.844396
benign,13.32.252.89,192.168.137.186,66,1553153707.8697
benign,13.32.252.89,192.168.137.186,1514,1553153707.8727
benign,13.32.252.89,192.168.137.186,1514,1553153707.872789
benign,13.32.252.89,192.168.137.186,1514,1553153707.872842
benign,13.32.252.89,192.168.137.186,1468,1553153707.8729
benign,13.32.252.89,192.168.137.186,66,1553153707.874554
benign,192.168.137.186,13.32.252.89,66,1553153707.87603
benign,192.168.137.186,13.32.252.89,66,1553153707.876031
benign,192.168.137.186,13.32.252.89,66,1553153707.876031
benign,192.168.137.186,13.32.252.89,66,1553153707.876032
benign,35.244.172.51,192.168.137.186,66,1553153707.877603
benign,13.32.252.89,192.168.137.186,66,1553153707.87805
benign,13.32.252.89,192.168.137.186,66,1553153707.878649
benign,192.168.137.186,13.32.252.89,192,1553153707.879534
benign,192.168.137.186,35.244.172.51,1071,1553153707.879535
benign,54.225.188.185,192.168.137.186,117,1553153707.880459
benign,13.32.252.89,192.168.137.186,1514,1553153707.880573
benign,13.32.252.89,192.168.137.186,1514,1553153707.880631
benign,13.32.252.89,192.168.137.186,1514,1553153707.880711
benign,13.32.252.89,192.168.137.186,1468,1553153707.880768
benign,13.32.252.89,192.168.137.186,66,1553153707.881639
benign,13.32.252.89,192.168.137.186,66,1553153707.882049
