Service,Src IP,Dst IP,Frame Size,Timestamp
benign,31.3.237.190,192.168.137.186,66,1553154635.10348
benign,31.3.237.190,192.168.137.186,719,1553154635.109248
benign,31.3.237.190,192.168.137.186,97,1553154635.109324
benign,31.3.237.190,192.168.137.186,66,1553154635.111227
benign,192.168.137.186,31.3.237.190,66,1553154635.111742
benign,192.168.137.186,31.3.237.190,97,1553154635.111742
benign,192.168.137.186,31.3.237.190,66,1553154635.113273
benign,192.168.137.186,31.3.237.190,54,1553154635.113274
benign,192.168.137.186,31.3.237.190,74,1553154635.116212
benign,31.3.237.190,192.168.137.186,54,1553154635.250832
benign,31.3.237.190,192.168.137.186,74,1553154635.257961
benign,192.168.137.186,31.3.237.190,66,1553154635.26006
benign,192.168.137.186,31.3.237.190,583,1553154635.26006
benign,31.3.237.190,192.168.137.186,207,1553154635.404042
benign,192.168.137.186,31.3.237.190,66,1553154635.408265
benign,192.168.137.186,31.3.237.190,117,1553154635.408265
benign,31.3.237.190,192.168.137.186,66,1553154635.587303
benign,192.168.137.186,31.3.237.190,741,1553154635.589945
benign,31.3.237.190,192.168.137.186,66,1553154635.726162
benign,31.3.237.190,192.168.137.186,627,1553154635.732188
benign,31.3.237.190,192.168.137.186,97,1553154635.732321
benign,31.3.237.190,192.168.137.186,66,1553154635.732978
benign,192.168.137.186,31.3.237.190,66,1553154635.735211
benign,192.168.137.186,31.3.237.190,97,1553154635.740478
benign,192.168.137.186,31.3.237.190,66,1553154635.740478
benign,192.168.137.186,31.3.237.190,74,1553154635.743065
benign,31.3.237.190,192.168.137.186,54,1553154635.876991
benign,31.3.237.190,192.168.137.186,74,1553154635.880975
benign,192.168.137.186,31.3.237.190,66,1553154635.883419
benign,192.168.137.186,31.3.237.190,583,1553154635.886181
benign,31.3.237.190,192.168.137.186,207,1553154636.028324
benign,192.168.137.186,31.3.237.190,66,1553154636.030953
benign,192.168.137.186,31.3.237.190,117,1553154636.030954
benign,31.3.237.190,192.168.137.186,66,1553154636.215067
benign,192.168.137.186,31.3.237.190,736,1553154636.217199
benign,31.3.237.190,192.168.137.186,66,1553154636.352516
benign,31.3.237.190,192.168.137.186,789,1553154636.356742
benign,31.3.237.190,192.168.137.186,97,1553154636.35694
benign,31.3.237.190,192.168.137.186,66,1553154636.358186
benign,192.168.137.186,31.3.237.190,66,1553154636.365301
benign,192.168.137.186,31.3.237.190,97,1553154636.365302
benign,192.168.137.186,31.3.237.190,66,1553154636.365302
benign,192.168.137.186,31.3.237.190,74,1553154636.370355
benign,31.3.237.190,192.168.137.186,54,1553154636.502072
benign,31.3.237.190,192.168.137.186,74,1553154636.512252
benign,192.168.137.186,31.3.237.190,66,1553154636.515533
benign,192.168.137.186,31.3.237.190,583,1553154636.517467
benign,31.3.237.190,192.168.137.186,207,1553154636.660282
benign,192.168.137.186,31.3.237.190,66,1553154636.663288
