Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
172.217.14.238,benign,172.217.14.238,192.168.137.186,66,1553156494.248455
172.217.14.238,benign,192.168.137.186,172.217.14.238,405,1553156494.25193
172.217.14.238,benign,172.217.14.238,192.168.137.186,66,1553156494.279525
172.217.14.238,benign,172.217.14.238,192.168.137.186,877,1553156494.288115
172.217.14.238,benign,192.168.137.186,172.217.14.238,66,1553156494.328508
172.217.14.238,benign,192.168.137.186,172.217.14.238,844,1553156494.361715
172.217.14.238,benign,172.217.14.238,192.168.137.186,380,1553156494.396635
172.217.14.238,benign,192.168.137.186,172.217.14.238,66,1553156494.399631
172.217.14.238,benign,192.168.137.186,172.217.14.238,828,1553156494.492833
172.217.14.238,benign,172.217.14.238,192.168.137.186,380,1553156494.528005
172.217.14.238,benign,192.168.137.186,172.217.14.238,66,1553156494.5336
54.210.73.165,benign,54.210.73.165,192.168.137.186,333,1553156494.615241
54.210.73.165,benign,192.168.137.186,54.210.73.165,66,1553156494.655382
172.217.14.238,benign,192.168.137.186,172.217.14.238,65,1553156494.726651
172.217.14.238,benign,172.217.14.238,192.168.137.186,62,1553156494.779089
54.93.133.71,benign,192.168.137.186,54.93.133.71,74,1553156503.774568
172.217.14.238,benign,192.168.137.186,172.217.14.238,1392,1553156503.806601
172.217.14.238,benign,192.168.137.186,172.217.14.238,1392,1553156503.806602
172.217.14.238,benign,192.168.137.186,172.217.14.238,413,1553156503.806619
172.217.14.238,benign,172.217.14.238,192.168.137.186,62,1553156503.834999
192.168.137.1,benign,192.168.137.186,192.168.137.1,88,1553156503.839131
192.168.137.186,benign,192.168.137.1,192.168.137.186,220,1553156503.869386
35.157.45.181,benign,192.168.137.186,35.157.45.181,74,1553156503.879865
54.93.133.71,benign,54.93.133.71,192.168.137.186,74,1553156503.930027
54.93.133.71,benign,192.168.137.186,54.93.133.71,66,1553156503.932212
54.93.133.71,benign,192.168.137.186,54.93.133.71,583,1553156503.944695
172.217.14.238,benign,172.217.14.238,192.168.137.186,638,1553156504.019398
172.217.14.238,benign,172.217.14.238,192.168.137.186,118,1553156504.019483
172.217.14.238,benign,172.217.14.238,192.168.137.186,198,1553156504.022822
172.217.14.238,benign,192.168.137.186,172.217.14.238,70,1553156504.024924
172.217.14.238,benign,192.168.137.186,172.217.14.238,1392,1553156504.047863
172.217.14.238,benign,192.168.137.186,172.217.14.238,1392,1553156504.047863
172.217.14.238,benign,192.168.137.186,172.217.14.238,422,1553156504.047865
172.217.14.238,benign,172.217.14.238,192.168.137.186,60,1553156504.057459
35.157.45.181,benign,35.157.45.181,192.168.137.186,74,1553156504.061191
35.157.45.181,benign,192.168.137.186,35.157.45.181,66,1553156504.063447
35.157.45.181,benign,192.168.137.186,35.157.45.181,260,1553156504.065444
172.217.14.238,benign,172.217.14.238,192.168.137.186,62,1553156504.075933
54.93.133.71,benign,54.93.133.71,192.168.137.186,66,1553156504.100176
54.93.133.71,benign,54.93.133.71,192.168.137.186,218,1553156504.10095
54.93.133.71,benign,192.168.137.186,54.93.133.71,66,1553156504.103167
54.93.133.71,benign,192.168.137.186,54.93.133.71,117,1553156504.103168
172.217.14.238,benign,192.168.137.186,172.217.14.238,70,1553156504.125424
172.217.14.238,benign,172.217.14.238,192.168.137.186,583,1553156504.156653
172.217.14.238,benign,172.217.14.238,192.168.137.186,118,1553156504.156725
172.217.14.238,benign,172.217.14.238,192.168.137.186,222,1553156504.159117
172.217.14.238,benign,192.168.137.186,172.217.14.238,70,1553156504.160309
172.217.14.238,benign,172.217.14.238,192.168.137.186,66,1553156504.189438
172.217.14.238,benign,192.168.137.186,172.217.14.238,70,1553156504.191691
172.217.14.238,benign,192.168.137.186,172.217.14.238,742,1553156504.199512
172.217.14.238,benign,192.168.137.186,172.217.14.238,979,1553156504.199513
172.217.14.238,benign,172.217.14.238,192.168.137.186,62,1553156504.227958
35.157.45.181,benign,35.157.45.181,192.168.137.186,66,1553156504.248272
35.157.45.181,benign,35.157.45.181,192.168.137.186,1514,1553156504.249048
35.157.45.181,benign,35.157.45.181,192.168.137.186,1514,1553156504.25004
