Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
216.58.217.34,benign,216.58.217.34,192.168.137.186,66,1553157419.442729
216.58.217.34,benign,216.58.217.34,192.168.137.186,1484,1553157419.450914
216.58.217.34,benign,216.58.217.34,192.168.137.186,1428,1553157419.45098
216.58.217.34,benign,192.168.137.186,216.58.217.34,66,1553157419.453157
216.58.217.34,benign,192.168.137.186,216.58.217.34,66,1553157419.453158
216.58.217.34,benign,192.168.137.186,216.58.217.34,159,1553157419.461548
216.58.217.34,benign,216.58.217.34,192.168.137.186,350,1553157419.491271
216.58.217.34,benign,216.58.217.34,192.168.137.186,135,1553157419.491561
34.232.92.167,benign,34.232.92.167,192.168.137.186,376,1553157419.49412
52.219.72.4,benign,52.219.72.4,192.168.137.186,54,1553157419.498623
52.219.72.4,benign,52.219.72.4,192.168.137.186,60,1553157419.498711
52.219.72.4,benign,52.219.72.4,192.168.137.186,99,1553157419.498753
52.219.72.4,benign,192.168.137.186,52.219.72.4,54,1553157419.50094
52.219.72.4,benign,192.168.137.186,52.219.72.4,54,1553157419.500941
35.241.52.229,"ads,tracking",192.168.137.186,35.241.52.229,97,1553157419.512711
34.232.92.167,benign,192.168.137.186,34.232.92.167,1122,1553157419.519518
52.219.72.4,benign,192.168.137.186,52.219.72.4,331,1553157419.527581
216.58.217.34,benign,192.168.137.186,216.58.217.34,66,1553157419.534855
216.58.217.34,benign,192.168.137.186,216.58.217.34,159,1553157419.539426
216.58.217.34,benign,192.168.137.186,216.58.217.34,503,1553157419.541047
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553157419.545796
35.241.52.229,"ads,tracking",35.241.52.229,192.168.137.186,66,1553157419.546059
216.58.217.34,benign,216.58.217.34,192.168.137.186,135,1553157419.563508
216.58.217.34,benign,192.168.137.186,216.58.217.34,78,1553157419.567323
216.58.217.34,benign,216.58.217.34,192.168.137.186,104,1553157419.569415
216.58.217.34,benign,192.168.137.186,216.58.217.34,66,1553157419.57142
216.58.217.34,benign,216.58.217.34,192.168.137.186,542,1553157419.57546
216.58.217.34,benign,216.58.217.34,192.168.137.186,1484,1553157419.576039
