Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,3.89.232.216,74,1553159277.233284
benign,192.168.137.186,23.49.133.58,74,1553159277.257869
benign,23.49.133.58,192.168.137.186,74,1553159277.282453
benign,192.168.137.186,23.49.133.58,66,1553159277.285295
benign,192.168.137.186,23.49.133.58,246,1553159277.287208
benign,23.49.133.58,192.168.137.186,66,1553159277.314499
benign,23.49.133.58,192.168.137.186,1514,1553159277.315379
benign,23.49.133.58,192.168.137.186,1500,1553159277.316405
benign,3.89.232.216,192.168.137.186,74,1553159277.316904
benign,192.168.137.186,23.49.133.58,66,1553159277.31736
benign,192.168.137.186,23.49.133.58,66,1553159277.318776
benign,192.168.137.186,3.89.232.216,66,1553159277.318776
benign,192.168.137.186,3.89.232.216,70,1553159277.322069
benign,192.168.137.186,23.49.133.58,192,1553159277.346596
benign,23.49.133.58,192.168.137.186,324,1553159277.369364
benign,192.168.137.186,23.49.133.58,271,1553159277.371404
benign,23.49.133.58,192.168.137.186,654,1553159277.39403
benign,3.89.232.216,192.168.137.186,66,1553159277.408577
benign,192.168.137.186,23.49.133.58,66,1553159277.435173
benign,192.168.137.186,54.172.154.3,74,1553159278.164761
benign,192.168.137.186,23.59.156.199,74,1553159278.17868
benign,192.168.137.186,34.194.244.234,74,1553159278.201911
benign,23.59.156.199,192.168.137.186,74,1553159278.206882
benign,192.168.137.186,23.59.156.199,66,1553159278.208991
benign,192.168.137.186,23.59.156.199,259,1553159278.210575
benign,23.59.156.199,192.168.137.186,66,1553159278.235822
benign,23.59.156.199,192.168.137.186,1514,1553159278.236905
benign,23.59.156.199,192.168.137.186,1514,1553159278.23699
benign,23.59.156.199,192.168.137.186,948,1553159278.237064
benign,192.168.137.186,23.59.156.199,66,1553159278.23848
benign,192.168.137.186,23.59.156.199,66,1553159278.238481
benign,192.168.137.186,23.59.156.199,66,1553159278.239892
benign,54.172.154.3,192.168.137.186,74,1553159278.252721
benign,192.168.137.186,54.172.154.3,66,1553159278.256331
benign,192.168.137.186,54.172.154.3,254,1553159278.256332
benign,192.168.137.186,52.44.48.55,74,1553159278.266268
benign,192.168.137.186,23.59.156.199,192,1553159278.270437
benign,34.194.244.234,192.168.137.186,74,1553159278.291733
benign,23.59.156.199,192.168.137.186,324,1553159278.294542
benign,192.168.137.186,34.194.244.234,66,1553159278.29537
benign,192.168.137.186,34.194.244.234,251,1553159278.29537
benign,192.168.137.186,23.59.156.199,359,1553159278.296716
benign,23.59.156.199,192.168.137.186,875,1553159278.31925
benign,192.168.137.186,52.52.224.18,97,1553159278.324204
benign,192.168.137.186,52.52.224.18,66,1553159278.325602
benign,54.172.154.3,192.168.137.186,66,1553159278.34483
benign,54.172.154.3,192.168.137.186,1514,1553159278.345539
benign,54.172.154.3,192.168.137.186,1514,1553159278.345813
benign,54.172.154.3,192.168.137.186,1266,1553159278.346707
benign,54.172.154.3,192.168.137.186,1249,1553159278.347145
benign,192.168.137.186,54.172.154.3,66,1553159278.347686
benign,192.168.137.186,54.172.154.3,66,1553159278.347687
benign,192.168.137.186,54.172.154.3,66,1553159278.34912
benign,192.168.137.186,54.172.154.3,66,1553159278.34912
benign,52.44.48.55,192.168.137.186,74,1553159278.351896
benign,192.168.137.186,52.44.48.55,66,1553159278.355651
benign,192.168.137.186,52.44.48.55,270,1553159278.358208
benign,192.168.137.186,23.59.156.199,66,1553159278.358209
benign,192.168.137.186,54.172.154.3,192,1553159278.363016
benign,192.168.137.186,23.59.156.199,74,1553159278.36725
benign,52.52.224.18,192.168.137.186,66,1553159278.376955
benign,192.168.137.186,52.52.224.18,66,1553159278.379592
benign,34.194.244.234,192.168.137.186,66,1553159278.382055
benign,34.194.244.234,192.168.137.186,1514,1553159278.382637
benign,34.194.244.234,192.168.137.186,1514,1553159278.382869
benign,34.194.244.234,192.168.137.186,1266,1553159278.383093
benign,52.52.224.18,192.168.137.186,66,1553159278.383342
benign,34.194.244.234,192.168.137.186,750,1553159278.383559
benign,192.168.137.186,34.194.244.234,66,1553159278.385095
benign,192.168.137.186,34.194.244.234,66,1553159278.385096
benign,192.168.137.186,34.194.244.234,66,1553159278.385096
benign,192.168.137.186,34.194.244.234,66,1553159278.385097
benign,23.59.156.199,192.168.137.186,74,1553159278.393671
benign,192.168.137.186,23.59.156.199,66,1553159278.395998
benign,192.168.137.186,23.59.156.199,260,1553159278.395999
benign,192.168.137.186,34.194.244.234,192,1553159278.399536
benign,23.59.156.199,192.168.137.186,66,1553159278.424785
benign,23.59.156.199,192.168.137.186,1514,1553159278.426689
benign,23.59.156.199,192.168.137.186,1514,1553159278.426751
benign,23.59.156.199,192.168.137.186,948,1553159278.426794
benign,192.168.137.186,23.59.156.199,66,1553159278.428799
benign,192.168.137.186,23.59.156.199,66,1553159278.431633
benign,192.168.137.186,23.59.156.199,66,1553159278.431634
benign,192.168.137.186,23.59.156.199,192,1553159278.445519
benign,52.44.48.55,192.168.137.186,66,1553159278.446144
benign,52.44.48.55,192.168.137.186,1514,1553159278.446842
benign,52.44.48.55,192.168.137.186,1514,1553159278.447079
benign,52.44.48.55,192.168.137.186,1266,1553159278.447312
benign,52.44.48.55,192.168.137.186,1252,1553159278.447754
benign,192.168.137.186,52.44.48.55,66,1553159278.448921
benign,192.168.137.186,52.44.48.55,66,1553159278.448921
benign,192.168.137.186,52.44.48.55,66,1553159278.448922
benign,192.168.137.186,52.44.48.55,66,1553159278.448922
benign,54.172.154.3,192.168.137.186,117,1553159278.450158
benign,192.168.137.186,54.172.154.3,624,1553159278.453251
benign,192.168.137.186,52.44.48.55,192,1553159278.464025
benign,23.59.156.199,192.168.137.186,324,1553159278.466824
benign,192.168.137.186,23.59.156.199,346,1553159278.468713
benign,34.194.244.234,192.168.137.186,117,1553159278.485668
benign,192.168.137.186,34.194.244.234,1415,1553159278.489753
benign,23.59.156.199,192.168.137.186,1514,1553159278.500373
benign,23.59.156.199,192.168.137.186,1514,1553159278.500501
benign,23.59.156.199,192.168.137.186,1514,1553159278.500579
benign,23.59.156.199,192.168.137.186,1514,1553159278.500654
benign,23.59.156.199,192.168.137.186,1514,1553159278.50083
benign,23.59.156.199,192.168.137.186,1514,1553159278.500879
benign,23.59.156.199,192.168.137.186,1514,1553159278.500962
benign,23.59.156.199,192.168.137.186,1514,1553159278.501222
benign,23.59.156.199,192.168.137.186,1514,1553159278.501271
benign,23.59.156.199,192.168.137.186,1514,1553159278.501356
benign,23.59.156.199,192.168.137.186,1514,1553159278.501519
benign,23.59.156.199,192.168.137.186,1514,1553159278.50165
benign,23.59.156.199,192.168.137.186,1514,1553159278.501718
benign,23.59.156.199,192.168.137.186,1514,1553159278.501885
benign,23.59.156.199,192.168.137.186,1514,1553159278.501953
benign,23.59.156.199,192.168.137.186,1514,1553159278.502071
benign,192.168.137.186,23.59.156.199,66,1553159278.503303
benign,192.168.137.186,23.59.156.199,66,1553159278.503304
benign,192.168.137.186,23.59.156.199,66,1553159278.503304
benign,192.168.137.186,23.59.156.199,66,1553159278.503305
benign,192.168.137.186,23.59.156.199,66,1553159278.503305
benign,192.168.137.186,23.59.156.199,66,1553159278.503306
benign,192.168.137.186,23.59.156.199,66,1553159278.504654
benign,192.168.137.186,23.59.156.199,66,1553159278.504655
benign,23.59.156.199,192.168.137.186,1514,1553159278.52462
benign,23.59.156.199,192.168.137.186,1514,1553159278.524748
benign,23.59.156.199,192.168.137.186,1514,1553159278.524889
benign,23.59.156.199,192.168.137.186,1514,1553159278.525103
benign,23.59.156.199,192.168.137.186,1514,1553159278.525237
benign,23.59.156.199,192.168.137.186,1514,1553159278.525398
benign,23.59.156.199,192.168.137.186,1514,1553159278.52557
benign,23.59.156.199,192.168.137.186,1514,1553159278.525774
benign,23.59.156.199,192.168.137.186,1514,1553159278.525912
benign,23.59.156.199,192.168.137.186,1514,1553159278.52607
benign,23.59.156.199,192.168.137.186,1514,1553159278.526401
benign,23.59.156.199,192.168.137.186,1514,1553159278.526468
benign,23.59.156.199,192.168.137.186,1514,1553159278.526668
benign,23.59.156.199,192.168.137.186,1514,1553159278.526727
benign,23.59.156.199,192.168.137.186,1514,1553159278.526804
benign,23.59.156.199,192.168.137.186,1514,1553159278.526854
benign,23.59.156.199,192.168.137.186,1514,1553159278.52694
benign,23.59.156.199,192.168.137.186,1514,1553159278.526988
benign,23.59.156.199,192.168.137.186,1514,1553159278.52708
benign,192.168.137.186,23.59.156.199,66,1553159278.527084
benign,23.59.156.199,192.168.137.186,1514,1553159278.527166
benign,23.59.156.199,192.168.137.186,1514,1553159278.52724
benign,23.59.156.199,192.168.137.186,1514,1553159278.527314
benign,23.59.156.199,192.168.137.186,1514,1553159278.527417
benign,23.59.156.199,192.168.137.186,1514,1553159278.527521
benign,23.59.156.199,192.168.137.186,1514,1553159278.527566
benign,23.59.156.199,192.168.137.186,1514,1553159278.527626
benign,23.59.156.199,192.168.137.186,1514,1553159278.527842
benign,23.59.156.199,192.168.137.186,1514,1553159278.52791
benign,192.168.137.186,23.59.156.199,66,1553159278.529049
benign,192.168.137.186,23.59.156.199,66,1553159278.529049
benign,192.168.137.186,23.59.156.199,66,1553159278.52905
benign,192.168.137.186,23.59.156.199,66,1553159278.52905
benign,192.168.137.186,23.59.156.199,66,1553159278.52905
benign,192.168.137.186,23.59.156.199,66,1553159278.529051
benign,192.168.137.186,23.59.156.199,66,1553159278.529051
benign,192.168.137.186,23.59.156.199,66,1553159278.529052
benign,192.168.137.186,23.59.156.199,66,1553159278.529052
benign,192.168.137.186,23.59.156.199,66,1553159278.529052
benign,23.59.156.199,192.168.137.186,1514,1553159278.530089
benign,23.59.156.199,192.168.137.186,1514,1553159278.530213
benign,23.59.156.199,192.168.137.186,1514,1553159278.530431
benign,23.59.156.199,192.168.137.186,1514,1553159278.530829
benign,192.168.137.186,23.59.156.199,66,1553159278.531711
benign,192.168.137.186,23.59.156.199,66,1553159278.531711
benign,192.168.137.186,23.59.156.199,66,1553159278.531712
benign,192.168.137.186,23.59.156.199,66,1553159278.533047
benign,192.168.137.186,23.59.156.199,66,1553159278.533048
benign,54.172.154.3,192.168.137.186,1514,1553159278.54395
benign,54.172.154.3,192.168.137.186,424,1553159278.544118
benign,192.168.137.186,54.172.154.3,66,1553159278.546486
benign,192.168.137.186,52.52.224.18,97,1553159278.547747
benign,192.168.137.186,52.52.224.18,66,1553159278.547748
benign,23.59.156.199,192.168.137.186,1514,1553159278.548588
benign,23.59.156.199,192.168.137.186,1514,1553159278.548952
benign,23.59.156.199,192.168.137.186,1514,1553159278.549035
benign,23.59.156.199,192.168.137.186,1514,1553159278.549278
benign,23.59.156.199,192.168.137.186,1514,1553159278.549356
benign,23.59.156.199,192.168.137.186,1514,1553159278.549603
benign,23.59.156.199,192.168.137.186,1514,1553159278.549691
benign,23.59.156.199,192.168.137.186,1514,1553159278.549826
benign,23.59.156.199,192.168.137.186,1514,1553159278.55004
benign,23.59.156.199,192.168.137.186,1514,1553159278.55037
benign,52.44.48.55,192.168.137.186,117,1553159278.550442
benign,23.59.156.199,192.168.137.186,1514,1553159278.550758
benign,23.59.156.199,192.168.137.186,1514,1553159278.550871
benign,192.168.137.186,23.59.156.199,66,1553159278.550917
benign,192.168.137.186,23.59.156.199,66,1553159278.550917
benign,192.168.137.186,23.59.156.199,66,1553159278.550918
benign,192.168.137.186,23.59.156.199,66,1553159278.550918
benign,23.59.156.199,192.168.137.186,1514,1553159278.551059
benign,23.59.156.199,192.168.137.186,1514,1553159278.551211
benign,23.59.156.199,192.168.137.186,1514,1553159278.551722
benign,23.59.156.199,192.168.137.186,1514,1553159278.551917
benign,23.59.156.199,192.168.137.186,1514,1553159278.552064
benign,23.59.156.199,192.168.137.186,1514,1553159278.55228
benign,192.168.137.186,23.59.156.199,66,1553159278.552448
benign,23.59.156.199,192.168.137.186,1514,1553159278.552596
benign,23.59.156.199,192.168.137.186,1514,1553159278.553506
benign,23.59.156.199,192.168.137.186,1514,1553159278.553571
benign,23.59.156.199,192.168.137.186,1514,1553159278.553613
benign,23.59.156.199,192.168.137.186,1514,1553159278.55365
benign,23.59.156.199,192.168.137.186,1514,1553159278.553749
benign,23.59.156.199,192.168.137.186,1514,1553159278.553846
benign,23.59.156.199,192.168.137.186,1514,1553159278.554199
benign,23.59.156.199,192.168.137.186,1514,1553159278.554603
benign,23.59.156.199,192.168.137.186,1514,1553159278.554737
benign,23.59.156.199,192.168.137.186,1514,1553159278.554871
benign,23.59.156.199,192.168.137.186,1514,1553159278.555077
benign,23.59.156.199,192.168.137.186,1514,1553159278.555431
benign,23.59.156.199,192.168.137.186,1514,1553159278.555665
benign,23.59.156.199,192.168.137.186,1514,1553159278.555846
benign,23.59.156.199,192.168.137.186,1514,1553159278.55606
benign,23.59.156.199,192.168.137.186,1514,1553159278.556264
benign,23.59.156.199,192.168.137.186,1514,1553159278.556458
benign,23.59.156.199,192.168.137.186,1514,1553159278.556622
benign,23.59.156.199,192.168.137.186,1514,1553159278.557054
benign,23.59.156.199,192.168.137.186,1514,1553159278.557246
benign,23.59.156.199,192.168.137.186,1514,1553159278.557327
benign,23.59.156.199,192.168.137.186,1514,1553159278.557552
benign,23.59.156.199,192.168.137.186,1514,1553159278.557642
benign,23.59.156.199,192.168.137.186,1514,1553159278.557913
benign,23.59.156.199,192.168.137.186,1514,1553159278.557991
benign,23.59.156.199,192.168.137.186,1514,1553159278.558198
benign,23.59.156.199,192.168.137.186,1514,1553159278.558541
benign,23.59.156.199,192.168.137.186,1514,1553159278.558607
benign,23.59.156.199,192.168.137.186,1514,1553159278.558904
benign,23.59.156.199,192.168.137.186,1514,1553159278.558955
benign,23.59.156.199,192.168.137.186,1514,1553159278.559259
benign,192.168.137.186,23.59.156.199,66,1553159278.559293
benign,192.168.137.186,23.59.156.199,66,1553159278.559293
benign,192.168.137.186,23.59.156.199,66,1553159278.559294
benign,192.168.137.186,23.59.156.199,66,1553159278.559294
