Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,157.240.3.20,74,1553160211.355624
benign,157.240.3.20,192.168.137.186,74,1553160211.391633
benign,192.168.137.186,157.240.3.20,66,1553160211.394952
benign,192.168.137.186,157.240.3.20,250,1553160211.396609
benign,157.240.3.20,192.168.137.186,66,1553160211.432731
benign,157.240.3.20,192.168.137.186,1464,1553160211.433578
benign,157.240.3.20,192.168.137.186,1464,1553160211.434499
benign,157.240.3.20,192.168.137.186,332,1553160211.434667
benign,192.168.137.186,157.240.3.20,66,1553160211.48287
benign,192.168.137.186,157.240.3.20,66,1553160211.482871
benign,192.168.137.186,157.240.3.20,66,1553160211.482872
benign,192.168.137.186,157.240.3.20,192,1553160211.539492
benign,192.168.137.186,157.240.3.20,1464,1553160211.539494
benign,157.240.3.20,192.168.137.186,66,1553160211.570189
benign,157.240.3.20,192.168.137.186,324,1553160211.570408
benign,192.168.137.186,157.240.3.20,665,1553160211.573888
benign,192.168.137.186,157.240.3.20,66,1553160211.611478
benign,157.240.3.20,192.168.137.186,66,1553160211.641335
benign,157.240.3.20,192.168.137.186,746,1553160211.653374
benign,192.168.137.186,157.240.3.20,66,1553160211.656491
ads,192.168.137.186,50.18.32.157,97,1553160211.667161
ads,192.168.137.186,50.18.32.157,66,1553160211.667161
ads,50.18.32.157,192.168.137.186,66,1553160211.71971
ads,192.168.137.186,50.18.32.157,66,1553160211.723054
ads,50.18.32.157,192.168.137.186,66,1553160211.725775
benign,192.168.137.186,18.234.166.237,68,1553160228.312762
benign,18.234.166.237,192.168.137.186,66,1553160228.393743
benign,18.234.166.237,192.168.137.186,68,1553160228.527592
benign,192.168.137.186,18.234.166.237,66,1553160228.530164
benign,192.168.137.186,52.7.38.86,74,1553160229.346043
benign,192.168.137.186,52.7.38.86,74,1553160229.380553
benign,52.7.38.86,192.168.137.186,74,1553160229.429733
benign,192.168.137.186,52.7.38.86,66,1553160229.432276
benign,192.168.137.186,52.7.38.86,287,1553160229.434252
benign,52.7.38.86,192.168.137.186,74,1553160229.462768
benign,192.168.137.186,52.7.38.86,66,1553160229.465624
benign,192.168.137.186,52.7.38.86,287,1553160229.467912
benign,52.7.38.86,192.168.137.186,66,1553160229.521174
benign,52.7.38.86,192.168.137.186,211,1553160229.521929
benign,192.168.137.186,52.7.38.86,66,1553160229.524082
benign,192.168.137.186,52.7.38.86,117,1553160229.524083
benign,52.7.38.86,192.168.137.186,66,1553160229.552948
benign,52.7.38.86,192.168.137.186,211,1553160229.553173
benign,192.168.137.186,52.7.38.86,66,1553160229.555954
benign,192.168.137.186,52.7.38.86,117,1553160229.555955
benign,52.7.38.86,192.168.137.186,66,1553160229.651794
benign,192.168.137.186,52.7.38.86,525,1553160229.65423
benign,52.7.38.86,192.168.137.186,66,1553160229.679798
benign,192.168.137.186,52.7.38.86,223,1553160229.682383
benign,52.7.38.86,192.168.137.186,66,1553160229.735561
benign,52.7.38.86,192.168.137.186,428,1553160229.745676
benign,192.168.137.186,23.49.133.58,97,1553160229.750879
benign,192.168.137.186,23.49.133.58,66,1553160229.75088
benign,52.7.38.86,192.168.137.186,66,1553160229.762291
benign,52.7.38.86,192.168.137.186,271,1553160229.762971
benign,192.168.137.186,23.49.133.58,97,1553160229.768186
benign,192.168.137.186,23.49.133.58,66,1553160229.768187
benign,23.49.133.58,192.168.137.186,97,1553160229.776285
benign,23.49.133.58,192.168.137.186,66,1553160229.776863
benign,192.168.137.186,23.49.133.58,54,1553160229.778684
benign,192.168.137.186,23.49.133.58,54,1553160229.778686
benign,23.49.133.58,192.168.137.186,66,1553160229.781263
benign,192.168.137.186,23.49.133.58,54,1553160229.784021
benign,192.168.137.186,52.7.38.86,66,1553160229.784023
benign,23.49.133.58,192.168.137.186,97,1553160229.792948
benign,23.49.133.58,192.168.137.186,66,1553160229.793174
benign,192.168.137.186,23.49.133.58,54,1553160229.795314
benign,192.168.137.186,23.49.133.58,54,1553160229.795315
benign,23.49.133.58,192.168.137.186,66,1553160229.798041
benign,192.168.137.186,23.49.133.58,54,1553160229.800301
benign,192.168.137.186,52.7.38.86,66,1553160229.809334
benign,192.168.137.186,52.7.38.86,467,1553160232.65143
benign,192.168.137.186,52.7.38.86,223,1553160232.726155
benign,192.168.137.186,52.206.73.180,74,1553160232.735725
benign,52.7.38.86,192.168.137.186,1186,1553160232.746332
benign,192.168.137.186,52.7.38.86,66,1553160232.748484
benign,52.7.38.86,192.168.137.186,271,1553160232.809501
benign,192.168.137.186,52.7.38.86,66,1553160232.81166
benign,52.206.73.180,192.168.137.186,74,1553160232.819404
benign,192.168.137.186,52.206.73.180,66,1553160232.821564
benign,192.168.137.186,52.206.73.180,250,1553160232.822909
benign,192.168.137.186,18.234.166.237,152,1553160232.879059
benign,192.168.137.186,157.240.3.20,74,1553160232.887749
benign,52.206.73.180,192.168.137.186,66,1553160232.910396
benign,52.206.73.180,192.168.137.186,1514,1553160232.911407
benign,52.206.73.180,192.168.137.186,1514,1553160232.911753
benign,52.206.73.180,192.168.137.186,1266,1553160232.912416
benign,52.206.73.180,192.168.137.186,1258,1553160232.912598
benign,192.168.137.186,52.206.73.180,66,1553160232.91399
benign,192.168.137.186,52.206.73.180,66,1553160232.91399
benign,192.168.137.186,52.206.73.180,66,1553160232.916217
benign,192.168.137.186,52.206.73.180,66,1553160232.916218
benign,157.240.3.20,192.168.137.186,74,1553160232.920207
benign,192.168.137.186,157.240.3.20,66,1553160232.922488
benign,192.168.137.186,157.240.3.20,249,1553160232.926347
benign,192.168.137.186,52.206.73.180,192,1553160232.935317
benign,18.234.166.237,192.168.137.186,66,1553160232.959613
benign,157.240.3.20,192.168.137.186,66,1553160232.960272
benign,157.240.3.20,192.168.137.186,1464,1553160232.96222
benign,157.240.3.20,192.168.137.186,1464,1553160232.96237
benign,157.240.3.20,192.168.137.186,326,1553160232.962437
benign,192.168.137.186,157.240.3.20,66,1553160232.964583
benign,192.168.137.186,157.240.3.20,66,1553160232.964584
benign,192.168.137.186,157.240.3.20,66,1553160232.964585
benign,192.168.137.186,157.240.3.20,192,1553160232.979744
benign,157.240.3.20,192.168.137.186,324,1553160233.009939
benign,157.240.3.20,192.168.137.186,147,1553160233.010134
benign,192.168.137.186,157.240.3.20,304,1553160233.017432
benign,52.206.73.180,192.168.137.186,117,1553160233.017449
benign,192.168.137.186,52.206.73.180,1404,1553160233.022783
benign,157.240.3.20,192.168.137.186,104,1553160233.047632
benign,157.240.3.20,192.168.137.186,108,1553160233.047799
benign,192.168.137.186,157.240.3.20,104,1553160233.050051
benign,192.168.137.186,157.240.3.20,66,1553160233.08839
benign,157.240.3.20,192.168.137.186,605,1553160233.104587
benign,52.206.73.180,192.168.137.186,209,1553160233.105265
benign,52.206.73.180,192.168.137.186,97,1553160233.105397
benign,192.168.137.186,157.240.3.20,66,1553160233.10685
benign,192.168.137.186,52.206.73.180,97,1553160233.109514
benign,192.168.137.186,52.206.73.180,66,1553160233.109515
benign,192.168.137.186,23.49.133.58,97,1553160233.117736
benign,192.168.137.186,23.49.133.58,66,1553160233.117737
benign,192.168.137.186,52.206.73.180,74,1553160233.117738
benign,192.168.137.186,157.240.3.29,74,1553160233.140036
benign,23.49.133.58,192.168.137.186,97,1553160233.142937
benign,23.49.133.58,192.168.137.186,66,1553160233.143512
benign,192.168.137.186,23.49.133.58,54,1553160233.145344
benign,192.168.137.186,23.49.133.58,54,1553160233.145345
benign,23.49.133.58,192.168.137.186,66,1553160233.149237
benign,192.168.137.186,23.49.133.58,54,1553160233.151885
benign,157.240.3.29,192.168.137.186,74,1553160233.172449
benign,192.168.137.186,157.240.3.29,66,1553160233.174776
benign,192.168.137.186,157.240.3.29,252,1553160233.181086
benign,52.206.73.180,192.168.137.186,74,1553160233.20634
benign,192.168.137.186,52.206.73.180,66,1553160233.21006
benign,192.168.137.186,52.206.73.180,282,1553160233.210061
benign,157.240.3.29,192.168.137.186,66,1553160233.2133
benign,157.240.3.29,192.168.137.186,1464,1553160233.214329
benign,157.240.3.29,192.168.137.186,1464,1553160233.214495
benign,157.240.3.29,192.168.137.186,326,1553160233.214591
benign,192.168.137.186,157.240.3.29,66,1553160233.216658
benign,192.168.137.186,157.240.3.29,66,1553160233.216659
benign,192.168.137.186,157.240.3.29,66,1553160233.21666
benign,192.168.137.186,157.240.3.29,192,1553160233.228772
benign,157.240.3.29,192.168.137.186,340,1553160233.258659
benign,157.240.3.29,192.168.137.186,147,1553160233.25885
benign,192.168.137.186,157.240.3.29,389,1553160233.260838
benign,157.240.3.29,192.168.137.186,104,1553160233.290533
benign,157.240.3.29,192.168.137.186,108,1553160233.290759
benign,192.168.137.186,157.240.3.29,104,1553160233.292957
benign,52.206.73.180,192.168.137.186,66,1553160233.298484
benign,52.206.73.180,192.168.137.186,211,1553160233.299437
benign,192.168.137.186,52.206.73.180,66,1553160233.301996
benign,192.168.137.186,52.206.73.180,117,1553160233.301997
benign,192.168.137.186,52.206.73.180,1514,1553160233.305472
benign,192.168.137.186,157.240.3.29,66,1553160233.333281
benign,157.240.3.29,192.168.137.186,66,1553160233.363778
benign,52.206.73.180,192.168.137.186,66,1553160233.39048
benign,192.168.137.186,52.206.73.180,568,1553160233.392639
benign,157.240.3.29,192.168.137.186,1464,1553160233.442032
benign,157.240.3.29,192.168.137.186,1464,1553160233.442277
benign,157.240.3.29,192.168.137.186,1464,1553160233.442434
benign,157.240.3.29,192.168.137.186,1464,1553160233.442552
benign,157.240.3.29,192.168.137.186,1464,1553160233.442642
benign,157.240.3.29,192.168.137.186,1464,1553160233.442942
benign,157.240.3.29,192.168.137.186,1464,1553160233.443103
benign,157.240.3.29,192.168.137.186,1464,1553160233.443255
benign,157.240.3.29,192.168.137.186,797,1553160233.443376
benign,192.168.137.186,157.240.3.29,66,1553160233.444568
benign,192.168.137.186,157.240.3.29,66,1553160233.444569
benign,192.168.137.186,157.240.3.29,66,1553160233.444569
benign,192.168.137.186,157.240.3.29,66,1553160233.445939
benign,192.168.137.186,157.240.3.29,66,1553160233.44594
benign,192.168.137.186,157.240.3.29,66,1553160233.447413
benign,192.168.137.186,157.240.3.29,66,1553160233.447414
benign,192.168.137.186,157.240.3.29,66,1553160233.447414
benign,192.168.137.186,157.240.3.29,66,1553160233.447415
benign,192.168.137.186,23.49.133.58,97,1553160233.456203
benign,192.168.137.186,23.49.133.58,66,1553160233.456204
benign,52.206.73.180,192.168.137.186,209,1553160233.47468
benign,52.206.73.180,192.168.137.186,97,1553160233.474996
benign,192.168.137.186,52.206.73.180,97,1553160233.477599
benign,192.168.137.186,52.206.73.180,66,1553160233.4776
benign,192.168.137.186,52.206.73.180,54,1553160233.480565
benign,23.49.133.58,192.168.137.186,97,1553160233.481611
benign,23.49.133.58,192.168.137.186,66,1553160233.481815
benign,192.168.137.186,23.49.133.58,54,1553160233.48466
benign,192.168.137.186,23.49.133.58,54,1553160233.484661
benign,23.49.133.58,192.168.137.186,66,1553160233.487191
benign,192.168.137.186,23.49.133.58,54,1553160233.489533
benign,192.168.137.186,34.235.94.173,74,1553160233.529677
benign,192.168.137.186,52.7.38.86,223,1553160233.543018
benign,52.206.73.180,192.168.137.186,66,1553160233.559301
benign,192.168.137.186,52.206.73.180,54,1553160233.561442
benign,52.206.73.180,192.168.137.186,66,1553160233.564243
benign,192.168.137.186,52.206.73.180,54,1553160233.569367
benign,34.235.94.173,192.168.137.186,74,1553160233.614636
benign,192.168.137.186,34.235.94.173,66,1553160233.618658
benign,192.168.137.186,34.235.94.173,254,1553160233.61977
benign,52.7.38.86,192.168.137.186,271,1553160233.626497
benign,192.168.137.186,52.7.38.86,66,1553160233.629176
benign,34.235.94.173,192.168.137.186,66,1553160233.70944
benign,34.235.94.173,192.168.137.186,1514,1553160233.709671
benign,34.235.94.173,192.168.137.186,1514,1553160233.710534
benign,34.235.94.173,192.168.137.186,1266,1553160233.710719
benign,34.235.94.173,192.168.137.186,1307,1553160233.710832
benign,192.168.137.186,34.235.94.173,66,1553160233.711734
benign,192.168.137.186,34.235.94.173,66,1553160233.711735
benign,192.168.137.186,34.235.94.173,66,1553160233.713222
benign,192.168.137.186,34.235.94.173,66,1553160233.713223
benign,192.168.137.186,34.235.94.173,192,1553160233.728947
benign,34.235.94.173,192.168.137.186,117,1553160233.811671
benign,192.168.137.186,34.235.94.173,488,1553160233.81857
benign,34.235.94.173,192.168.137.186,300,1553160233.903423
benign,34.235.94.173,192.168.137.186,97,1553160233.903613
benign,192.168.137.186,34.235.94.173,97,1553160233.908892
benign,192.168.137.186,34.235.94.173,66,1553160233.908893
benign,192.168.137.186,52.206.73.180,74,1553160233.917898
benign,34.235.94.173,192.168.137.186,66,1553160233.992361
benign,192.168.137.186,34.235.94.173,54,1553160233.994643
benign,52.206.73.180,192.168.137.186,74,1553160234.005369
