Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,209.206.41.152,978,1553161141.553072
benign,209.206.41.152,192.168.137.186,66,1553161141.596623
benign,209.206.41.152,192.168.137.186,331,1553161141.597379
benign,192.168.137.186,209.206.41.152,66,1553161141.599551
benign,192.168.137.186,23.6.166.225,74,1553161141.646974
benign,23.6.166.225,192.168.137.186,74,1553161141.679663
benign,192.168.137.186,23.6.166.225,66,1553161141.682164
benign,192.168.137.186,23.6.166.225,294,1553161141.684713
benign,23.6.166.225,192.168.137.186,66,1553161141.719799
benign,23.6.166.225,192.168.137.186,1514,1553161141.723574
benign,23.6.166.225,192.168.137.186,1514,1553161141.72376
benign,23.6.166.225,192.168.137.186,547,1553161141.723842
benign,192.168.137.186,23.6.166.225,66,1553161141.725869
benign,192.168.137.186,23.6.166.225,66,1553161141.728634
benign,192.168.137.186,23.6.166.225,66,1553161141.728635
benign,192.168.137.186,23.6.166.225,192,1553161141.737057
benign,23.6.166.225,192.168.137.186,117,1553161141.767688
benign,192.168.137.186,23.6.166.225,615,1553161141.77119
benign,23.6.166.225,192.168.137.186,1514,1553161141.802267
benign,23.6.166.225,192.168.137.186,1514,1553161141.802462
benign,23.6.166.225,192.168.137.186,1514,1553161141.802603
benign,23.6.166.225,192.168.137.186,1514,1553161141.802695
benign,23.6.166.225,192.168.137.186,1514,1553161141.802768
benign,23.6.166.225,192.168.137.186,1514,1553161141.802935
benign,23.6.166.225,192.168.137.186,1514,1553161141.803028
benign,23.6.166.225,192.168.137.186,1514,1553161141.803098
benign,23.6.166.225,192.168.137.186,1514,1553161141.803252
benign,23.6.166.225,192.168.137.186,1514,1553161141.80334
benign,23.6.166.225,192.168.137.186,1514,1553161141.803407
benign,23.6.166.225,192.168.137.186,1514,1553161141.803546
benign,23.6.166.225,192.168.137.186,1514,1553161141.803623
benign,23.6.166.225,192.168.137.186,72,1553161141.803688
benign,192.168.137.186,23.6.166.225,66,1553161141.80697
benign,192.168.137.186,23.6.166.225,66,1553161141.806971
benign,192.168.137.186,23.6.166.225,66,1553161141.806972
benign,192.168.137.186,23.6.166.225,66,1553161141.806973
benign,192.168.137.186,23.6.166.225,66,1553161141.806974
benign,192.168.137.186,23.6.166.225,66,1553161141.806974
benign,192.168.137.186,23.6.166.225,66,1553161141.806975
benign,192.168.137.186,209.206.41.230,765,1553161141.847239
benign,192.168.137.186,209.206.41.26,944,1553161141.881422
benign,209.206.41.230,192.168.137.186,66,1553161141.889748
benign,209.206.41.230,192.168.137.186,673,1553161141.904573
benign,192.168.137.186,209.206.41.230,66,1553161141.908505
benign,209.206.41.26,192.168.137.186,66,1553161141.924092
benign,209.206.41.26,192.168.137.186,618,1553161141.929659
benign,192.168.137.186,209.206.41.26,66,1553161141.931983
benign,192.168.137.186,209.206.41.26,1272,1553161141.996861
benign,192.168.137.186,209.206.41.152,962,1553161141.996862
benign,209.206.41.26,192.168.137.186,66,1553161142.03746
benign,209.206.41.26,192.168.137.186,680,1553161142.039537
benign,209.206.41.152,192.168.137.186,66,1553161142.039731
benign,209.206.41.152,192.168.137.186,331,1553161142.03986
benign,192.168.137.186,209.206.41.26,66,1553161142.041935
benign,192.168.137.186,209.206.41.152,66,1553161142.041936
benign,192.168.137.186,209.206.41.152,962,1553161142.109199
benign,192.168.137.186,128.116.112.35,74,1553161142.109201
benign,209.206.41.152,192.168.137.186,66,1553161142.149081
benign,209.206.41.152,192.168.137.186,331,1553161142.149762
benign,192.168.137.186,209.206.41.152,66,1553161142.153204
benign,128.116.112.35,192.168.137.186,74,1553161142.154784
benign,192.168.137.186,128.116.112.35,66,1553161142.157126
benign,192.168.137.186,128.116.112.35,251,1553161142.158532
benign,128.116.112.35,192.168.137.186,66,1553161142.204769
benign,128.116.112.35,192.168.137.186,1514,1553161142.205505
benign,128.116.112.35,192.168.137.186,1514,1553161142.206585
benign,128.116.112.35,192.168.137.186,1514,1553161142.207035
benign,192.168.137.186,128.116.112.35,66,1553161142.208048
benign,192.168.137.186,128.116.112.35,66,1553161142.208049
benign,192.168.137.186,128.116.112.35,66,1553161142.210807
benign,128.116.112.35,192.168.137.186,1514,1553161142.248102
benign,128.116.112.35,192.168.137.186,512,1553161142.248338
benign,192.168.137.186,128.116.112.35,66,1553161142.250478
benign,192.168.137.186,128.116.112.35,66,1553161142.25048
benign,192.168.137.186,128.116.112.35,192,1553161142.270261
benign,128.116.112.35,192.168.137.186,66,1553161142.31018
benign,128.116.112.35,192.168.137.186,72,1553161142.310987
benign,128.116.112.35,192.168.137.186,111,1553161142.311159
benign,192.168.137.186,128.116.112.35,66,1553161142.314845
benign,192.168.137.186,128.116.112.35,821,1553161142.319596
benign,128.116.112.35,192.168.137.186,66,1553161142.35937
benign,128.116.112.35,192.168.137.186,609,1553161142.360376
benign,192.168.137.186,128.116.112.35,66,1553161142.400942
benign,192.168.137.186,52.19.123.102,74,1553161144.447123
benign,52.19.123.102,192.168.137.186,74,1553161144.604434
benign,192.168.137.186,52.19.123.102,66,1553161144.60699
benign,192.168.137.186,52.19.123.102,247,1553161144.608365
benign,52.19.123.102,192.168.137.186,66,1553161144.768059
benign,52.19.123.102,192.168.137.186,1514,1553161144.772098
benign,52.19.123.102,192.168.137.186,1514,1553161144.772289
benign,52.19.123.102,192.168.137.186,467,1553161144.772392
benign,192.168.137.186,52.19.123.102,66,1553161144.774326
benign,192.168.137.186,52.19.123.102,66,1553161144.777259
benign,192.168.137.186,52.19.123.102,66,1553161144.77726
benign,192.168.137.186,52.19.123.102,192,1553161144.799301
benign,52.19.123.102,192.168.137.186,117,1553161144.953265
benign,192.168.137.186,52.19.123.102,1514,1553161144.962764
