Destination,Service,Src IP,Dst IP,Frame Size,Timestamp
13.32.252.108,benign,192.168.137.186,13.32.252.108,159,1553162976.516495
13.32.252.108,benign,192.168.137.186,13.32.252.108,930,1553162976.518066
13.32.252.5,benign,13.32.252.5,192.168.137.186,74,1553162976.522941
13.32.252.5,benign,192.168.137.186,13.32.252.5,66,1553162976.525082
13.32.252.5,benign,192.168.137.186,13.32.252.5,583,1553162976.525082
216.58.217.46,benign,216.58.217.46,192.168.137.186,66,1553162976.528838
216.58.217.46,benign,216.58.217.46,192.168.137.186,228,1553162976.529355
216.58.217.46,benign,192.168.137.186,216.58.217.46,66,1553162976.531523
216.58.217.46,benign,192.168.137.186,216.58.217.46,117,1553162976.531523
13.32.252.108,benign,13.32.252.108,192.168.137.186,324,1553162976.531941
13.32.252.108,benign,13.32.252.108,192.168.137.186,135,1553162976.531992
13.32.252.108,benign,192.168.137.186,13.32.252.108,66,1553162976.534168
13.32.252.108,benign,192.168.137.186,13.32.252.108,104,1553162976.534168
13.32.252.249,benign,13.32.252.249,192.168.137.186,66,1553162976.541257
13.32.252.108,benign,13.32.252.108,192.168.137.186,104,1553162976.546552
13.32.252.5,benign,13.32.252.5,192.168.137.186,66,1553162976.564405
13.32.252.5,benign,13.32.252.5,192.168.137.186,1514,1553162976.567024
13.32.252.5,benign,13.32.252.5,192.168.137.186,1514,1553162976.567109
13.32.252.5,benign,13.32.252.5,192.168.137.186,1514,1553162976.567154
13.32.252.5,benign,13.32.252.5,192.168.137.186,1514,1553162976.567191
13.32.252.5,benign,13.32.252.5,192.168.137.186,1514,1553162976.567224
13.32.252.5,benign,13.32.252.5,192.168.137.186,244,1553162976.567291
13.32.252.108,benign,13.32.252.108,192.168.137.186,66,1553162976.568015
13.32.252.5,benign,192.168.137.186,13.32.252.5,66,1553162976.569087
13.32.252.5,benign,192.168.137.186,13.32.252.5,66,1553162976.569087
13.32.252.5,benign,192.168.137.186,13.32.252.5,66,1553162976.569088
13.32.252.5,benign,192.168.137.186,13.32.252.5,66,1553162976.569088
13.32.252.5,benign,192.168.137.186,13.32.252.5,66,1553162976.569089
13.32.252.5,benign,192.168.137.186,13.32.252.5,66,1553162976.569089
13.32.252.5,benign,192.168.137.186,13.32.252.5,192,1553162976.572835
13.32.252.5,benign,192.168.137.186,13.32.252.5,159,1553162976.583427
13.32.252.5,benign,192.168.137.186,13.32.252.5,931,1553162976.585052
13.32.252.108,benign,192.168.137.186,13.32.252.108,66,1553162976.588173
216.58.217.46,benign,216.58.217.46,192.168.137.186,66,1553162976.603991
13.32.252.249,benign,13.32.252.249,192.168.137.186,284,1553162976.605469
13.32.252.5,benign,13.32.252.5,192.168.137.186,324,1553162976.605589
13.32.252.5,benign,13.32.252.5,192.168.137.186,135,1553162976.605639
13.32.252.249,benign,13.32.252.249,192.168.137.186,280,1553162976.606544
216.58.217.46,benign,192.168.137.186,216.58.217.46,404,1553162976.606561
13.32.252.249,benign,13.32.252.249,192.168.137.186,284,1553162976.607049
13.32.252.249,benign,13.32.252.249,192.168.137.186,280,1553162976.608219
13.32.252.249,benign,13.32.252.249,192.168.137.186,280,1553162976.608494
13.32.252.249,benign,13.32.252.249,192.168.137.186,281,1553162976.608768
13.32.252.249,benign,13.32.252.249,192.168.137.186,281,1553162976.609422
13.32.252.249,benign,192.168.137.186,13.32.252.249,66,1553162976.609576
13.32.252.249,benign,13.32.252.249,192.168.137.186,280,1553162976.609695
13.32.252.249,benign,13.32.252.249,192.168.137.186,282,1553162976.61012
13.32.252.249,benign,13.32.252.249,192.168.137.186,281,1553162976.610844
13.32.252.249,benign,13.32.252.249,192.168.137.186,284,1553162976.612248
13.32.252.249,benign,13.32.252.249,192.168.137.186,280,1553162976.612378
13.32.252.249,benign,192.168.137.186,13.32.252.249,66,1553162976.612399
13.32.252.249,benign,13.32.252.249,192.168.137.186,281,1553162976.613014
13.32.252.5,benign,13.32.252.5,192.168.137.186,104,1553162976.613295
13.32.252.249,benign,192.168.137.186,13.32.252.249,66,1553162976.62028
13.32.252.5,benign,192.168.137.186,13.32.252.5,66,1553162976.626253
13.32.252.249,benign,13.32.252.249,192.168.137.186,280,1553162976.62877
13.32.252.5,benign,192.168.137.186,13.32.252.5,104,1553162976.629788
216.58.217.46,benign,216.58.217.46,192.168.137.186,66,1553162976.636321
216.58.217.46,benign,216.58.217.46,192.168.137.186,691,1553162976.641934
23.36.177.4,benign,23.36.177.4,192.168.137.186,745,1553162976.643443
23.36.177.4,benign,192.168.137.186,23.36.177.4,66,1553162976.645438
13.32.252.5,benign,13.32.252.5,192.168.137.186,66,1553162976.656122
