Service,Src IP,Dst IP,Frame Size,Timestamp
benign,18.206.2.146,192.168.137.186,54,1553163897.516012
benign,18.206.2.146,192.168.137.186,492,1553163897.516699
benign,192.168.137.186,18.206.2.146,54,1553163897.518597
benign,192.168.137.186,18.206.2.146,54,1553163897.521869
benign,192.168.137.186,18.235.158.238,74,1553163897.582297
benign,18.206.2.146,192.168.137.186,54,1553163897.606864
benign,192.168.137.186,18.206.2.146,54,1553163897.609065
benign,18.235.158.238,192.168.137.186,66,1553163897.668196
benign,192.168.137.186,18.235.158.238,54,1553163897.670392
benign,192.168.137.186,18.235.158.238,611,1553163897.671724
benign,18.235.158.238,192.168.137.186,54,1553163897.761117
benign,18.235.158.238,192.168.137.186,1514,1553163897.763035
benign,18.235.158.238,192.168.137.186,64,1553163897.763075
benign,18.235.158.238,192.168.137.186,59,1553163897.763091
benign,192.168.137.186,18.235.158.238,54,1553163897.765594
benign,192.168.137.186,18.235.158.238,54,1553163897.765594
benign,192.168.137.186,18.235.158.238,54,1553163897.765595
benign,192.168.137.186,157.240.3.20,97,1553163897.768381
benign,192.168.137.186,157.240.3.20,66,1553163897.768381
benign,157.240.3.20,192.168.137.186,66,1553163897.803166
benign,157.240.3.20,192.168.137.186,97,1553163897.803503
benign,157.240.3.20,192.168.137.186,66,1553163897.804056
benign,192.168.137.186,157.240.3.20,54,1553163897.805881
benign,192.168.137.186,157.240.3.20,54,1553163897.805881
benign,192.168.137.186,157.240.3.20,74,1553163901.178899
benign,157.240.3.20,192.168.137.186,74,1553163901.211556
benign,192.168.137.186,157.240.3.20,66,1553163901.213978
benign,192.168.137.186,157.240.3.20,583,1553163901.219238
benign,157.240.3.20,192.168.137.186,66,1553163901.248637
benign,157.240.3.20,192.168.137.186,222,1553163901.249347
benign,192.168.137.186,157.240.3.20,66,1553163901.251357
benign,192.168.137.186,157.240.3.20,117,1553163901.252685
benign,192.168.137.186,157.240.3.20,1464,1553163901.27285
benign,157.240.3.20,192.168.137.186,66,1553163901.301529
benign,192.168.137.186,157.240.3.20,668,1553163901.304361
benign,157.240.3.20,192.168.137.186,66,1553163901.371939
benign,157.240.3.20,192.168.137.186,746,1553163901.575878
benign,192.168.137.186,52.203.114.139,97,1553163901.657803
benign,192.168.137.186,52.203.114.139,66,1553163901.657803
benign,157.240.3.20,192.168.137.186,746,1553163901.67076
benign,192.168.137.186,157.240.3.20,78,1553163901.672925
benign,52.203.114.139,192.168.137.186,66,1553163901.739755
benign,192.168.137.186,52.203.114.139,66,1553163901.742244
benign,52.203.114.139,192.168.137.186,66,1553163901.744675
"ads,tracking",192.168.137.186,35.241.52.229,1434,1553163906.792439
"ads,tracking",192.168.137.186,35.241.52.229,1434,1553163906.794092
"ads,tracking",192.168.137.186,35.241.52.229,1023,1553163906.795816
"ads,tracking",35.241.52.229,192.168.137.186,66,1553163906.828654
"ads,tracking",35.241.52.229,192.168.137.186,120,1553163906.867742
"ads,tracking",192.168.137.186,35.241.52.229,66,1553163906.870286
benign,192.168.137.186,52.203.114.139,74,1553163906.887848
"ads,tracking",35.241.52.229,192.168.137.186,217,1553163906.968177
"ads,tracking",192.168.137.186,35.241.52.229,66,1553163906.970157
benign,52.203.114.139,192.168.137.186,74,1553163906.970469
benign,192.168.137.186,52.203.114.139,66,1553163906.972697
benign,192.168.137.186,52.203.114.139,583,1553163906.976091
benign,52.203.114.139,192.168.137.186,66,1553163907.060741
benign,52.203.114.139,192.168.137.186,218,1553163907.06107
benign,192.168.137.186,52.203.114.139,66,1553163907.063506
benign,192.168.137.186,52.203.114.139,117,1553163907.063506
benign,52.203.114.139,192.168.137.186,66,1553163907.185538
benign,192.168.137.186,52.203.114.139,715,1553163907.187756
benign,52.203.114.139,192.168.137.186,66,1553163907.26715
benign,52.203.114.139,192.168.137.186,363,1553163907.281487
benign,52.203.114.139,192.168.137.186,100,1553163907.281572
benign,192.168.137.186,52.203.114.139,66,1553163907.286954
benign,192.168.137.186,54.243.208.65,97,1553163907.286955
benign,192.168.137.186,54.243.208.65,66,1553163907.286955
benign,54.243.208.65,192.168.137.186,97,1553163907.376195
benign,54.243.208.65,192.168.137.186,66,1553163907.376615
benign,192.168.137.186,54.243.208.65,54,1553163907.378364
benign,192.168.137.186,54.243.208.65,54,1553163907.378365
benign,192.168.137.186,18.206.2.146,74,1553163908.207764
benign,18.206.2.146,192.168.137.186,66,1553163908.289655
benign,192.168.137.186,18.206.2.146,54,1553163908.29352
benign,192.168.137.186,18.206.2.146,1040,1553163908.29352
benign,18.206.2.146,192.168.137.186,54,1553163908.379795
benign,18.206.2.146,192.168.137.186,444,1553163908.38054
benign,192.168.137.186,18.206.2.146,54,1553163908.383917
