Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,54.174.238.64,192,1553166678.641361
benign,13.32.252.82,192.168.137.186,1511,1553166678.690984
benign,13.32.252.82,192.168.137.186,104,1553166678.691169
ads,192.48.236.11,192.168.137.186,66,1553166678.692381
benign,192.168.137.186,13.32.252.82,66,1553166678.693483
benign,192.168.137.186,13.32.252.82,66,1553166678.693484
ads,192.48.236.11,192.168.137.186,66,1553166678.702295
ads,192.48.236.11,192.168.137.186,1514,1553166678.708113
ads,192.48.236.11,192.168.137.186,1514,1553166678.708357
ads,192.48.236.11,192.168.137.186,137,1553166678.708446
ads,192.168.137.186,192.48.236.11,66,1553166678.710516
ads,192.168.137.186,192.48.236.11,66,1553166678.710517
ads,192.168.137.186,192.48.236.11,66,1553166678.710518
benign,54.174.238.64,192.168.137.186,117,1553166678.721795
benign,192.168.137.186,54.174.238.64,1514,1553166678.73148
benign,192.168.137.186,54.174.238.64,335,1553166678.73304
benign,192.168.137.186,13.32.252.125,74,1553166678.758993
benign,192.168.137.186,13.32.252.125,74,1553166678.758994
benign,13.32.252.125,192.168.137.186,74,1553166678.792652
benign,192.168.137.186,13.32.252.125,66,1553166678.796263
benign,192.168.137.186,13.32.252.125,583,1553166678.796264
benign,13.32.252.125,192.168.137.186,74,1553166678.797628
ads,192.168.137.186,192.48.236.11,746,1553166678.797809
benign,192.168.137.186,13.32.252.125,66,1553166678.799854
benign,192.168.137.186,13.32.252.125,583,1553166678.799854
benign,54.174.238.64,192.168.137.186,66,1553166678.816832
benign,13.32.252.125,192.168.137.186,66,1553166678.834857
benign,13.32.252.125,192.168.137.186,66,1553166678.83519
benign,13.32.252.125,192.168.137.186,1514,1553166678.837774
benign,13.32.252.125,192.168.137.186,1514,1553166678.837974
benign,13.32.252.125,192.168.137.186,1514,1553166678.83806
benign,13.32.252.125,192.168.137.186,968,1553166678.838132
benign,13.32.252.125,192.168.137.186,1514,1553166678.838919
benign,13.32.252.125,192.168.137.186,1514,1553166678.839093
benign,13.32.252.125,192.168.137.186,1514,1553166678.83925
benign,13.32.252.125,192.168.137.186,968,1553166678.839418
benign,192.168.137.186,13.32.252.125,66,1553166678.840076
benign,192.168.137.186,13.32.252.125,66,1553166678.840077
benign,192.168.137.186,13.32.252.125,66,1553166678.840077
benign,192.168.137.186,13.32.252.125,66,1553166678.840078
benign,192.168.137.186,13.32.252.125,66,1553166678.841729
benign,192.168.137.186,13.32.252.125,66,1553166678.84173
benign,192.168.137.186,13.32.252.125,66,1553166678.841731
benign,192.168.137.186,13.32.252.125,66,1553166678.841732
benign,192.168.137.186,13.32.252.125,192,1553166678.844248
benign,192.168.137.186,13.32.252.125,192,1553166678.850236
benign,192.168.137.186,13.32.252.125,66,1553166678.865764
benign,192.168.137.186,13.32.252.125,159,1553166678.865765
benign,192.168.137.186,13.32.252.125,506,1553166678.867343
benign,13.32.252.125,192.168.137.186,66,1553166678.876968
benign,13.32.252.125,192.168.137.186,308,1553166678.877195
benign,13.32.252.125,192.168.137.186,135,1553166678.877278
benign,192.168.137.186,13.32.252.125,66,1553166678.880284
benign,192.168.137.186,13.32.252.125,104,1553166678.880285
benign,13.32.252.125,192.168.137.186,66,1553166678.882331
benign,13.32.252.125,192.168.137.186,308,1553166678.882556
benign,13.32.252.125,192.168.137.186,135,1553166678.882639
benign,192.168.137.186,13.32.252.125,54,1553166678.885233
benign,192.168.137.186,13.32.252.125,54,1553166678.88524
ads,192.48.236.11,192.168.137.186,66,1553166678.888584
benign,13.32.252.125,192.168.137.186,104,1553166678.896046
benign,13.32.252.125,192.168.137.186,66,1553166678.902663
benign,13.32.252.125,192.168.137.186,1514,1553166678.903352
benign,13.32.252.125,192.168.137.186,1514,1553166678.903553
benign,13.32.252.125,192.168.137.186,1514,1553166678.903696
benign,13.32.252.125,192.168.137.186,1514,1553166678.903852
benign,13.32.252.125,192.168.137.186,1514,1553166678.903986
benign,13.32.252.125,192.168.137.186,1514,1553166678.904177
benign,192.168.137.186,13.32.252.125,54,1553166678.905036
benign,192.168.137.186,13.32.252.125,66,1553166678.905038
benign,192.168.137.186,13.32.252.125,66,1553166678.905038
benign,13.32.252.125,192.168.137.186,1514,1553166678.905055
benign,13.32.252.125,192.168.137.186,1514,1553166678.905263
benign,192.168.137.186,13.32.252.125,66,1553166678.906527
benign,192.168.137.186,13.32.252.125,66,1553166678.906528
benign,13.32.252.125,192.168.137.186,1514,1553166678.906544
benign,13.32.252.125,192.168.137.186,1514,1553166678.906749
benign,13.32.252.125,192.168.137.186,1321,1553166678.908063
benign,192.168.137.186,13.32.252.125,66,1553166678.908812
benign,192.168.137.186,13.32.252.125,66,1553166678.910383
ads,192.48.236.11,192.168.137.186,1514,1553166678.932436
ads,192.48.236.11,192.168.137.186,1514,1553166678.93268
ads,192.48.236.11,192.168.137.186,279,1553166678.932772
benign,13.32.252.125,192.168.137.186,66,1553166678.935051
ads,192.168.137.186,192.48.236.11,66,1553166678.935377
ads,192.48.236.11,192.168.137.186,462,1553166678.954787
ads,192.168.137.186,192.48.236.11,66,1553166678.957096
benign,192.168.137.186,34.192.55.27,97,1553166678.970068
benign,192.168.137.186,34.192.55.27,66,1553166678.970069
ads,192.168.137.186,192.48.236.11,66,1553166678.97264
benign,34.192.55.27,192.168.137.186,66,1553166679.051712
benign,192.168.137.186,34.192.55.27,66,1553166679.054048
ads,192.48.236.11,192.168.137.186,1514,1553166679.100532
ads,192.48.236.11,192.168.137.186,1514,1553166679.10083
ads,192.48.236.11,192.168.137.186,346,1553166679.100978
ads,192.168.137.186,192.48.236.11,66,1553166679.104881
benign,13.32.252.125,192.168.137.186,1151,1553166679.120893
benign,13.32.252.125,192.168.137.186,104,1553166679.121017
benign,192.168.137.186,13.32.252.125,66,1553166679.125891
ads,192.168.137.186,192.48.236.11,746,1553166679.129317
ads,192.168.137.186,192.48.236.11,66,1553166679.142228
benign,192.168.137.186,13.32.252.121,74,1553166679.171281
benign,192.168.137.186,13.32.252.125,74,1553166679.187261
benign,192.168.137.186,13.32.252.125,74,1553166679.191717
benign,192.168.137.186,13.32.252.125,74,1553166679.191718
benign,192.168.137.186,13.32.252.125,74,1553166679.193201
benign,192.168.137.186,13.32.252.125,74,1553166679.194847
benign,13.32.252.121,192.168.137.186,74,1553166679.201924
benign,192.168.137.186,13.32.252.121,66,1553166679.20465
benign,192.168.137.186,13.32.252.121,481,1553166679.207839
ads,192.168.137.186,192.48.236.11,746,1553166679.207845
benign,13.32.252.125,192.168.137.186,74,1553166679.216908
benign,192.168.137.186,13.32.252.125,66,1553166679.219168
ads,192.48.236.11,192.168.137.186,66,1553166679.220646
benign,192.168.137.186,13.32.252.125,250,1553166679.221371
benign,13.32.252.125,192.168.137.186,74,1553166679.22181
benign,192.168.137.186,13.32.252.125,66,1553166679.225681
ads,192.48.236.11,192.168.137.186,461,1553166679.226772
benign,13.32.252.125,192.168.137.186,74,1553166679.226998
benign,13.32.252.125,192.168.137.186,74,1553166679.227342
benign,13.32.252.125,192.168.137.186,74,1553166679.227512
benign,54.174.238.64,192.168.137.186,318,1553166679.227664
benign,54.174.238.64,192.168.137.186,97,1553166679.227743
benign,192.168.137.186,13.32.252.82,1085,1553166679.228149
ads,192.168.137.186,192.48.236.11,66,1553166679.229706
benign,192.168.137.186,13.32.252.125,66,1553166679.229707
benign,192.168.137.186,13.32.252.125,250,1553166679.229708
benign,192.168.137.186,13.32.252.125,66,1553166679.229709
benign,192.168.137.186,13.32.252.125,66,1553166679.229709
benign,192.168.137.186,13.32.252.125,250,1553166679.231842
benign,192.168.137.186,13.32.252.125,250,1553166679.231844
benign,192.168.137.186,13.32.252.125,250,1553166679.231845
benign,192.168.137.186,54.174.238.64,97,1553166679.23319
benign,13.32.252.121,192.168.137.186,66,1553166679.24013
benign,13.32.252.121,192.168.137.186,1428,1553166679.251792
benign,13.32.252.125,192.168.137.186,66,1553166679.253727
benign,192.168.137.186,13.32.252.121,66,1553166679.254041
benign,13.32.252.125,192.168.137.186,1514,1553166679.255751
benign,13.32.252.125,192.168.137.186,1514,1553166679.25594
benign,13.32.252.125,192.168.137.186,1514,1553166679.256027
benign,13.32.252.125,192.168.137.186,974,1553166679.256195
benign,13.32.252.82,192.168.137.186,1514,1553166679.25883
benign,13.32.252.82,192.168.137.186,83,1553166679.258988
benign,13.32.252.82,192.168.137.186,104,1553166679.259066
benign,192.168.137.186,13.32.252.125,66,1553166679.260241
benign,192.168.137.186,13.32.252.125,66,1553166679.260242
benign,192.168.137.186,13.32.252.125,66,1553166679.260243
benign,192.168.137.186,13.32.252.125,66,1553166679.260243
benign,192.168.137.186,13.32.252.82,66,1553166679.26214
benign,192.168.137.186,13.32.252.82,66,1553166679.262141
benign,192.168.137.186,13.32.252.82,66,1553166679.262142
benign,13.32.252.125,192.168.137.186,66,1553166679.263971
benign,13.32.252.125,192.168.137.186,66,1553166679.264342
benign,13.32.252.125,192.168.137.186,66,1553166679.265132
benign,13.32.252.125,192.168.137.186,1514,1553166679.266797
benign,13.32.252.125,192.168.137.186,1514,1553166679.267045
benign,13.32.252.125,192.168.137.186,1514,1553166679.267176
benign,13.32.252.125,192.168.137.186,974,1553166679.267265
benign,13.32.252.125,192.168.137.186,1514,1553166679.267744
benign,13.32.252.125,192.168.137.186,1514,1553166679.267887
benign,13.32.252.125,192.168.137.186,1514,1553166679.267972
benign,13.32.252.125,192.168.137.186,974,1553166679.268041
benign,13.32.252.125,192.168.137.186,1514,1553166679.268713
benign,13.32.252.125,192.168.137.186,1514,1553166679.268851
benign,13.32.252.125,192.168.137.186,1514,1553166679.268931
benign,13.32.252.125,192.168.137.186,974,1553166679.268998
benign,13.32.252.125,192.168.137.186,66,1553166679.269171
benign,192.168.137.186,13.32.252.125,66,1553166679.271046
benign,192.168.137.186,13.32.252.125,66,1553166679.271047
benign,192.168.137.186,13.32.252.125,66,1553166679.271048
benign,192.168.137.186,13.32.252.125,66,1553166679.271048
benign,192.168.137.186,13.32.252.125,66,1553166679.271049
benign,192.168.137.186,13.32.252.125,66,1553166679.27105
benign,192.168.137.186,13.32.252.125,66,1553166679.271051
benign,192.168.137.186,13.32.252.125,66,1553166679.271051
benign,192.168.137.186,13.32.252.125,66,1553166679.271052
benign,192.168.137.186,13.32.252.125,66,1553166679.272357
benign,192.168.137.186,13.32.252.125,66,1553166679.272358
benign,192.168.137.186,13.32.252.125,66,1553166679.272359
benign,13.32.252.125,192.168.137.186,1514,1553166679.274041
benign,13.32.252.125,192.168.137.186,1514,1553166679.274201
benign,13.32.252.125,192.168.137.186,1514,1553166679.27428
benign,13.32.252.125,192.168.137.186,974,1553166679.274354
