Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.186,13.32.252.191,66,1553167606.368195
benign,192.168.137.186,13.32.252.191,66,1553167606.368195
benign,13.32.252.191,192.168.137.186,1514,1553167606.368199
benign,13.32.252.191,192.168.137.186,1514,1553167606.368233
benign,13.32.252.191,192.168.137.186,1514,1553167606.3683
benign,13.32.252.191,192.168.137.186,1514,1553167606.36835
benign,13.32.252.191,192.168.137.186,1514,1553167606.368649
benign,13.32.252.191,192.168.137.186,1514,1553167606.368676
benign,13.32.252.191,192.168.137.186,1514,1553167606.368709
benign,13.32.252.191,192.168.137.186,1514,1553167606.368726
benign,13.32.252.191,192.168.137.186,1514,1553167606.368762
benign,13.32.252.191,192.168.137.186,1514,1553167606.368783
benign,13.32.252.191,192.168.137.186,1514,1553167606.368799
benign,13.32.252.191,192.168.137.186,1514,1553167606.368859
benign,13.32.252.191,192.168.137.186,1514,1553167606.368902
benign,13.32.252.191,192.168.137.186,1514,1553167606.368971
benign,13.32.252.191,192.168.137.186,1514,1553167606.369014
benign,13.32.252.191,192.168.137.186,1514,1553167606.369069
benign,13.32.252.191,192.168.137.186,1514,1553167606.369124
benign,13.32.252.191,192.168.137.186,1514,1553167606.369144
benign,13.32.252.191,192.168.137.186,1514,1553167606.369178
benign,13.32.252.191,192.168.137.186,1514,1553167606.369213
benign,13.32.252.191,192.168.137.186,1514,1553167606.369248
benign,13.32.252.191,192.168.137.186,1514,1553167606.369301
benign,13.32.252.191,192.168.137.186,1514,1553167606.369349
benign,13.32.252.191,192.168.137.186,1514,1553167606.369402
benign,13.32.252.191,192.168.137.186,1514,1553167606.369468
benign,13.32.252.191,192.168.137.186,1514,1553167606.369488
benign,13.32.252.191,192.168.137.186,1514,1553167606.369536
benign,13.32.252.191,192.168.137.186,1514,1553167606.369569
benign,13.32.252.191,192.168.137.186,1514,1553167606.36962
benign,13.32.252.191,192.168.137.186,1514,1553167606.369663
benign,13.32.252.191,192.168.137.186,1514,1553167606.369715
benign,13.32.252.191,192.168.137.186,1514,1553167606.369767
benign,13.32.252.191,192.168.137.186,1514,1553167606.369782
benign,13.32.252.191,192.168.137.186,1514,1553167606.3698
benign,13.32.252.191,192.168.137.186,1514,1553167606.369835
benign,13.32.252.191,192.168.137.186,1514,1553167606.369869
benign,13.32.252.191,192.168.137.186,1514,1553167606.369903
benign,13.32.252.191,192.168.137.186,1514,1553167606.369944
benign,13.32.252.191,192.168.137.186,1514,1553167606.370041
benign,13.32.252.191,192.168.137.186,1514,1553167606.370073
benign,13.32.252.191,192.168.137.186,1514,1553167606.370102
benign,13.32.252.191,192.168.137.186,1514,1553167606.370121
benign,13.32.252.191,192.168.137.186,1514,1553167606.370137
benign,13.32.252.191,192.168.137.186,1514,1553167606.370153
benign,13.32.252.191,192.168.137.186,1514,1553167606.370189
benign,13.32.252.191,192.168.137.186,1514,1553167606.370211
benign,13.32.252.191,192.168.137.186,1514,1553167606.370226
benign,13.32.252.191,192.168.137.186,1514,1553167606.370242
benign,13.32.252.191,192.168.137.186,1514,1553167606.370257
benign,13.32.252.191,192.168.137.186,1514,1553167606.370288
benign,13.32.252.191,192.168.137.186,1514,1553167606.370321
benign,13.32.252.191,192.168.137.186,1514,1553167606.37034
benign,13.32.252.191,192.168.137.186,1514,1553167606.370371
benign,13.32.252.191,192.168.137.186,1514,1553167606.370391
benign,13.32.252.191,192.168.137.186,1514,1553167606.370426
benign,13.32.252.191,192.168.137.186,1514,1553167606.370461
benign,13.32.252.191,192.168.137.186,1514,1553167606.370479
benign,13.32.252.191,192.168.137.186,1514,1553167606.370511
benign,13.32.252.191,192.168.137.186,1514,1553167606.370544
benign,13.32.252.191,192.168.137.186,1514,1553167606.370577
benign,13.32.252.191,192.168.137.186,1514,1553167606.370652
benign,13.32.252.191,192.168.137.186,1514,1553167606.370691
benign,13.32.252.191,192.168.137.186,1514,1553167606.370709
benign,13.32.252.191,192.168.137.186,1514,1553167606.37074
benign,13.32.252.191,192.168.137.186,1514,1553167606.370774
benign,13.32.252.191,192.168.137.186,1514,1553167606.370793
benign,13.32.252.191,192.168.137.186,1514,1553167606.370822
benign,13.32.252.191,192.168.137.186,1514,1553167606.370878
benign,13.32.252.191,192.168.137.186,1514,1553167606.370909
benign,13.32.252.191,192.168.137.186,1514,1553167606.370942
benign,13.32.252.191,192.168.137.186,1514,1553167606.370988
benign,13.32.252.191,192.168.137.186,1514,1553167606.371023
benign,13.32.252.191,192.168.137.186,1514,1553167606.371041
benign,13.32.252.191,192.168.137.186,1514,1553167606.371057
benign,13.32.252.191,192.168.137.186,1514,1553167606.371087
benign,13.32.252.191,192.168.137.186,1514,1553167606.371106
benign,13.32.252.191,192.168.137.186,1514,1553167606.371138
benign,13.32.252.191,192.168.137.186,1514,1553167606.371168
benign,13.32.252.191,192.168.137.186,1514,1553167606.371183
benign,13.32.252.191,192.168.137.186,1514,1553167606.371215
benign,13.32.252.191,192.168.137.186,1514,1553167606.371233
benign,13.32.252.191,192.168.137.186,1514,1553167606.371265
benign,13.32.252.191,192.168.137.186,1514,1553167606.371327
benign,13.32.252.191,192.168.137.186,1514,1553167606.371362
benign,13.32.252.191,192.168.137.186,1514,1553167606.371381
benign,13.32.252.191,192.168.137.186,1514,1553167606.371426
benign,13.32.252.191,192.168.137.186,1514,1553167606.371445
benign,13.32.252.191,192.168.137.186,1514,1553167606.371461
benign,13.32.252.191,192.168.137.186,1514,1553167606.371494
benign,13.32.252.191,192.168.137.186,1514,1553167606.371518
benign,13.32.252.191,192.168.137.186,1514,1553167606.371537
benign,13.32.252.191,192.168.137.186,1514,1553167606.371553
benign,13.32.252.191,192.168.137.186,1514,1553167606.371643
benign,13.32.252.191,192.168.137.186,1514,1553167606.371661
benign,13.32.252.191,192.168.137.186,1514,1553167606.371677
benign,13.32.252.191,192.168.137.186,1514,1553167606.371703
benign,13.32.252.191,192.168.137.186,1514,1553167606.37177
benign,192.168.137.186,13.32.252.191,66,1553167606.371773
benign,192.168.137.186,13.32.252.191,66,1553167606.371774
benign,192.168.137.186,13.32.252.191,66,1553167606.371774
benign,192.168.137.186,13.32.252.191,66,1553167606.371774
benign,192.168.137.186,13.32.252.191,66,1553167606.371774
benign,192.168.137.186,13.32.252.191,66,1553167606.371774
benign,192.168.137.186,13.32.252.191,66,1553167606.371774
benign,13.32.252.191,192.168.137.186,1514,1553167606.371791
benign,13.32.252.191,192.168.137.186,1514,1553167606.371808
benign,13.32.252.191,192.168.137.186,1514,1553167606.371824
benign,13.32.252.191,192.168.137.186,1514,1553167606.37185
