Service,Src IP,Dst IP,Frame Size,Timestamp
benign,fe80::b582:f506:111:a9cb,ff02::1:2,145,1552931344.930791
benign,192.168.137.1,192.168.137.255,110,1552931345.170639
benign,fe80::b582:f506:111:a9cb,ff02::1:3,84,1552931345.170819
benign,192.168.137.1,224.0.0.252,64,1552931345.170942
benign,fe80::b582:f506:111:a9cb,ff02::1:3,84,1552931345.190764
benign,fe80::b582:f506:111:a9cb,ff02::1:3,84,1552931345.190872
benign,192.168.137.1,224.0.0.252,64,1552931345.190906
benign,fe80::b582:f506:111:a9cb,ff02::c,718,1552931345.266234
benign,192.168.137.1,192.168.137.255,92,1552931345.510602
benign,192.168.137.1,192.168.137.255,92,1552931345.530736
benign,192.168.137.1,192.168.137.255,92,1552931345.530871
benign,192.168.137.1,224.0.0.251,70,1552931345.770723
benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931345.770959
benign,192.168.137.1,224.0.0.251,70,1552931345.771106
benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931345.771271
benign,192.168.137.1,224.0.0.251,70,1552931345.79078
benign,192.168.137.1,224.0.0.251,70,1552931345.790937
benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931345.791066
benign,fe80::b582:f506:111:a9cb,ff02::fb,90,1552931345.791242
benign,192.168.137.1,192.168.137.255,216,1552931345.930993
benign,192.168.137.1,192.168.137.255,243,1552931345.93691
benign,192.168.137.1,239.255.255.250,698,1552931345.950655
benign,192.168.137.1,192.168.137.255,92,1552931346.270698
benign,192.168.137.1,192.168.137.255,92,1552931346.290961
benign,192.168.137.1,192.168.137.255,92,1552931346.291062
benign,192.168.137.1,192.168.137.255,216,1552931347.450967
benign,192.168.137.1,192.168.137.255,216,1552931348.960611
benign,192.168.137.1,192.168.137.255,216,1552931350.460948
benign,192.168.137.1,192.168.137.255,228,1552931351.980739
benign,192.168.137.1,192.168.137.255,228,1552931352.990659
benign,192.168.137.1,192.168.137.255,228,1552931354.01074
benign,192.168.137.1,192.168.137.255,188,1552931354.753495
