Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,24.244.4.52,1392,1553834186.323592
benign,24.244.4.52,192.168.137.46,1392,1553834186.338912
benign,24.244.4.52,192.168.137.46,1392,1553834186.339795
benign,192.168.137.46,24.244.4.52,70,1553834186.350524
benign,24.244.4.52,192.168.137.46,72,1553834186.363377
benign,192.168.137.46,24.244.4.52,74,1553834186.412228
benign,24.244.4.52,192.168.137.46,74,1553834186.423342
benign,192.168.137.46,24.244.4.52,66,1553834186.424977
benign,192.168.137.46,24.244.4.52,583,1553834186.430612
benign,24.244.4.52,192.168.137.46,66,1553834186.44363
benign,24.244.4.52,192.168.137.46,1514,1553834186.445573
benign,24.244.4.52,192.168.137.46,1514,1553834186.44567
benign,24.244.4.52,192.168.137.46,155,1553834186.445707
benign,192.168.137.46,24.244.4.52,66,1553834186.447181
benign,192.168.137.46,24.244.4.52,66,1553834186.447365
benign,192.168.137.46,24.244.4.52,66,1553834186.447689
benign,192.168.137.46,24.244.4.52,1392,1553834186.462514
benign,192.168.137.46,24.244.4.52,159,1553834186.468791
benign,24.244.4.52,192.168.137.46,1392,1553834186.474323
benign,24.244.4.52,192.168.137.46,73,1553834186.474384
benign,24.244.4.52,192.168.137.46,66,1553834186.477513
benign,24.244.4.52,192.168.137.46,296,1553834186.47767
benign,24.244.4.52,192.168.137.46,135,1553834186.477742
benign,192.168.137.46,24.244.4.52,81,1553834186.478736
benign,192.168.137.46,24.244.4.52,70,1553834186.480988
benign,192.168.137.46,24.244.4.52,66,1553834186.488937
benign,192.168.137.46,24.244.4.52,197,1553834186.489406
benign,24.244.4.52,192.168.137.46,62,1553834186.491385
benign,24.244.4.52,192.168.137.46,101,1553834186.501155
benign,24.244.4.52,192.168.137.46,62,1553834186.526781
benign,192.168.137.46,24.244.4.52,70,1553834186.569426
benign,54.225.193.189,192.168.137.46,97,1553834197.757412
benign,192.168.137.46,54.225.193.189,66,1553834197.908334
benign,23.21.45.2,192.168.137.46,97,1553834198.751622
benign,192.168.137.46,23.21.45.2,66,1553834198.757089
benign,54.225.193.189,192.168.137.46,66,1553834202.764277
benign,192.168.137.46,54.225.193.189,66,1553834203.173252
benign,54.225.193.189,192.168.137.46,66,1553834203.220462
benign,192.168.137.46,54.225.193.189,78,1553834203.221963
benign,23.21.45.2,192.168.137.46,66,1553834203.757393
benign,23.21.45.2,192.168.137.46,66,1553834204.21452
benign,192.168.137.46,23.21.45.2,78,1553834204.259301
benign,192.168.137.46,205.189.10.86,74,1553834228.092147
benign,205.189.10.86,192.168.137.46,66,1553834228.160444
benign,192.168.137.46,205.189.10.86,54,1553834228.161486
benign,192.168.137.46,205.189.10.86,240,1553834228.164384
benign,205.189.10.86,192.168.137.46,54,1553834228.227768
benign,205.189.10.86,192.168.137.46,1434,1553834228.234571
benign,205.189.10.86,192.168.137.46,1434,1553834228.234633
benign,205.189.10.86,192.168.137.46,1390,1553834228.234693
benign,205.189.10.86,192.168.137.46,115,1553834228.234715
benign,192.168.137.46,205.189.10.86,54,1553834228.235884
benign,192.168.137.46,205.189.10.86,54,1553834228.236608
benign,192.168.137.46,205.189.10.86,54,1553834228.23689
benign,192.168.137.46,205.189.10.86,54,1553834228.237171
benign,192.168.137.46,205.189.10.86,180,1553834228.251298
benign,205.189.10.86,192.168.137.46,328,1553834228.311412
benign,192.168.137.46,205.189.10.86,289,1553834228.374483
benign,205.189.10.86,192.168.137.46,508,1553834228.446052
benign,192.168.137.46,205.189.10.86,54,1553834228.486676
benign,192.168.137.46,23.21.45.2,97,1553834232.230999
benign,192.168.137.46,23.21.45.2,66,1553834232.240407
benign,192.168.137.46,50.17.248.225,74,1553834232.248696
benign,23.21.45.2,192.168.137.46,54,1553834232.3163
benign,23.21.45.2,192.168.137.46,54,1553834232.325208
benign,50.17.248.225,192.168.137.46,74,1553834232.33549
benign,192.168.137.46,50.17.248.225,66,1553834232.33735
benign,192.168.137.46,50.17.248.225,281,1553834232.338423
benign,50.17.248.225,192.168.137.46,66,1553834232.427532
benign,50.17.248.225,192.168.137.46,1514,1553834232.42946
benign,50.17.248.225,192.168.137.46,1514,1553834232.429587
benign,50.17.248.225,192.168.137.46,1266,1553834232.429642
benign,50.17.248.225,192.168.137.46,1514,1553834232.429684
benign,50.17.248.225,192.168.137.46,391,1553834232.429731
benign,192.168.137.46,50.17.248.225,66,1553834232.430712
benign,192.168.137.46,50.17.248.225,66,1553834232.432008
benign,192.168.137.46,50.17.248.225,66,1553834232.432199
benign,192.168.137.46,50.17.248.225,66,1553834232.432435
benign,192.168.137.46,50.17.248.225,66,1553834232.432757
benign,192.168.137.46,50.17.248.225,192,1553834232.443635
benign,50.17.248.225,192.168.137.46,117,1553834232.527171
benign,192.168.137.46,50.17.248.225,1514,1553834232.530684
benign,192.168.137.46,50.17.248.225,262,1553834232.532575
benign,50.17.248.225,192.168.137.46,66,1553834232.619469
benign,50.17.248.225,192.168.137.46,194,1553834232.620569
benign,192.168.137.46,50.17.248.225,66,1553834232.66014
benign,205.189.10.86,192.168.137.46,54,1553834233.450585
benign,205.189.10.86,192.168.137.46,54,1553834233.729454
benign,192.168.137.46,205.189.10.86,66,1553834233.754244
benign,192.168.137.46,50.17.248.225,1514,1553834234.428388
benign,192.168.137.46,50.17.248.225,197,1553834234.436359
benign,50.17.248.225,192.168.137.46,66,1553834234.521939
benign,50.17.248.225,192.168.137.46,194,1553834234.52366
benign,192.168.137.46,50.17.248.225,66,1553834234.525462
benign,192.168.137.46,50.17.248.225,1514,1553834234.567824
benign,192.168.137.46,50.17.248.225,202,1553834234.569858
benign,50.17.248.225,192.168.137.46,66,1553834234.656296
benign,50.17.248.225,192.168.137.46,194,1553834234.658335
benign,192.168.137.46,50.17.248.225,66,1553834234.659377
benign,192.168.137.46,50.17.248.225,1514,1553834234.701134
benign,192.168.137.46,50.17.248.225,202,1553834234.701865
benign,50.17.248.225,192.168.137.46,66,1553834234.78967
benign,50.17.248.225,192.168.137.46,194,1553834234.790785
benign,192.168.137.46,50.17.248.225,66,1553834234.792189
benign,192.168.137.46,50.17.248.225,1514,1553834234.837535
benign,192.168.137.46,50.17.248.225,200,1553834234.83803
benign,50.17.248.225,192.168.137.46,66,1553834234.925839
benign,50.17.248.225,192.168.137.46,194,1553834234.927405
benign,192.168.137.46,50.17.248.225,66,1553834234.928586
benign,192.168.137.46,50.17.248.225,1514,1553834234.972589
benign,192.168.137.46,50.17.248.225,216,1553834234.973145
benign,50.17.248.225,192.168.137.46,66,1553834235.057128
benign,50.17.248.225,192.168.137.46,194,1553834235.058843
benign,192.168.137.46,50.17.248.225,66,1553834235.060018
benign,192.168.137.46,50.17.248.225,1514,1553834236.023276
benign,192.168.137.46,50.17.248.225,196,1553834236.023965
benign,50.17.248.225,192.168.137.46,66,1553834236.114363
benign,50.17.248.225,192.168.137.46,194,1553834236.115148
benign,192.168.137.46,50.17.248.225,66,1553834236.11624
benign,192.168.137.46,50.17.248.225,1514,1553834236.158067
benign,192.168.137.46,50.17.248.225,199,1553834236.15857
benign,50.17.248.225,192.168.137.46,66,1553834236.248353
benign,50.17.248.225,192.168.137.46,194,1553834236.248438
benign,192.168.137.46,50.17.248.225,66,1553834236.249701
benign,192.168.137.46,50.17.248.225,1514,1553834237.131185
benign,192.168.137.46,50.17.248.225,200,1553834237.149446
benign,50.17.248.225,192.168.137.46,66,1553834237.23264
benign,50.17.248.225,192.168.137.46,194,1553834237.234465
benign,192.168.137.46,50.17.248.225,66,1553834237.235508
benign,192.168.137.46,50.17.248.225,1514,1553834237.278088
benign,192.168.137.46,50.17.248.225,201,1553834237.279522
benign,50.17.248.225,192.168.137.46,66,1553834237.366205
benign,50.17.248.225,192.168.137.46,194,1553834237.368
benign,192.168.137.46,50.17.248.225,66,1553834237.369427
benign,192.168.137.46,50.17.248.225,1514,1553834238.106939
benign,192.168.137.46,50.17.248.225,194,1553834238.107998
benign,50.17.248.225,192.168.137.46,66,1553834238.194874
benign,50.17.248.225,192.168.137.46,194,1553834238.196628
benign,192.168.137.46,50.17.248.225,66,1553834238.197561
benign,192.168.137.46,50.17.248.225,1514,1553834238.204376
benign,192.168.137.46,50.17.248.225,204,1553834238.205684
benign,50.17.248.225,192.168.137.46,66,1553834238.2926
benign,50.17.248.225,192.168.137.46,194,1553834238.294382
