Service,Src IP,Dst IP,Frame Size,Timestamp
benign,52.119.164.214,192.168.137.46,54,1553835076.455568
benign,192.168.137.46,52.119.164.214,54,1553835076.496584
benign,192.168.137.46,52.84.19.28,326,1553835085.010618
benign,192.168.137.46,52.3.44.12,433,1553835085.011338
benign,192.168.137.46,52.84.19.28,112,1553835085.012175
benign,192.168.137.46,52.3.44.12,112,1553835085.01249
benign,52.84.19.28,192.168.137.46,66,1553835085.041311
benign,52.84.19.28,192.168.137.46,66,1553835085.046208
benign,52.84.19.28,192.168.137.46,112,1553835085.046285
benign,192.168.137.46,52.84.19.28,66,1553835085.048353
benign,52.3.44.12,192.168.137.46,66,1553835085.099411
benign,52.3.44.12,192.168.137.46,112,1553835085.099684
benign,52.3.44.12,192.168.137.46,235,1553835085.104161
benign,52.3.44.12,192.168.137.46,104,1553835085.104238
benign,52.84.19.28,192.168.137.46,610,1553835085.116459
benign,192.168.137.46,52.3.44.12,66,1553835085.145038
benign,192.168.137.46,52.3.44.12,66,1553835085.145171
benign,192.168.137.46,52.3.44.12,66,1553835085.145649
benign,192.168.137.46,52.84.19.28,66,1553835085.149092
benign,192.168.137.46,52.3.44.12,148,1553835087.618718
benign,192.168.137.46,52.3.44.12,1514,1553835087.619309
benign,192.168.137.46,52.3.44.12,1514,1553835087.619795
benign,192.168.137.46,52.3.44.12,1514,1553835087.62013
benign,192.168.137.46,52.3.44.12,1514,1553835087.62059
benign,192.168.137.46,52.3.44.12,1514,1553835087.620857
benign,192.168.137.46,52.3.44.12,1514,1553835087.621274
benign,192.168.137.46,52.3.44.12,1514,1553835087.621657
benign,192.168.137.46,52.3.44.12,609,1553835087.621962
benign,52.3.44.12,192.168.137.46,66,1553835087.709682
benign,52.3.44.12,192.168.137.46,108,1553835087.710655
benign,192.168.137.46,52.3.44.12,66,1553835087.711498
benign,52.3.44.12,192.168.137.46,66,1553835087.711511
benign,52.3.44.12,192.168.137.46,108,1553835087.711576
benign,52.3.44.12,192.168.137.46,66,1553835087.711594
benign,192.168.137.46,52.3.44.12,66,1553835087.712832
benign,52.3.44.12,192.168.137.46,260,1553835087.713276
benign,192.168.137.46,52.3.44.12,66,1553835087.714173
benign,192.168.137.46,52.3.44.12,146,1553835088.534762
benign,192.168.137.46,52.3.44.12,505,1553835088.539947
benign,52.3.44.12,192.168.137.46,66,1553835088.620795
benign,52.3.44.12,192.168.137.46,260,1553835088.622767
benign,192.168.137.46,52.3.44.12,66,1553835088.623883
benign,192.168.137.46,52.84.19.28,819,1553835089.435494
benign,52.84.19.28,192.168.137.46,66,1553835089.499123
benign,52.84.19.28,192.168.137.46,1514,1553835089.57903
benign,52.84.19.28,192.168.137.46,1514,1553835089.579107
benign,52.84.19.28,192.168.137.46,1514,1553835089.579136
benign,52.84.19.28,192.168.137.46,268,1553835089.579159
benign,192.168.137.46,52.84.19.28,66,1553835089.580283
benign,192.168.137.46,52.84.19.28,66,1553835089.580454
benign,192.168.137.46,52.84.19.28,66,1553835089.581727
benign,192.168.137.46,52.84.19.28,66,1553835089.582451
benign,52.84.19.28,192.168.137.46,1514,1553835089.639029
benign,52.84.19.28,192.168.137.46,1514,1553835089.63913
benign,52.84.19.28,192.168.137.46,1514,1553835089.639309
