Service,Src IP,Dst IP,Frame Size,Timestamp
benign,72.21.206.141,192.168.137.46,54,1553836006.08243
benign,72.21.206.141,192.168.137.46,54,1553836006.086308
benign,72.21.206.141,192.168.137.46,1514,1553836006.087817
benign,72.21.206.141,192.168.137.46,1514,1553836006.087916
benign,72.21.206.141,192.168.137.46,1514,1553836006.08805
benign,72.21.206.141,192.168.137.46,1514,1553836006.088581
benign,72.21.206.141,192.168.137.46,88,1553836006.08864
benign,192.168.137.46,72.21.206.141,54,1553836006.088746
benign,192.168.137.46,72.21.206.141,54,1553836006.089586
benign,192.168.137.46,72.21.206.141,54,1553836006.089785
benign,192.168.137.46,72.21.206.141,54,1553836006.090041
benign,192.168.137.46,72.21.206.141,54,1553836006.090422
benign,192.168.137.46,72.21.206.141,180,1553836006.104978
benign,72.21.206.141,192.168.137.46,88,1553836006.115653
benign,192.168.137.46,72.21.206.141,66,1553836006.116901
benign,72.21.206.141,192.168.137.46,105,1553836006.185281
benign,192.168.137.46,72.21.206.141,54,1553836006.186655
benign,192.168.137.46,72.21.206.141,619,1553836006.187465
benign,72.21.206.141,192.168.137.46,285,1553836006.289652
benign,192.168.137.46,72.21.206.141,54,1553836006.330045
benign,192.168.137.46,52.84.20.164,192,1553836006.930347
benign,192.168.137.46,52.84.20.164,282,1553836006.931095
benign,52.84.20.164,192.168.137.46,1446,1553836006.965815
benign,52.84.20.164,192.168.137.46,1514,1553836006.969741
benign,52.84.20.164,192.168.137.46,1514,1553836006.969859
benign,52.84.20.164,192.168.137.46,1514,1553836006.969902
benign,52.84.20.164,192.168.137.46,1514,1553836006.969941
benign,52.84.20.164,192.168.137.46,1514,1553836006.969976
benign,52.84.20.164,192.168.137.46,1514,1553836006.970009
benign,52.84.20.164,192.168.137.46,1514,1553836006.970044
benign,52.84.20.164,192.168.137.46,1514,1553836006.970081
benign,52.84.20.164,192.168.137.46,1514,1553836006.970115
benign,52.84.20.164,192.168.137.46,1514,1553836006.970192
benign,52.84.20.164,192.168.137.46,1514,1553836006.970284
benign,52.84.20.164,192.168.137.46,527,1553836006.970328
benign,52.84.20.164,192.168.137.46,1514,1553836006.970364
benign,52.84.20.164,192.168.137.46,1514,1553836006.970398
