Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,3.88.88.238,452,1553836946.576673
benign,192.168.137.46,3.88.88.238,1514,1553836946.579063
benign,192.168.137.46,3.88.88.238,1514,1553836946.579356
benign,3.88.88.238,192.168.137.46,66,1553836946.665825
benign,192.168.137.46,3.88.88.238,495,1553836946.667455
benign,3.88.88.238,192.168.137.46,460,1553836946.758929
benign,192.168.137.46,3.88.88.238,66,1553836946.760295
benign,192.168.137.46,3.88.88.238,452,1553836954.170772
benign,192.168.137.46,3.88.88.238,1514,1553836954.171804
benign,192.168.137.46,3.88.88.238,1514,1553836954.172725
benign,3.88.88.238,192.168.137.46,66,1553836954.262402
benign,192.168.137.46,3.88.88.238,630,1553836954.263658
benign,3.88.88.238,192.168.137.46,460,1553836954.353209
benign,192.168.137.46,3.88.88.238,66,1553836954.354896
benign,192.168.137.46,172.217.3.211,74,1553836955.012371
benign,192.168.137.46,172.217.3.211,74,1553836955.014248
benign,172.217.3.211,192.168.137.46,74,1553836955.045508
benign,192.168.137.46,172.217.3.211,66,1553836955.046684
benign,192.168.137.46,172.217.3.211,583,1553836955.04776
benign,172.217.3.211,192.168.137.46,74,1553836955.050271
benign,192.168.137.46,172.217.3.211,66,1553836955.051427
benign,192.168.137.46,172.217.3.211,583,1553836955.052222
benign,172.217.3.211,192.168.137.46,66,1553836955.084509
benign,172.217.3.211,192.168.137.46,66,1553836955.089486
benign,172.217.3.211,192.168.137.46,1484,1553836955.097225
benign,172.217.3.211,192.168.137.46,1484,1553836955.097305
benign,172.217.3.211,192.168.137.46,543,1553836955.097335
benign,192.168.137.46,172.217.3.211,66,1553836955.098245
benign,192.168.137.46,172.217.3.211,66,1553836955.098517
benign,192.168.137.46,172.217.3.211,66,1553836955.099914
benign,172.217.3.211,192.168.137.46,1484,1553836955.10231
benign,172.217.3.211,192.168.137.46,1484,1553836955.102396
benign,172.217.3.211,192.168.137.46,543,1553836955.103042
benign,192.168.137.46,172.217.3.211,66,1553836955.104106
benign,192.168.137.46,172.217.3.211,66,1553836955.104549
benign,192.168.137.46,172.217.3.211,66,1553836955.104701
benign,192.168.137.46,172.217.3.211,159,1553836955.140037
benign,192.168.137.46,172.217.3.211,159,1553836955.14195
benign,172.217.3.211,192.168.137.46,117,1553836955.180624
benign,172.217.3.211,192.168.137.46,135,1553836955.180705
benign,172.217.3.211,192.168.137.46,117,1553836955.18221
benign,172.217.3.211,192.168.137.46,135,1553836955.182296
benign,192.168.137.46,172.217.3.211,66,1553836955.182392
benign,192.168.137.46,172.217.3.211,66,1553836955.182802
benign,192.168.137.46,172.217.3.211,66,1553836955.220683
benign,23.21.164.128,192.168.137.46,97,1553836956.981671
benign,23.21.164.128,192.168.137.46,97,1553836957.482562
benign,192.168.137.46,23.21.164.128,66,1553836957.550413
benign,192.168.137.46,23.21.164.128,78,1553836957.550956
benign,23.21.164.128,192.168.137.46,66,1553836961.992435
benign,192.168.137.46,23.21.164.128,66,1553836962.50141
benign,23.21.164.128,192.168.137.46,66,1553836962.569585
benign,192.168.137.46,23.21.164.128,78,1553836962.570952
benign,192.168.137.46,3.88.88.238,452,1553836974.337205
benign,192.168.137.46,3.88.88.238,1514,1553836974.338364
benign,192.168.137.46,3.88.88.238,1514,1553836974.338686
benign,3.88.88.238,192.168.137.46,66,1553836974.427877
benign,192.168.137.46,3.88.88.238,538,1553836974.429736
benign,3.88.88.238,192.168.137.46,460,1553836974.521802
benign,192.168.137.46,3.88.88.238,66,1553836974.522938
benign,192.168.137.46,3.88.88.238,1394,1553836975.495552
benign,3.88.88.238,192.168.137.46,460,1553836975.588992
benign,192.168.137.46,3.88.88.238,66,1553836975.590557
benign,192.168.137.46,172.217.3.211,66,1553836979.716436
benign,192.168.137.46,172.217.3.211,66,1553836979.71661
benign,192.168.137.46,172.217.3.211,74,1553836979.719245
benign,192.168.137.46,172.217.3.211,74,1553836979.720034
benign,172.217.3.211,192.168.137.46,74,1553836979.750569
benign,192.168.137.46,172.217.3.211,66,1553836979.751855
benign,192.168.137.46,172.217.3.211,583,1553836979.753109
benign,172.217.3.211,192.168.137.46,74,1553836979.75547
benign,192.168.137.46,172.217.3.211,66,1553836979.756657
benign,192.168.137.46,172.217.3.211,583,1553836979.757625
benign,172.217.3.211,192.168.137.46,66,1553836979.786806
benign,172.217.3.211,192.168.137.46,66,1553836979.795847
benign,172.217.3.211,192.168.137.46,1484,1553836979.796675
benign,172.217.3.211,192.168.137.46,1484,1553836979.796775
benign,172.217.3.211,192.168.137.46,543,1553836979.796872
benign,192.168.137.46,172.217.3.211,66,1553836979.798125
benign,192.168.137.46,172.217.3.211,66,1553836979.80031
benign,192.168.137.46,172.217.3.211,66,1553836979.801381
benign,192.168.137.46,172.217.3.211,159,1553836979.801577
benign,172.217.3.211,192.168.137.46,1484,1553836979.804643
benign,172.217.3.211,192.168.137.46,1484,1553836979.804716
benign,192.168.137.46,172.217.3.211,66,1553836979.805792
benign,192.168.137.46,172.217.3.211,66,1553836979.806011
benign,172.217.3.211,192.168.137.46,543,1553836979.806022
benign,192.168.137.46,172.217.3.211,66,1553836979.807252
benign,192.168.137.46,172.217.3.211,159,1553836979.808821
benign,172.217.3.211,192.168.137.46,117,1553836979.838684
benign,172.217.3.211,192.168.137.46,135,1553836979.838761
benign,172.217.3.211,192.168.137.46,117,1553836979.84621
benign,172.217.3.211,192.168.137.46,135,1553836979.846306
benign,192.168.137.46,172.217.3.211,66,1553836979.877783
benign,192.168.137.46,172.217.3.211,66,1553836979.884438
benign,172.217.3.211,192.168.137.46,135,1553836979.903753
benign,192.168.137.46,172.217.3.211,78,1553836979.905104
benign,54.243.100.122,192.168.137.46,97,1553836980.442954
benign,192.168.137.46,54.243.100.122,66,1553836980.590242
benign,54.243.100.122,192.168.137.46,66,1553836985.460555
benign,192.168.137.46,54.243.100.122,66,1553836985.674471
benign,192.168.137.46,23.21.164.128,97,1553836986.111592
benign,192.168.137.46,23.21.164.128,66,1553836986.111879
benign,192.168.137.46,54.243.172.129,74,1553836986.139293
benign,23.21.164.128,192.168.137.46,54,1553836986.19573
benign,23.21.164.128,192.168.137.46,54,1553836986.199709
benign,54.243.172.129,192.168.137.46,74,1553836986.228841
benign,192.168.137.46,54.243.172.129,66,1553836986.230152
benign,192.168.137.46,54.243.172.129,281,1553836986.231409
benign,54.243.172.129,192.168.137.46,66,1553836986.322841
benign,54.243.172.129,192.168.137.46,1514,1553836986.323688
benign,192.168.137.46,54.243.172.129,66,1553836986.324769
benign,54.243.172.129,192.168.137.46,1514,1553836986.324784
benign,54.243.172.129,192.168.137.46,1266,1553836986.324914
benign,54.243.172.129,192.168.137.46,1514,1553836986.325336
benign,54.243.172.129,192.168.137.46,391,1553836986.325415
benign,192.168.137.46,54.243.172.129,66,1553836986.325968
benign,192.168.137.46,54.243.172.129,66,1553836986.326782
benign,192.168.137.46,54.243.172.129,66,1553836986.327835
benign,192.168.137.46,54.243.172.129,66,1553836986.328417
benign,192.168.137.46,54.243.172.129,192,1553836986.342944
benign,54.243.172.129,192.168.137.46,117,1553836986.428482
benign,192.168.137.46,54.243.172.129,1514,1553836986.432274
benign,192.168.137.46,54.243.172.129,569,1553836986.432776
benign,54.243.172.129,192.168.137.46,66,1553836986.522976
benign,54.243.172.129,192.168.137.46,194,1553836986.523891
benign,192.168.137.46,54.243.172.129,66,1553836986.564694
benign,192.168.137.46,3.88.88.238,452,1553836989.530274
benign,192.168.137.46,3.88.88.238,1514,1553836989.530779
benign,192.168.137.46,3.88.88.238,1514,1553836989.531174
benign,3.88.88.238,192.168.137.46,66,1553836989.621263
benign,192.168.137.46,3.88.88.238,599,1553836989.622731
benign,3.88.88.238,192.168.137.46,459,1553836989.713332
benign,192.168.137.46,3.88.88.238,66,1553836989.714537
benign,192.168.137.46,3.88.88.238,452,1553836998.087975
benign,192.168.137.46,3.88.88.238,1514,1553836998.088188
benign,192.168.137.46,3.88.88.238,1514,1553836998.088701
benign,3.88.88.238,192.168.137.46,66,1553836998.178809
benign,192.168.137.46,3.88.88.238,397,1553836998.17997
benign,3.88.88.238,192.168.137.46,460,1553836998.271729
benign,192.168.137.46,3.88.88.238,66,1553836998.273466
benign,192.168.137.46,172.217.3.211,66,1553837005.122467
benign,192.168.137.46,172.217.3.211,66,1553837005.122805
benign,192.168.137.46,172.217.3.211,74,1553837005.153489
benign,192.168.137.46,172.217.3.211,74,1553837005.154185
benign,172.217.3.211,192.168.137.46,74,1553837005.18295
benign,192.168.137.46,172.217.3.211,66,1553837005.184213
benign,192.168.137.46,172.217.3.211,583,1553837005.186044
benign,172.217.3.211,192.168.137.46,74,1553837005.188712
benign,192.168.137.46,172.217.3.211,66,1553837005.189923
benign,192.168.137.46,172.217.3.211,583,1553837005.191078
benign,172.217.3.211,192.168.137.46,66,1553837005.219122
benign,172.217.3.211,192.168.137.46,66,1553837005.225443
benign,172.217.3.211,192.168.137.46,1484,1553837005.230139
benign,172.217.3.211,192.168.137.46,1484,1553837005.230232
benign,172.217.3.211,192.168.137.46,543,1553837005.230833
benign,192.168.137.46,172.217.3.211,66,1553837005.23156
benign,192.168.137.46,172.217.3.211,66,1553837005.231852
benign,192.168.137.46,172.217.3.211,66,1553837005.232142
benign,192.168.137.46,172.217.3.211,159,1553837005.234234
benign,172.217.3.211,192.168.137.46,1484,1553837005.234941
benign,172.217.3.211,192.168.137.46,1484,1553837005.235013
benign,172.217.3.211,192.168.137.46,543,1553837005.235553
benign,192.168.137.46,172.217.3.211,66,1553837005.236169
benign,192.168.137.46,172.217.3.211,66,1553837005.236449
benign,192.168.137.46,172.217.3.211,66,1553837005.237154
benign,192.168.137.46,172.217.3.211,159,1553837005.238564
benign,172.217.3.211,192.168.137.46,117,1553837005.270222
benign,172.217.3.211,192.168.137.46,135,1553837005.270382
benign,172.217.3.211,192.168.137.46,117,1553837005.274548
benign,172.217.3.211,192.168.137.46,135,1553837005.274644
benign,192.168.137.46,172.217.3.211,66,1553837005.311527
benign,192.168.137.46,172.217.3.211,66,1553837005.314891
benign,172.217.3.211,192.168.137.46,135,1553837005.333439
benign,192.168.137.46,172.217.3.211,78,1553837005.334551
benign,172.217.3.211,192.168.137.46,135,1553837005.339445
benign,192.168.137.46,172.217.3.211,78,1553837005.340877
benign,192.168.137.46,3.88.88.238,452,1553837009.156216
benign,192.168.137.46,3.88.88.238,1514,1553837009.15721
