Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,216.58.217.34,238,1553838775.503611
benign,192.168.137.46,216.58.217.34,1434,1553838775.505772
benign,192.168.137.46,216.58.217.34,1434,1553838775.506608
benign,192.168.137.46,216.58.217.34,391,1553838775.507413
benign,216.58.217.34,192.168.137.46,66,1553838775.509339
benign,216.58.217.33,192.168.137.46,66,1553838775.510738
benign,216.58.217.33,192.168.137.46,66,1553838775.515509
benign,216.58.217.34,192.168.137.46,66,1553838775.523611
benign,216.58.217.33,192.168.137.46,1484,1553838775.527873
benign,216.58.217.33,192.168.137.46,193,1553838775.527951
benign,192.168.137.46,216.58.217.33,78,1553838775.528904
benign,192.168.137.46,216.58.217.33,78,1553838775.529561
benign,216.58.217.34,192.168.137.46,66,1553838775.539308
benign,216.58.217.34,192.168.137.46,66,1553838775.539384
benign,216.58.217.34,192.168.137.46,196,1553838775.543835
benign,216.58.217.34,192.168.137.46,1484,1553838775.544232
benign,216.58.217.34,192.168.137.46,1484,1553838775.544519
benign,216.58.217.34,192.168.137.46,1484,1553838775.544747
benign,216.58.217.34,192.168.137.46,1484,1553838775.545144
benign,192.168.137.46,216.58.217.34,66,1553838775.545286
benign,216.58.217.34,192.168.137.46,1484,1553838775.545387
benign,216.58.217.34,192.168.137.46,1484,1553838775.545713
benign,216.58.217.34,192.168.137.46,1484,1553838775.545803
benign,216.58.217.34,192.168.137.46,1484,1553838775.546115
benign,216.58.217.34,192.168.137.46,1484,1553838775.546184
benign,216.58.217.34,192.168.137.46,1484,1553838775.546577
benign,216.58.217.34,192.168.137.46,1484,1553838775.546798
benign,216.58.217.34,192.168.137.46,317,1553838775.546846
benign,216.58.217.34,192.168.137.46,179,1553838775.546905
benign,192.168.137.46,216.58.217.34,66,1553838775.54756
benign,192.168.137.46,216.58.217.34,66,1553838775.548398
benign,192.168.137.46,216.58.217.34,66,1553838775.548996
benign,192.168.137.46,216.58.217.34,66,1553838775.550419
benign,192.168.137.46,216.58.217.34,66,1553838775.551038
benign,192.168.137.46,216.58.217.34,66,1553838775.552085
benign,192.168.137.46,216.58.217.34,112,1553838775.552735
benign,192.168.137.46,216.58.217.34,236,1553838775.560433
benign,216.58.217.33,192.168.137.46,1484,1553838775.573567
benign,192.168.137.46,216.58.217.34,1434,1553838775.574009
benign,192.168.137.46,216.58.217.34,1434,1553838775.574541
benign,192.168.137.46,216.58.217.34,397,1553838775.574713
benign,192.168.137.46,216.58.217.33,66,1553838775.575106
benign,192.168.137.46,216.58.217.33,159,1553838775.575758
benign,216.58.217.34,192.168.137.46,151,1553838775.578478
benign,216.58.217.34,192.168.137.46,1484,1553838775.578747
benign,216.58.217.34,192.168.137.46,1484,1553838775.579153
benign,216.58.217.34,192.168.137.46,1484,1553838775.579371
benign,216.58.217.34,192.168.137.46,1484,1553838775.579572
benign,216.58.217.34,192.168.137.46,1484,1553838775.579694
benign,216.58.217.34,192.168.137.46,1484,1553838775.580098
benign,192.168.137.46,216.58.217.34,66,1553838775.5801
benign,216.58.217.34,192.168.137.46,1484,1553838775.580404
benign,192.168.137.46,216.58.217.34,66,1553838775.580574
benign,216.58.217.34,192.168.137.46,1484,1553838775.580669
benign,192.168.137.46,216.58.217.34,66,1553838775.580857
benign,216.58.217.34,192.168.137.46,1484,1553838775.581028
benign,216.58.217.34,192.168.137.46,1484,1553838775.581392
benign,216.58.217.34,192.168.137.46,1484,1553838775.58172
benign,216.58.217.34,192.168.137.46,370,1553838775.581792
benign,192.168.137.46,216.58.217.34,66,1553838775.582625
benign,192.168.137.46,216.58.217.34,66,1553838775.582877
benign,192.168.137.46,216.58.217.34,66,1553838775.583542
benign,216.58.217.34,192.168.137.46,66,1553838775.58973
benign,216.58.217.34,192.168.137.46,141,1553838775.602104
benign,216.58.217.34,192.168.137.46,104,1553838775.602171
benign,216.58.217.34,192.168.137.46,112,1553838775.602258
benign,192.168.137.46,216.58.217.34,66,1553838775.604771
benign,192.168.137.46,216.58.217.34,112,1553838775.607442
benign,216.58.217.34,192.168.137.46,66,1553838775.610132
benign,216.58.217.33,192.168.137.46,350,1553838775.610264
benign,216.58.217.33,192.168.137.46,135,1553838775.610592
benign,216.58.217.34,192.168.137.46,66,1553838775.640374
benign,192.168.137.46,216.58.217.34,222,1553838775.644117
benign,216.58.217.34,192.168.137.46,151,1553838775.646645
benign,216.58.217.34,192.168.137.46,1484,1553838775.647043
