Service,Src IP,Dst IP,Frame Size,Timestamp
benign,192.168.137.46,157.240.3.63,74,1553845282.416791
benign,157.240.3.63,192.168.137.46,74,1553845282.450903
benign,192.168.137.46,157.240.3.63,66,1553845282.452193
benign,192.168.137.46,157.240.3.63,233,1553845282.452811
benign,192.168.137.46,157.240.3.63,74,1553845282.467034
benign,192.168.137.46,157.240.3.63,74,1553845282.472411
benign,157.240.3.63,192.168.137.46,66,1553845282.489763
benign,157.240.3.63,192.168.137.46,1464,1553845282.492874
benign,157.240.3.63,192.168.137.46,1464,1553845282.492974
benign,157.240.3.63,192.168.137.46,568,1553845282.493013
benign,192.168.137.46,157.240.3.63,66,1553845282.494164
benign,192.168.137.46,157.240.3.63,66,1553845282.49435
benign,192.168.137.46,157.240.3.63,66,1553845282.494644
benign,157.240.3.63,192.168.137.46,74,1553845282.500854
benign,192.168.137.46,157.240.3.63,66,1553845282.502519
benign,157.240.3.63,192.168.137.46,74,1553845282.504732
benign,192.168.137.46,157.240.3.63,66,1553845282.505786
benign,192.168.137.46,157.240.3.63,192,1553845282.508003
benign,192.168.137.46,157.240.3.63,233,1553845282.50892
benign,192.168.137.46,157.240.3.63,233,1553845282.509682
benign,157.240.3.63,192.168.137.46,324,1553845282.538998
benign,192.168.137.46,157.240.3.63,1159,1553845282.541499
benign,157.240.3.63,192.168.137.46,66,1553845282.545885
benign,157.240.3.63,192.168.137.46,66,1553845282.546256
benign,157.240.3.63,192.168.137.46,1464,1553845282.546911
benign,157.240.3.63,192.168.137.46,1464,1553845282.547715
benign,157.240.3.63,192.168.137.46,568,1553845282.547801
benign,157.240.3.63,192.168.137.46,1464,1553845282.547859
benign,192.168.137.46,157.240.3.63,66,1553845282.547864
benign,157.240.3.63,192.168.137.46,1464,1553845282.547889
benign,157.240.3.63,192.168.137.46,568,1553845282.547909
benign,192.168.137.46,157.240.3.63,66,1553845282.549064
benign,192.168.137.46,157.240.3.63,66,1553845282.549329
benign,192.168.137.46,157.240.3.63,66,1553845282.549599
benign,192.168.137.46,157.240.3.63,66,1553845282.549879
benign,192.168.137.46,157.240.3.63,66,1553845282.550159
benign,192.168.137.46,157.240.3.63,192,1553845282.556949
benign,192.168.137.46,157.240.3.63,192,1553845282.564649
benign,157.240.3.63,192.168.137.46,324,1553845282.587238
