Service,Src IP,Dst IP,Frame Size,Timestamp
benign,54.87.68.200,192.168.137.46,66,1553846200.463973
benign,54.87.68.200,192.168.137.46,1514,1553846200.464768
benign,54.87.68.200,192.168.137.46,1514,1553846200.464844
benign,54.87.68.200,192.168.137.46,1514,1553846200.464878
benign,54.87.68.200,192.168.137.46,266,1553846200.464903
benign,192.168.137.46,54.87.68.200,66,1553846200.465989
benign,192.168.137.46,54.87.68.200,66,1553846200.466249
benign,192.168.137.46,54.87.68.200,66,1553846200.466525
benign,192.168.137.46,54.87.68.200,66,1553846200.46682
benign,192.168.137.46,54.87.68.200,192,1553846200.477018
benign,192.168.137.46,54.87.68.200,1514,1553846200.482755
benign,54.87.68.200,192.168.137.46,340,1553846200.560435
benign,192.168.137.46,54.87.68.200,700,1553846200.562541
benign,54.87.68.200,192.168.137.46,66,1553846200.606897
benign,54.87.68.200,192.168.137.46,66,1553846200.64602
benign,54.87.68.200,192.168.137.46,502,1553846200.648616
benign,54.87.68.200,192.168.137.46,100,1553846200.648693
benign,192.168.137.46,54.87.68.200,66,1553846200.652123
benign,192.168.137.46,23.36.178.83,97,1553846200.652856
benign,192.168.137.46,23.36.178.83,66,1553846200.653494
benign,23.36.178.83,192.168.137.46,97,1553846200.679101
benign,23.36.178.83,192.168.137.46,66,1553846200.679535
benign,192.168.137.46,23.36.178.83,54,1553846200.680534
ads,192.168.137.46,35.173.170.219,74,1553846218.280936
ads,35.173.170.219,192.168.137.46,74,1553846218.365124
ads,192.168.137.46,35.173.170.219,66,1553846218.366253
ads,192.168.137.46,35.173.170.219,583,1553846218.367409
ads,35.173.170.219,192.168.137.46,66,1553846218.45614
ads,35.173.170.219,192.168.137.46,1514,1553846218.459164
ads,35.173.170.219,192.168.137.46,1514,1553846218.459251
ads,35.173.170.219,192.168.137.46,1509,1553846218.459283
ads,192.168.137.46,35.173.170.219,66,1553846218.460225
ads,192.168.137.46,35.173.170.219,66,1553846218.460796
ads,192.168.137.46,35.173.170.219,66,1553846218.460957
ads,192.168.137.46,35.173.170.219,192,1553846218.469804
ads,35.173.170.219,192.168.137.46,324,1553846218.55304
ads,192.168.137.46,35.173.170.219,981,1553846218.554147
ads,35.173.170.219,192.168.137.46,715,1553846218.661245
benign,192.168.137.46,23.36.178.83,97,1553846218.664314
benign,192.168.137.46,23.36.178.83,66,1553846218.666259
benign,23.36.178.83,192.168.137.46,97,1553846218.688368
benign,23.36.178.83,192.168.137.46,66,1553846218.68857
benign,192.168.137.46,23.36.178.83,54,1553846218.689605
benign,192.168.137.46,23.36.178.83,54,1553846218.689769
benign,23.36.178.83,192.168.137.46,66,1553846218.693043
benign,192.168.137.46,23.36.178.83,54,1553846218.694039
ads,192.168.137.46,35.173.170.219,66,1553846218.700644
ads,192.168.137.46,35.173.170.219,981,1553846220.363226
ads,35.173.170.219,192.168.137.46,715,1553846220.480502
ads,192.168.137.46,35.173.170.219,66,1553846220.48191
benign,192.168.137.46,172.217.14.197,294,1553846227.523752
benign,172.217.14.197,192.168.137.46,78,1553846227.557852
benign,192.168.137.46,172.217.14.197,294,1553846227.568565
benign,192.168.137.46,172.217.14.197,1434,1553846227.580946
benign,172.217.14.197,192.168.137.46,86,1553846227.600904
benign,172.217.14.197,192.168.137.46,66,1553846227.611259
benign,172.217.14.197,192.168.137.46,359,1553846227.700075
benign,172.217.14.197,192.168.137.46,236,1553846227.703106
benign,172.217.14.197,192.168.137.46,241,1553846227.703193
benign,172.217.14.197,192.168.137.46,112,1553846227.703246
benign,192.168.137.46,172.217.14.197,66,1553846227.704692
benign,192.168.137.46,172.217.14.197,66,1553846227.705487
benign,192.168.137.46,172.217.14.197,112,1553846227.706373
benign,172.217.14.197,192.168.137.46,66,1553846227.74118
benign,54.87.68.200,192.168.137.46,97,1553846230.650408
benign,54.87.68.200,192.168.137.46,66,1553846230.650617
benign,54.87.68.200,192.168.137.46,66,1553846230.832047
benign,23.59.154.129,192.168.137.46,97,1553846230.884329
benign,23.59.154.129,192.168.137.46,66,1553846230.88481
benign,54.87.68.200,192.168.137.46,97,1553846231.148069
benign,192.168.137.46,54.87.68.200,78,1553846231.160907
benign,23.59.154.129,192.168.137.46,97,1553846231.161018
benign,192.168.137.46,23.59.154.129,66,1553846231.162101
benign,192.168.137.46,54.87.68.200,78,1553846231.1629
benign,192.168.137.46,23.59.154.129,112,1553846231.16305
benign,192.168.137.46,23.59.154.129,97,1553846231.163725
benign,192.168.137.46,23.59.154.129,78,1553846231.163884
benign,23.59.154.129,192.168.137.46,54,1553846231.189126
benign,23.59.154.129,192.168.137.46,54,1553846231.190042
benign,23.59.154.129,192.168.137.46,54,1553846231.190144
benign,23.36.178.83,192.168.137.46,97,1553846231.322388
benign,23.36.178.83,192.168.137.46,66,1553846231.322742
benign,192.168.137.46,23.36.178.83,66,1553846231.324488
benign,192.168.137.46,23.36.178.83,112,1553846231.32578
benign,192.168.137.46,23.36.178.83,97,1553846231.327098
benign,23.36.178.83,192.168.137.46,54,1553846231.353258
benign,23.36.178.83,192.168.137.46,54,1553846231.353968
benign,23.59.154.129,192.168.137.46,97,1553846231.71945
benign,23.59.154.129,192.168.137.46,66,1553846231.720191
benign,23.59.154.129,192.168.137.46,97,1553846231.977157
benign,192.168.137.46,23.59.154.129,66,1553846232.006345
benign,192.168.137.46,23.59.154.129,78,1553846232.00661
benign,192.168.137.46,23.59.154.129,112,1553846232.007478
benign,192.168.137.46,23.59.154.129,97,1553846232.008834
benign,23.59.154.129,192.168.137.46,54,1553846232.034279
benign,23.59.154.129,192.168.137.46,54,1553846232.034714
benign,69.192.82.206,192.168.137.46,97,1553846233.018664
benign,69.192.82.206,192.168.137.46,66,1553846233.018903
benign,69.192.82.206,192.168.137.46,97,1553846233.292671
benign,192.168.137.46,69.192.82.206,66,1553846233.315647
benign,192.168.137.46,69.192.82.206,78,1553846233.315887
benign,192.168.137.46,69.192.82.206,112,1553846233.316615
benign,192.168.137.46,69.192.82.206,97,1553846233.317318
benign,69.192.82.206,192.168.137.46,54,1553846233.345673
benign,69.192.82.206,192.168.137.46,54,1553846233.345843
ads,192.168.137.46,35.173.170.219,980,1553846233.705263
ads,35.173.170.219,192.168.137.46,66,1553846233.832826
ads,35.173.170.219,192.168.137.46,715,1553846233.891708
ads,192.168.137.46,35.173.170.219,66,1553846233.892826
ads,192.168.137.46,35.173.170.219,980,1553846234.641145
ads,35.173.170.219,192.168.137.46,715,1553846234.763931
ads,192.168.137.46,35.173.170.219,66,1553846234.765135
ads,192.168.137.46,35.173.170.219,981,1553846235.280661
